"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA
"5","File created 11/1/2013 8:25:25 AM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1967","1968","1969"
"19","1","      Gross domestic investment","W170RX1","822,504.0","855,559.0","878,702.0"
"20","2","      Less: Consumption of fixed capital","A262RX1","432,980.0","456,683.0","480,649.0"
"21","3","      Equals: Net domestic investment","W171RX1","404,552.0","411,428.0","406,383.0"
"22","4","Gross private domestic investment","A006RX1","556,923.0","590,212.0","623,085.0"
"23","5","Less: Consumption of fixed capital","B024RX1","295,067.0","312,102.0","330,672.0"
"24","6","Equals: Net private domestic investment","A557RX1","261,856.0","278,110.0","292,413.0"
"25","7","  Fixed investment","A007RX1","536,906.0","574,620.0","608,554.0"
"26","8","  Less: Consumption of fixed capital","B024RX1","295,067.0","312,102.0","330,672.0"
