"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Gross domestic product","A191RC1","1,019,879.0","1,075,884.0","1,167,769.0","1,282,449.0","1,428,548.0","1,548,824.0","1,688,922.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,949.0","3,344,985.0","3,638,129.0","4,040,686.0","4,346,725.0","4,590,145.0","4,870,205.0","5,252,616.0","5,657,676.0","5,979,568.0","6,174,020.0","6,539,273.0","6,878,690.0","7,308,727.0","7,664,028.0","8,100,165.0","8,608,478.0","9,089,133.0","9,665,696.0","10,289,748.0","10,625,252.0","10,980,187.0","11,512,237.0","12,277,037.0","13,095,426.0","13,857,893.0","14,480,312.0","14,720,254.0","14,417,942.0","14,958,261.0","15,533,839.0","16,244,586.0","16,797,502.0"
"20","2","Less: Exports of goods and services","B020RC1","51,923.0","59,710.0","62,963.0","70,844.0","95,269.0","126,650.0","138,706.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,232.0","283,203.0","276,988.0","302,376.0","303,200.0","320,990.0","363,932.0","444,587.0","504,274.0","551,853.0","594,909.0","633,027.0","654,772.0","720,911.0","812,781.0","867,554.0","953,769.0","952,946.0","989,153.0","1,094,333.0","1,028,794.0","1,004,699.0","1,043,388.0","1,183,123.0","1,310,354.0","1,478,530.0","1,665,738.0","1,843,135.0","1,583,803.0","1,843,516.0","2,101,151.0","2,195,930.0","2,259,763.0"
"21","3","Plus: Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,992.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,250,585.0","1,474,393.0","1,397,809.0","1,429,734.0","1,544,303.0","1,797,923.0","2,026,071.0","2,240,939.0","2,375,542.0","2,556,383.0","1,976,006.0","2,361,973.0","2,669,890.0","2,743,130.0","2,757,034.0"
"22","4","Equals: Gross domestic purchases","A712RC1","1,018,447.0","1,071,934.0","1,167,148.0","1,285,821.0","1,424,438.0","1,549,639.0","1,672,945.0","1,879,218.0","2,109,044.0","2,381,937.0","2,654,689.0","2,875,561.0","3,223,476.0","3,364,965.0","3,689,779.0","4,143,417.0","4,460,753.0","4,722,022.0","5,014,987.0","5,362,021.0","5,744,434.0","6,057,444.0","6,202,658.0","6,574,039.0","6,943,892.0","7,401,241.0","7,753,818.0","8,196,577.0","8,710,485.0","9,251,877.0","9,927,128.0","10,669,808.0","10,994,267.0","11,405,222.0","12,013,152.0","12,891,837.0","13,811,143.0","14,620,302.0","15,190,116.0","15,433,502.0","14,810,145.0","15,476,718.0","16,102,578.0","16,791,786.0","17,294,773.0"
"23","5","Less: Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","36,428.0","66,093.0","107,924.0"
"24","6","Equals: Final sales to domestic purchasers","A713RC1","1,009,274.0","1,069,933.0","1,158,892.0","1,276,714.0","1,408,560.0","1,535,649.0","1,679,201.0","1,862,102.0","2,086,720.0","2,356,146.0","2,636,705.0","2,881,892.0","3,193,667.0","3,379,879.0","3,695,530.0","4,078,012.0","4,438,929.0","4,715,451.0","4,987,838.0","5,343,539.0","5,716,741.0","6,042,897.0","6,203,052.0","6,557,711.0","6,923,078.0","7,337,457.0","7,722,645.0","8,165,777.0","8,639,545.0","9,188,158.0","9,866,312.0","10,615,263.0","11,032,550.0","11,386,721.0","11,993,866.0","12,827,977.0","13,751,564.0","14,553,330.0","15,155,664.0","15,465,498.0","14,957,715.0","15,415,190.0","16,066,150.0","16,725,693.0","17,186,849.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RC1","1,010,706.0","1,073,883.0","1,159,513.0","1,273,342.0","1,412,670.0","1,534,834.0","1,695,178.0","1,860,471.0","2,063,627.0","2,330,780.0","2,614,159.0","2,868,836.0","3,181,140.0","3,359,899.0","3,643,880.0","3,975,281.0","4,324,901.0","4,583,574.0","4,843,056.0","5,234,134.0","5,629,983.0","5,965,021.0","6,174,414.0","6,522,945.0","6,857,876.0","7,244,943.0","7,632,855.0","8,069,365.0","8,537,538.0","9,025,414.0","9,604,880.0","10,235,203.0","10,663,535.0","10,961,686.0","11,492,951.0","12,213,177.0","13,035,847.0","13,790,921.0","14,445,860.0","14,752,250.0","14,565,512.0","14,896,733.0","15,497,411.0","16,178,493.0","16,689,578.0"
