"","Table 5#8#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RC1","213,724.0","218,867.0","222,545.0","227,431.0","230,315.0","232,883.0","235,627.0","235,687.0","243,198.0","247,326.0","251,184.0","253,669.0","258,566.0","266,734.0","274,179.0","283,597.0","304,167.0","324,140.0","338,117.0","351,525.0","361,462.0","372,736.0","396,776.0","405,646.0","400,546.0","404,437.0","409,404.0","408,509.0","415,901.0","428,150.0","433,613.0","439,554.0","451,411.0","458,270.0","466,533.0","481,974.0","507,887.0","529,950.0","547,620.0","570,918.0","609,318.0","629,235.0","650,833.0","667,580.0","691,522.0","708,396.0","727,242.0","739,003.0","763,780.0","773,542.0","780,869.0","779,100.0","788,229.0","788,624.0","783,216.0","773,892.0","772,371.0","775,319.0","782,507.0","796,872.0","827,414.0","844,916.0","856,703.0","868,960.0","865,719.0","861,280.0","858,055.0","872,552.0","862,048.0","859,321.0","856,837.0","854,894.0","872,416.0","888,779.0","898,092.0","922,442.0","941,181.0","962,310.0","983,920.0","1,000,938.0","1,025,667.0","1,033,216.0","1,033,865.0","1,045,021.0","1,051,578.0","1,057,794.0","1,078,776.0","1,082,349.0","1,070,015.0","1,054,591.0","1,051,034.0","1,058,451.0","1,064,770.0","1,075,908.0","1,085,904.0","1,082,578.0","1,090,797.0","1,100,924.0","1,104,052.0","1,115,977.0","1,133,052.0","1,147,375.0","1,164,559.0","1,194,546.0","1,224,859.0","1,241,433.0","1,247,583.0","1,257,193.0","1,257,829.0","1,269,118.0","1,283,536.0","1,284,666.0","1,293,925.0","1,305,129.0","1,315,106.0","1,327,909.0"
"21","2","Farm \2\","B372RC1","50,295.0","52,618.0","51,735.0","52,845.0","53,715.0","53,761.0","53,459.0","52,392.0","55,552.0","56,545.0","57,736.0","59,288.0","61,507.0","65,673.0","68,445.0","73,736.0","84,463.0","94,231.0","101,956.0","102,170.0","96,234.0","87,944.0","94,198.0","87,557.0","84,734.0","91,083.0","92,117.0","89,485.0","89,534.0","90,750.0","86,350.0","85,325.0","85,857.0","85,705.0","84,534.0","90,552.0","102,019.0","108,226.0","113,618.0","119,267.0","137,153.0","134,535.0","137,657.0","134,949.0","130,234.0","133,833.0","141,379.0","140,343.0","140,267.0","140,994.0","134,603.0","127,365.0","136,663.0","137,474.0","131,400.0","131,317.0","138,224.0","136,325.0","128,236.0","131,736.0","137,945.0","134,826.0","129,794.0","131,401.0","127,337.0","120,515.0","118,236.0","122,358.0","117,044.0","113,256.0","111,925.0","109,834.0","114,876.0","116,303.0","118,203.0","118,069.0","124,693.0","126,525.0","132,490.0","131,855.0","133,835.0","129,952.0","127,916.0","130,293.0","132,479.0","131,123.0","130,544.0","133,469.0","135,209.0","130,144.0","124,306.0","124,452.0","133,824.0","136,519.0","140,315.0","133,061.0","128,660.0","128,776.0","127,883.0","132,284.0","140,346.0","132,373.0","131,143.0","134,525.0","132,732.0","129,268.0","128,523.0","131,116.0","130,608.0","137,623.0","143,731.0","136,551.0","138,443.0","138,104.0","138,376.0","136,896.0"
"22","3","Nonfarm","A373RC1","163,429.0","166,249.0","170,810.0","174,586.0","176,600.0","179,122.0","182,168.0","183,295.0","187,646.0","190,781.0","193,448.0","194,381.0","197,059.0","201,061.0","205,734.0","209,861.0","219,704.0","229,909.0","236,161.0","249,355.0","265,228.0","284,792.0","302,578.0","318,089.0","315,812.0","313,354.0","317,287.0","319,024.0","326,367.0","337,400.0","347,263.0","354,229.0","365,554.0","372,565.0","381,999.0","391,422.0","405,868.0","421,724.0","434,002.0","451,651.0","472,165.0","494,700.0","513,176.0","532,631.0","561,288.0","574,563.0","585,863.0","598,660.0","623,513.0","632,548.0","646,266.0","651,735.0","651,566.0","651,150.0","651,816.0","642,575.0","634,147.0","638,994.0","654,271.0","665,136.0","689,469.0","710,090.0","726,909.0","737,559.0","738,382.0","740,765.0","739,819.0","750,194.0","745,004.0","746,065.0","744,912.0","745,060.0","757,540.0","772,476.0","779,889.0","804,373.0","816,488.0","835,785.0","851,430.0","869,083.0","891,832.0","903,264.0","905,949.0","914,728.0","919,099.0","926,671.0","948,232.0","948,880.0","934,806.0","924,447.0","926,728.0","933,999.0","930,946.0","939,389.0","945,589.0","949,517.0","962,137.0","972,148.0","976,169.0","983,693.0","992,706.0","1,015,002.0","1,033,416.0","1,060,021.0","1,092,127.0","1,112,165.0","1,119,060.0","1,126,077.0","1,127,221.0","1,131,495.0","1,139,805.0","1,148,115.0","1,155,482.0","1,167,025.0","1,176,730.0","1,191,013.0"
"23","4","    Durable goods \3\","A374RC1","93,962.0","94,950.0","97,656.0","100,561.0","101,127.0","102,098.0","104,215.0","103,857.0","106,510.0","108,098.0","110,360.0","109,801.0","111,487.0","113,507.0","115,850.0","118,437.0","123,651.0","129,385.0","133,721.0","140,095.0","147,646.0","159,227.0","169,422.0","179,533.0","180,497.0","179,823.0","179,979.0","180,186.0","183,823.0","189,528.0","196,368.0","201,935.0","206,767.0","211,091.0","217,523.0","222,810.0","232,638.0","242,740.0","251,014.0","262,911.0","277,391.0","290,255.0","298,517.0","309,581.0","322,600.0","326,317.0","329,908.0","339,759.0","349,021.0","356,752.0","364,918.0","367,869.0","368,035.0","368,791.0","369,979.0","361,678.0","355,081.0","357,926.0","365,024.0","373,914.0","389,435.0","403,200.0","415,658.0","426,880.0","428,295.0","429,286.0","427,361.0","430,854.0","434,327.0","436,476.0","434,767.0","431,416.0","436,713.0","444,866.0","447,543.0","464,315.0","471,113.0","479,628.0","491,847.0","505,713.0","519,987.0","524,358.0","525,498.0","529,702.0","529,256.0","535,203.0","542,109.0","540,937.0","532,773.0","522,923.0","522,010.0","522,798.0","518,475.0","520,942.0","521,213.0","520,382.0","528,415.0","533,743.0","537,784.0","544,178.0","551,951.0","565,376.0","576,705.0","591,616.0","608,960.0","618,401.0","621,907.0","627,141.0","625,252.0","629,263.0","638,282.0","638,550.0","641,766.0","649,811.0","653,596.0","661,219.0"
"24","5","    Nondurable goods \3\","A375RC1","69,467.0","71,299.0","73,154.0","74,025.0","75,473.0","77,024.0","77,953.0","79,438.0","81,136.0","82,683.0","83,088.0","84,580.0","85,572.0","87,554.0","89,884.0","91,424.0","96,053.0","100,524.0","102,440.0","109,260.0","117,582.0","125,565.0","133,156.0","138,556.0","135,315.0","133,531.0","137,308.0","138,838.0","142,544.0","147,872.0","150,895.0","152,294.0","158,787.0","161,474.0","164,476.0","168,612.0","173,230.0","178,984.0","182,988.0","188,740.0","194,774.0","204,445.0","214,659.0","223,050.0","238,688.0","248,246.0","255,955.0","258,901.0","274,492.0","275,796.0","281,348.0","283,866.0","283,531.0","282,359.0","281,837.0","280,897.0","279,066.0","281,068.0","289,247.0","291,222.0","300,034.0","306,890.0","311,251.0","310,679.0","310,087.0","311,479.0","312,458.0","319,340.0","310,677.0","309,589.0","310,145.0","313,644.0","320,827.0","327,610.0","332,346.0","340,058.0","345,375.0","356,157.0","359,583.0","363,370.0","371,845.0","378,906.0","380,451.0","385,026.0","389,843.0","391,468.0","406,123.0","407,943.0","402,033.0","401,524.0","404,718.0","411,201.0","412,471.0","418,447.0","424,376.0","429,135.0","433,722.0","438,405.0","438,385.0","439,515.0","440,755.0","449,626.0","456,711.0","468,405.0","483,167.0","493,764.0","497,153.0","498,936.0","501,969.0","502,232.0","501,523.0","509,565.0","512,868.0","516,496.0","522,543.0","529,215.0"
"25","6","  Manufacturing","A376RC1","87,357.0","88,462.0","90,733.0","92,581.0","93,264.0","94,187.0","95,452.0","95,492.0","96,565.0","96,975.0","97,054.0","96,619.0","97,767.0","99,127.0","101,335.0","102,108.0","106,571.0","111,422.0","115,278.0","121,470.0","130,313.0","142,805.0","154,165.0","162,628.0","163,398.0","161,434.0","161,701.0","162,221.0","164,824.0","169,532.0","174,708.0","178,718.0","182,429.0","185,782.0","189,859.0","193,234.0","198,308.0","205,351.0","211,627.0","219,778.0","229,996.0","241,039.0","251,364.0","261,789.0","277,511.0","284,024.0","287,042.0","293,432.0","304,094.0","308,215.0","313,623.0","313,145.0","314,767.0","311,002.0","309,132.0","304,627.0","294,630.0","297,166.0","304,352.0","308,921.0","319,359.0","332,682.0","343,227.0","344,538.0","341,558.0","339,315.0","335,192.0","333,336.0","325,333.0","322,880.0","320,505.0","320,619.0","320,781.0","324,535.0","330,355.0","339,563.0","346,630.0","355,660.0","362,237.0","372,435.0","382,858.0","388,318.0","390,075.0","390,482.0","393,809.0","394,122.0","404,641.0","404,510.0","397,711.0","389,000.0","385,159.0","384,126.0","380,500.0","379,819.0","381,347.0","377,580.0","378,343.0","381,098.0","381,054.0","380,068.0","383,414.0","389,317.0","395,136.0","404,319.0","417,030.0","422,924.0","425,095.0","424,526.0","424,864.0","423,334.0","425,942.0","428,918.0","428,943.0","432,210.0","434,956.0","440,358.0"
"26","7","    Durable goods","B377RC1","58,080.0","58,692.0","59,997.0","61,826.0","62,068.0","62,453.0","63,602.0","63,507.0","63,930.0","63,868.0","63,962.0","63,188.0","64,040.0","64,685.0","66,141.0","66,827.0","69,751.0","72,917.0","75,988.0","80,191.0","84,935.0","93,195.0","99,920.0","104,924.0","106,323.0","105,730.0","104,443.0","103,961.0","105,278.0","107,986.0","111,330.0","114,832.0","116,879.0","118,624.0","121,602.0","123,590.0","127,809.0","133,141.0","138,212.0","144,185.0","152,695.0","160,490.0","166,444.0","174,442.0","183,527.0","186,355.0","187,887.0","192,710.0","198,479.0","200,972.0","206,450.0","205,904.0","207,159.0","205,897.0","204,215.0","200,206.0","193,449.0","195,007.0","197,900.0","202,160.0","209,271.0","218,740.0","227,705.0","231,680.0","230,639.0","228,888.0","226,652.0","222,820.0","220,304.0","218,656.0","217,061.0","214,694.0","212,541.0","214,287.0","218,279.0","224,660.0","229,179.0","234,211.0","239,058.0","246,886.0","254,079.0","256,791.0","258,606.0","257,830.0","258,969.0","260,119.0","262,298.0","261,963.0","258,676.0","251,751.0","248,241.0","245,972.0","242,602.0","239,898.0","238,667.0","235,085.0","234,975.0","236,647.0","237,850.0","237,919.0","240,910.0","244,033.0","246,720.0","251,130.0","256,858.0","258,627.0","259,831.0","260,097.0","260,552.0","260,493.0","262,435.0","263,502.0","264,153.0","265,697.0","267,357.0","270,509.0"
"27","8","    Nondurable goods","B378RC1","29,277.0","29,770.0","30,736.0","30,755.0","31,196.0","31,734.0","31,850.0","31,985.0","32,635.0","33,107.0","33,092.0","33,431.0","33,727.0","34,442.0","35,194.0","35,281.0","36,820.0","38,505.0","39,290.0","41,279.0","45,378.0","49,610.0","54,245.0","57,704.0","57,075.0","55,704.0","57,258.0","58,260.0","59,546.0","61,546.0","63,378.0","63,886.0","65,550.0","67,158.0","68,257.0","69,644.0","70,499.0","72,210.0","73,415.0","75,593.0","77,301.0","80,549.0","84,920.0","87,347.0","93,984.0","97,669.0","99,155.0","100,722.0","105,615.0","107,243.0","107,173.0","107,241.0","107,608.0","105,105.0","104,917.0","104,421.0","101,181.0","102,159.0","106,452.0","106,761.0","110,088.0","113,942.0","115,522.0","112,858.0","110,919.0","110,427.0","108,540.0","110,516.0","105,029.0","104,224.0","103,444.0","105,925.0","108,240.0","110,248.0","112,076.0","114,903.0","117,451.0","121,449.0","123,179.0","125,549.0","128,779.0","131,527.0","131,469.0","132,652.0","134,840.0","134,003.0","142,343.0","142,547.0","139,035.0","137,249.0","136,918.0","138,154.0","137,898.0","139,921.0","142,680.0","142,495.0","143,368.0","144,451.0","143,204.0","142,149.0","142,504.0","145,284.0","148,416.0","153,189.0","160,172.0","164,297.0","165,264.0","164,429.0","164,312.0","162,841.0","163,507.0","165,416.0","164,790.0","166,513.0","167,599.0","169,849.0"
