"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RC1","995,419.0","1,011,361.0","1,032,016.0","1,040,741.0","1,053,528.0","1,070,110.0","1,088,461.0","1,091,462.0","1,137,812.0","1,159,355.0","1,180,313.0","1,193,585.0","1,233,807.0","1,270,122.0","1,293,837.0","1,332,023.0","1,380,680.0","1,417,595.0","1,436,813.0","1,479,069.0","1,494,654.0","1,534,220.0","1,563,396.0","1,603,004.0","1,619,553.0","1,656,448.0","1,713,812.0","1,765,867.0","1,824,509.0","1,856,944.0","1,890,500.0","1,938,413.0","1,992,534.0","2,060,165.0","2,122,387.0","2,168,716.0","2,208,688.0","2,336,563.0","2,398,866.0","2,482,159.0","2,531,556.0","2,595,910.0","2,670,389.0","2,730,706.0","2,796,523.0","2,799,938.0","2,860,043.0","2,993,525.0","3,131,792.0","3,167,245.0","3,261,197.0","3,283,529.0","3,273,802.0","3,331,275.0","3,367,066.0","3,407,803.0","3,480,315.0","3,583,838.0","3,692,250.0","3,796,116.0","3,912,766.0","4,014,991.0","4,087,369.0","4,147,599.0","4,237,001.0","4,302,288.0","4,394,554.0","4,453,096.0","4,516,334.0","4,555,235.0","4,619,614.0","4,669,386.0","4,736,221.0","4,821,449.0","4,900,497.0","5,022,658.0","5,090,601.0","5,207,693.0","5,299,471.0","5,412,698.0","5,527,335.0","5,628,412.0","5,711,538.0","5,763,425.0","5,890,813.0","5,974,644.0","6,029,483.0","6,023,309.0","6,054,846.0","6,143,588.0","6,218,400.0","6,279,270.0","6,380,773.0","6,492,272.0","6,586,521.0","6,697,525.0","6,748,155.0","6,829,565.0","6,904,193.0","7,032,815.0","7,136,231.0","7,269,818.0","7,352,226.0","7,476,630.0","7,545,265.0","7,604,893.0","7,706,499.0","7,799,459.0","7,893,113.0","8,061,498.0","8,159,007.0","8,287,041.0","8,402,024.0","8,551,904.0","8,691,719.0","8,788,282.0","8,889,697.0","8,994,702.0","9,146,487.0","9,325,613.0","9,450,346.0","9,561,466.0","9,718,715.0","9,932,252.0","10,036,134.0","10,283,702.0","10,363,809.0","10,475,334.0","10,512,501.0","10,641,559.0","10,644,302.0","10,702,657.0","10,837,277.0","10,937,998.0","11,039,816.0","11,105,681.0","11,230,755.0","11,371,373.0","11,628,376.0","11,818,457.0","11,991,431.0","12,183,504.0","12,369,402.0","12,563,814.0","12,816,151.0","12,975,665.0","13,206,544.0","13,383,327.0","13,649,839.0","13,802,903.0","13,910,475.0","14,068,369.0","14,234,951.0","14,424,492.0","14,571,856.0","14,689,954.0","14,672,906.0","14,817,102.0","14,844,312.0","14,546,719.0","14,381,223.0","14,342,067.0","14,384,368.0","14,564,119.0","14,672,488.0","14,879,163.0","15,049,755.0","15,231,682.0","15,242,905.0","15,461,935.0","15,611,839.0","15,818,699.0","16,041,581.0","16,160,441.0","16,356,035.0","16,420,302.0","16,535,321.0","16,661,020.0","16,912,936.0","17,080,665.0"
"21","2","Business \1\","A195RC1","767,793.0","778,551.0","791,071.0","794,655.0","801,359.0","813,183.0","826,472.0","824,137.0","861,165.0","877,232.0","892,978.0","900,290.0","932,094.0","964,018.0","982,675.0","1,013,291.0","1,056,356.0","1,087,224.0","1,100,446.0","1,134,315.0","1,142,500.0","1,174,074.0","1,194,586.0","1,222,801.0","1,229,602.0","1,257,348.0","1,306,504.0","1,349,395.0","1,401,268.0","1,427,605.0","1,454,669.0","1,493,430.0","1,540,252.0","1,598,270.0","1,649,147.0","1,681,457.0","1,714,438.0","1,827,295.0","1,874,668.0","1,942,576.0","1,981,639.0","2,037,799.0","2,097,966.0","2,139,674.0","2,189,235.0","2,175,090.0","2,217,846.0","2,326,838.0","2,448,769.0","2,469,758.0","2,547,731.0","2,546,458.0","2,521,257.0","2,565,148.0","2,584,258.0","2,607,444.0","2,666,375.0","2,756,673.0","2,851,070.0","2,939,882.0","3,036,785.0","3,124,011.0","3,175,853.0","3,217,767.0","3,291,421.0","3,341,526.0","3,415,023.0","3,453,903.0","3,500,051.0","3,521,245.0","3,567,805.0","3,597,975.0","3,645,160.0","3,711,400.0","3,768,079.0","3,856,203.0","3,903,670.0","3,995,828.0","4,065,711.0","4,151,404.0","4,241,421.0","4,319,339.0","4,378,058.0","4,406,574.0","4,504,406.0","4,559,290.0","4,585,565.0","4,560,500.0","4,563,517.0","4,634,701.0","4,691,682.0","4,730,490.0","4,807,289.0","4,890,688.0","4,964,658.0","5,057,014.0","5,083,302.0","5,148,168.0","5,203,634.0","5,316,298.0","5,395,141.0","5,506,755.0","5,568,355.0","5,673,040.0","5,714,183.0","5,756,833.0","5,844,335.0","5,919,562.0","5,993,039.0","6,145,316.0","6,225,690.0","6,334,793.0","6,425,085.0","6,553,293.0","6,669,088.0","6,741,112.0","6,817,902.0","6,893,898.0","7,014,902.0","7,162,661.0","7,255,021.0","7,330,054.0","7,460,075.0","7,634,469.0","7,693,329.0","7,907,761.0","7,953,849.0","8,030,897.0","8,031,384.0","8,120,968.0","8,083,239.0","8,106,093.0","8,194,153.0","8,261,676.0","8,334,670.0","8,365,712.0","8,437,544.0","8,548,055.0","8,777,905.0","8,922,383.0","9,049,868.0","9,196,983.0","9,336,726.0","9,499,249.0","9,696,725.0","9,821,040.0","10,013,361.0","10,155,310.0","10,367,149.0","10,478,296.0","10,548,742.0","10,669,929.0","10,787,700.0","10,953,238.0","11,064,488.0","11,131,399.0","11,047,113.0","11,142,813.0","11,121,221.0","10,775,007.0","10,596,254.0","10,527,618.0","10,553,920.0","10,709,050.0","10,801,784.0","10,973,733.0","11,135,096.0","11,308,638.0","11,300,301.0","11,490,225.0","11,623,407.0","11,824,209.0","12,011,796.0","12,121,254.0","12,302,146.0","12,346,571.0","12,444,982.0","12,558,285.0","12,795,794.0","12,928,807.0"
"22","3","  Nonfarm \2\","A358RC1","746,852.0","756,173.0","767,764.0","769,981.0","777,222.0","790,169.0","802,291.0","800,731.0","836,584.0","852,278.0","867,860.0","873,460.0","907,558.0","936,450.0","952,749.0","976,711.0","1,019,575.0","1,042,604.0","1,052,884.0","1,076,228.0","1,093,409.0","1,133,492.0","1,152,144.0","1,177,935.0","1,187,505.0","1,214,261.0","1,258,721.0","1,299,857.0","1,356,228.0","1,385,025.0","1,412,709.0","1,450,924.0","1,496,499.0","1,556,301.0","1,609,503.0","1,632,695.0","1,666,851.0","1,775,424.0","1,821,590.0","1,892,209.0","1,921,347.0","1,979,260.0","2,036,843.0","2,079,212.0","2,136,815.0","2,135,096.0","2,166,207.0","2,265,418.0","2,386,900.0","2,406,058.0","2,476,492.0","2,483,459.0","2,460,089.0","2,504,995.0","2,522,612.0","2,548,762.0","2,609,393.0","2,709,912.0","2,815,975.0","2,898,985.0","2,974,291.0","3,059,524.0","3,112,462.0","3,151,533.0","3,224,270.0","3,277,880.0","3,353,728.0","3,391,183.0","3,443,574.0","3,464,997.0","3,503,507.0","3,535,433.0","3,584,055.0","3,650,276.0","3,706,217.0","3,792,119.0","3,835,011.0","3,934,625.0","4,000,794.0","4,100,641.0","4,164,381.0","4,246,738.0","4,307,234.0","4,331,261.0","4,424,411.0","4,480,834.0","4,507,841.0","4,485,548.0","4,493,468.0","4,562,683.0","4,624,756.0","4,657,994.0","4,728,993.0","4,809,257.0","4,882,229.0","4,979,740.0","5,015,723.0","5,073,196.0","5,140,343.0","5,237,054.0","5,303,649.0","5,420,513.0","5,487,334.0","5,597,419.0","5,648,644.0","5,693,699.0","5,776,897.0","5,842,064.0","5,902,224.0","6,043,519.0","6,137,809.0","6,244,729.0","6,329,901.0","6,470,659.0","6,580,298.0","6,655,177.0","6,737,184.0","6,816,639.0","6,939,067.0","7,080,354.0","7,173,657.0","7,259,005.0","7,393,244.0","7,569,977.0","7,622,749.0","7,828,635.0","7,877,484.0","7,952,794.0","7,953,132.0","8,044,778.0","8,004,321.0","8,027,080.0","8,125,098.0","8,196,398.0","8,257,171.0","8,281,411.0","8,353,288.0","8,455,245.0","8,683,527.0","8,821,419.0","8,925,919.0","9,073,279.0","9,224,123.0","9,383,873.0","9,590,766.0","9,714,696.0","9,908,381.0","10,054,540.0","10,271,470.0","10,380,334.0","10,448,848.0","10,566,055.0","10,675,451.0","10,845,309.0","10,953,827.0","11,008,105.0","10,909,648.0","11,012,528.0","11,000,410.0","10,658,187.0","10,493,806.0","10,422,808.0","10,443,774.0","10,587,244.0","10,681,724.0","10,848,051.0","11,001,966.0","11,168,610.0","11,135,330.0","11,330,914.0","11,455,152.0","11,652,741.0","11,840,786.0","11,950,144.0","12,139,094.0","12,183,998.0","12,198,268.0","12,321,889.0","12,559,826.0","12,711,270.0"
"23","4","  Farm","B359RC1","20,941.0","22,378.0","23,307.0","24,674.0","24,137.0","23,014.0","24,181.0","23,406.0","24,581.0","24,954.0","25,118.0","26,830.0","24,536.0","27,568.0","29,926.0","36,580.0","36,781.0","44,620.0","47,562.0","58,087.0","49,091.0","40,582.0","42,442.0","44,866.0","42,097.0","43,087.0","47,783.0","49,538.0","45,040.0","42,580.0","41,960.0","42,506.0","43,753.0","41,969.0","39,644.0","48,762.0","47,587.0","51,871.0","53,078.0","50,367.0","60,292.0","58,539.0","61,123.0","60,462.0","52,420.0","39,994.0","51,639.0","61,420.0","61,869.0","63,700.0","71,239.0","62,999.0","61,168.0","60,153.0","61,646.0","58,682.0","56,982.0","46,761.0","35,095.0","40,897.0","62,494.0","64,487.0","63,391.0","66,234.0","67,151.0","63,646.0","61,295.0","62,720.0","56,477.0","56,248.0","64,298.0","62,542.0","61,105.0","61,124.0","61,862.0","64,084.0","68,659.0","61,203.0","64,917.0","50,763.0","77,040.0","72,601.0","70,824.0","75,313.0","79,995.0","78,456.0","77,724.0","74,952.0","70,049.0","72,018.0","66,926.0","72,496.0","78,296.0","81,431.0","82,429.0","77,274.0","67,579.0","74,972.0","63,291.0","79,244.0","91,492.0","86,242.0","81,021.0","75,621.0","65,539.0","63,134.0","67,438.0","77,498.0","90,815.0","101,797.0","87,881.0","90,064.0","95,184.0","82,634.0","88,790.0","85,935.0","80,718.0","77,259.0","75,835.0","82,307.0","81,364.0","71,049.0","66,831.0","64,492.0","70,580.0","79,126.0","76,365.0","78,103.0","78,252.0","76,190.0","78,918.0","79,013.0","69,055.0","65,278.0","77,499.0","84,301.0","84,256.0","92,810.0","94,378.0","100,964.0","123,949.0","123,704.0","112,603.0","115,376.0","105,959.0","106,344.0","104,980.0","100,770.0","95,679.0","97,962.0","99,894.0","103,874.0","112,249.0","107,929.0","110,661.0","123,294.0","137,465.0","130,285.0","120,811.0","116,820.0","102,448.0","104,810.0","110,146.0","121,806.0","120,060.0","125,682.0","133,130.0","140,028.0","164,971.0","159,311.0","168,255.0","171,468.0","171,010.0","171,110.0","163,052.0","162,573.0","246,714.0","236,396.0","235,968.0","217,537.0"
"24","5","Households and institutions","A193RC1","84,080.0","86,308.0","88,733.0","91,220.0","92,380.0","93,953.0","96,022.0","98,496.0","101,616.0","103,855.0","106,273.0","109,116.0","111,508.0","113,657.0","115,717.0","118,341.0","120,891.0","123,972.0","127,030.0","130,399.0","133,257.0","136,490.0","139,895.0","143,580.0","147,363.0","150,900.0","154,840.0","158,728.0","161,918.0","164,829.0","167,879.0","170,941.0","173,470.0","178,365.0","184,345.0","189,868.0","190,776.0","200,854.0","209,477.0","216,829.0","220,361.0","224,605.0","231,393.0","239,213.0","247,631.0","256,091.0","264,921.0","273,956.0","281,681.0","289,283.0","297,576.0","307,195.0","314,759.0","320,563.0","329,863.0","337,065.0","344,013.0","351,434.0","358,802.0","368,848.0","375,421.0","381,664.0","392,220.0","401,413.0","403,609.0","411,121.0","419,365.0","429,121.0","439,184.0","447,882.0","456,114.0","463,376.0","475,450.0","485,305.0","499,243.0","521,262.0","526,630.0","540,933.0","552,326.0","567,239.0","575,844.0","587,036.0","597,764.0","609,103.0","621,281.0","636,380.0","652,947.0","659,210.0","668,918.0","678,780.0","688,002.0","700,098.0","708,172.0","723,805.0","735,057.0","747,699.0","764,352.0","775,343.0","786,615.0","797,894.0","812,423.0","825,003.0","839,861.0","852,473.0","868,224.0","880,528.0","890,314.0","903,871.0","914,731.0","925,169.0","936,786.0","949,552.0","962,139.0","975,945.0","991,602.0","1,007,670.0","1,020,782.0","1,039,747.0","1,058,909.0","1,078,449.0","1,092,946.0","1,115,989.0","1,128,179.0","1,151,148.0","1,174,342.0","1,191,037.0","1,212,429.0","1,233,151.0","1,248,488.0","1,269,418.0","1,290,223.0","1,309,394.0","1,330,298.0","1,350,659.0","1,365,702.0","1,382,109.0","1,401,813.0","1,414,869.0","1,429,405.0","1,462,100.0","1,473,392.0","1,498,838.0","1,528,030.0","1,543,293.0","1,567,050.0","1,589,233.0","1,610,596.0","1,631,276.0","1,659,279.0","1,683,459.0","1,699,630.0","1,715,278.0","1,727,729.0","1,736,069.0","1,752,396.0","1,782,303.0","1,814,648.0","1,842,601.0","1,867,148.0","1,896,606.0","1,895,475.0","1,909,577.0","1,917,607.0","1,931,800.0","1,918,415.0","1,925,939.0","1,931,174.0","1,934,632.0","1,950,200.0","1,968,279.0","1,980,359.0","1,988,834.0","2,009,488.0","2,017,487.0","2,029,717.0","2,044,943.0","2,059,625.0","2,069,767.0","2,083,841.0","2,104,279.0"
"25","6","  Households","B701RC1","55,778.0","57,029.0","58,240.0","59,419.0","60,153.0","60,936.0","62,140.0","63,858.0","65,495.0","66,898.0","68,670.0","70,267.0","71,724.0","72,805.0","73,968.0","75,273.0","76,912.0","78,468.0","80,229.0","82,214.0","84,067.0","85,513.0","87,368.0","89,514.0","91,843.0","93,902.0","95,923.0","98,252.0","100,415.0","102,393.0","104,215.0","105,778.0","107,238.0","110,570.0","114,402.0","117,123.0","121,880.0","125,071.0","128,314.0","133,296.0","136,322.0","139,059.0","143,586.0","149,004.0","153,649.0","158,591.0","163,562.0","169,258.0","173,671.0","178,540.0","183,741.0","189,955.0","194,105.0","196,907.0","202,204.0","206,061.0","210,338.0","214,509.0","218,017.0","224,163.0","227,534.0","229,842.0","237,456.0","244,046.0","244,478.0","249,488.0","254,257.0","260,164.0","266,079.0","271,025.0","275,438.0","279,242.0","285,316.0","290,405.0","299,572.0","306,517.0","313,488.0","317,910.0","324,211.0","333,128.0","337,447.0","343,842.0","349,603.0","355,300.0","361,105.0","369,040.0","377,713.0","381,349.0","385,535.0","388,262.0","393,180.0","399,884.0","403,462.0","410,670.0","417,418.0","423,810.0","435,064.0","440,518.0","446,678.0","454,116.0","464,473.0","473,648.0","483,870.0","491,939.0","500,778.0","509,409.0","515,886.0","524,898.0","530,905.0","537,074.0","543,869.0","550,805.0","558,544.0","566,453.0","576,018.0","585,608.0","592,357.0","602,638.0","612,762.0","623,407.0","634,467.0","646,864.0","657,394.0","668,474.0","682,304.0","693,444.0","706,368.0","721,414.0","733,760.0","747,768.0","761,112.0","769,860.0","778,689.0","788,089.0","793,018.0","802,295.0","815,902.0","822,022.0","828,146.0","847,554.0","857,352.0","872,374.0","886,653.0","901,771.0","922,416.0","937,608.0","951,361.0","964,751.0","981,462.0","996,788.0","1,008,450.0","1,015,592.0","1,018,260.0","1,021,013.0","1,029,135.0","1,046,563.0","1,064,308.0","1,082,129.0","1,094,748.0","1,105,131.0","1,107,553.0","1,107,260.0","1,112,135.0","1,113,399.0","1,114,484.0","1,112,016.0","1,108,457.0","1,110,669.0","1,119,963.0","1,128,265.0","1,131,440.0","1,137,561.0","1,141,456.0","1,145,604.0","1,150,868.0","1,154,615.0","1,164,408.0","1,170,302.0","1,180,678.0","1,192,417.0"
"26","7","  Nonprofit institutions serving households \3\","B702RC1","28,302.0","29,279.0","30,493.0","31,801.0","32,227.0","33,017.0","33,882.0","34,638.0","36,121.0","36,957.0","37,603.0","38,849.0","39,784.0","40,852.0","41,749.0","43,068.0","43,979.0","45,504.0","46,801.0","48,185.0","49,190.0","50,977.0","52,527.0","54,066.0","55,520.0","56,998.0","58,917.0","60,476.0","61,503.0","62,436.0","63,664.0","65,163.0","66,232.0","67,795.0","69,943.0","72,745.0","68,896.0","75,783.0","81,163.0","83,533.0","84,039.0","85,546.0","87,807.0","90,209.0","93,982.0","97,500.0","101,359.0","104,698.0","108,010.0","110,743.0","113,835.0","117,240.0","120,654.0","123,656.0","127,659.0","131,004.0","133,675.0","136,925.0","140,785.0","144,685.0","147,887.0","151,822.0","154,764.0","157,367.0","159,131.0","161,633.0","165,108.0","168,957.0","173,105.0","176,857.0","180,676.0","184,134.0","190,134.0","194,900.0","199,671.0","214,745.0","213,142.0","223,023.0","228,115.0","234,111.0","238,397.0","243,194.0","248,161.0","253,803.0","260,176.0","267,340.0","275,234.0","277,861.0","283,383.0","290,518.0","294,822.0","300,214.0","304,710.0","313,135.0","317,639.0","323,889.0","329,288.0","334,825.0","339,937.0","343,778.0","347,950.0","351,355.0","355,991.0","360,534.0","367,446.0","371,119.0","374,428.0","378,973.0","383,826.0","388,095.0","392,917.0","398,747.0","403,595.0","409,492.0","415,584.0","422,062.0","428,425.0","437,109.0","446,147.0","455,042.0","458,479.0","469,125.0","470,785.0","482,674.0","492,038.0","497,593.0","506,061.0","511,737.0","514,728.0","521,650.0","529,111.0","539,534.0","551,609.0","562,570.0","572,684.0","579,814.0","585,911.0","592,847.0","601,259.0","614,546.0","616,040.0","626,464.0","641,377.0","641,522.0","644,634.0","651,625.0","659,235.0","666,525.0","677,817.0","686,671.0","691,180.0","699,686.0","709,469.0","715,056.0","723,261.0","735,740.0","750,340.0","760,472.0","772,400.0","791,475.0","787,922.0","802,317.0","805,472.0","818,401.0","803,931.0","813,923.0","822,717.0","823,963.0","830,237.0","840,014.0","848,919.0","851,273.0","868,032.0","871,883.0","878,849.0","890,328.0","895,217.0","899,465.0","903,163.0","911,862.0"
"27","8","General government \4\","A765RC1","143,546.0","146,502.0","152,212.0","154,866.0","159,789.0","162,974.0","165,967.0","168,829.0","175,031.0","178,268.0","181,062.0","184,179.0","190,205.0","192,447.0","195,445.0","200,391.0","203,433.0","206,399.0","209,337.0","214,355.0","218,897.0","223,656.0","228,915.0","236,623.0","242,588.0","248,200.0","252,468.0","257,744.0","261,323.0","264,510.0","267,952.0","274,042.0","278,812.0","283,530.0","288,895.0","297,391.0","303,474.0","308,414.0","314,721.0","322,754.0","329,556.0","333,506.0","341,030.0","351,819.0","359,657.0","368,757.0","377,276.0","392,731.0","401,342.0","408,204.0","415,890.0","429,876.0","437,786.0","445,564.0","452,945.0","463,294.0","469,927.0","475,731.0","482,378.0","487,386.0","500,560.0","509,316.0","519,296.0","528,419.0","541,971.0","549,641.0","560,166.0","570,072.0","577,099.0","586,108.0","595,695.0","608,035.0","615,611.0","624,744.0","633,175.0","645,193.0","660,301.0","670,932.0","681,434.0","694,055.0","710,070.0","722,037.0","735,716.0","747,748.0","765,126.0","778,974.0","790,971.0","803,599.0","822,411.0","830,107.0","838,716.0","848,682.0","865,312.0","877,779.0","886,806.0","892,812.0","900,501.0","906,054.0","913,944.0","918,623.0","928,667.0","938,060.0","944,010.0","951,117.0","962,858.0","967,532.0","971,850.0","976,026.0","985,343.0","991,013.0","996,531.0","1,002,696.0","1,014,800.0","1,022,666.0","1,031,029.0","1,039,500.0","1,051,013.0","1,061,057.0","1,072,676.0","1,084,503.0","1,102,379.0","1,115,423.0","1,130,461.0","1,146,635.0","1,168,463.0","1,184,904.0","1,197,531.0","1,211,286.0","1,232,629.0","1,251,173.0","1,270,840.0","1,287,170.0","1,312,826.0","1,325,663.0","1,339,444.0","1,357,860.0","1,391,398.0","1,408,449.0","1,421,066.0","1,433,974.0","1,468,171.0","1,487,683.0","1,504,646.0","1,521,272.0","1,552,376.0","1,565,392.0","1,582,587.0","1,596,741.0","1,623,411.0","1,641,148.0","1,662,103.0","1,683,162.0","1,719,522.0","1,735,185.0","1,754,972.0","1,776,252.0","1,811,145.0","1,831,688.0","1,855,943.0","1,875,106.0","1,889,494.0","1,904,872.0","1,912,841.0","1,923,269.0","1,952,289.0","1,979,491.0","1,983,485.0","1,988,412.0","1,992,404.0","2,003,431.0","2,008,073.0","2,005,656.0","2,020,297.0","2,021,700.0","2,024,172.0","2,028,788.0","2,030,714.0","2,032,968.0","2,033,301.0","2,047,579.0"
