"","Table 5#9#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2014 1:41:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","      Gross government fixed investment \1\","A782RX1","484,936.0","500,604.0","523,840.0","556,718.0","576,396.0","586,452.0","586,636.0","605,177.0","618,730.0","640,980.0","647,029.0","646,516.0","612,558.0","587,951.0"
"20","2","        Federal","A787RX1","173,836.0","173,670.0","180,850.0","199,462.0","214,987.0","227,354.0","235,389.0","247,513.0","256,952.0","275,855.0","283,983.0","295,433.0","285,130.0","272,752.0"
"21","3","          National defense","A788RX1","90,528.0","91,448.0","96,692.0","109,434.0","121,606.0","133,186.0","140,023.0","147,908.0","156,156.0","171,397.0","174,988.0","177,494.0","167,327.0","158,488.0"
"22","4","          Nondefense","A798RX1","83,298.0","82,194.0","84,116.0","89,987.0","93,348.0","94,148.0","95,352.0","99,594.0","100,792.0","104,458.0","108,995.0","117,917.0","117,754.0","114,214.0"
"23","5","        State and local","A799RX1","316,201.0","333,989.0","350,624.0","363,483.0","365,781.0","361,600.0","352,329.0","358,212.0","362,088.0","365,170.0","363,046.0","351,007.0","327,307.0","315,076.0"
"24","6","Structures \2\","A760RX1","295,421.0","305,293.0","320,018.0","335,869.0","337,829.0","329,462.0","314,021.0","315,081.0","314,498.0","316,649.0","318,921.0","312,258.0","285,319.0","265,329.0"
"25","7","  Federal","A801RX1","25,294.0","20,750.0","19,561.0","22,842.0","24,040.0","21,659.0","18,203.0","18,955.0","22,109.0","24,855.0","29,146.0","32,817.0","29,405.0","21,528.0"
"26","8","    National defense","A808RX1","8,531.0","8,191.0","7,781.0","8,723.0","9,774.0","9,050.0","8,533.0","8,509.0","10,256.0","13,460.0","17,128.0","16,737.0","13,081.0","8,034.0"
"27","9","      New","A814RX1","8,537.0","8,197.0","7,787.0","8,729.0","9,780.0","9,055.0","8,538.0","8,514.0","10,260.0","13,464.0","17,132.0","16,741.0","13,085.0","8,037.0"
"28","10","        Residential","B816RX1","1,669.0","1,431.0","1,503.0","1,511.0","1,681.0","1,431.0","1,588.0","1,373.0","1,581.0","1,727.0","1,235.0","1,598.0","1,417.0","1,024.0"
"29","11","        Industrial","B817RX1","367.0","417.0","592.0","846.0","819.0","539.0","395.0","359.0","355.0","580.0","771.0","703.0","746.0","624.0"
"30","12","        Military facilities \3\","B818RX1","6,411.0","6,289.0","5,602.0","6,297.0","7,204.0","7,056.0","6,474.0","6,748.0","8,298.0","11,147.0","15,126.0","14,441.0","10,931.0","6,407.0"
"31","13","      Net purchases of used structures","B819RX1","-6.0","-6.0","-6.0","-6.0","-6.0","-5.0","-5.0","-5.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"32","14","    Nondefense","A830RX1","16,815.0","12,612.0","11,830.0","14,178.0","14,325.0","12,662.0","9,705.0","10,486.0","11,893.0","11,404.0","12,018.0","16,082.0","16,327.0","13,495.0"
"33","15","      New","A831RX1","15,391.0","14,261.0","13,371.0","14,021.0","14,528.0","14,535.0","12,845.0","11,887.0","11,903.0","10,342.0","11,699.0","14,562.0","16,809.0","13,934.0"
"34","16","        Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","17","        Office","W182RX1","2,890.0","2,498.0","2,260.0","2,111.0","2,648.0","3,423.0","2,891.0","2,050.0","2,180.0","1,420.0","1,240.0","1,638.0","2,634.0","2,439.0"
"36","18","        Commercial","W183RX1","1,238.0","1,049.0","882.0","614.0","1,063.0","1,639.0","1,389.0","1,209.0","1,131.0","856.0","751.0","681.0","1,242.0","1,113.0"
"37","19","        Health care","W184RX1","1,241.0","1,078.0","964.0","1,142.0","903.0","792.0","755.0","759.0","985.0","902.0","1,763.0","2,214.0","2,674.0","2,552.0"
"38","20","        Educational","W185RX1","469.0","594.0","840.0","1,140.0","977.0","1,064.0","449.0","354.0","428.0","414.0","433.0","380.0","445.0","408.0"
"39","21","        Public safety","W186RX1","2,789.0","2,327.0","1,613.0","1,761.0","1,063.0","557.0","301.0","253.0","506.0","512.0","453.0","468.0","819.0","610.0"
"40","22","        Amusement and recreation","W187RX1","933.0","851.0","597.0","510.0","531.0","312.0","263.0","146.0","183.0","218.0","250.0","667.0","535.0","262.0"
"41","23","        Transportation","W188RX1","732.0","688.0","707.0","1,029.0","541.0","631.0","337.0","227.0","322.0","308.0","318.0","284.0","352.0","222.0"
"42","24","        Power","W189RX1","90.0","107.0","296.0","441.0","1,259.0","1,188.0","954.0","895.0","482.0","769.0","928.0","916.0","1,229.0","801.0"
"43","25","        Highways and streets","W190RX1","829.0","1,032.0","946.0","958.0","950.0","1,155.0","752.0","624.0","751.0","610.0","569.0","862.0","549.0","461.0"
"44","26","        Conservation and development","W191RX1","3,052.0","2,975.0","3,248.0","3,498.0","3,565.0","3,086.0","3,169.0","3,556.0","3,317.0","3,172.0","3,907.0","5,300.0","5,125.0","3,907.0"
"45","27","        Other \4\","W192RX1","1,009.0","1,027.0","1,070.0","937.0","1,124.0","902.0","1,658.0","1,853.0","1,626.0","1,174.0","1,087.0","1,159.0","1,285.0","1,259.0"
"46","28","      Net purchases of used structures","B841RX1","1,428.0","-1,742.0","-1,639.0","114.0","-260.0","-1,970.0","-3,208.0","-1,417.0","7.0","1,057.0","319.0","1,522.0","-494.0","-449.0"
"47","29","  State and local","A842RX1","269,877.0","284,692.0","300,776.0","313,190.0","313,874.0","308,020.0","296,203.0","296,462.0","292,546.0","291,856.0","289,775.0","279,461.0","255,924.0","243,692.0"
"48","30","    New","A843RX1","264,126.0","279,218.0","299,842.0","306,332.0","306,408.0","301,185.0","291,237.0","291,455.0","285,827.0","284,950.0","283,003.0","273,054.0","249,860.0","237,683.0"
"49","31","      Residential","W147RX1","6,394.0","5,635.0","6,321.0","6,546.0","6,359.0","6,407.0","6,110.0","4,220.0","4,664.0","4,595.0","5,710.0","7,746.0","6,137.0","4,783.0"
"50","32","      Office","W193RX1","22,364.0","24,406.0","26,977.0","28,971.0","27,966.0","27,754.0","25,765.0","19,955.0","20,488.0","21,016.0","21,336.0","20,853.0","18,084.0","15,223.0"
"51","33","      Commercial","W194RX1","370.0","340.0","411.0","423.0","350.0","376.0","428.0","363.0","420.0","492.0","504.0","434.0","400.0","400.0"
"52","34","      Health care","W195RX1","4,317.0","4,226.0","4,413.0","5,371.0","5,289.0","5,280.0","5,486.0","4,784.0","5,576.0","5,899.0","6,103.0","6,100.0","6,380.0","6,902.0"
"53","35","      Educational","W148RX1","69,593.0","74,344.0","80,422.0","83,063.0","84,353.0","84,135.0","83,437.0","88,810.0","86,340.0","88,183.0","82,808.0","72,707.0","67,774.0","63,424.0"
"54","36","      Public safety","W196RX1","6,486.0","6,406.0","6,128.0","5,636.0","4,925.0","4,797.0","4,454.0","3,879.0","4,514.0","4,649.0","4,725.0","4,487.0","4,577.0","4,668.0"
"55","37","      Amusement and recreation","W197RX1","7,329.0","8,606.0","9,171.0","9,108.0","7,924.0","7,667.0","7,692.0","6,295.0","7,138.0","7,431.0","7,706.0","7,200.0","6,552.0","6,568.0"
"56","38","      Transportation","W198RX1","20,101.0","25,400.0","27,037.0","27,879.0","28,308.0","26,578.0","23,535.0","18,358.0","18,553.0","19,306.0","21,396.0","21,180.0","19,131.0","19,178.0"
"57","39","      Power","W199RX1","5,021.0","5,863.0","5,774.0","5,987.0","8,767.0","7,213.0","7,579.0","8,975.0","11,683.0","10,229.0","11,214.0","10,049.0","8,431.0","8,508.0"
"58","40","      Highways and streets","W149RX1","92,751.0","95,245.0","102,433.0","98,347.0","95,757.0","94,853.0","91,339.0","92,592.0","82,523.0","80,103.0","80,384.0","80,686.0","75,311.0","72,820.0"
"59","41","      Sewer systems","W150RX1","13,902.0","13,134.0","14,662.0","16,306.0","17,113.0","17,627.0","17,445.0","22,307.0","21,760.0","22,005.0","21,104.0","21,563.0","18,876.0","17,493.0"
"60","42","      Water systems","W168RX1","13,092.0","12,580.0","13,941.0","15,529.0","15,578.0","15,452.0","15,085.0","18,751.0","17,514.0","17,222.0","16,779.0","16,508.0","14,051.0","13,259.0"
"61","43","      Conservation and development","W169RX1","3,296.0","4,039.0","3,566.0","3,112.0","3,028.0","3,266.0","3,095.0","2,804.0","3,597.0","3,506.0","3,141.0","3,046.0","3,297.0","3,475.0"
"62","44","      Other \5\","W200RX1","237.0","408.0","245.0","793.0","1,243.0","489.0","321.0","493.0","1,173.0","482.0","94.0","456.0","894.0","910.0"
"63","45","    Net purchases of used structures","B870RX1","5,819.0","5,626.0","1,770.0","6,834.0","7,347.0","6,804.0","5,215.0","5,250.0","6,731.0","6,904.0","6,772.0","6,405.0","6,069.0","6,026.0"
"64","46","Equipment","Y054RX1","77,344.0","79,758.0","83,095.0","92,549.0","98,049.0","105,419.0","111,353.0","122,538.0","130,990.0","147,176.0","148,263.0","150,998.0","144,752.0","144,517.0"
"65","47","  Federal","Y058RX1","46,755.0","47,253.0","49,707.0","58,589.0","63,745.0","71,108.0","76,621.0","84,862.0","87,708.0","101,683.0","103,718.0","108,798.0","103,295.0","103,156.0"
"66","48","    National defense","Y050RX1","37,015.0","38,320.0","41,373.0","48,048.0","52,629.0","59,033.0","62,691.0","68,620.0","72,322.0","84,354.0","86,029.0","89,671.0","84,886.0","83,856.0"
"67","49","      Aircraft","B874RX1","5,832.0","6,797.0","7,943.0","9,157.0","9,217.0","11,059.0","13,874.0","14,122.0","13,460.0","13,780.0","13,490.0","16,758.0","19,525.0","20,807.0"
"68","50","      Missiles","B875RX1","3,162.0","2,979.0","3,738.0","3,734.0","3,846.0","4,370.0","4,236.0","4,706.0","4,486.0","4,355.0","5,063.0","5,474.0","4,814.0","6,322.0"
"69","51","      Ships","B876RX1","8,690.0","8,271.0","9,063.0","10,836.0","11,671.0","11,837.0","11,275.0","11,721.0","10,953.0","11,273.0","11,142.0","11,520.0","10,883.0","10,999.0"
"70","52","      Vehicles","B877RX1","1,784.0","1,986.0","2,125.0","2,881.0","3,415.0","3,026.0","4,164.0","5,344.0","6,480.0","9,538.0","9,202.0","9,518.0","7,010.0","5,436.0"
"71","53","      Electronics","Y051RX1","2,518.0","2,800.0","2,949.0","3,428.0","4,178.0","4,908.0","5,832.0","7,369.0","9,641.0","13,024.0","13,234.0","12,744.0","10,679.0","9,457.0"
"72","54","      Other equipment","B879RX1","16,235.0","16,283.0","16,351.0","18,956.0","21,249.0","24,637.0","23,827.0","25,749.0","27,418.0","32,389.0","33,898.0","33,641.0","31,870.0","30,576.0"
"73","55","    Nondefense","Y066RX1","9,443.0","8,817.0","8,414.0","10,509.0","11,136.0","12,142.0","13,892.0","16,112.0","15,368.0","17,329.0","17,689.0","19,128.0","18,415.0","19,324.0"
"74","56","  State and local","Y070RX1","30,886.0","32,620.0","33,307.0","33,992.0","34,284.0","34,244.0","34,770.0","37,805.0","43,300.0","45,492.0","44,545.0","42,199.0","41,452.0","41,338.0"
"75","57","Intellectual property products \2\","Y055RX1","123,281.0","127,220.0","133,518.0","140,377.0","150,437.0","157,947.0","164,083.0","168,672.0","173,604.0","177,156.0","179,845.0","183,205.0","182,362.0","178,252.0"
"76","58","  Federal","Y059RX1","105,350.0","107,988.0","113,442.0","119,911.0","129,053.0","135,560.0","140,791.0","143,693.0","147,206.0","149,332.0","151,119.0","153,866.0","152,370.0","148,036.0"
"77","59","    National defense","Y052RX1","45,966.0","45,684.0","48,026.0","53,099.0","59,754.0","65,338.0","68,887.0","70,764.0","73,590.0","73,601.0","71,831.0","71,095.0","69,305.0","66,561.0"
"78","60","      Software","Y053RX1","6,313.0","6,238.0","5,904.0","5,776.0","5,643.0","5,909.0","6,118.0","6,319.0","6,588.0","6,880.0","6,836.0","7,341.0","7,635.0","7,693.0"
"79","61","      Research and development","Y076RX1","39,428.0","39,228.0","41,966.0","47,234.0","54,093.0","59,427.0","62,772.0","64,447.0","67,004.0","66,721.0","64,995.0","63,762.0","61,697.0","58,916.0"
"80","62","    Nondefense","Y067RX1","59,338.0","62,257.0","65,366.0","66,774.0","69,276.0","70,213.0","71,897.0","72,920.0","73,600.0","75,722.0","79,288.0","82,762.0","83,050.0","81,466.0"
"81","63","      Software","Y068RX1","11,373.0","12,188.0","12,808.0","11,522.0","11,572.0","11,972.0","12,863.0","13,475.0","14,394.0","15,201.0","14,996.0","16,040.0","16,740.0","17,190.0"
"82","64","      Research and development","Y069RX1","47,892.0","49,969.0","52,452.0","55,288.0","57,772.0","58,296.0","59,069.0","59,467.0","59,208.0","60,518.0","64,292.0","66,730.0","66,348.0","64,352.0"
"83","65","  State and local","Y071RX1","17,924.0","19,173.0","20,022.0","20,452.0","21,400.0","22,406.0","23,310.0","24,985.0","26,399.0","27,825.0","28,726.0","29,339.0","30,012.0","30,258.0"
"84","66","    Software","Y072RX1","8,592.0","9,201.0","9,439.0","9,206.0","9,737.0","10,427.0","10,852.0","11,309.0","11,714.0","12,211.0","12,224.0","12,270.0","12,809.0","13,450.0"
"85","67","    Research and development","Y073RX1","9,250.0","9,882.0","10,519.0","11,254.0","11,656.0","11,950.0","12,428.0","13,660.0","14,680.0","15,611.0","16,502.0","17,067.0","17,208.0","16,839.0"
"86","68","Residual","A967RX1","-12,700.0","-13,300.0","-15,800.0","-13,600.0","-11,500.0","-8,300.0","-4,800.0","-3,600.0","-1,000.0","-100.0","100.0","100.0","300.0","-100.0"
"87",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","69","  Government enterprise gross fixed investment","A882RX1","83,091.0","82,947.0","88,916.0","96,547.0","104,243.0","98,294.0","94,337.0","96,511.0","98,751.0","100,639.0","104,489.0","106,443.0","93,790.0","89,498.0"
"89","70","    Federal","A883RX1","9,153.0","6,382.0","6,103.0","6,242.0","7,359.0","6,234.0","7,885.0","7,694.0","7,211.0","8,084.0","7,578.0","9,534.0","7,900.0","6,918.0"
"90","71","      Structures","B884RX1","5,388.0","2,245.0","3,183.0","2,891.0","3,434.0","1,940.0","2,810.0","2,743.0","2,392.0","3,811.0","3,099.0","4,747.0","3,083.0","2,179.0"
