"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"20","1","    Gross domestic product","A191RX1","11,867,763.0","11,967,734.0","12,120,094.0","12,329,827.0","12,365,164.0","12,598,723.0","12,614,806.0","12,681,965.0","12,645,650.0","12,712,787.0","12,674,114.0","12,705,159.0","12,824,603.0","12,894,676.0","12,956,671.0","12,962,920.0","13,028,597.0","13,151,812.0","13,374,049.0","13,525,715.0","13,606,565.0","13,710,681.0","13,831,044.0","13,947,662.0","14,100,244.0","14,177,163.0","14,292,871.0","14,371,950.0","14,546,356.0","14,591,608.0","14,604,376.0","14,718,445.0","14,728,052.0","14,841,529.0","14,941,511.0","14,996,054.0","14,895,353.0","14,969,174.0","14,895,057.0","14,574,644.0","14,372,080.0","14,356,903.0","14,402,546.0","14,540,242.0","14,597,663.0","14,738,019.0","14,839,320.0","14,942,400.0","14,893,954.0","15,011,251.0","15,062,144.0","15,242,142.0","15,381,564.0","15,427,670.0","15,533,985.0","15,539,628.0","15,583,948.0","15,679,677.0","15,839,347.0","15,932,919.0"
"21","2","Personal consumption expenditures","DPCERX1","7,625,793.0","7,744,116.0","7,836,779.0","7,945,880.0","8,067,126.0","8,142,119.0","8,223,072.0","8,296,085.0","8,325,661.0","8,348,298.0","8,376,342.0","8,499,765.0","8,527,033.0","8,572,246.0","8,633,030.0","8,669,144.0","8,712,187.0","8,810,052.0","8,938,165.0","9,004,276.0","9,096,346.0","9,152,393.0","9,239,311.0","9,334,528.0","9,409,522.0","9,507,842.0","9,578,935.0","9,614,865.0","9,722,668.0","9,774,239.0","9,833,395.0","9,929,196.0","9,987,130.0","10,020,409.0","10,060,113.0","10,074,508.0","10,054,055.0","10,073,002.0","9,993,727.0","9,876,187.0","9,843,628.0","9,801,543.0","9,862,679.0","9,863,905.0","9,915,428.0","9,995,295.0","10,063,713.0","10,168,988.0","10,221,298.0","10,258,934.0","10,311,937.0","10,373,065.0","10,447,786.0","10,496,845.0","10,540,988.0","10,584,803.0","10,643,994.0","10,691,916.0","10,744,164.0","10,812,055.0"
"22","3","  Goods","DGDSRX1","2,393,599.0","2,449,834.0","2,478,775.0","2,521,287.0","2,559,102.0","2,572,582.0","2,599,387.0","2,621,931.0","2,628,045.0","2,635,071.0","2,653,920.0","2,749,540.0","2,742,596.0","2,753,580.0","2,788,314.0","2,796,217.0","2,811,721.0","2,872,229.0","2,953,462.0","2,980,393.0","3,012,806.0","3,029,450.0","3,066,039.0","3,099,389.0","3,136,535.0","3,177,837.0","3,195,493.0","3,198,775.0","3,262,214.0","3,267,844.0","3,294,479.0","3,345,579.0","3,363,481.0","3,376,314.0","3,392,331.0","3,394,925.0","3,348,724.0","3,360,387.0","3,296,562.0","3,185,498.0","3,188,798.0","3,166,888.0","3,222,890.0","3,215,201.0","3,246,978.0","3,288,034.0","3,319,130.0","3,380,462.0","3,402,845.0","3,404,623.0","3,415,206.0","3,457,013.0","3,495,841.0","3,514,746.0","3,546,689.0","3,579,176.0","3,611,943.0","3,639,602.0","3,680,036.0","3,708,822.0"
"23","4","    Durable goods","DDURRX1","664,025.0","695,778.0","712,454.0","720,989.0","761,222.0","747,154.0","759,844.0","765,106.0","777,690.0","777,013.0","785,934.0","851,425.0","840,968.0","849,219.0","874,118.0","862,044.0","864,685.0","904,370.0","944,695.0","956,807.0","972,679.0","982,167.0","1,001,345.0","1,015,506.0","1,026,252.0","1,055,365.0","1,067,330.0","1,038,837.0","1,081,348.0","1,080,152.0","1,095,075.0","1,109,606.0","1,122,037.0","1,138,252.0","1,150,899.0","1,155,460.0","1,122,489.0","1,118,994.0","1,084,703.0","1,006,754.0","1,008,610.0","1,002,566.0","1,050,555.0","1,031,542.0","1,045,163.0","1,076,300.0","1,093,761.0","1,127,409.0","1,142,338.0","1,139,996.0","1,154,422.0","1,191,689.0","1,219,744.0","1,228,597.0","1,253,399.0","1,285,199.0","1,303,494.0","1,323,245.0","1,348,576.0","1,357,016.0"
"24","5","      Motor vehicles and parts","DMOTRX1","320,664.0","343,486.0","344,517.0","334,334.0","362,723.0","336,659.0","342,687.0","343,673.0","353,227.0","347,326.0","351,460.0","404,553.0","375,776.0","377,863.0","401,703.0","377,911.0","377,403.0","393,801.0","406,582.0","400,511.0","402,409.0","401,972.0","407,284.0","410,304.0","401,196.0","414,390.0","416,623.0","367,774.0","382,073.0","381,919.0","388,514.0","388,023.0","390,477.0","396,212.0","393,296.0","391,170.0","371,918.0","355,180.0","337,369.0","298,790.0","307,597.0","308,944.0","342,159.0","309,531.0","306,206.0","319,712.0","325,749.0","341,956.0","345,233.0","330,007.0","331,324.0","351,050.0","360,325.0","356,314.0","363,457.0","375,813.0","380,566.0","379,720.0","384,342.0","383,567.0"
"25","6","      Furnishings and durable household equipment","DFDHRX1","164,177.0","168,065.0","173,615.0","179,079.0","183,579.0","187,110.0","189,592.0","190,707.0","193,558.0","195,296.0","197,175.0","203,146.0","209,596.0","211,393.0","211,098.0","214,708.0","213,971.0","223,393.0","232,557.0","237,253.0","241,873.0","245,802.0","251,341.0","254,290.0","257,752.0","261,922.0","266,764.0","272,910.0","280,314.0","276,953.0","278,274.0","277,654.0","281,323.0","279,621.0","280,672.0","280,157.0","273,271.0","276,586.0","267,208.0","253,613.0","245,184.0","240,874.0","243,576.0","247,609.0","253,974.0","261,398.0","262,690.0","267,944.0","269,580.0","273,362.0","276,952.0","283,989.0","289,466.0","290,134.0","294,128.0","297,335.0","300,346.0","306,896.0","316,590.0","318,549.0"
"26","7","      Recreational goods and vehicles","DREQRX1","105,317.0","110,333.0","115,722.0","121,013.0","128,519.0","130,169.0","133,360.0","136,137.0","138,161.0","141,899.0","144,888.0","151,863.0","157,112.0","159,357.0","161,397.0","164,740.0","167,480.0","175,943.0","187,619.0","195,297.0","200,794.0","206,231.0","212,565.0","217,717.0","227,723.0","236,189.0","240,097.0","246,538.0","261,175.0","263,603.0","269,375.0","281,000.0","286,066.0","293,508.0","304,723.0","311,590.0","308,154.0","318,108.0","312,767.0","295,939.0","298,585.0","294,740.0","305,759.0","316,017.0","324,073.0","333,828.0","340,970.0","348,343.0","357,310.0","365,217.0","374,121.0","385,362.0","395,581.0","404,920.0","416,111.0","426,788.0","435,151.0","447,321.0","460,112.0","464,075.0"
"27","8","      Other durable goods","DODGRX1","102,032.0","103,403.0","106,508.0","111,979.0","112,550.0","116,150.0","116,813.0","116,075.0","114,495.0","111,745.0","110,988.0","114,444.0","117,372.0","119,371.0","120,239.0","122,541.0","122,724.0","128,563.0","134,538.0","138,700.0","142,074.0","141,313.0","142,603.0","145,103.0","149,543.0","152,350.0","152,976.0","158,434.0","163,838.0","163,156.0","163,951.0","166,763.0","167,661.0","172,113.0","174,619.0","174,392.0","170,591.0","169,746.0","167,615.0","158,034.0","156,921.0","157,765.0","158,909.0","159,102.0","162,206.0","162,489.0","165,418.0","169,391.0","170,750.0","174,136.0","175,610.0","174,192.0","177,451.0","181,944.0","185,019.0","190,136.0","192,834.0","196,830.0","196,925.0","200,784.0"
"28","9","    Nondurable goods","DNDGRX1","1,780,218.0","1,796,766.0","1,805,080.0","1,841,834.0","1,825,701.0","1,862,049.0","1,874,305.0","1,892,339.0","1,881,040.0","1,889,822.0","1,898,574.0","1,914,659.0","1,921,736.0","1,922,707.0","1,927,430.0","1,952,556.0","1,965,967.0","1,980,296.0","2,016,969.0","2,030,935.0","2,046,289.0","2,052,617.0","2,068,522.0","2,087,172.0","2,114,017.0","2,123,202.0","2,127,909.0","2,164,197.0","2,182,086.0","2,189,304.0","2,200,274.0","2,237,006.0","2,241,568.0","2,237,132.0","2,240,189.0","2,238,413.0","2,226,156.0","2,241,750.0","2,212,166.0","2,178,566.0","2,180,158.0","2,164,376.0","2,172,498.0","2,183,471.0","2,201,628.0","2,212,076.0","2,225,986.0","2,254,452.0","2,262,573.0","2,266,470.0","2,263,806.0","2,271,034.0","2,283,621.0","2,293,949.0","2,302,958.0","2,306,652.0","2,322,213.0","2,331,664.0","2,348,552.0","2,368,694.0"
"29","10","      Food and beverages purchased for off-premises consumption","DFXARX1","657,368.0","664,160.0","670,148.0","680,818.0","674,406.0","684,742.0","686,015.0","693,031.0","690,910.0","695,842.0","693,794.0","695,352.0","692,995.0","694,443.0","697,314.0","703,373.0","708,922.0","707,928.0","718,735.0","717,442.0","724,510.0","725,121.0","730,823.0","738,611.0","749,982.0","752,813.0","759,337.0","768,319.0","771,637.0","779,102.0","780,806.0","791,738.0","793,152.0","789,122.0","789,788.0","793,064.0","789,279.0","792,690.0","782,239.0","763,257.0","761,448.0","767,189.0","771,896.0","779,300.0","786,130.0","780,569.0","783,831.0","795,354.0","797,767.0","800,680.0","798,798.0","798,078.0","803,816.0","808,441.0","811,738.0","813,531.0","817,573.0","815,315.0","820,824.0","827,590.0"
"30","11","      Clothing and footwear","DCLORX1","240,668.0","242,744.0","244,358.0","244,989.0","248,981.0","254,374.0","257,151.0","259,325.0","255,164.0","256,830.0","256,528.0","260,953.0","263,899.0","263,976.0","262,420.0","270,618.0","269,692.0","276,913.0","283,003.0","283,664.0","290,795.0","287,376.0","290,329.0","296,149.0","300,171.0","306,489.0","305,668.0","314,753.0","316,629.0","314,417.0","317,703.0","321,032.0","323,087.0","322,893.0","325,434.0","324,191.0","321,616.0","331,113.0","324,243.0","312,274.0","308,498.0","302,726.0","305,931.0","308,840.0","315,859.0","321,042.0","321,801.0","331,955.0","333,983.0","337,980.0","332,162.0","335,674.0","339,651.0","336,259.0","340,543.0","339,033.0","340,514.0","345,451.0","341,745.0","345,963.0"
"31","12","      Gasoline and other energy goods","DGOERX1","299,488.0","305,757.0","301,565.0","302,474.0","290,983.0","295,950.0","296,593.0","294,216.0","294,966.0","290,628.0","295,398.0","295,615.0","293,942.0","296,397.0","297,524.0","297,910.0","294,844.0","293,973.0","297,378.0","300,837.0","299,788.0","300,271.0","298,364.0","298,738.0","304,202.0","296,762.0","292,330.0","298,692.0","296,252.0","294,056.0","296,101.0","303,307.0","301,631.0","297,659.0","295,463.0","292,599.0","290,164.0","285,759.0","275,861.0","281,827.0","291,862.0","284,742.0","282,297.0","279,098.0","279,326.0","282,543.0","284,191.0","282,822.0","280,419.0","273,845.0","273,574.0","273,046.0","269,920.0","274,726.0","272,466.0","268,760.0","271,725.0","271,130.0","273,245.0","273,708.0"
"32","13","      Other nondurable goods","DONGRX1","596,017.0","599,230.0","601,932.0","626,123.0","618,857.0","634,054.0","640,738.0","650,819.0","646,455.0","651,524.0","658,886.0","667,322.0","673,774.0","671,748.0","674,635.0","682,835.0","693,778.0","700,677.0","716,141.0","727,595.0","728,404.0","737,655.0","746,132.0","750,186.0","756,258.0","762,684.0","766,780.0","777,918.0","793,810.0","799,046.0","802,717.0","817,797.0","820,779.0","825,101.0","827,531.0","827,194.0","823,730.0","833,296.0","834,300.0","821,943.0","818,972.0","809,401.0","811,931.0","816,373.0","821,028.0","828,417.0","836,621.0","845,831.0","852,780.0","859,232.0","864,294.0","869,969.0","878,170.0","880,871.0","886,086.0","895,164.0","901,786.0","910,017.0","923,013.0","932,603.0"
"33","14","  Services","DSERRX1","5,253,000.0","5,310,972.0","5,375,014.0","5,440,045.0","5,523,947.0","5,587,952.0","5,641,897.0","5,692,436.0","5,716,324.0","5,731,854.0","5,739,217.0","5,757,613.0","5,794,649.0","5,829,633.0","5,853,537.0","5,882,148.0","5,909,200.0","5,943,034.0","5,985,768.0","6,024,465.0","6,084,070.0","6,123,749.0","6,173,440.0","6,235,171.0","6,271,944.0","6,328,258.0","6,382,134.0","6,415,415.0","6,457,824.0","6,504,468.0","6,536,521.0","6,580,240.0","6,620,316.0","6,640,716.0","6,664,335.0","6,676,270.0","6,703,598.0","6,710,570.0","6,696,621.0","6,691,737.0","6,655,296.0","6,634,652.0","6,639,525.0","6,648,506.0","6,668,343.0","6,707,235.0","6,744,608.0","6,788,523.0","6,818,228.0","6,854,132.0","6,896,632.0","6,915,511.0","6,951,205.0","6,981,360.0","6,993,443.0","7,004,680.0","7,031,100.0","7,051,472.0","7,063,634.0","7,102,839.0"
"34","15","    Household consumption expenditures (for services)","DHCERX1","5,115,790.0","5,172,694.0","5,235,822.0","5,298,982.0","5,377,177.0","5,440,774.0","5,487,461.0","5,532,097.0","5,554,936.0","5,565,795.0","5,569,165.0","5,582,763.0","5,615,734.0","5,644,135.0","5,658,520.0","5,681,233.0","5,708,246.0","5,738,739.0","5,780,675.0","5,819,217.0","5,875,257.0","5,915,994.0","5,966,642.0","6,028,850.0","6,073,665.0","6,124,366.0","6,177,130.0","6,198,315.0","6,231,223.0","6,269,238.0","6,296,870.0","6,342,485.0","6,381,627.0","6,405,357.0","6,425,047.0","6,424,811.0","6,444,799.0","6,441,314.0","6,418,697.0","6,403,718.0","6,376,214.0","6,361,763.0","6,366,342.0","6,369,592.0","6,389,203.0","6,425,634.0","6,467,125.0","6,513,546.0","6,544,485.0","6,578,784.0","6,610,136.0","6,634,727.0","6,667,980.0","6,688,315.0","6,698,036.0","6,703,226.0","6,743,181.0","6,766,101.0","6,775,156.0","6,812,987.0"
"35","16","      Housing and utilities","DHUTRX1","1,531,197.0","1,546,073.0","1,562,209.0","1,562,348.0","1,570,511.0","1,592,101.0","1,606,656.0","1,632,833.0","1,641,322.0","1,639,633.0","1,646,294.0","1,644,905.0","1,644,706.0","1,651,617.0","1,654,422.0","1,664,544.0","1,668,048.0","1,673,011.0","1,675,315.0","1,687,556.0","1,698,335.0","1,710,582.0","1,720,338.0","1,742,366.0","1,760,857.0","1,782,259.0","1,802,123.0","1,808,224.0","1,803,771.0","1,824,542.0","1,835,961.0","1,828,474.0","1,837,500.0","1,840,125.0","1,845,439.0","1,840,048.0","1,854,624.0","1,860,228.0","1,854,743.0","1,870,817.0","1,874,043.0","1,877,955.0","1,881,417.0","1,890,556.0","1,897,157.0","1,896,528.0","1,906,495.0","1,916,842.0","1,918,871.0","1,925,078.0","1,937,327.0","1,932,353.0","1,927,801.0","1,949,202.0","1,955,465.0","1,941,917.0","1,964,472.0","1,964,791.0","1,952,595.0","1,957,548.0"
"36","17","      Health care","DHLCRX1","1,167,289.0","1,171,920.0","1,181,428.0","1,192,613.0","1,199,568.0","1,215,413.0","1,223,682.0","1,236,585.0","1,254,419.0","1,268,636.0","1,287,347.0","1,307,909.0","1,333,862.0","1,353,259.0","1,363,879.0","1,371,309.0","1,379,637.0","1,386,684.0","1,397,204.0","1,406,561.0","1,416,198.0","1,432,786.0","1,453,037.0","1,467,043.0","1,473,802.0","1,483,295.0","1,501,563.0","1,503,115.0","1,511,958.0","1,519,805.0","1,527,960.0","1,541,257.0","1,549,487.0","1,556,273.0","1,570,401.0","1,576,769.0","1,593,680.0","1,596,752.0","1,600,080.0","1,604,790.0","1,616,025.0","1,628,555.0","1,634,899.0","1,630,042.0","1,626,026.0","1,640,900.0","1,657,072.0","1,672,761.0","1,681,699.0","1,692,690.0","1,689,212.0","1,709,559.0","1,730,073.0","1,731,353.0","1,741,108.0","1,750,936.0","1,756,469.0","1,771,922.0","1,783,855.0","1,791,576.0"
"37","18","      Transportation services","DTRSRX1","310,529.0","314,364.0","320,654.0","324,309.0","328,635.0","332,272.0","334,500.0","335,721.0","336,180.0","334,717.0","328,462.0","322,770.0","323,324.0","320,300.0","319,786.0","319,871.0","321,660.0","320,561.0","323,811.0","325,761.0","329,028.0","331,804.0","331,776.0","333,485.0","333,905.0","334,982.0","335,934.0","333,987.0","333,245.0","335,219.0","335,063.0","338,587.0","340,306.0","340,336.0","338,947.0","336,445.0","332,118.0","326,510.0","319,565.0","306,938.0","296,540.0","291,074.0","286,952.0","284,213.0","284,593.0","286,171.0","288,039.0","289,634.0","290,431.0","293,785.0","296,062.0","296,965.0","296,549.0","298,046.0","298,774.0","298,590.0","300,760.0","300,824.0","299,268.0","299,959.0"
"38","19","      Recreation services","DRCARX1","308,883.0","313,772.0","320,533.0","324,116.0","323,830.0","326,596.0","327,077.0","326,321.0","328,928.0","325,533.0","323,721.0","323,508.0","325,551.0","326,059.0","326,943.0","330,647.0","330,460.0","335,647.0","341,109.0","346,194.0","351,576.0","355,220.0","357,794.0","358,556.0","362,436.0","364,471.0","364,514.0","367,279.0","372,191.0","374,357.0","377,088.0","386,071.0","388,818.0","390,514.0","394,570.0","394,393.0","393,155.0","392,505.0","387,678.0","382,548.0","378,954.0","375,332.0","373,619.0","376,095.0","379,061.0","377,044.0","382,389.0","385,330.0","383,107.0","388,664.0","391,334.0","392,082.0","394,022.0","394,362.0","395,422.0","393,725.0","396,052.0","395,115.0","399,169.0","400,736.0"
"39","20","      Food services and accommodations","DFSARX1","505,058.0","508,101.0","510,137.0","522,147.0","530,671.0","535,332.0","537,191.0","535,405.0","539,347.0","534,019.0","531,047.0","530,199.0","538,001.0","542,024.0","543,001.0","543,842.0","547,762.0","558,004.0","567,440.0","573,195.0","579,419.0","580,249.0","585,542.0","591,618.0","595,002.0","603,596.0","607,795.0","614,014.0","623,083.0","619,646.0","623,260.0","632,677.0","629,809.0","631,253.0","631,878.0","637,427.0","628,991.0","632,440.0","626,274.0","616,730.0","605,802.0","599,860.0","598,221.0","597,450.0","603,084.0","607,698.0","611,323.0","616,319.0","624,173.0","631,641.0","636,906.0","643,430.0","650,207.0","654,143.0","656,194.0","666,584.0","670,652.0","671,926.0","672,813.0","685,808.0"
"40","21","      Financial services and insurance","DIFSRX1","576,227.0","590,822.0","603,819.0","623,803.0","655,197.0","656,505.0","660,831.0","664,410.0","654,415.0","647,606.0","638,473.0","643,403.0","640,190.0","639,920.0","643,623.0","642,983.0","637,227.0","640,152.0","644,969.0","649,972.0","659,846.0","661,864.0","669,043.0","684,180.0","691,660.0","703,233.0","710,515.0","710,937.0","718,508.0","718,406.0","717,370.0","725,975.0","735,366.0","743,218.0","747,002.0","744,559.0","742,299.0","738,315.0","738,863.0","730,214.0","723,790.0","719,028.0","719,201.0","713,802.0","721,467.0","736,148.0","735,415.0","742,686.0","750,683.0","751,370.0","762,775.0","759,031.0","757,195.0","751,065.0","738,117.0","737,701.0","747,589.0","754,935.0","758,316.0","765,821.0"
"41","22","      Other services","DOTSRX1","719,448.0","729,084.0","737,436.0","747,869.0","763,601.0","778,550.0","794,009.0","797,791.0","798,714.0","815,593.0","814,872.0","810,953.0","811,618.0","812,875.0","808,555.0","809,911.0","826,370.0","827,555.0","833,701.0","832,696.0","843,225.0","846,064.0","851,433.0","853,030.0","857,107.0","853,017.0","855,010.0","861,256.0","868,621.0","877,729.0","880,974.0","890,087.0","900,507.0","903,326.0","896,154.0","894,703.0","899,721.0","894,506.0","891,211.0","891,575.0","881,032.0","869,930.0","872,010.0","877,513.0","877,984.0","880,983.0","886,333.0","889,817.0","895,093.0","895,129.0","896,063.0","900,624.0","911,190.0","909,811.0","913,186.0","913,599.0","907,061.0","906,197.0","908,466.0","910,566.0"
