"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,932,600.0","1,930,412.0","1,928,448.0","1,958,807.0","1,987,606.0","2,019,889.0","2,031,179.0","2,033,347.0","2,005,563.0","1,998,835.0","2,020,825.0","2,002,702.0","2,082,538.0","2,145,515.0","2,228,210.0","2,271,243.0","2,302,318.0","2,342,254.0","2,390,499.0","2,395,791.0","2,421,120.0","2,426,174.0","2,443,725.0","2,523,927.0","2,570,898.0","2,590,964.0","2,576,444.0","2,537,344.0","2,525,611.0","2,528,252.0","2,556,931.0","2,606,758.0","2,681,180.0","2,724,825.0","2,761,467.0","2,778,087.0","2,767,370.0","2,790,190.0","2,787,910.0","2,833,517.0","2,851,778.0","2,845,453.0","2,873,169.0","2,843,718.0","2,770,000.0","2,788,278.0","2,852,741.0","2,919,470.0","2,973,782.0","3,046,096.0","3,040,235.0","3,052,194.0","3,120,195.0","3,108,361.0","3,116,104.0","3,078,384.0","3,099,314.0","3,156,922.0","3,209,561.0","3,274,610.0","3,333,591.0","3,369,510.0","3,401,609.0","3,414,802.0","3,452,806.0","3,497,818.0","3,566,096.0","3,591,546.0","3,669,226.0","3,712,856.0","3,763,277.0","3,776,627.0","3,869,782.0","3,922,689.0","4,002,358.0","4,096,741.0","4,197,921.0","4,215,116.0","4,245,170.0","4,281,583.0","4,320,947.0","4,324,696.0","4,362,001.0","4,397,108.0","4,486,382.0","4,562,157.0","4,594,968.0","4,615,388.0","4,687,098.0","4,702,124.0"
"21","2","Less: Exports of goods and services","A020RX1","90,660.0","89,517.0","84,974.0","75,347.0","71,910.0","65,188.0","66,720.0","64,368.0","72,071.0","71,453.0","65,484.0","56,686.0","55,751.0","56,425.0","57,888.0","62,580.0","65,708.0","72,174.0","73,947.0","73,253.0","77,152.0","68,671.0","63,248.0","63,681.0","62,604.0","62,995.0","65,520.0","63,360.0","60,519.0","69,213.0","66,989.0","70,074.0","72,677.0","70,983.0","75,641.0","75,982.0","79,588.0","84,951.0","87,779.0","91,715.0","97,695.0","94,799.0","92,144.0","89,389.0","80,517.0","80,898.0","81,153.0","80,896.0","86,253.0","89,120.0","91,947.0","89,488.0","100,697.0","107,098.0","104,395.0","106,559.0","105,827.0","104,356.0","103,789.0","106,998.0","106,736.0","116,979.0","110,438.0","108,052.0","110,583.0","123,525.0","116,926.0","122,793.0","130,319.0","132,473.0","131,452.0","135,371.0","120,767.0","143,441.0","135,226.0","145,025.0","142,475.0","148,720.0","143,133.0","147,861.0","150,704.0","149,338.0","145,708.0","149,859.0","154,212.0","157,280.0","166,525.0","164,403.0","144,673.0","177,106.0"
"22","3","Plus: Imports of goods and services","A021RX1","54,807.0","55,863.0","49,542.0","52,214.0","58,879.0","61,214.0","64,410.0","63,364.0","61,464.0","60,567.0","58,099.0","58,974.0","60,622.0","63,968.0","78,937.0","79,085.0","79,090.0","76,469.0","69,993.0","68,162.0","76,071.0","75,678.0","80,308.0","87,508.0","85,351.0","89,778.0","89,436.0","85,036.0","80,126.0","87,332.0","82,064.0","82,843.0","87,738.0","92,713.0","94,273.0","97,689.0","101,790.0","101,261.0","102,140.0","97,453.0","105,204.0","106,025.0","103,982.0","104,340.0","105,894.0","110,420.0","108,741.0","114,427.0","117,383.0","123,058.0","124,213.0","121,057.0","125,646.0","126,591.0","122,865.0","117,070.0","116,501.0","117,921.0","125,730.0","128,720.0","132,638.0","135,533.0","137,252.0","138,930.0","135,714.0","138,909.0","142,435.0","141,968.0","141,835.0","145,028.0","148,920.0","152,947.0","147,442.0","164,842.0","165,518.0","173,594.0","178,068.0","182,496.0","192,732.0","194,902.0","197,945.0","196,372.0","198,951.0","209,443.0","221,783.0","225,166.0","238,698.0","236,687.0","214,362.0","256,654.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,889,200.0","1,889,976.0","1,888,177.0","1,939,693.0","1,983,236.0","2,030,951.0","2,043,563.0","2,048,533.0","2,005,060.0","1,998,209.0","2,027,526.0","2,024,092.0","2,108,880.0","2,176,016.0","2,276,192.0","2,313,053.0","2,340,045.0","2,366,920.0","2,404,184.0","2,408,270.0","2,438,394.0","2,457,026.0","2,489,834.0","2,580,033.0","2,626,889.0","2,652,155.0","2,632,770.0","2,590,939.0","2,577,456.0","2,575,241.0","2,601,489.0","2,648,379.0","2,726,183.0","2,779,413.0","2,811,361.0","2,831,879.0","2,820,179.0","2,834,402.0","2,828,674.0","2,863,430.0","2,881,836.0","2,880,930.0","2,911,037.0","2,885,675.0","2,825,860.0","2,848,960.0","2,912,663.0","2,987,476.0","3,038,088.0","3,113,875.0","3,104,899.0","3,117,418.0","3,174,970.0","3,154,213.0","3,162,185.0","3,114,093.0","3,135,983.0","3,198,683.0","3,261,806.0","3,326,707.0","3,391,658.0","3,416,011.0","3,460,472.0","3,479,295.0","3,511,035.0","3,541,193.0","3,624,534.0","3,641,392.0","3,709,582.0","3,754,406.0","3,811,570.0","3,823,718.0","3,935,018.0","3,973,541.0","4,068,061.0","4,158,621.0","4,270,621.0","4,283,606.0","4,333,483.0","4,365,932.0","4,405,110.0","4,409,384.0","4,455,748.0","4,496,207.0","4,593,721.0","4,670,252.0","4,703,741.0","4,725,808.0","4,806,171.0","4,815,829.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","149,279.0","156,537.0","153,835.0","136,751.0","129,568.0","115,273.0","114,430.0","108,649.0","119,856.0","117,285.0","106,563.0","91,192.0","88,443.0","89,266.0","90,465.0","97,910.0","105,217.0","118,997.0","125,092.0","124,415.0","127,725.0","112,994.0","103,189.0","103,449.0","102,034.0","102,293.0","105,669.0","101,427.0","95,963.0","109,119.0","105,461.0","110,129.0","114,188.0","111,392.0","118,500.0","119,064.0","124,446.0","132,953.0","137,455.0","144,416.0","154,325.0","149,897.0","145,070.0","139,807.0","123,729.0","123,312.0","123,315.0","122,965.0","129,678.0","133,781.0","138,623.0","135,812.0","152,767.0","161,616.0","157,570.0","159,592.0","159,074.0","158,718.0","157,227.0","162,960.0","162,103.0","175,401.0","165,119.0","161,371.0","164,523.0","183,323.0","172,879.0","180,512.0","191,251.0","193,717.0","192,876.0","200,017.0","181,830.0","214,267.0","201,221.0","213,468.0","211,994.0","221,074.0","213,494.0","222,614.0","230,088.0","226,362.0","218,652.0","223,737.0","229,422.0","236,312.0","244,603.0","239,809.0","212,148.0","256,681.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","61,022.0","65,860.0","60,662.0","64,723.0","73,711.0","75,906.0","77,668.0","75,211.0","71,577.0","70,189.0","67,463.0","68,573.0","71,795.0","76,913.0","95,911.0","99,024.0","103,979.0","105,493.0","99,161.0","95,741.0","102,281.0","99,698.0","103,216.0","110,285.0","106,533.0","110,715.0","109,371.0","103,667.0","98,331.0","107,433.0","101,648.0","102,535.0","106,889.0","112,411.0","113,772.0","117,507.0","121,619.0","120,799.0","121,273.0","116,075.0","124,481.0","124,683.0","120,665.0","119,232.0","117,228.0","120,485.0","118,189.0","124,520.0","127,269.0","133,710.0","135,090.0","132,434.0","136,801.0","137,273.0","133,306.0","126,101.0","125,490.0","126,706.0","134,657.0","137,517.0","139,450.0","142,249.0","143,221.0","145,363.0","142,541.0","146,381.0","150,773.0","150,094.0","150,684.0","154,350.0","157,542.0","161,663.0","156,529.0","173,446.0","174,520.0","183,643.0","188,235.0","193,184.0","201,829.0","203,744.0","206,226.0","202,861.0","203,730.0","212,321.0","223,878.0","226,620.0","238,238.0","234,608.0","211,326.0","250,760.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,972,746.0","1,977,219.0","1,979,969.0","2,018,457.0","2,038,641.0","2,064,037.0","2,076,147.0","2,085,018.0","2,052,296.0","2,036,520.0","2,063,030.0","2,043,856.0","2,125,006.0","2,186,076.0","2,270,324.0","2,317,839.0","2,352,713.0","2,394,103.0","2,437,664.0","2,440,287.0","2,462,994.0","2,462,950.0","2,491,319.0","2,572,827.0","2,620,181.0","2,640,511.0","2,627,108.0","2,583,973.0","2,567,575.0","2,567,127.0","2,600,985.0","2,655,228.0","2,735,235.0","2,776,128.0","2,814,254.0","2,840,738.0","2,830,752.0","2,844,555.0","2,847,025.0","2,887,812.0","2,914,327.0","2,908,477.0","2,932,767.0","2,888,684.0","2,822,092.0","2,837,546.0","2,913,877.0","2,992,241.0","3,039,919.0","3,109,293.0","3,102,522.0","3,115,029.0","3,191,876.0","3,176,243.0","3,181,348.0","3,138,111.0","3,163,233.0","3,225,226.0","3,280,354.0","3,350,858.0","3,413,508.0","3,444,578.0","3,476,737.0","3,488,375.0","3,524,278.0","3,572,427.0","3,641,584.0","3,672,469.0","3,748,586.0","3,789,814.0","3,839,299.0","3,855,491.0","3,956,225.0","4,009,790.0","4,087,420.0","4,182,189.0","4,289,441.0","4,302,682.0","4,340,015.0","4,380,720.0","4,424,682.0","4,424,624.0","4,464,910.0","4,502,062.0","4,594,341.0","4,671,994.0","4,703,235.0","4,724,907.0","4,802,293.0","4,814,931.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,719.0","12,525.0","12,603.0","13,895.0","14,736.0","15,308.0","15,837.0","15,185.0","15,293.0","14,811.0","14,646.0","13,636.0","14,630.0","15,399.0","17,426.0","17,308.0","16,787.0","19,183.0","19,818.0","20,558.0","19,242.0","19,708.0","19,391.0","19,281.0","19,054.0","19,973.0","18,484.0","18,879.0","19,660.0","19,556.0","19,740.0","21,767.0","22,463.0","22,769.0","23,125.0","23,529.0","25,506.0","25,054.0","25,781.0","23,383.0","26,506.0","28,055.0","27,238.0","22,894.0","23,415.0","23,203.0","22,986.0","23,232.0","23,567.0","24,062.0","25,868.0","27,530.0","28,015.0","28,046.0","28,748.0","29,330.0","30,708.0","29,745.0","30,689.0","31,514.0","30,993.0","33,332.0","33,702.0","37,647.0","36,330.0","35,886.0","36,932.0","38,208.0","40,706.0","39,905.0","40,748.0","39,448.0","43,586.0","44,846.0","42,978.0","40,686.0","41,957.0","42,304.0","42,670.0","44,497.0","44,208.0","43,250.0","46,014.0","46,010.0","47,984.0","49,834.0","51,307.0","51,217.0","53,474.0","54,912.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,782.0","3,733.0","3,649.0","4,311.0","4,082.0","4,122.0","4,821.0","4,257.0","4,964.0","4,850.0","5,036.0","5,091.0","5,350.0","5,504.0","5,600.0","5,666.0","6,036.0","6,095.0","5,987.0","5,831.0","5,559.0","5,949.0","5,976.0","6,195.0","6,185.0","6,159.0","6,352.0","6,658.0","6,354.0","6,293.0","6,204.0","6,228.0","6,445.0","7,002.0","7,145.0","7,131.0","7,185.0","6,984.0","7,300.0","7,356.0","7,401.0","7,344.0","7,498.0","7,506.0","7,568.0","7,034.0","7,389.0","7,774.0","8,203.0","8,642.0","9,151.0","9,698.0","10,821.0","10,465.0","10,313.0","9,866.0","9,989.0","10,073.0","10,472.0","10,791.0","10,341.0","10,512.0","10,597.0","10,736.0","10,822.0","11,365.0","11,874.0","12,271.0","12,455.0","12,765.0","12,773.0","13,514.0","13,691.0","13,961.0","14,357.0","14,790.0","15,069.0","15,374.0","16,407.0","16,880.0","16,903.0","16,839.0","16,703.0","17,545.0","18,652.0","19,895.0","20,431.0","20,675.0","22,916.0","25,580.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,980,683.0","1,986,010.0","1,988,922.0","2,028,041.0","2,049,295.0","2,075,223.0","2,087,163.0","2,095,946.0","2,062,626.0","2,046,482.0","2,072,640.0","2,052,401.0","2,134,285.0","2,195,971.0","2,282,150.0","2,329,482.0","2,363,463.0","2,407,191.0","2,451,495.0","2,455,014.0","2,476,676.0","2,476,709.0","2,504,733.0","2,585,913.0","2,633,050.0","2,654,325.0","2,639,241.0","2,596,193.0","2,580,881.0","2,580,390.0","2,614,522.0","2,670,767.0","2,751,252.0","2,791,895.0","2,830,235.0","2,857,136.0","2,849,073.0","2,862,624.0","2,865,506.0","2,903,839.0","2,933,433.0","2,929,188.0","2,952,508.0","2,904,072.0","2,837,939.0","2,853,714.0","2,929,475.0","3,007,699.0","3,055,284.0","3,124,714.0","3,119,240.0","3,132,860.0","3,209,070.0","3,193,825.0","3,199,783.0","3,157,575.0","3,183,953.0","3,244,898.0","3,300,571.0","3,371,581.0","3,434,160.0","3,467,398.0","3,499,842.0","3,515,286.0","3,549,787.0","3,596,948.0","3,666,642.0","3,698,406.0","3,776,837.0","3,816,953.0","3,867,273.0","3,881,425.0","3,986,120.0","4,040,675.0","4,116,042.0","4,208,084.0","4,316,329.0","4,329,613.0","4,366,278.0","4,408,337.0","4,451,988.0","4,451,035.0","4,494,221.0","4,530,526.0","4,623,673.0","4,701,934.0","4,734,111.0","4,755,449.0","4,832,850.0","4,844,263.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","1,802,472.0","1,805,400.0","1,807,217.0","1,847,225.0","1,868,641.0","1,895,126.0","1,907,482.0","1,916,210.0","1,881,275.0","1,864,073.0","1,890,502.0","1,869,890.0","1,953,026.0","2,014,985.0","2,100,798.0","2,147,851.0","2,181,618.0","2,221,875.0","2,264,269.0","2,263,625.0","2,283,854.0","2,280,082.0","2,305,703.0","2,386,432.0","2,431,340.0","2,448,223.0","2,430,131.0","2,381,171.0","2,359,868.0","2,355,676.0","2,387,229.0","2,440,239.0","2,519,907.0","2,558,748.0","2,594,860.0","2,618,927.0","2,604,538.0","2,615,059.0","2,613,766.0","2,652,727.0","2,676,516.0","2,666,400.0","2,687,432.0","2,636,619.0","2,562,109.0","2,573,871.0","2,649,637.0","2,728,127.0","2,775,067.0","2,844,624.0","2,834,681.0","2,844,632.0","2,921,830.0","2,902,279.0","2,904,057.0","2,855,135.0","2,877,214.0","2,937,697.0","2,991,016.0","3,060,173.0","3,120,722.0","3,148,586.0","3,177,119.0","3,184,050.0","3,216,095.0","3,260,957.0","3,327,514.0","3,354,077.0","3,427,915.0","3,465,212.0","3,510,694.0","3,521,505.0","3,619,703.0","3,668,499.0","3,742,062.0","3,833,182.0","3,936,742.0","3,942,815.0","3,973,788.0","4,008,204.0","4,046,085.0","4,038,210.0","4,072,351.0","4,103,320.0","4,191,662.0","4,264,517.0","4,289,184.0","4,304,041.0","4,376,168.0","4,381,855.0"
