"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 4:03:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","      Government","A955RC1","83,025.0","85,025.0","89,945.0","98,332.0","103,440.0","109,137.0","117,022.0","132,825.0","150,405.0","167,524.0","180,861.0"
"22","2","General public service","G170021","4,655.0","5,047.0","5,556.0","5,942.0","6,250.0","6,801.0","7,500.0","7,943.0","8,310.0","9,445.0","11,438.0"
"23","3","National defense","A997RC1","42,011.0","42,627.0","44,177.0","48,559.0","50,502.0","51,389.0","53,908.0","63,761.0","73,726.0","81,437.0","82,620.0"
"24","4","Public order and safety","G170041","4,390.0","4,781.0","5,161.0","5,370.0","5,702.0","6,124.0","6,617.0","7,211.0","7,985.0","9,297.0","10,323.0"
"25","5","Economic affairs","G170051","11,774.0","10,408.0","10,569.0","12,358.0","12,728.0","14,022.0","14,954.0","15,321.0","17,338.0","19,168.0","21,655.0"
"26","6","Housing and community services","G170061","610.0","654.0","697.0","762.0","802.0","833.0","853.0","952.0","1,085.0","1,132.0","1,179.0"
"27","7","Health","G170071","3,820.0","4,067.0","4,480.0","4,559.0","4,792.0","5,097.0","5,309.0","5,904.0","6,458.0","7,279.0","8,183.0"
"28","8","Recreation and culture","G170081","685.0","749.0","849.0","868.0","927.0","983.0","1,086.0","1,167.0","1,281.0","1,489.0","1,714.0"
"29","9","Education","G170091","14,114.0","15,723.0","17,291.0","18,591.0","20,319.0","22,352.0","24,909.0","28,357.0","31,647.0","35,520.0","40,454.0"
"30","10","Income security","G170101","965.0","969.0","1,166.0","1,324.0","1,417.0","1,537.0","1,886.0","2,209.0","2,575.0","2,757.0","3,294.0"
"31","11","      Federal","A957RC1","51,778.0","50,949.0","52,707.0","58,990.0","61,164.0","63,108.0","66,451.0","76,455.0","88,020.0","96,811.0","100,423.0"
"32","12","General public service","G170121","1,808.0","1,968.0","2,072.0","2,271.0","2,488.0","2,609.0","2,907.0","2,769.0","2,547.0","2,572.0","3,180.0"
"33","13","National defense","A997RC1","42,011.0","42,627.0","44,177.0","48,559.0","50,502.0","51,389.0","53,908.0","63,761.0","73,726.0","81,437.0","82,620.0"
"34","14","Public order and safety","G170141","301.0","312.0","329.0","343.0","359.0","373.0","396.0","419.0","455.0","486.0","570.0"
"35","15","Economic affairs","G170151","5,869.0","4,188.0","3,956.0","5,386.0","5,317.0","6,153.0","6,470.0","6,050.0","7,280.0","8,316.0","9,655.0"
"36","16","Housing and community services","G170161","43.0","64.0","105.0","143.0","179.0","170.0","158.0","198.0","267.0","173.0","187.0"
"37","17","Health","G170171","1,225.0","1,289.0","1,392.0","1,448.0","1,433.0","1,528.0","1,515.0","1,868.0","2,154.0","2,439.0","2,649.0"
"38","18","Recreation and culture","G170181","80.0","95.0","109.0","131.0","150.0","142.0","168.0","186.0","208.0","237.0","298.0"
"39","19","Education","G170191","144.0","134.0","154.0","190.0","224.0","260.0","287.0","455.0","532.0","466.0","473.0"
"40","20","Income security","G170201","297.0","272.0","413.0","519.0","512.0","484.0","642.0","749.0","851.0","685.0","791.0"
"41","21","      State and local","A991RC1","31,247.0","34,076.0","37,238.0","39,342.0","42,276.0","46,029.0","50,571.0","56,370.0","62,385.0","70,713.0","80,438.0"
"42","22","General public service","G170221","2,847.0","3,079.0","3,484.0","3,671.0","3,762.0","4,192.0","4,593.0","5,174.0","5,763.0","6,873.0","8,258.0"
"43","23","Public order and safety","G170231","4,089.0","4,469.0","4,832.0","5,027.0","5,343.0","5,751.0","6,221.0","6,792.0","7,530.0","8,811.0","9,753.0"
"44","24","Economic affairs","G170241","5,905.0","6,220.0","6,613.0","6,972.0","7,411.0","7,869.0","8,484.0","9,271.0","10,058.0","10,852.0","12,000.0"
"45","25","Housing and community services","G170251","567.0","590.0","592.0","619.0","623.0","663.0","695.0","754.0","818.0","959.0","992.0"
"46","26","Health (net)","G170261","2,595.0","2,778.0","3,088.0","3,111.0","3,359.0","3,569.0","3,794.0","4,036.0","4,304.0","4,840.0","5,534.0"
"47","27","  Gross expenditures","Y654RC1","3,561.0","3,792.0","4,149.0","4,379.0","4,722.0","5,111.0","5,613.0","6,182.0","6,889.0","8,060.0","9,096.0"
"48","28","  Less: Sales to other sectors","Y655RC1","967.0","1,014.0","1,061.0","1,268.0","1,364.0","1,542.0","1,819.0","2,145.0","2,585.0","3,220.0","3,562.0"
"49","29","Recreation and culture","G170271","605.0","654.0","740.0","737.0","777.0","841.0","918.0","981.0","1,073.0","1,252.0","1,416.0"
"50","30","Education","G170281","13,970.0","15,589.0","17,137.0","18,401.0","20,095.0","22,092.0","24,622.0","27,902.0","31,115.0","35,054.0","39,981.0"
"51","31","Income security","G170291","668.0","697.0","753.0","805.0","905.0","1,053.0","1,244.0","1,460.0","1,724.0","2,072.0","2,503.0"
"52",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","32","      Government","W063RC1","22,917.0","24,674.0","28,365.0","29,142.0","30,665.0","31,663.0","34,366.0","37,968.0","46,307.0","53,863.0","59,558.0"
"54","33","General public service","G170311","63.0","199.0","261.0","151.0","132.0","132.0","181.0","139.0","178.0","151.0","179.0"
"55","34","Public order and safety","G170321",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"56","35","Economic affairs","G170331","11.0","11.0","20.0","26.0","44.0","83.0","188.0","263.0","358.0","387.0","405.0"
"57","36","Housing and community services","G170341",".....",".....",".....",".....","10.0","30.0","10.0","0.0","0.0","0.0","0.0"
"58","37","Health","G170351","1,325.0","1,392.0","1,822.0","1,882.0","2,164.0","2,227.0","2,471.0","4,101.0","8,750.0","11,234.0","12,794.0"
"59","38","Recreation and culture","G170361",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","6.0","9.0"
"60","39","Education","G170371","601.0","457.0","366.0","327.0","329.0","345.0","418.0","690.0","1,218.0","1,569.0","1,941.0"
"61","40","Income security","G170381","20,917.0","22,615.0","25,896.0","26,756.0","27,986.0","28,846.0","31,098.0","32,774.0","35,800.0","40,516.0","44,230.0"
"62","41","      Federal","W015RC1","18,578.0","20,113.0","23,383.0","23,802.0","24,968.0","25,509.0","27,715.0","30,347.0","37,075.0","42,417.0","46,341.0"
"63","42","General public service","G170401","0.0","116.0","140.0","106.0","114.0","108.0","157.0","115.0","143.0","103.0","104.0"
"64","43","Public order and safety","G170411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
