"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"23","3","National defense","A997RC1","82,620.0","81,789.0","82,338.0","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,842.0","652,012.0"
"24","4","Public order and safety","G170041","10,323.0","11,820.0","13,646.0","15,364.0","17,069.0","19,383.0","22,083.0","23,854.0","26,105.0","28,891.0","32,036.0","35,582.0","39,906.0","44,387.0","48,452.0","52,595.0","58,267.0","63,308.0","68,689.0","75,700.0","84,838.0","94,221.0","103,103.0","113,257.0","122,076.0","130,915.0","140,055.0","149,151.0","157,211.0","167,401.0","182,306.0","197,605.0","214,395.0","229,235.0","237,543.0","252,799.0","266,235.0","281,853.0","300,832.0","321,681.0","328,942.0","331,911.0","335,071.0","340,731.0"
"25","5","Economic affairs","G170051","21,655.0","23,458.0","26,483.0","28,812.0","30,893.0","35,541.0","41,118.0","42,775.0","46,059.0","51,338.0","55,933.0","64,941.0","74,675.0","78,790.0","85,027.0","84,213.0","92,135.0","98,493.0","97,603.0","94,482.0","104,317.0","112,656.0","117,539.0","125,622.0","129,238.0","135,189.0","139,430.0","143,133.0","150,693.0","154,068.0","163,961.0","176,109.0","185,814.0","195,895.0","203,509.0","211,943.0","221,846.0","235,301.0","251,995.0","267,631.0","276,539.0","291,099.0","287,117.0","293,131.0"
"26","6","Housing and community services","G170061","1,179.0","1,427.0","1,767.0","1,807.0","1,994.0","2,111.0","2,209.0","2,254.0","2,314.0","2,496.0","2,533.0","2,871.0","3,139.0","3,108.0","3,172.0","3,255.0","3,430.0","3,780.0","3,751.0","4,204.0","4,787.0","5,298.0","5,735.0","5,992.0","6,569.0","6,240.0","5,978.0","6,426.0","6,806.0","7,256.0","7,875.0","7,515.0","8,715.0","9,282.0","9,580.0","9,395.0","10,576.0","9,984.0","9,884.0","10,910.0","10,587.0","10,576.0","10,431.0","9,969.0"
"27","7","Health","G170071","8,183.0","9,750.0","11,013.0","12,507.0","13,961.0","15,919.0","18,101.0","18,613.0","20,525.0","22,778.0","24,078.0","27,602.0","29,558.0","30,617.0","32,029.0","34,749.0","37,115.0","38,013.0","40,261.0","44,289.0","47,842.0","52,338.0","55,038.0","56,960.0","57,288.0","59,974.0","60,555.0","60,928.0","61,512.0","63,463.0","69,264.0","75,027.0","78,584.0","88,639.0","96,372.0","101,971.0","111,946.0","114,582.0","127,215.0","141,652.0","145,409.0","149,677.0","154,338.0","166,518.0"
"28","8","Recreation and culture","G170081","1,714.0","1,884.0","2,114.0","2,374.0","2,609.0","3,032.0","3,457.0","3,604.0","3,910.0","4,394.0","4,806.0","5,176.0","5,612.0","6,057.0","6,442.0","6,933.0","7,733.0","8,246.0","8,537.0","9,167.0","10,212.0","11,184.0","12,129.0","13,066.0","13,503.0","14,423.0","15,093.0","15,592.0","16,480.0","17,520.0","18,518.0","20,295.0","22,104.0","24,293.0","24,908.0","26,303.0","27,910.0","29,993.0","31,694.0","33,380.0","33,605.0","33,635.0","33,227.0","33,207.0"
"29","9","Education","G170091","40,454.0","46,693.0","53,076.0","58,771.0","63,659.0","70,885.0","81,505.0","88,299.0","95,391.0","102,378.0","112,519.0","122,334.0","132,711.0","141,985.0","150,411.0","162,725.0","176,437.0","190,783.0","204,932.0","219,967.0","240,204.0","261,336.0","276,554.0","292,910.0","307,871.0","323,893.0","342,390.0","358,745.0","377,762.0","401,309.0","428,659.0","463,397.0","496,377.0","511,948.0","533,607.0","566,149.0","594,511.0","626,857.0","667,615.0","702,091.0","713,705.0","727,334.0","721,527.0","722,640.0"
"30","10","Income security","G170101","3,294.0","4,029.0","4,717.0","5,701.0","6,472.0","7,935.0","8,569.0","9,623.0","11,039.0","12,001.0","13,254.0","14,586.0","15,605.0","16,408.0","18,304.0","19,756.0","21,121.0","21,966.0","23,260.0","24,938.0","27,569.0","30,860.0","33,824.0","37,637.0","39,547.0","43,160.0","45,061.0","46,147.0","49,412.0","53,472.0","57,319.0","62,271.0","68,496.0","76,410.0","78,140.0","78,363.0","83,026.0","89,863.0","85,900.0","88,110.0","90,030.0","91,083.0","88,985.0","89,535.0"
"31","11","      Federal","A957RC1","100,423.0","102,292.0","106,611.0","112,172.0","113,913.0","122,466.0","132,925.0","139,004.0","149,597.0","161,965.0","175,989.0","202,111.0","231,300.0","255,658.0","277,853.0","292,030.0","316,751.0","336,493.0","347,772.0","360,836.0","380,163.0","401,815.0","423,941.0","430,211.0","427,700.0","427,331.0","427,659.0","428,418.0","438,696.0","436,433.0","455,570.0","475,057.0","505,391.0","560,327.0","628,454.0","681,373.0","723,441.0","763,940.0","798,350.0","879,822.0","933,702.0","1,003,905.0","1,008,675.0","1,011,673.0"
"32","12","General public service","G170121","3,180.0","4,168.0","5,182.0","5,811.0","6,128.0","7,129.0","7,742.0","8,197.0","8,769.0","8,898.0","9,694.0","10,328.0","10,382.0","11,556.0","11,414.0","11,560.0","13,434.0","14,311.0","14,591.0","14,890.0","15,615.0","18,127.0","19,905.0","20,438.0","18,990.0","19,114.0","20,587.0","18,481.0","20,940.0","20,294.0","21,833.0","21,397.0","25,274.0","30,302.0","32,000.0","38,789.0","40,914.0","42,823.0","45,583.0","50,370.0","55,348.0","59,112.0","58,614.0","61,821.0"
"33","13","National defense","A997RC1","82,620.0","81,789.0","82,338.0","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,842.0","652,012.0"
"34","14","Public order and safety","G170141","570.0","720.0","897.0","1,162.0","1,338.0","1,545.0","1,790.0","1,982.0","2,153.0","2,350.0","2,612.0","2,871.0","2,988.0","3,131.0","3,576.0","3,980.0","4,364.0","4,655.0","5,110.0","6,240.0","6,924.0","7,531.0","8,649.0","9,683.0","11,750.0","12,423.0","13,307.0","14,550.0","14,586.0","15,203.0","16,969.0","19,792.0","21,998.0","25,864.0","28,566.0","31,705.0","33,786.0","36,062.0","38,082.0","43,783.0","47,347.0","48,479.0","49,004.0","50,047.0"
"35","15","Economic affairs","G170151","9,655.0","10,125.0","11,803.0","12,981.0","13,351.0","14,801.0","17,703.0","18,452.0","20,369.0","23,187.0","25,096.0","30,076.0","35,787.0","36,541.0","41,385.0","38,837.0","43,528.0","46,640.0","43,130.0","37,717.0","44,357.0","48,600.0","49,909.0","54,421.0","55,408.0","58,011.0","58,341.0","58,800.0","62,646.0","61,917.0","64,815.0","70,281.0","72,205.0","76,161.0","81,867.0","84,645.0","85,961.0","90,289.0","95,353.0","100,869.0","107,941.0","123,547.0","114,501.0","113,247.0"
"36","16","Housing and community services","G170161","187.0","319.0","534.0","490.0","564.0","553.0","500.0","474.0","427.0","353.0","283.0","367.0","457.0","393.0","457.0","476.0","487.0","653.0","482.0","452.0","494.0","487.0","425.0","425.0","1,116.0","510.0","192.0","358.0","571.0","902.0","947.0","-156.0","470.0","756.0","873.0","514.0","1,058.0","884.0","1,081.0","1,493.0","1,379.0","1,675.0","1,938.0","2,002.0"
"37","17","Health","G170171","2,649.0","3,261.0","3,747.0","4,843.0","5,678.0","6,314.0","7,450.0","8,033.0","8,606.0","9,679.0","10,379.0","12,118.0","13,122.0","13,782.0","15,702.0","17,344.0","18,206.0","18,534.0","19,204.0","21,123.0","22,582.0","24,370.0","26,421.0","28,414.0","30,195.0","32,388.0","33,532.0","34,002.0","36,299.0","37,591.0","37,788.0","42,133.0","46,076.0","50,864.0","56,687.0","58,576.0","61,087.0","63,308.0","67,957.0","76,392.0","82,864.0","89,673.0","95,902.0","106,052.0"
"38","18","Recreation and culture","G170181","298.0","326.0","369.0","449.0","487.0","603.0","692.0","737.0","822.0","892.0","938.0","977.0","1,026.0","1,011.0","957.0","1,018.0","1,060.0","1,062.0","1,074.0","1,178.0","1,248.0","1,329.0","1,522.0","1,669.0","1,846.0","1,941.0","1,973.0","2,031.0","2,023.0","2,184.0","1,980.0","2,368.0","2,508.0","3,127.0","3,252.0","3,542.0","3,700.0","3,722.0","3,750.0","4,012.0","4,245.0","4,583.0","4,316.0","4,458.0"
"39","19","Education","G170191","473.0","596.0","663.0","704.0","691.0","588.0","777.0","764.0","819.0","833.0","931.0","1,045.0","1,159.0","1,157.0","1,302.0","1,475.0","1,441.0","1,489.0","1,560.0","1,628.0","1,766.0","1,914.0","2,103.0","2,195.0","2,340.0","2,757.0","2,975.0","3,098.0","3,112.0","3,324.0","3,650.0","4,035.0","4,575.0","5,274.0","5,415.0","5,570.0","6,351.0","5,929.0","5,782.0","6,024.0","6,454.0","6,648.0","6,980.0","7,207.0"
"40","20","Income security","G170201","791.0","988.0","1,078.0","1,370.0","1,399.0","2,098.0","1,937.0","2,193.0","2,709.0","2,790.0","3,116.0","3,540.0","3,437.0","3,489.0","3,483.0","3,738.0","3,687.0","3,367.0","3,441.0","3,442.0","3,704.0","4,025.0","4,365.0","5,420.0","5,211.0","5,645.0","5,663.0","5,553.0","6,051.0","6,558.0","6,362.0","6,910.0","7,226.0","9,881.0","10,871.0","11,241.0","14,666.0","20,604.0","14,690.0","14,092.0","14,836.0","16,975.0","14,578.0","14,827.0"
"41","21","      State and local","A991RC1","80,438.0","92,111.0","104,211.0","115,382.0","126,811.0","144,485.0","165,615.0","177,180.0","193,005.0","209,856.0","229,448.0","252,784.0","276,089.0","297,414.0","316,726.0","339,961.0","371,807.0","399,890.0","428,347.0","458,937.0","501,325.0","546,179.0","580,130.0","619,042.0","646,476.0","682,237.0","716,823.0","748,080.0","785,931.0","835,680.0","902,002.0","969,116.0","1,039,740.0","1,091,037.0","1,127,138.0","1,187,569.0","1,256,607.0","1,325,906.0","1,411,371.0","1,488,743.0","1,508,360.0","1,518,304.0","1,517,436.0","1,536,356.0"
"42","22","General public service","G170221","8,258.0","9,383.0","10,486.0","12,046.0","13,663.0","16,180.0","19,420.0","20,792.0","23,566.0","25,664.0","27,644.0","30,687.0","32,860.0","35,566.0","39,751.0","42,603.0","48,341.0","51,702.0","55,316.0","57,970.0","62,632.0","66,542.0","69,603.0","75,824.0","78,249.0","82,118.0","84,244.0","86,349.0","91,343.0","98,870.0","106,612.0","112,260.0","120,312.0","127,263.0","131,010.0","136,438.0","147,166.0","158,272.0","162,930.0","169,954.0","174,608.0","174,570.0","173,961.0","178,466.0"
"43","23","Public order and safety","G170231","9,753.0","11,100.0","12,749.0","14,202.0","15,731.0","17,838.0","20,293.0","21,872.0","23,952.0","26,541.0","29,424.0","32,711.0","36,918.0","41,256.0","44,876.0","48,615.0","53,903.0","58,653.0","63,579.0","69,460.0","77,914.0","86,690.0","94,454.0","103,574.0","110,326.0","118,492.0","126,748.0","134,601.0","142,625.0","152,198.0","165,337.0","177,813.0","192,397.0","203,371.0","208,977.0","221,094.0","232,449.0","245,791.0","262,750.0","277,898.0","281,595.0","283,432.0","286,067.0","290,684.0"
"44","24","Economic affairs","G170241","12,000.0","13,333.0","14,680.0","15,831.0","17,542.0","20,740.0","23,415.0","24,323.0","25,690.0","28,151.0","30,837.0","34,865.0","38,888.0","42,249.0","43,642.0","45,376.0","48,607.0","51,853.0","54,473.0","56,765.0","59,960.0","64,056.0","67,630.0","71,201.0","73,830.0","77,178.0","81,089.0","84,333.0","88,047.0","92,151.0","99,146.0","105,828.0","113,609.0","119,734.0","121,642.0","127,298.0","135,885.0","145,012.0","156,642.0","166,762.0","168,598.0","167,552.0","172,616.0","179,884.0"
"45","25","Housing and community services","G170251","992.0","1,108.0","1,233.0","1,317.0","1,430.0","1,558.0","1,709.0","1,780.0","1,887.0","2,143.0","2,250.0","2,504.0","2,682.0","2,715.0","2,715.0","2,779.0","2,943.0","3,127.0","3,269.0","3,752.0","4,293.0","4,811.0","5,310.0","5,567.0","5,453.0","5,730.0","5,786.0","6,068.0","6,235.0","6,354.0","6,928.0","7,671.0","8,245.0","8,526.0","8,707.0","8,881.0","9,518.0","9,100.0","8,803.0","9,417.0","9,208.0","8,901.0","8,493.0","7,967.0"
"46","26","Health (net)","G170261","5,534.0","6,489.0","7,266.0","7,664.0","8,283.0","9,605.0","10,651.0","10,580.0","11,919.0","13,099.0","13,699.0","15,484.0","16,436.0","16,835.0","16,327.0","17,405.0","18,909.0","19,479.0","21,057.0","23,166.0","25,260.0","27,968.0","28,617.0","28,546.0","27,093.0","27,586.0","27,023.0","26,926.0","25,213.0","25,872.0","31,476.0","32,894.0","32,508.0","37,775.0","39,685.0","43,395.0","50,859.0","51,274.0","59,258.0","65,260.0","62,545.0","60,004.0","58,436.0","60,466.0"
"47","27","  Gross expenditures","Y654RC1","9,096.0","10,411.0","12,018.0","13,381.0","14,985.0","17,164.0","19,266.0","20,602.0","22,978.0","25,966.0","29,083.0","33,032.0","37,611.0","41,510.0","44,319.0","46,942.0","51,066.0","54,414.0","58,287.0","63,702.0","70,451.0","78,208.0","85,819.0","94,033.0","100,440.0","106,600.0","112,194.0","113,652.0","115,235.0","119,471.0","128,326.0","137,033.0","148,813.0","158,663.0","164,686.0","174,475.0","183,320.0","192,781.0","209,251.0","223,092.0","229,713.0","235,515.0","243,143.0","252,664.0"
"48","28","  Less: Sales to other sectors","Y655RC1","3,562.0","3,922.0","4,752.0","5,717.0","6,702.0","7,560.0","8,615.0","10,022.0","11,059.0","12,866.0","15,385.0","17,548.0","21,176.0","24,675.0","27,993.0","29,537.0","32,157.0","34,935.0","37,230.0","40,537.0","45,191.0","50,240.0","57,201.0","65,487.0","73,347.0","79,014.0","85,171.0","86,727.0","90,021.0","93,599.0","96,850.0","104,139.0","116,305.0","120,888.0","125,001.0","131,080.0","132,460.0","141,507.0","149,993.0","157,831.0","167,168.0","175,511.0","184,707.0","192,198.0"
"49","29","Recreation and culture","G170271","1,416.0","1,558.0","1,745.0","1,925.0","2,122.0","2,429.0","2,765.0","2,867.0","3,088.0","3,502.0","3,868.0","4,199.0","4,586.0","5,046.0","5,485.0","5,915.0","6,673.0","7,184.0","7,463.0","7,989.0","8,964.0","9,855.0","10,607.0","11,397.0","11,657.0","12,482.0","13,120.0","13,561.0","14,457.0","15,336.0","16,538.0","17,927.0","19,596.0","21,166.0","21,656.0","22,761.0","24,210.0","26,271.0","27,944.0","29,368.0","29,360.0","29,052.0","28,911.0","28,749.0"
"50","30","Education","G170281","39,981.0","46,097.0","52,413.0","58,067.0","62,968.0","70,297.0","80,728.0","87,535.0","94,572.0","101,545.0","111,588.0","121,289.0","131,552.0","140,828.0","149,109.0","161,250.0","174,996.0","189,294.0","203,372.0","218,339.0","238,438.0","259,422.0","274,451.0","290,715.0","305,531.0","321,136.0","339,415.0","355,647.0","374,650.0","397,985.0","425,009.0","459,362.0","491,802.0","506,674.0","528,192.0","560,579.0","588,160.0","620,928.0","661,833.0","696,067.0","707,251.0","720,686.0","714,547.0","715,433.0"
"51","31","Income security","G170291","2,503.0","3,041.0","3,639.0","4,331.0","5,073.0","5,837.0","6,632.0","7,430.0","8,330.0","9,211.0","10,138.0","11,046.0","12,168.0","12,919.0","14,821.0","16,018.0","17,434.0","18,599.0","19,819.0","21,496.0","23,865.0","26,835.0","29,459.0","32,217.0","34,336.0","37,515.0","39,398.0","40,594.0","43,361.0","46,914.0","50,957.0","55,361.0","61,270.0","66,529.0","67,269.0","67,122.0","68,360.0","69,259.0","71,210.0","74,018.0","75,194.0","74,108.0","74,407.0","74,708.0"
"52",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","32","      Government","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,247.0","1,150,776.0","1,255,805.0","1,326,691.0","1,410,565.0","1,497,529.0","1,600,596.0","1,705,482.0","1,862,824.0","2,117,528.0","2,250,475.0","2,277,386.0","2,334,817.0"
"54","33","General public service","G170311","179.0","302.0","439.0","423.0","370.0","509.0","769.0","810.0","595.0","438.0","322.0","494.0","402.0","388.0","565.0","416.0","453.0","652.0","601.0","806.0","665.0","798.0","1,598.0","2,152.0","1,451.0","1,285.0","900.0","1,387.0","1,246.0","1,363.0","1,355.0","1,669.0","1,590.0","1,593.0","1,393.0","1,478.0","1,234.0","1,397.0","1,763.0","3,617.0","2,349.0","2,404.0","2,459.0","2,196.0"
"55","34","Public order and safety","G170321",".....",".....",".....",".....","2.0","6.0","10.0","12.0","13.0","14.0","15.0","18.0","20.0","22.0","24.0","28.0","32.0","36.0","41.0","46.0","52.0","60.0","65.0","69.0","96.0","113.0","114.0","125.0","148.0","143.0","148.0","158.0","223.0","256.0","198.0","189.0","210.0","223.0","238.0","308.0","280.0","258.0","247.0","270.0"
"56","35","Economic affairs","G170331","405.0","409.0","647.0","589.0","496.0","627.0","712.0","1,079.0","1,227.0","2,401.0","2,342.0","2,459.0","2,090.0","1,576.0","1,468.0","1,285.0","1,441.0","1,465.0","1,397.0","1,451.0","1,481.0","1,496.0","1,528.0","1,779.0","1,720.0","1,739.0","1,759.0","1,616.0","1,680.0","1,690.0","1,731.0","1,677.0","2,184.0","2,674.0","2,454.0","2,294.0","2,632.0","2,890.0","2,793.0","2,994.0","3,398.0","3,457.0","3,042.0","3,044.0"
"57","36","Housing and community services","G170341","0.0","0.0","0.0","0.0","0.0","0.0","136.0","113.0","149.0","140.0","158.0","167.0","163.0","96.0","16.0","16.0","84.0","320.0","355.0","365.0","154.0","200.0","138.0","149.0","66.0","55.0","29.0","6.0","9.0","8.0","8.0","8.0","6.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0","123.0","303.0","508.0"
"58","37","Health","G170351","12,794.0","14,456.0","16,599.0","18,944.0","22,062.0","26,322.0","32,059.0","36,937.0","41,861.0","47,420.0","54,491.0","64,221.0","76,010.0","86,450.0","97,385.0","107,423.0","116,409.0","126,857.0","137,938.0","148,660.0","169,213.0","192,402.0","226,573.0","261,704.0","289,522.0","313,385.0","341,990.0","366,810.0","384,541.0","391,457.0","405,105.0","429,339.0","488,834.0","531,515.0","564,227.0","616,752.0","662,564.0","728,251.0","783,323.0","833,847.0","904,456.0","951,827.0","983,545.0","1,019,718.0"
"59","38","Recreation and culture","G170361","9.0","31.0","63.0","43.0","66.0","139.0","91.0","234.0","190.0","239.0","205.0","312.0","408.0","264.0","231.0","782.0","330.0","476.0","392.0","427.0","406.0","489.0","500.0","458.0","412.0","430.0","423.0","378.0","349.0","348.0","462.0","435.0","467.0","492.0","518.0","556.0","591.0","574.0","585.0","598.0","598.0","664.0","586.0","587.0"
