"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Government consumption expenditures and gross investment","A822RC1","235,048.0","238,227.0","243,987.0","244,343.0","249,443.0","250,739.0","256,237.0","260,363.0","263,691.0","267,966.0","271,693.0","273,974.0","284,256.0","288,965.0","286,265.0","293,493.0","301,316.0","304,900.0","305,562.0","313,681.0","326,139.0","337,254.0","348,294.0","360,766.0","371,688.0","375,763.0","386,989.0","397,307.0","402,919.0","403,171.0","404,920.0","412,287.0","422,733.0","433,054.0","439,124.0","448,126.0","454,817.0","473,312.0","484,015.0","497,405.0","502,919.0","517,258.0","531,807.0","550,164.0","571,245.0","586,941.0","591,820.0","613,380.0","635,961.0","648,997.0","655,223.0","678,755.0","687,373.0","700,953.0","714,535.0","737,222.0","748,789.0","760,990.0","780,884.0","772,311.0","794,152.0","819,179.0","832,661.0","854,684.0","874,546.0","898,501.0","924,560.0","936,113.0","944,172.0","965,843.0","993,022.0","994,829.0","1,008,016.0","1,025,047.0","1,035,976.0","1,054,002.0","1,057,031.0","1,070,837.0","1,078,414.0","1,106,391.0","1,116,876.0","1,146,080.0","1,164,567.0","1,180,152.0","1,214,030.0","1,228,585.0","1,240,400.0","1,270,429.0","1,287,181.0","1,296,557.0","1,302,388.0","1,306,524.0","1,326,900.0","1,338,666.0","1,355,421.0","1,360,496.0","1,351,504.0","1,360,859.0","1,370,605.0","1,381,277.0","1,373,939.0","1,392,446.0","1,424,416.0","1,424,157.0","1,440,008.0","1,455,631.0","1,457,293.0","1,455,716.0","1,472,921.0","1,492,548.0","1,500,490.0","1,519,839.0","1,532,218.0","1,552,209.0","1,559,790.0","1,572,420.0","1,566,709.0","1,604,444.0","1,628,557.0","1,654,348.0","1,675,982.0","1,703,680.0","1,740,247.0","1,784,243.0","1,795,130.0","1,828,895.0","1,845,027.0","1,868,658.0","1,911,891.0","1,958,621.0","1,965,456.0","1,999,093.0","2,048,323.0","2,080,640.0","2,107,718.0","2,143,065.0","2,177,952.0","2,216,888.0","2,231,240.0","2,257,316.0","2,303,095.0","2,343,551.0","2,381,767.0","2,401,197.0","2,442,223.0","2,469,693.0","2,521,551.0","2,541,291.0","2,592,185.0","2,630,669.0","2,655,364.0","2,690,557.0","2,735,641.0","2,782,458.0","2,824,322.0","2,865,286.0","2,923,821.0","2,983,375.0","3,055,881.0","3,049,685.0","3,035,381.0","3,086,499.0","3,112,496.0","3,121,988.0","3,135,706.0","3,181,462.0","3,194,687.0","3,184,248.0","3,153,849.0","3,183,843.0","3,176,844.0","3,160,437.0","3,166,202.0","3,163,323.0","3,190,462.0","3,156,635.0","3,135,918.0","3,142,356.0","3,154,680.0","3,142,683.0","3,139,105.0","3,163,125.0","3,209,269.0"
"21","2","      Consumption expenditures \1\","A955RC1","173,531.0","178,513.0","184,078.0","187,322.0","190,445.0","191,893.0","195,998.0","199,275.0","205,644.0","209,635.0","212,512.0","215,497.0","224,233.0","227,994.0","227,127.0","230,862.0","235,136.0","239,305.0","241,007.0","247,449.0","255,171.0","261,148.0","270,172.0","281,315.0","288,626.0","296,543.0","301,543.0","307,446.0","309,981.0","314,167.0","316,232.0","324,356.0","331,269.0","338,813.0","345,487.0","354,839.0","361,211.0","368,316.0","374,295.0","383,461.0","393,100.0","400,263.0","406,450.0","421,936.0","435,466.0","452,202.0","457,463.0","474,448.0","489,534.0","503,629.0","509,496.0","526,896.0","537,179.0","544,397.0","557,042.0","573,669.0","584,240.0","593,697.0","606,222.0","594,156.0","610,344.0","629,424.0","638,592.0","649,602.0","666,692.0","679,823.0","697,823.0","709,893.0","715,587.0","731,176.0","746,703.0","752,065.0","760,586.0","771,342.0","776,965.0","795,586.0","803,498.0","812,328.0","819,698.0","843,570.0","853,437.0","878,563.0","889,558.0","904,395.0","927,401.0","940,147.0","949,690.0","974,739.0","996,436.0","1,001,420.0","1,006,826.0","1,011,602.0","1,026,589.0","1,040,935.0","1,061,145.0","1,068,344.0","1,063,065.0","1,067,530.0","1,079,164.0","1,086,944.0","1,090,651.0","1,102,101.0","1,122,062.0","1,123,457.0","1,134,487.0","1,145,550.0","1,150,607.0","1,147,284.0","1,158,186.0","1,174,637.0","1,178,798.0","1,194,373.0","1,201,856.0","1,222,184.0","1,228,505.0","1,245,961.0","1,242,132.0","1,267,556.0","1,276,794.0","1,301,970.0","1,319,681.0","1,339,432.0","1,369,690.0","1,401,483.0","1,407,422.0","1,442,939.0","1,453,412.0","1,472,921.0","1,510,212.0","1,536,912.0","1,558,750.0","1,574,650.0","1,613,936.0","1,641,193.0","1,659,750.0","1,690,579.0","1,722,603.0","1,755,845.0","1,759,000.0","1,784,922.0","1,827,830.0","1,855,996.0","1,887,353.0","1,904,589.0","1,944,049.0","1,960,108.0","2,002,172.0","2,013,863.0","2,057,934.0","2,076,942.0","2,099,605.0","2,124,904.0","2,160,068.0","2,191,751.0","2,227,091.0","2,259,974.0","2,312,458.0","2,350,620.0","2,410,125.0","2,401,056.0","2,392,633.0","2,434,599.0","2,461,099.0","2,479,916.0","2,500,301.0","2,526,141.0","2,534,178.0","2,528,218.0","2,516,172.0","2,544,744.0","2,539,388.0","2,523,141.0","2,542,936.0","2,535,616.0","2,570,335.0","2,550,037.0","2,543,555.0","2,544,937.0","2,555,936.0","2,545,937.0","2,564,514.0","2,572,076.0","2,616,232.0"
"22","3","      Gross investment \2\","A782RC1","61,517.0","59,714.0","59,910.0","57,022.0","58,997.0","58,846.0","60,239.0","61,088.0","58,046.0","58,331.0","59,181.0","58,477.0","60,024.0","60,971.0","59,138.0","62,631.0","66,180.0","65,595.0","64,555.0","66,232.0","70,968.0","76,106.0","78,123.0","79,452.0","83,062.0","79,220.0","85,446.0","89,861.0","92,938.0","89,004.0","88,687.0","87,932.0","91,465.0","94,242.0","93,637.0","93,287.0","93,606.0","104,996.0","109,720.0","113,944.0","109,819.0","116,994.0","125,358.0","128,228.0","135,780.0","134,739.0","134,356.0","138,932.0","146,427.0","145,369.0","145,727.0","151,859.0","150,194.0","156,556.0","157,493.0","163,553.0","164,549.0","167,293.0","174,662.0","178,155.0","183,808.0","189,755.0","194,069.0","205,082.0","207,854.0","218,677.0","226,736.0","226,220.0","228,585.0","234,668.0","246,319.0","242,764.0","247,430.0","253,705.0","259,011.0","258,416.0","253,533.0","258,509.0","258,717.0","262,821.0","263,439.0","267,517.0","275,009.0","275,758.0","286,629.0","288,438.0","290,711.0","295,690.0","290,745.0","295,137.0","295,562.0","294,922.0","300,311.0","297,732.0","294,276.0","292,151.0","288,440.0","293,329.0","291,441.0","294,333.0","283,288.0","290,345.0","302,354.0","300,699.0","305,521.0","310,081.0","306,686.0","308,432.0","314,735.0","317,911.0","321,693.0","325,466.0","330,362.0","330,025.0","331,285.0","326,459.0","324,577.0","336,888.0","351,763.0","352,379.0","356,301.0","364,248.0","370,557.0","382,760.0","387,708.0","385,956.0","391,615.0","395,738.0","401,680.0","421,709.0","406,706.0","424,443.0","434,387.0","439,447.0","447,968.0","452,487.0","455,349.0","461,043.0","472,240.0","472,394.0","475,266.0","487,555.0","494,413.0","496,608.0","498,174.0","509,585.0","519,379.0","527,428.0","534,251.0","553,727.0","555,759.0","565,653.0","575,574.0","590,708.0","597,231.0","605,312.0","611,363.0","632,755.0","645,756.0","648,629.0","642,749.0","651,900.0","651,397.0","642,072.0","635,405.0","655,321.0","660,509.0","656,030.0","637,677.0","639,099.0","637,455.0","637,296.0","623,266.0","627,707.0","620,127.0","606,598.0","592,363.0","597,420.0","598,744.0","596,746.0","574,591.0","591,049.0","593,038.0"
"23","4","        Structures","A760RC1","29,267.0","29,739.0","29,043.0","27,787.0","27,812.0","28,314.0","30,177.0","30,365.0","30,576.0","31,256.0","31,121.0","32,003.0","31,874.0","30,669.0","31,083.0","32,794.0","33,895.0","33,589.0","34,292.0","35,648.0","37,503.0","41,042.0","41,195.0","41,528.0","45,338.0","42,103.0","43,728.0","46,947.0","49,480.0","45,576.0","42,867.0","41,585.0","43,745.0","45,419.0","44,312.0","43,672.0","43,056.0","52,124.0","54,853.0","55,931.0","50,960.0","56,304.0","60,526.0","63,466.0","67,131.0","65,251.0","64,040.0","64,814.0","70,701.0","65,530.0","62,978.0","66,219.0","63,927.0","64,214.0","64,912.0","66,879.0","65,251.0","64,250.0","67,372.0","66,003.0","68,785.0","71,457.0","74,231.0","75,543.0","76,730.0","81,604.0","83,684.0","82,446.0","87,422.0","88,869.0","91,081.0","88,572.0","93,241.0","94,251.0","96,408.0","98,136.0","95,944.0","100,313.0","98,817.0","100,918.0","98,785.0","100,790.0","102,301.0","105,996.0","112,210.0","110,904.0","112,067.0","115,303.0","113,498.0","115,693.0","117,684.0","121,049.0","125,449.0","121,372.0","115,945.0","116,210.0","116,463.0","121,687.0","122,645.0","123,505.0","118,251.0","121,454.0","128,036.0","130,999.0","133,147.0","135,871.0","134,844.0","135,130.0","135,742.0","141,306.0","146,411.0","154,065.0","160,348.0","157,975.0","154,936.0","148,964.0","148,393.0","156,475.0","167,609.0","168,151.0","172,275.0","172,332.0","174,801.0","183,752.0","190,399.0","186,590.0","189,618.0","192,334.0","197,633.0","213,926.0","197,349.0","214,200.0","220,406.0","219,265.0","222,126.0","225,951.0","226,439.0","225,708.0","233,020.0","229,049.0","230,023.0","237,265.0","238,176.0","237,325.0","238,356.0","243,838.0","248,959.0","255,949.0","256,341.0","270,392.0","271,716.0","275,467.0","285,282.0","292,400.0","294,523.0","297,882.0","298,865.0","308,342.0","315,409.0","318,756.0","320,742.0","323,410.0","320,862.0","310,671.0","302,737.0","318,315.0","320,971.0","310,626.0","304,427.0","301,643.0","299,687.0","298,822.0","290,126.0","289,034.0","281,598.0","275,229.0","268,219.0","275,035.0","275,704.0","274,343.0","267,292.0","278,877.0","281,455.0"
"24","5","        Equipment","Y054RC1","14,643.0","12,235.0","13,070.0","11,483.0","13,552.0","12,984.0","12,520.0","13,111.0","9,758.0","9,178.0","9,925.0","8,003.0","9,327.0","11,116.0","8,584.0","10,095.0","12,300.0","11,792.0","9,799.0","9,870.0","12,491.0","13,775.0","15,289.0","15,867.0","15,188.0","14,119.0","18,206.0","18,843.0","18,827.0","18,206.0","19,998.0","19,934.0","20,776.0","21,294.0","21,128.0","20,718.0","20,847.0","22,329.0","23,413.0","25,620.0","25,427.0","26,219.0","29,300.0","28,155.0","30,985.0","30,631.0","30,154.0","32,560.0","32,691.0","35,427.0","37,035.0","38,716.0","38,300.0","43,283.0","42,383.0","45,287.0","46,383.0","48,634.0","51,281.0","54,619.0","55,935.0","57,345.0","56,646.0","63,856.0","62,751.0","66,555.0","71,025.0","70,718.0","67,649.0","71,406.0","79,620.0","76,888.0","74,732.0","78,220.0","80,015.0","76,690.0","73,322.0","73,305.0","74,433.0","76,033.0","78,324.0","79,610.0","84,461.0","80,312.0","83,922.0","86,383.0","87,269.0","88,913.0","85,809.0","87,987.0","86,512.0","82,460.0","83,212.0","84,812.0","86,671.0","84,371.0","80,479.0","80,245.0","77,372.0","79,558.0","73,666.0","77,200.0","81,908.0","77,037.0","78,852.0","80,374.0","77,413.0","78,913.0","84,175.0","81,430.0","79,562.0","75,144.0","72,245.0","73,922.0","77,962.0","78,421.0","75,274.0","78,057.0","81,199.0","81,266.0","81,120.0","85,344.0","87,950.0","90,157.0","86,998.0","86,981.0","88,071.0","87,429.0","85,959.0","88,450.0","89,166.0","89,132.0","91,130.0","95,435.0","98,509.0","97,318.0","96,703.0","100,105.0","101,185.0","102,629.0","103,008.0","106,189.0","109,341.0","110,385.0","109,054.0","112,511.0","115,328.0","115,092.0","120,205.0","123,927.0","122,626.0","126,307.0","124,070.0","130,274.0","132,783.0","135,685.0","137,418.0","147,501.0","152,097.0","151,498.0","143,694.0","149,403.0","150,419.0","149,537.0","148,399.0","151,088.0","150,724.0","154,645.0","142,385.0","146,262.0","145,948.0","145,813.0","140,230.0","145,253.0","145,639.0","139,315.0","132,539.0","133,243.0","135,458.0","137,204.0","124,928.0","131,112.0","129,973.0"
"25","6","        Intellectual property products","Y055RC1","17,607.0","17,740.0","17,796.0","17,752.0","17,634.0","17,548.0","17,542.0","17,612.0","17,712.0","17,897.0","18,135.0","18,471.0","18,822.0","19,186.0","19,471.0","19,742.0","19,985.0","20,214.0","20,464.0","20,713.0","20,974.0","21,289.0","21,638.0","22,056.0","22,536.0","22,998.0","23,511.0","24,072.0","24,631.0","25,221.0","25,822.0","26,413.0","26,944.0","27,528.0","28,197.0","28,897.0","29,703.0","30,543.0","31,454.0","32,394.0","33,432.0","34,471.0","35,531.0","36,607.0","37,664.0","38,858.0","40,162.0","41,558.0","43,034.0","44,411.0","45,714.0","46,924.0","47,966.0","49,059.0","50,197.0","51,387.0","52,915.0","54,409.0","56,009.0","57,534.0","59,087.0","60,953.0","63,192.0","65,683.0","68,373.0","70,518.0","72,028.0","73,057.0","73,514.0","74,393.0","75,618.0","77,304.0","79,457.0","81,234.0","82,588.0","83,590.0","84,267.0","84,890.0","85,467.0","85,871.0","86,330.0","87,117.0","88,247.0","89,450.0","90,498.0","91,151.0","91,375.0","91,474.0","91,438.0","91,457.0","91,366.0","91,413.0","91,650.0","91,547.0","91,660.0","91,570.0","91,497.0","91,397.0","91,424.0","91,270.0","91,371.0","91,691.0","92,410.0","92,663.0","93,522.0","93,837.0","94,429.0","94,389.0","94,818.0","95,175.0","95,719.0","96,257.0","97,768.0","98,127.0","98,386.0","99,073.0","100,910.0","102,356.0","102,955.0","102,962.0","102,906.0","106,572.0","107,806.0","108,851.0","110,311.0","112,386.0","113,927.0","115,975.0","118,089.0","119,333.0","120,191.0","121,111.0","122,851.0","124,747.0","127,332.0","129,218.0","132,207.0","135,229.0","138,035.0","140,715.0","142,236.0","144,101.0","146,896.0","148,897.0","150,764.0","153,235.0","155,092.0","156,387.0","157,705.0","159,407.0","161,417.0","163,880.0","166,222.0","168,033.0","169,925.0","171,746.0","175,079.0","176,912.0","178,251.0","178,376.0","178,312.0","179,087.0","180,115.0","181,864.0","184,269.0","185,918.0","188,815.0","190,759.0","190,864.0","191,193.0","191,820.0","192,661.0","192,910.0","193,420.0","192,890.0","192,055.0","191,605.0","189,141.0","187,581.0","185,198.0","182,371.0","181,060.0","181,610.0"
"26","7","          Software","Y056RC1","462.0","508.0","568.0","626.0","697.0","741.0","778.0","792.0","793.0","815.0","832.0","864.0","884.0","927.0","965.0","1,000.0","1,077.0","1,130.0","1,195.0","1,270.0","1,338.0","1,409.0","1,506.0","1,599.0","1,730.0","1,792.0","1,838.0","1,896.0","1,898.0","1,941.0","1,998.0","2,055.0","2,059.0","2,091.0","2,134.0","2,200.0","2,314.0","2,439.0","2,573.0","2,714.0","2,907.0","3,078.0","3,252.0","3,431.0","3,589.0","3,789.0","4,005.0","4,221.0","4,439.0","4,641.0","4,869.0","5,111.0","5,269.0","5,412.0","5,511.0","5,588.0","5,921.0","6,197.0","6,575.0","6,851.0","7,120.0","7,448.0","7,864.0","8,256.0","8,565.0","8,850.0","9,025.0","9,264.0","9,453.0","9,668.0","9,830.0","10,049.0","10,328.0","10,629.0","10,937.0","11,286.0","11,712.0","12,183.0","12,693.0","13,120.0","13,681.0","14,350.0","15,103.0","15,710.0","15,938.0","16,094.0","16,148.0","16,420.0","16,891.0","17,329.0","17,544.0","17,820.0","18,181.0","18,228.0","18,500.0","18,571.0","18,669.0","18,651.0","18,668.0","18,404.0","18,298.0","18,315.0","18,607.0","18,352.0","18,598.0","18,443.0","18,716.0","18,475.0","18,854.0","19,064.0","19,362.0","19,572.0","20,653.0","20,626.0","20,525.0","20,896.0","22,448.0","23,551.0","23,733.0","23,256.0","22,655.0","25,596.0","25,966.0","25,955.0","26,208.0","27,015.0","27,266.0","27,963.0","28,689.0","28,400.0","27,583.0","26,672.0","26,435.0","26,118.0","26,263.0","25,468.0","25,546.0","25,932.0","26,378.0","26,966.0","26,686.0","26,748.0","27,716.0","27,916.0","27,975.0","28,845.0","29,265.0","29,307.0","29,563.0","30,047.0","30,641.0","31,564.0","32,177.0","32,258.0","32,423.0","32,532.0","34,140.0","34,586.0","34,810.0","34,149.0","33,611.0","33,767.0","34,006.0","34,840.0","35,271.0","34,951.0","35,723.0","36,160.0","36,676.0","37,208.0","37,831.0","38,463.0","38,297.0","38,830.0","38,723.0","38,753.0","39,599.0","38,832.0","39,396.0","39,521.0","39,607.0","39,795.0","40,681.0"
