"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,006.0","566,661.0","645,404.0","728,568.0","798,671.0","918,046.0","939,912.0","1,001,121.0","1,113,945.0","1,215,998.0","1,291,688.0","1,405,530.0","1,505,547.0","1,629,778.0","1,710,889.0","1,761,042.0","1,845,958.0","1,950,107.0","2,093,957.0","2,218,245.0","2,382,262.0","2,559,328.0","2,731,702.0","2,903,370.0","3,133,140.0","3,118,180.0","2,967,027.0","3,042,829.0","3,265,077.0","3,663,536.0","4,001,836.0","4,202,408.0","4,041,751.0","3,688,963.0","3,884,982.0","4,077,567.0","4,300,956.0","4,788,622.0"
"20","2","Current tax receipts","W054RC1","228,430.0","229,213.0","240,305.0","273,830.0","299,293.0","328,111.0","334,276.0","383,623.0","430,954.0","484,755.0","537,911.0","585,567.0","663,469.0","659,496.0","694,058.0","762,526.0","823,923.0","868,790.0","965,732.0","1,018,934.0","1,109,155.0","1,161,334.0","1,179,896.0","1,239,693.0","1,317,773.0","1,425,587.0","1,516,693.0","1,641,509.0","1,780,002.0","1,910,756.0","2,035,792.0","2,202,822.0","2,163,699.0","2,001,838.0","2,049,621.0","2,211,881.0","2,551,064.0","2,812,923.0","2,958,437.0","2,776,999.0","2,431,896.0","2,610,606.0","2,869,563.0","3,076,374.0","3,283,576.0"
"21","3","  Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,400,625.0","1,503,692.0","1,661,766.0"
"22","4","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,014.0","1,162,446.0"
"23","5","  Taxes on corporate income","W025RC1","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,253.0","420,717.0","281,084.0","245,988.0","346,318.0","349,581.0","422,669.0","440,200.0"
"24","6","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,983.0","12,130.0","14,611.0","15,279.0","18,799.0","14,827.0","15,709.0","16,731.0","18,000.0","19,163.0"
"25","7","Contributions for government social insurance","W782RC1","44,340.0","46,593.0","51,504.0","59,578.0","76,038.0","85,750.0","89,897.0","101,973.0","113,853.0","132,125.0","153,678.0","167,203.0","196,869.0","210,086.0","227,208.0","258,806.0","282,795.0","304,890.0","324,638.0","363,156.0","386,937.0","412,075.0","432,232.0","457,088.0","479,646.0","510,667.0","535,503.0","557,866.0","590,255.0","627,753.0","664,578.0","709,393.0","736,944.0","755,247.0","783,175.0","833,564.0","878,006.0","927,175.0","966,127.0","993,062.0","969,365.0","989,033.0","922,208.0","955,782.0","1,109,912.0"
"26","8","Income receipts on assets","W058RC1","7,153.0","8,360.0","9,109.0","9,688.0","11,779.0","14,703.0","16,439.0","16,656.0","18,731.0","23,604.0","31,336.0","40,633.0","51,190.0","60,128.0","66,152.0","75,389.0","85,748.0","91,073.0","86,733.0","91,412.0","95,426.0","98,909.0","97,251.0","89,700.0","87,709.0","87,079.0","92,926.0","100,340.0","103,587.0","102,768.0","106,317.0","119,528.0","115,572.0","100,341.0","97,329.0","102,161.0","115,841.0","136,127.0","151,348.0","139,576.0","136,337.0","137,178.0","135,617.0","132,269.0","244,413.0"
"27","9","  Interest and miscellaneous receipts","W059RC1","7,153.0","8,360.0","9,109.0","9,688.0","11,752.0","14,671.0","16,401.0","16,613.0","18,685.0","23,539.0","31,253.0","40,536.0","51,064.0","59,974.0","65,976.0","75,225.0","85,592.0","90,923.0","86,571.0","91,236.0","95,249.0","98,671.0","96,908.0","89,235.0","87,123.0","86,323.0","91,963.0","98,987.0","102,062.0","101,138.0","104,820.0","118,173.0","114,150.0","98,790.0","95,609.0","100,145.0","113,625.0","133,793.0","148,954.0","136,401.0","115,448.0","117,845.0","114,188.0","107,798.0","109,374.0"
"28","10","    Interest receipts \1\","Y703RC1","6,060.0","7,141.0","7,698.0","8,191.0","9,964.0","12,538.0","14,098.0","14,199.0","16,148.0","20,696.0","27,264.0","34,375.0","43,321.0","51,415.0","57,372.0","65,371.0","75,676.0","81,413.0","78,168.0","83,981.0","88,155.0","91,023.0","88,616.0","81,018.0","78,828.0","78,236.0","84,469.0","90,248.0","92,758.0","92,285.0","95,665.0","105,631.0","99,293.0","85,730.0","80,960.0","83,015.0","94,185.0","113,486.0","126,310.0","110,545.0","97,197.0","98,645.0","92,520.0","85,280.0","87,643.0"
"29","11","    Rents and royalties","Y704RC1","1,093.0","1,219.0","1,411.0","1,497.0","1,788.0","2,133.0","2,303.0","2,414.0","2,537.0","2,843.0","3,989.0","6,161.0","7,743.0","8,559.0","8,604.0","9,854.0","9,916.0","9,510.0","8,403.0","7,255.0","7,094.0","7,648.0","8,292.0","8,217.0","8,295.0","8,087.0","7,494.0","8,739.0","9,304.0","8,853.0","9,155.0","12,542.0","14,857.0","13,060.0","14,649.0","17,130.0","19,440.0","20,307.0","22,644.0","25,856.0","18,251.0","19,200.0","21,668.0","22,518.0","21,731.0"
"30","12","  Dividends","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","2,016.0","2,216.0","2,334.0","2,394.0","3,175.0","20,889.0","19,333.0","21,429.0","24,471.0","135,039.0"
"31","13","Current transfer receipts","W060RC1","2,595.0","2,712.0","2,916.0","3,453.0","3,635.0","4,118.0","4,685.0","5,460.0","6,457.0","7,767.0","8,855.0","10,319.0","11,689.0","13,996.0","16,015.0","18,599.0","22,225.0","24,972.0","26,260.0","27,005.0","31,588.0","35,338.0","43,824.0","49,548.0","54,208.0","58,795.0","57,505.0","65,657.0","68,030.0","74,163.0","80,513.0","90,669.0","96,803.0","102,608.0","108,815.0","119,268.0","125,022.0","134,923.0","142,937.0","153,321.0","171,995.0","171,051.0","174,691.0","161,819.0","180,355.0"
"32","14","  From business (net)","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","70,569.0","88,455.0","87,193.0","89,230.0","71,857.0","89,001.0"
"33","15","  From persons","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,461.0","89,962.0","91,354.0"
"34","16","Current surplus of government enterprises \2\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-25,288.0","-29,634.0"
"35","17","    Current expenditures","W022RC1","283,525.0","317,479.0","352,376.0","385,861.0","416,587.0","468,327.0","543,484.0","582,061.0","630,126.0","691,785.0","764,887.0","879,544.0","999,725.0","1,109,640.0","1,204,853.0","1,285,359.0","1,391,351.0","1,483,918.0","1,556,622.0","1,645,902.0","1,778,995.0","1,918,262.0","2,032,345.0","2,216,123.0","2,299,135.0","2,374,608.0","2,490,631.0","2,573,221.0","2,648,815.0","2,713,580.0","2,827,504.0","2,966,720.0","3,169,015.0","3,358,437.0","3,567,113.0","3,772,661.0","4,034,871.0","4,268,273.0","4,540,784.0","4,840,799.0","5,209,724.0","5,450,993.0","5,537,631.0","5,612,652.0","5,662,892.0"
"36","18","Consumption expenditures","A955RC1","180,861.0","194,403.0","210,822.0","227,554.0","240,724.0","266,951.0","298,540.0","316,184.0","342,602.0","371,821.0","405,437.0","454,895.0","507,389.0","553,072.0","594,579.0","631,991.0","688,558.0","736,383.0","776,119.0","819,773.0","881,488.0","947,994.0","1,004,071.0","1,049,253.0","1,074,176.0","1,109,568.0","1,144,482.0","1,176,498.0","1,224,627.0","1,272,113.0","1,357,572.0","1,444,173.0","1,545,131.0","1,651,364.0","1,755,592.0","1,868,942.0","1,980,048.0","2,089,846.0","2,209,721.0","2,368,565.0","2,442,062.0","2,522,209.0","2,530,861.0","2,549,731.0","2,547,591.0"
"37","19","Current transfer payments","A084RC1","64,104.0","77,276.0","92,235.0","102,950.0","115,177.0","135,873.0","171,256.0","184,304.0","195,948.0","210,909.0","235,982.0","281,714.0","318,144.0","354,690.0","382,501.0","395,294.0","420,433.0","446,614.0","464,379.0","493,637.0","538,110.0","592,407.0","628,878.0","756,255.0","804,604.0","839,913.0","882,391.0","929,150.0","954,556.0","978,097.0","1,014,756.0","1,070,878.0","1,168,490.0","1,278,643.0","1,354,638.0","1,440,771.0","1,537,692.0","1,634,515.0","1,746,722.0","1,904,680.0","2,166,940.0","2,300,218.0","2,330,331.0","2,374,504.0","2,437,450.0"
"38","20","  Government social benefits","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,247.0","1,150,776.0","1,255,805.0","1,326,691.0","1,410,565.0","1,497,529.0","1,600,596.0","1,705,482.0","1,862,824.0","2,117,528.0","2,250,475.0","2,274,756.0","2,325,684.0","2,391,079.0"
"39","21","    To persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,579.0","1,141,338.0","1,246,152.0","1,316,601.0","1,399,913.0","1,486,294.0","1,588,169.0","1,692,166.0","1,847,348.0","2,101,512.0","2,233,958.0","2,257,678.0","2,307,612.0","2,372,187.0"
"40","22","    To the rest of the world \3\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,653.0","10,090.0","10,652.0","11,235.0","12,427.0","13,316.0","15,476.0","16,016.0","16,517.0","17,078.0","18,072.0","18,892.0"
"41","23","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,616.0","21,631.0","17,714.0","22,838.0","27,947.0","30,206.0","40,163.0","33,919.0","41,240.0","41,856.0","49,412.0","49,743.0","55,575.0","48,820.0","46,371.0"
"42","24","Interest payments \1\","A180RC1","34,026.0","41,023.0","44,644.0","48,721.0","55,456.0","62,196.0","69,194.0","76,448.0","84,476.0","100,119.0","114,937.0","133,135.0","162,719.0","186,861.0","206,469.0","237,009.0","261,000.0","276,026.0","285,842.0","302,990.0","331,969.0","350,868.0","371,908.0","380,527.0","383,674.0","392,604.0","428,946.0","432,339.0","435,822.0","427,002.0","409,967.0","405,829.0","396,672.0","387,040.0","407,826.0","416,561.0","456,221.0","492,445.0","529,756.0","514,996.0","542,374.0","572,705.0","616,374.0","630,385.0","617,688.0"
"43","25","  To persons and business \1\","A204RC1","33,249.0","40,074.0","42,892.0","46,170.0","51,805.0","58,149.0","64,861.0","72,178.0","79,239.0","91,886.0","104,380.0","121,269.0","146,443.0","168,870.0","188,409.0","216,842.0","238,846.0","252,682.0","261,738.0","274,235.0","297,428.0","314,802.0","335,839.0","346,255.0","349,510.0","356,249.0","381,859.0","375,575.0","366,130.0","354,918.0","343,220.0","341,444.0","339,588.0","337,723.0","360,401.0","361,744.0","388,229.0","406,572.0","430,714.0","414,950.0","450,988.0","477,808.0","516,343.0","531,675.0","510,152.0"
"44","26","  To the rest of the world","Y712RC1","777.0","949.0","1,752.0","2,551.0","3,651.0","4,047.0","4,333.0","4,270.0","5,237.0","8,233.0","10,557.0","11,866.0","16,276.0","17,991.0","18,060.0","20,167.0","22,154.0","23,344.0","24,104.0","28,755.0","34,541.0","36,066.0","36,069.0","34,272.0","34,164.0","36,355.0","47,087.0","56,764.0","69,692.0","72,084.0","66,747.0","64,384.0","57,086.0","49,317.0","47,424.0","54,817.0","67,991.0","85,872.0","99,041.0","100,044.0","91,386.0","94,896.0","100,031.0","98,711.0","107,536.0"
"45","27","Subsidies \2\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","60,065.0","58,032.0","60,163.0"
"46","28","    Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,055.0","-63,465.0","-46,381.0","-36,319.0","-80,873.0","-81,679.0","-169,728.0","-203,732.0","-171,414.0","-175,353.0","-192,230.0","-151,092.0","-140,355.0","-149,217.0","-207,373.0","-271,303.0","-370,165.0","-349,028.0","-280,651.0","-272,386.0","-190,959.0","-89,487.0","18,122.0","75,866.0","166,420.0","-50,835.0","-391,410.0","-524,284.0","-507,584.0","-371,335.0","-266,437.0","-338,376.0","-799,048.0","-1,520,761.0","-1,566,011.0","-1,460,064.0","-1,311,696.0","-874,270.0"
"47","29","Social insurance funds","A221RC1","5,856.0","1,141.0","-2,778.0","-381.0","6,187.0","3,587.0","-15,814.0","-15,420.0","-13,072.0","-3,209.0","1,729.0","-14,455.0","-12,974.0","-33,150.0","-36,645.0","-7,933.0","2,193.0","7,515.0","16,651.0","41,574.0","44,973.0","44,358.0","27,017.0","8,504.0","7,025.0","19,991.0","19,668.0","15,732.0","30,115.0","59,974.0","94,246.0","116,262.0","90,745.0","51,131.0","41,077.0","58,491.0","55,684.0","16,396.0","-1,390.0","-53,194.0","-250,962.0","-287,734.0","-266,546.0","-283,427.0","-282,903.0"
"48","30","Other","A391RC1","-6,858.0","-32,941.0","-47,463.0","-40,087.0","-34,234.0","-41,916.0","-86,727.0","-61,636.0","-50,393.0","-43,172.0","-38,048.0","-66,417.0","-68,705.0","-136,578.0","-167,087.0","-163,481.0","-177,547.0","-199,745.0","-167,744.0","-181,930.0","-194,190.0","-251,730.0","-298,321.0","-378,671.0","-356,053.0","-300,642.0","-292,053.0","-206,692.0","-119,602.0","-41,852.0","-18,379.0","50,158.0","-141,581.0","-442,542.0","-565,363.0","-566,075.0","-427,020.0","-282,833.0","-336,988.0","-745,853.0","-1,269,796.0","-1,278,277.0","-1,193,518.0","-1,028,268.0","-591,366.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","31","  Total receipts","W066RC1","287,148.0","290,443.0","307,933.0","352,197.0","395,142.0","436,297.0","447,391.0","512,242.0","575,937.0","652,593.0","736,109.0","807,449.0","927,308.0","950,015.0","1,009,411.0","1,122,305.0","1,224,932.0","1,301,707.0","1,416,106.0","1,516,661.0","1,642,213.0","1,726,644.0","1,776,639.0","1,861,753.0","1,967,744.0","2,114,185.0","2,238,284.0","2,405,372.0","2,586,302.0","2,764,095.0","2,940,075.0","3,168,780.0","3,155,602.0","2,999,676.0","3,070,795.0","3,295,335.0","3,695,891.0","4,034,764.0","4,233,917.0","4,075,614.0","3,713,880.0","3,904,707.0","4,091,946.0","4,322,615.0","4,814,772.0"
"51","32","    Current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,006.0","566,661.0","645,404.0","728,568.0","798,671.0","918,046.0","939,912.0","1,001,121.0","1,113,945.0","1,215,998.0","1,291,688.0","1,405,530.0","1,505,547.0","1,629,778.0","1,710,889.0","1,761,042.0","1,845,958.0","1,950,107.0","2,093,957.0","2,218,245.0","2,382,262.0","2,559,328.0","2,731,702.0","2,903,370.0","3,133,140.0","3,118,180.0","2,967,027.0","3,042,829.0","3,265,077.0","3,663,536.0","4,001,836.0","4,202,408.0","4,041,751.0","3,688,963.0","3,884,982.0","4,077,567.0","4,300,956.0","4,788,622.0"
"52","33","    Capital transfer receipts","W067RC1","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","37,422.0","32,649.0","27,966.0","30,258.0","32,355.0","32,928.0","31,509.0","33,863.0","24,917.0","19,725.0","14,379.0","21,659.0","26,150.0"
"53","34","  Total expenditures","W068RC1","308,800.0","339,706.0","370,999.0","404,312.0","434,348.0","487,941.0","570,944.0","608,612.0","656,436.0","725,797.0","804,085.0","922,978.0","1,040,997.0","1,151,499.0","1,251,671.0","1,346,430.0","1,472,989.0","1,572,172.0","1,653,484.0","1,734,530.0","1,867,895.0","2,023,105.0","2,128,962.0","2,302,941.0","2,374,258.0","2,445,057.0","2,557,395.0","2,649,623.0","2,725,909.0","2,801,457.0","2,942,913.0","3,087,643.0","3,305,316.0","3,523,042.0","3,755,146.0","3,970,859.0","4,252,201.0","4,464,562.0","4,769,045.0","5,130,574.0","5,560,938.0","5,723,669.0","5,758,674.0","5,775,052.0","5,772,308.0"
