"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Exports of goods and services","A020RX1","1,126,437.0","1,137,911.0","1,171,342.0","1,200,895.0","1,219,158.0","1,254,745.0","1,285,516.0","1,274,312.0","1,254,496.0","1,213,044.0","1,154,073.0","1,117,993.0","1,140,855.0","1,172,095.0","1,180,452.0","1,164,472.0","1,157,558.0","1,156,225.0","1,187,033.0","1,239,236.0","1,276,616.0","1,293,076.0","1,300,553.0","1,332,074.0","1,352,648.0","1,377,637.0","1,379,208.0","1,418,128.0","1,470,959.0","1,498,504.0","1,495,517.0","1,562,099.0","1,587,671.0","1,615,651.0","1,665,560.0","1,716,692.0","1,737,937.0","1,790,015.0","1,766,117.0","1,669,231.0","1,535,344.0","1,539,374.0","1,593,341.0","1,682,902.0","1,708,162.0","1,748,067.0","1,797,508.0","1,852,641.0","1,862,301.0","1,890,682.0","1,910,595.0","1,929,669.0","1,935,988.0","1,958,862.0","1,969,127.0","1,976,463.0","1,972,302.0","2,002,764.0","2,027,684.0","2,076,516.0","2,026,902.0","2,080,726.0","2,103,965.0"
"21","2","Exports of goods \1\","A253RX1","793,846.0","805,089.0","826,041.0","852,619.0","869,283.0","895,520.0","928,409.0","915,689.0","902,081.0","866,076.0","818,378.0","800,292.0","798,856.0","826,930.0","832,279.0","813,137.0","815,411.0","815,508.0","832,693.0","868,957.0","885,982.0","899,342.0","907,836.0","924,841.0","942,528.0","971,679.0","970,233.0","997,772.0","1,041,868.0","1,056,851.0","1,058,339.0","1,091,003.0","1,105,556.0","1,122,789.0","1,155,819.0","1,181,685.0","1,211,751.0","1,249,042.0","1,241,246.0","1,144,073.0","1,027,627.0","1,020,751.0","1,070,858.0","1,141,229.0","1,173,711.0","1,204,078.0","1,229,948.0","1,265,370.0","1,274,037.0","1,289,521.0","1,300,479.0","1,326,179.0","1,331,199.0","1,348,503.0","1,355,340.0","1,344,731.0","1,341,832.0","1,368,860.0","1,388,031.0","1,432,951.0","1,388,101.0","1,435,398.0","1,461,627.0"
"22","3","  Foods, feeds, and beverages","B638RX1","69,346.0","73,224.0","77,403.0","75,571.0","75,629.0","76,286.0","81,885.0","76,547.0","80,144.0","80,713.0","78,090.0","79,722.0","79,941.0","79,442.0","77,435.0","75,312.0","79,338.0","77,756.0","80,349.0","80,067.0","74,784.0","68,717.0","73,696.0","80,943.0","78,533.0","79,958.0","76,090.0","79,698.0","82,809.0","85,053.0","85,947.0","85,385.0","87,068.0","87,697.0","95,431.0","98,580.0","102,091.0","100,749.0","97,911.0","92,837.0","89,026.0","93,202.0","92,564.0","100,843.0","104,107.0","97,195.0","103,268.0","109,899.0","106,163.0","103,773.0","100,948.0","102,249.0","97,990.0","104,980.0","109,208.0","97,097.0","101,015.0","94,888.0","102,722.0","119,543.0","111,566.0","106,763.0","104,309.0"
"23","4","  Industrial supplies and materials","A639RX1","205,856.0","210,667.0","212,533.0","223,349.0","227,913.0","228,272.0","236,481.0","235,171.0","229,514.0","222,646.0","219,404.0","218,654.0","218,400.0","226,974.0","224,616.0","224,556.0","229,686.0","227,246.0","228,682.0","234,137.0","242,697.0","246,143.0","243,860.0","248,716.0","250,249.0","257,869.0","250,699.0","246,894.0","264,099.0","271,182.0","267,355.0","277,509.0","277,191.0","281,109.0","285,957.0","293,630.0","309,764.0","325,538.0","324,929.0","302,319.0","274,245.0","280,884.0","305,572.0","313,460.0","325,117.0","338,888.0","341,321.0","352,119.0","356,454.0","357,636.0","360,404.0","371,574.0","363,731.0","370,831.0","367,070.0","368,553.0","367,971.0","374,688.0","386,014.0","401,368.0","375,916.0","397,798.0","408,799.0"
"24","5","    Durable goods","B686RX1","71,211.0","72,909.0","74,400.0","78,873.0","83,955.0","84,839.0","85,420.0","86,110.0","83,052.0","78,546.0","75,216.0","73,712.0","69,979.0","73,941.0","73,336.0","73,048.0","73,939.0","74,960.0","73,695.0","75,190.0","80,633.0","81,062.0","79,906.0","81,150.0","82,012.0","85,180.0","88,745.0","91,073.0","93,858.0","94,191.0","93,581.0","98,621.0","97,801.0","98,803.0","101,207.0","103,737.0","106,839.0","115,350.0","114,555.0","107,109.0","91,746.0","91,426.0","97,649.0","103,058.0","106,691.0","113,875.0","111,728.0","116,910.0","115,256.0","117,547.0","116,137.0","116,169.0","118,041.0","117,740.0","115,658.0","113,040.0","116,130.0","114,327.0","117,582.0","119,262.0","118,450.0","120,225.0","123,897.0"
"25","6","    Nondurable goods","B687RX1","134,867.0","137,980.0","138,268.0","144,569.0","143,879.0","143,338.0","151,030.0","149,037.0","146,464.0","144,127.0","144,287.0","145,110.0","148,918.0","153,410.0","151,628.0","151,867.0","156,149.0","152,644.0","155,421.0","159,409.0","162,420.0","165,475.0","164,352.0","167,961.0","168,581.0","172,979.0","162,171.0","156,045.0","170,471.0","177,283.0","174,017.0","179,044.0","179,616.0","182,564.0","184,981.0","190,115.0","203,075.0","210,504.0","210,602.0","195,467.0","182,523.0","189,464.0","207,911.0","210,385.0","218,415.0","225,082.0","229,562.0","235,273.0","241,026.0","240,146.0","244,037.0","254,761.0","245,569.0","252,648.0","250,872.0","254,642.0","251,339.0","259,381.0","267,397.0","280,629.0","257,057.0","276,377.0","283,719.0"
"26","7","  Capital goods, except automotive","A640RX1","290,975.0","291,117.0","306,709.0","317,086.0","321,487.0","346,887.0","362,526.0","356,458.0","352,376.0","321,254.0","293,966.0","281,998.0","278,730.0","288,055.0","292,188.0","282,136.0","279,782.0","280,469.0","292,143.0","315,733.0","321,964.0","325,600.0","329,185.0","331,043.0","340,027.0","356,083.0","355,566.0","375,402.0","389,751.0","399,553.0","398,238.0","409,830.0","415,253.0","422,262.0","439,709.0","449,942.0","457,595.0","471,195.0","471,776.0","430,085.0","394,556.0","379,367.0","384,237.0","407,827.0","421,739.0","440,804.0","453,168.0","464,808.0","468,778.0","486,673.0","491,484.0","501,965.0","516,083.0","513,261.0","519,881.0","513,991.0","508,312.0","524,187.0","521,121.0","523,606.0","521,846.0","530,152.0","538,023.0"
"27","8","    Civilian aircraft, engines, and parts","B688RX1","86,965.0","76,336.0","80,107.0","79,573.0","65,650.0","75,722.0","70,044.0","68,074.0","78,708.0","75,593.0","69,456.0","65,532.0","66,758.0","67,858.0","71,552.0","63,645.0","60,249.0","56,731.0","58,762.0","66,064.0","59,464.0","55,939.0","57,759.0","57,171.0","62,537.0","71,977.0","64,014.0","69,019.0","72,744.0","73,725.0","72,218.0","77,927.0","76,568.0","76,235.0","83,557.0","84,924.0","81,062.0","82,044.0","82,450.0","65,074.0","78,525.0","75,309.0","70,907.0","74,281.0","69,662.0","69,399.0","70,824.0","70,387.0","69,935.0","74,186.0","76,897.0","80,999.0","87,106.0","80,647.0","87,845.0","89,325.0","86,801.0","95,965.0","99,102.0","94,802.0","91,607.0","99,279.0","100,113.0"
"28","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Other","B689RX1","191,021.0","195,337.0","206,221.0","215,758.0","225,603.0","239,298.0","254,972.0","251,947.0","242,104.0","218,943.0","199,402.0","192,797.0","190,944.0","198,079.0","200,058.0","194,811.0","195,237.0","199,080.0","206,279.0","222,026.0","234,245.0","240,505.0","240,988.0","241,982.0","244,926.0","250,451.0","255,644.0","270,666.0","279,895.0","287,839.0","289,025.0","293,688.0","298,959.0","308,008.0","317,817.0","326,966.0","337,040.0","345,948.0","345,828.0","327,033.0","279,081.0","268,147.0","275,358.0","293,513.0","309,209.0","328,004.0","337,174.0","346,648.0","348,769.0","361,070.0","361,232.0","367,483.0","373,911.0","379,886.0","379,411.0","372,318.0","368,871.0","374,012.0","367,645.0","374,616.0","374,763.0","375,399.0","381,540.0"
"30","11","  Automotive vehicles, engines, and parts","B641RX1","80,168.0","81,678.0","82,926.0","83,910.0","90,672.0","86,582.0","85,311.0","84,562.0","79,169.0","82,495.0","82,156.0","80,593.0","80,422.0","86,842.0","86,240.0","84,276.0","84,807.0","87,186.0","83,127.0","87,472.0","89,166.0","92,558.0","96,950.0","97,783.0","99,315.0","99,719.0","102,782.0","108,350.0","110,435.0","108,942.0","109,386.0","112,882.0","117,310.0","124,755.0","126,067.0","125,494.0","124,344.0","127,412.0","130,678.0","106,776.0","68,248.0","68,097.0","88,394.0","102,117.0","106,088.0","110,679.0","111,983.0","117,157.0","126,277.0","126,679.0","133,130.0","134,486.0","140,791.0","141,747.0","139,883.0","139,426.0","141,295.0","146,658.0","148,018.0","147,335.0","142,152.0","151,591.0","160,914.0"
"31","12","  Consumer goods, except food and automotive","A642RX1","85,184.0","85,929.0","87,637.0","91,056.0","94,298.0","95,458.0","98,425.0","96,539.0","100,102.0","99,101.0","91,969.0","90,525.0","89,724.0","91,770.0","92,806.0","92,138.0","94,038.0","94,973.0","98,342.0","101,015.0","104,896.0","110,090.0","111,217.0","115,540.0","118,139.0","120,786.0","122,800.0","126,104.0","130,574.0","133,005.0","134,669.0","141,142.0","145,799.0","147,562.0","150,949.0","152,860.0","158,877.0","164,724.0","167,255.0","155,170.0","145,250.0","145,160.0","149,258.0","157,478.0","161,645.0","158,418.0","162,287.0","170,201.0","166,083.0","171,368.0","171,130.0","173,612.0","171,281.0","174,611.0","174,621.0","175,698.0","176,035.0","188,952.0","182,818.0","184,758.0","189,933.0","197,231.0","197,197.0"
"32","13","    Durable goods","B690RX1","42,124.0","43,882.0","45,091.0","47,948.0","49,730.0","48,883.0","50,702.0","49,345.0","52,319.0","51,658.0","47,520.0","45,651.0","46,258.0","47,045.0","47,728.0","46,205.0","46,203.0","47,502.0","49,623.0","52,229.0","52,986.0","56,385.0","58,314.0","60,374.0","62,434.0","63,779.0","66,265.0","67,465.0","70,366.0","73,122.0","73,667.0","77,781.0","80,821.0","83,437.0","85,587.0","89,537.0","92,892.0","96,053.0","94,521.0","81,418.0","72,604.0","71,338.0","76,437.0","80,730.0","82,992.0","87,142.0","90,024.0","93,635.0","94,339.0","97,330.0","97,338.0","98,413.0","97,896.0","97,032.0","95,787.0","96,740.0","98,469.0","108,579.0","101,176.0","107,043.0","108,374.0","112,871.0","111,609.0"
"33","14","    Nondurable goods","B691RX1","43,195.0","42,153.0","42,646.0","43,187.0","44,646.0","46,691.0","47,832.0","47,310.0","47,867.0","47,531.0","44,547.0","45,016.0","43,563.0","44,840.0","45,188.0","46,090.0","48,032.0","47,636.0","48,873.0","48,895.0","52,066.0","53,847.0","53,013.0","55,286.0","55,809.0","57,114.0","56,608.0","58,730.0","60,291.0","59,941.0","61,064.0","63,414.0","65,023.0","64,167.0","65,405.0","63,408.0","66,074.0","68,756.0","72,760.0","73,764.0","72,668.0","73,835.0","72,812.0","76,721.0","78,610.0","71,474.0","72,494.0","76,771.0","72,094.0","74,405.0","74,168.0","75,562.0","73,773.0","77,857.0","79,060.0","79,194.0","77,872.0","80,855.0","81,896.0","78,219.0","82,015.0","84,840.0","86,038.0"
"34","15","  Other \3\","A643RX1","65,167.0","67,442.0","61,868.0","64,263.0","61,243.0","60,095.0","62,326.0","64,308.0","59,292.0","62,668.0","59,065.0","57,581.0","61,265.0","62,849.0","66,441.0","63,149.0","57,985.0","56,965.0","58,528.0","56,426.0","57,774.0","60,590.0","57,193.0","56,609.0","60,992.0","61,535.0","65,839.0","64,832.0","67,819.0","62,710.0","67,004.0","68,050.0","67,262.0","63,813.0","63,066.0","66,441.0","63,157.0","62,889.0","52,617.0","58,044.0","56,560.0","53,996.0","50,613.0","59,510.0","55,211.0","57,729.0","58,146.0","51,302.0","50,457.0","45,671.0","46,390.0","44,548.0","47,163.0","47,182.0","49,153.0","55,848.0","51,889.0","47,209.0","51,401.0","56,157.0","51,298.0","56,215.0","56,964.0"
"35","16","Exports of services \1\","A646RX1","331,698.0","331,665.0","344,172.0","346,820.0","348,254.0","357,551.0","354,926.0","356,662.0","350,445.0","345,337.0","334,395.0","316,097.0","341,119.0","344,023.0","347,039.0","350,573.0","341,056.0","339,586.0","353,384.0","369,314.0","390,089.0","393,089.0","391,883.0","406,607.0","409,318.0","404,813.0","407,872.0","419,209.0","427,753.0","440,385.0","435,806.0","470,115.0","481,207.0","491,998.0","508,892.0","534,446.0","525,025.0","539,825.0","523,360.0","524,909.0","507,641.0","518,654.0","522,539.0","541,662.0","534,183.0","543,579.0","567,245.0","587,022.0","587,967.0","601,158.0","610,331.0","602,969.0","604,249.0","609,740.0","613,161.0","631,769.0","630,448.0","633,618.0","639,274.0","642,898.0","638,365.0","644,708.0","641,649.0"
"36","17","  Transport","Y800RX1","60,558.0","59,935.0","60,388.0","60,870.0","60,255.0","61,331.0","59,594.0","59,938.0","59,592.0","58,017.0","54,124.0","48,733.0","55,117.0","54,856.0","54,259.0","56,063.0","50,884.0","49,914.0","50,915.0","53,382.0","54,337.0","55,050.0","55,279.0","52,972.0","54,874.0","56,045.0","56,356.0","59,175.0","59,704.0","59,716.0","60,503.0","61,442.0","64,004.0","63,572.0","67,015.0","68,442.0","70,724.0","69,988.0","68,998.0","65,232.0","60,911.0","61,912.0","62,868.0","63,067.0","64,115.0","65,966.0","66,177.0","67,212.0","66,622.0","67,154.0","69,003.0","68,035.0","68,150.0","68,956.0","68,324.0","69,746.0","71,300.0","72,680.0","71,648.0","73,581.0","73,981.0","75,255.0","75,692.0"
"37","18","  Travel (for all purposes including education)","Y801RX1","131,838.0","130,707.0","137,034.0","134,992.0","137,334.0","141,198.0","138,991.0","136,799.0","133,836.0","125,554.0","118,545.0","96,793.0","112,172.0","112,636.0","111,012.0","111,500.0","104,044.0","100,599.0","109,340.0","112,877.0","117,285.0","118,148.0","117,036.0","118,814.0","115,192.0","115,137.0","110,456.0","109,709.0","109,089.0","110,019.0","112,036.0","114,695.0","116,852.0","118,619.0","121,622.0","129,021.0","132,742.0","134,461.0","128,271.0","125,850.0","117,440.0","118,425.0","121,153.0","122,591.0","127,618.0","130,582.0","135,249.0","138,067.0","135,970.0","141,830.0","139,467.0","139,623.0","140,073.0","145,405.0","146,565.0","146,531.0","151,882.0","152,651.0","154,848.0","156,411.0","157,622.0","161,148.0","161,456.0"
"38","19","  Charges for the use of intellectual property n.e.c.","B684RX1","60,112.0","59,857.0","61,674.0","61,478.0","64,137.0","64,838.0","64,798.0","63,604.0","60,248.0","60,502.0","58,817.0","61,317.0","61,331.0","65,339.0","67,120.0","64,426.0","64,643.0","65,793.0","67,618.0","68,244.0","73,955.0","73,873.0","75,925.0","81,420.0","82,916.0","81,112.0","81,176.0","81,377.0","85,886.0","88,887.0","85,803.0","93,923.0","94,665.0","98,223.0","102,983.0","107,119.0","103,022.0","101,896.0","102,430.0","100,336.0","91,569.0","96,005.0","95,112.0","110,938.0","105,237.0","103,796.0","104,713.0","109,763.0","117,765.0","117,831.0","120,866.0","117,453.0","117,861.0","116,306.0","117,881.0","121,964.0","120,805.0","121,615.0","121,415.0","118,276.0","119,183.0","119,848.0","120,025.0"
"39","20","  Other business services \4\","Y802RX1","70,688.0","71,765.0","75,005.0","78,793.0","76,961.0","79,162.0","79,604.0","83,929.0","85,388.0","87,813.0","87,532.0","91,853.0","96,760.0","95,990.0","97,680.0","102,263.0","103,888.0","105,102.0","105,947.0","114,283.0","122,163.0","124,212.0","121,130.0","131,705.0","130,848.0","126,652.0","133,331.0","144,428.0","145,597.0","150,637.0","148,655.0","170,210.0","174,202.0","186,267.0","189,731.0","193,507.0","191,149.0","203,643.0","196,871.0","206,433.0","209,821.0","210,748.0","207,283.0","215,749.0","208,223.0","213,942.0","231,417.0","243,813.0","235,010.0","239,421.0","246,224.0","244,368.0","244,188.0","245,817.0","247,135.0","259,338.0","252,409.0","252,828.0","257,111.0","262,907.0","256,929.0","260,073.0","256,664.0"
"40","21","  Government goods and services n.e.c.","Y803RX1","10,591.0","11,392.0","12,365.0","11,253.0","10,852.0","12,858.0","13,656.0","12,949.0","10,900.0","11,511.0","12,393.0","10,028.0","10,346.0","9,669.0","11,039.0","9,482.0","9,342.0","9,316.0","12,092.0","12,826.0","14,458.0","13,646.0","14,216.0","12,567.0","16,524.0","17,117.0","17,423.0","15,035.0","18,006.0","21,923.0","19,793.0","20,869.0","22,489.0","16,491.0","18,293.0","27,876.0","18,294.0","20,505.0","17,162.0","17,008.0","16,965.0","19,965.0","24,679.0","17,724.0","18,140.0","18,496.0","19,294.0","17,650.0","21,290.0","23,139.0","22,597.0","21,194.0","22,080.0","21,457.0","21,898.0","23,529.0","23,132.0","22,645.0","23,158.0","20,241.0","18,854.0","16,321.0","15,446.0"
"41","22","  Other","B980RX1","9,904.0","9,670.0","9,828.0","10,055.0","10,068.0","10,057.0","9,759.0","9,500.0","9,287.0","9,162.0","9,101.0","9,009.0","8,916.0","9,112.0","9,172.0","9,365.0","9,323.0","9,296.0","9,155.0","9,028.0","9,043.0","9,135.0","9,371.0","9,475.0","9,336.0","9,285.0","9,309.0","9,288.0","9,421.0","9,314.0","9,111.0","9,004.0","9,087.0","8,849.0","9,277.0","8,965.0","9,042.0","9,393.0","9,495.0","10,138.0","10,984.0","11,604.0","11,412.0","11,573.0","10,700.0","10,598.0","10,489.0","10,794.0","11,667.0","12,173.0","12,660.0","12,710.0","12,324.0","11,983.0","11,705.0","11,475.0","11,143.0","11,268.0","11,342.0","11,490.0","11,565.0","11,632.0","11,745.0"
"42","23","Residual","A977RX1","-26,600.0","-23,000.0","-21,800.0","-19,000.0","-12,100.0","-10,200.0","-6,300.0","-4,300.0","-7,900.0","-12,200.0","-14,400.0","-12,100.0","-17,000.0","-15,600.0","-14,900.0","-13,400.0","-12,400.0","-10,200.0","-10,500.0","-8,600.0","-7,200.0","-5,000.0","-4,700.0","-5,400.0","-4,300.0","-4,900.0","-2,100.0","-2,300.0","-2,400.0","-2,400.0","-3,200.0","-3,300.0","-3,900.0","-4,000.0","-5,500.0","-6,100.0","-3,200.0","-2,700.0","-2,500.0","-800.0","-200.0","200.0","100.0","100.0","300.0","600.0","-300.0","-900.0","-1,100.0","-3,500.0","-4,300.0","-2,100.0","-6,200.0","-3,700.0","-3,700.0","-5,200.0","-4,400.0","-6,200.0","-1,800.0","2,600.0","-4,100.0","-1,500.0","-1,400.0"
