"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA
"2","Annual data from 1967 To 1969",NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA
"5","File created 8/20/2014 3:20:10 PM",NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1967","1968","1969"
"19","1","    Exports of goods and services","B020RC1","43,466.0","47,907.0","51,922.0"
"20","2","Exports of goods \1\","A253RC1","32,546.0","35,722.0","38,744.0"
"21","3","  Foods, feeds, and beverages","B638RC1","4,999.0","4,806.0","4,699.0"
"22","4","  Industrial supplies and materials","A639RC1","9,998.0","11,046.0","11,679.0"
"23","5","    Durable goods","B686RC1","3,657.0","4,182.0","4,679.0"
"24","6","    Nondurable goods","B687RC1","6,341.0","6,864.0","7,000.0"
"25","7","  Capital goods, except automotive","A640RC1","9,934.0","11,111.0","12,423.0"
"26","8","    Civilian aircraft, engines, and parts","B688RC1","790.0","1,405.0","1,266.0"
"27","9","    Computers, peripherals, and parts","B850RC1","545.0","585.0","786.0"
"28","10","    Other","B689RC1","8,599.0","9,121.0","10,371.0"
"29","11","  Automotive vehicles, engines, and parts","B641RC1","2,784.0","3,453.0","3,931.0"
"30","12","  Consumer goods, except food and automotive","A642RC1","2,111.0","2,334.0","2,604.0"
