"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"20","2","Nonresidential","A008RC1","25,471.0","28,879.0","26,946.0","30,018.0","34,183.0","34,895.0","38,768.0","38,563.0","43,369.0","49,745.0","53,097.0","48,492.0","53,121.0","56,389.0","56,594.0","61,232.0","64,805.0","72,232.0","85,233.0","97,172.0","99,206.0","107,670.0","120,012.0"
"21","3","  Structures","B009RC1","8,137.0","9,526.0","9,178.0","9,957.0","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"22","4","    Commercial and health care","W001RC1","1,082.0","1,540.0","1,394.0","1,777.0","1,938.0","1,557.0","2,134.0","2,575.0","3,415.0","4,199.0","4,143.0","4,237.0","4,556.0","4,836.0","5,492.0","6,186.0","6,096.0","6,758.0","8,170.0","8,257.0","8,186.0","9,403.0","11,665.0"
"23","5","    Manufacturing","C307RC1","1,702.0","1,397.0","972.0","1,062.0","2,117.0","2,320.0","2,229.0","2,030.0","2,259.0","3,224.0","3,557.0","2,382.0","2,106.0","2,851.0","2,780.0","2,842.0","2,906.0","3,565.0","5,092.0","6,566.0","5,956.0","6,021.0","6,807.0"
"24","6","    Power and communication","W003RC1","1,842.0","2,438.0","2,680.0","2,776.0","3,025.0","3,119.0","3,598.0","3,344.0","3,262.0","4,142.0","4,521.0","4,396.0","4,307.0","4,371.0","4,085.0","4,066.0","4,355.0","4,754.0","5,385.0","6,291.0","7,093.0","8,281.0","8,670.0"
"25","7","    Mining exploration, shafts, and wells \1\","E318RC1","903.0","1,233.0","1,216.0","1,435.0","1,709.0","1,950.0","2,144.0","2,306.0","2,522.0","2,653.0","2,603.0","2,369.0","2,521.0","2,339.0","2,324.0","2,485.0","2,251.0","2,415.0","2,435.0","2,453.0","2,430.0","2,560.0","2,795.0"
"26","8","    Other structures \2\","W004RC1","2,608.0","2,918.0","2,916.0","2,907.0","3,165.0","3,278.0","3,465.0","3,610.0","3,699.0","3,962.0","4,126.0","4,245.0","4,659.0","5,171.0","5,034.0","5,199.0","5,591.0","6,245.0","7,239.0","7,782.0","7,846.0","7,292.0","7,761.0"
"27","9","  Equipment","Y033RC1","15,316.0","17,280.0","15,732.0","17,799.0","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,876.0","28,345.0","29,679.0","28,904.0","32,056.0","34,367.0","38,684.0","45,779.0","53,023.0","53,693.0","58,532.0","65,163.0"
"28","10","    Information processing equipment","Y034RC1","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,606.0","3,974.0","4,742.0","5,094.0","5,486.0","6,094.0","6,823.0","7,840.0","9,652.0","10,105.0","10,597.0","12,821.0"
"29","11","      Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","192.0","261.0","347.0","734.0","927.0","1,163.0","1,698.0","1,869.0","1,925.0","2,440.0"
"30","12","      Other \3\","A937RC1","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,599.0","3,954.0","4,550.0","4,833.0","5,139.0","5,360.0","5,896.0","6,677.0","7,954.0","8,236.0","8,672.0","10,381.0"
"31","13","    Industrial equipment","A680RC1","4,599.0","4,610.0","3,723.0","4,477.0","5,669.0","5,929.0","6,715.0","7,050.0","7,252.0","8,844.0","9,625.0","8,211.0","8,525.0","9,375.0","8,801.0","9,253.0","10,027.0","11,433.0","13,680.0","16,150.0","16,919.0","17,280.0","19,051.0"
"32","14","    Transportation equipment","A681RC1","4,916.0","5,482.0","5,703.0","6,425.0","6,563.0","5,742.0","6,577.0","6,013.0","7,503.0","7,401.0","8,265.0","6,115.0","8,273.0","8,509.0","8,026.0","9,789.0","9,432.0","10,577.0","13,215.0","14,518.0","14,266.0","17,629.0","18,890.0"
"33","15","    Other equipment \4\","A862RC1","4,078.0","5,379.0","4,678.0","5,056.0","5,493.0","5,593.0","5,573.0","5,325.0","6,315.0","6,743.0","6,689.0","6,944.0","7,573.0","7,053.0","6,983.0","7,528.0","8,814.0","9,851.0","11,044.0","12,703.0","12,403.0","13,026.0","14,401.0"
"34","16","  Intellectual property products","Y001RC1","2,018.0","2,073.0","2,036.0","2,262.0","2,355.0","2,977.0","3,667.0","3,886.0","4,324.0","5,222.0","5,586.0","5,987.0","6,627.0","7,142.0","7,975.0","8,398.0","9,239.0","9,811.0","11,133.0","12,800.0","14,002.0","15,581.0","17,151.0"
"35","17","    Software \5\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14.0","127.0","167.0","221.0","433.0","541.0","677.0","1,011.0","1,172.0","1,318.0","1,790.0"
"36","18","    Research and development \6\","Y006RC1","1,050.0","1,138.0","974.0","1,191.0","1,372.0","1,882.0","2,403.0","2,535.0","2,692.0","3,569.0","3,724.0","3,991.0","4,380.0","4,865.0","5,156.0","5,590.0","5,983.0","6,486.0","7,216.0","8,080.0","8,988.0","9,924.0","10,981.0"
"37","19","    Entertainment, literary, and artistic originals","Y020RC1","968.0","935.0","1,062.0","1,071.0","983.0","1,095.0","1,264.0","1,351.0","1,632.0","1,653.0","1,862.0","1,996.0","2,233.0","2,150.0","2,652.0","2,587.0","2,823.0","2,784.0","3,240.0","3,709.0","3,842.0","4,339.0","4,380.0"
"38","20","Residential","A011RC1","12,209.0","15,808.0","14,841.0","20,744.0","18,661.0","18,858.0","19,699.0","21,442.0","25,403.0","23,987.0","22,631.0","22,823.0","28,628.0","26,856.0","27,011.0","29,643.0","32,855.0","35,100.0","35,163.0","33,378.0","33,627.0","40,199.0","44,375.0"
"39","21","  Structures","A012RC1","11,908.0","15,478.0","14,542.0","20,369.0","18,290.0","18,490.0","19,313.0","21,051.0","24,971.0","23,529.0","22,176.0","22,347.0","28,058.0","26,327.0","26,490.0","29,103.0","32,263.0","34,472.0","34,476.0","32,686.0","32,916.0","39,333.0","43,365.0"
"40","22","    Permanent site","A943RC1","8,280.0","11,155.0","10,687.0","16,126.0","13,802.0","13,368.0","13,915.0","15,377.0","18,580.0","16,518.0","15,073.0","15,445.0","19,673.0","17,497.0","17,405.0","19,946.0","22,414.0","24,098.0","23,846.0","21,811.0","21,541.0","26,723.0","29,224.0"
"41","23","      Single family","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,131.0","16,696.0","14,866.0","14,089.0","15,104.0","15,976.0","17,649.0","17,839.0","16,568.0","16,817.0","19,520.0","19,696.0"
"42","24","      Multifamily","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,314.0","2,977.0","2,631.0","3,316.0","4,842.0","6,438.0","6,449.0","6,007.0","5,243.0","4,724.0","7,203.0","9,528.0"
"43","25","    Other structures \7\","A863RC1","3,628.0","4,323.0","3,855.0","4,243.0","4,488.0","5,122.0","5,398.0","5,674.0","6,391.0","7,011.0","7,103.0","6,902.0","8,385.0","8,830.0","9,085.0","9,157.0","9,849.0","10,374.0","10,630.0","10,875.0","11,375.0","12,610.0","14,141.0"
"44","26","  Equipment","B013RC1","301.0","330.0","299.0","375.0","371.0","368.0","386.0","391.0","432.0","458.0","455.0","476.0","570.0","529.0","521.0","540.0","592.0","628.0","687.0","692.0","711.0","866.0","1,010.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Private fixed investment in structures","A349RC1","20,045.0","25,004.0","23,720.0","30,326.0","30,244.0","30,714.0","32,883.0","34,916.0","40,128.0","41,709.0","41,126.0","39,976.0","46,207.0","45,895.0","46,205.0","49,881.0","53,462.0","58,209.0","62,797.0","64,035.0","64,427.0","72,890.0","81,063.0"
"47","28","  Private fixed investment in new structures","W040RC1","18,894.0","24,112.0","22,976.0","29,544.0","29,405.0","29,727.0","31,859.0","33,714.0","38,638.0","40,531.0","40,108.0","39,075.0","44,740.0","44,465.0","44,847.0","48,281.0","51,457.0","56,081.0","60,439.0","61,750.0","61,953.0","69,866.0","77,606.0"
"48","29","    Nonresidential structures \8\","A771RC1","7,672.0","9,266.0","9,047.0","9,875.0","11,911.0","12,174.0","13,518.0","13,814.0","14,896.0","18,207.0","18,911.0","17,588.0","18,206.0","19,658.0","19,877.0","21,026.0","21,454.0","23,964.0","28,379.0","31,277.0","31,338.0","33,371.0","37,520.0"
"49","30","    Residential structures \9\","A756RC1","11,222.0","14,846.0","13,929.0","19,669.0","17,494.0","17,553.0","18,341.0","19,900.0","23,742.0","22,324.0","21,197.0","21,487.0","26,534.0","24,807.0","24,970.0","27,255.0","30,003.0","32,117.0","32,060.0","30,473.0","30,615.0","36,495.0","40,086.0"
"50","31","  Private fixed investment in information processing equipment and software","A679RC1","1,723.0","1,809.0","1,628.0","1,841.0","2,149.0","2,430.0","2,666.0","2,424.0","2,818.0","3,355.0","3,982.0","3,606.0","3,988.0","4,869.0","5,261.0","5,707.0","6,527.0","7,364.0","8,517.0","10,663.0","11,277.0","11,915.0","14,611.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
