"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/22/2014 11:34:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Current receipts, accrual basis","Y268RC1","38,187.0","48,260.0","54,534.0","58,983.0","63,326.0","68,061.0","73,024.0","78,043.0","86,041.0","100,100.0","107,575.0","116,087.0","125,367.0","133,923.0","141,529.0","150,834.0","160,956.0","169,357.0","174,505.0","183,675.0","192,713.0","201,073.0","211,423.0","219,943.0","224,288.0","230,312.0","237,179.0","242,286.0","250,952.0","258,895.0","264,787.0","271,565.0","279,622.0","283,728.0","295,539.0","306,723.0","316,840.0","323,239.0","333,502.0","340,412.0","345,287.0","357,581.0","370,942.0","381,157.0","390,452.0"
"20","2","  Output \1\","Y296RC1","5.0","7.0","8.0","8.0","10.0","13.0","14.0","17.0","19.0","22.0","27.0","27.0","31.0","33.0","46.0","43.0","45.0","45.0","43.0","60.0","62.0","67.0","64.0","71.0","78.0","76.0","88.0","96.0","103.0","100.0","102.0","90.0","120.0","128.0","116.0","124.0","152.0","81.0","79.0","128.0","142.0","136.0","140.0","139.0","116.0"
"21","3","  Contributions","Y269RC1","25,652.0","31,561.0","35,852.0","38,599.0","41,155.0","44,061.0","47,158.0","50,261.0","54,968.0","62,868.0","67,483.0","73,053.0","79,286.0","84,640.0","88,879.0","94,619.0","100,892.0","105,198.0","106,208.0","111,226.0","115,999.0","119,987.0","125,847.0","129,699.0","129,797.0","132,506.0","135,339.0","137,330.0","141,617.0","145,591.0","148,965.0","152,929.0","157,629.0","160,924.0","168,108.0","174,416.0","180,162.0","183,614.0","189,768.0","195,153.0","199,577.0","209,487.0","216,808.0","222,388.0","226,968.0"
"22","4","    Claims to benefits accrued through service to employers","Y285RC1","13,122.0","14,869.0","17,178.0","18,223.0","18,994.0","20,074.0","21,306.0","22,496.0","23,914.0","25,658.0","27,418.0","30,046.0","33,236.0","35,390.0","36,275.0","38,447.0","40,873.0","41,084.0","37,954.0","38,837.0","39,347.0","38,968.0","40,335.0","39,526.0","35,384.0","34,776.0","33,587.0","32,470.0","32,385.0","32,387.0","33,245.0","34,383.0","35,756.0","38,248.0","40,793.0","42,233.0","43,636.0","44,070.0","46,113.0","50,022.0","54,009.0","61,529.0","62,814.0","63,758.0","63,600.0"
"23","5","      Actual employer contributions","Y270RC1","4,284.0","5,223.0","6,915.0","7,622.0","8,208.0","10,605.0","13,798.0","15,841.0","19,616.0","20,815.0","23,927.0","28,485.0","32,883.0","35,423.0","37,659.0","47,464.0","51,168.0","51,738.0","53,024.0","53,427.0","55,061.0","55,439.0","59,132.0","60,205.0","58,512.0","58,148.0","57,075.0","61,358.0","62,883.0","62,955.0","63,874.0","66,530.0","68,546.0","72,198.0","70,415.0","81,308.0","85,136.0","91,269.0","114,133.0","123,761.0","136,650.0","144,719.0","149,322.0","156,231.0","159,939.0"
"24","6","        Civilian \2\","Y271RC1","1,599.0","2,035.0","3,197.0","3,412.0","3,462.0","4,893.0","6,909.0","8,070.0","11,027.0","11,275.0","13,145.0","15,901.0","18,731.0","19,917.0","21,223.0","21,405.0","22,934.0","23,453.0","23,979.0","24,938.0","26,141.0","27,919.0","30,247.0","31,887.0","33,030.0","33,495.0","33,890.0","34,465.0","36,213.0","36,657.0","37,287.0","38,309.0","39,143.0","40,387.0","37,444.0","43,319.0","44,044.0","47,374.0","49,180.0","51,329.0","54,045.0","56,588.0","56,402.0","58,784.0","58,710.0"
"25","7","        Military \3\","Y272RC1","2,685.0","3,188.0","3,718.0","4,210.0","4,746.0","5,712.0","6,889.0","7,771.0","8,589.0","9,540.0","10,782.0","12,584.0","14,152.0","15,506.0","16,436.0","26,059.0","28,234.0","28,285.0","29,045.0","28,489.0","28,920.0","27,520.0","28,885.0","28,318.0","25,482.0","24,653.0","23,185.0","26,893.0","26,670.0","26,298.0","26,587.0","28,221.0","29,403.0","31,811.0","32,971.0","37,989.0","41,092.0","43,895.0","64,953.0","72,432.0","82,605.0","88,131.0","92,920.0","97,447.0","101,229.0"
"26","8","      Imputed employer contributions","Y273RC1","7,308.0","7,766.0","8,283.0","8,465.0","8,550.0","7,026.0","4,864.0","3,806.0","1,277.0","1,596.0","22.0","-2,188.0","-3,629.0","-4,274.0","-5,793.0","-13,635.0","-15,034.0","-15,343.0","-19,707.0","-19,039.0","-20,156.0","-20,926.0","-23,304.0","-25,424.0","-27,787.0","-27,919.0","-27,955.0","-33,322.0","-34,885.0","-34,806.0","-35,089.0","-36,813.0","-37,362.0","-38,463.0","-34,150.0","-43,596.0","-45,830.0","-51,494.0","-72,221.0","-77,864.0","-86,695.0","-87,137.0","-90,335.0","-96,080.0","-99,755.0"
"27","9","        Civilian \2\","Y274RC1","3,246.0","4,034.0","4,968.0","5,317.0","5,866.0","5,163.0","3,997.0","3,657.0","1,622.0","2,440.0","1,549.0","-23.0","-1,637.0","-2,287.0","-3,618.0","-2,832.0","-3,072.0","-4,142.0","-8,214.0","-8,594.0","-9,267.0","-10,284.0","-11,732.0","-12,958.0","-15,666.0","-16,163.0","-16,954.0","-17,806.0","-19,528.0","-19,888.0","-20,116.0","-20,682.0","-20,777.0","-20,899.0","-17,213.0","-22,214.0","-21,836.0","-24,511.0","-25,300.0","-25,943.0","-27,502.0","-25,776.0","-24,954.0","-26,452.0","-26,141.0"
"28","10","        Military \3\","Y275RC1","4,062.0","3,732.0","3,315.0","3,148.0","2,684.0","1,863.0","867.0","149.0","-345.0","-844.0","-1,527.0","-2,165.0","-1,992.0","-1,987.0","-2,175.0","-10,803.0","-11,962.0","-11,201.0","-11,493.0","-10,445.0","-10,889.0","-10,642.0","-11,572.0","-12,466.0","-12,121.0","-11,756.0","-11,001.0","-15,516.0","-15,357.0","-14,918.0","-14,973.0","-16,131.0","-16,585.0","-17,564.0","-16,937.0","-21,382.0","-23,994.0","-26,983.0","-46,921.0","-51,921.0","-59,193.0","-61,361.0","-65,381.0","-69,628.0","-73,614.0"
