"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","Plus: Imports of goods and services","B021RA3",2.514,2.563,2.273,2.395,2.701,2.808,2.955,2.907,2.82,2.779,2.665,2.705,2.781,2.935,3.621,3.628,3.628,3.508,3.211,3.127,3.49,3.472,3.684,4.014,3.916,4.119,4.103,3.901,3.676,4.006,3.765,3.801,4.025,4.253,4.325,4.482,4.67,4.645,4.686,4.471,4.826,4.864,4.77,4.787,4.858,5.066,4.989,5.25,5.385,5.645,5.698,5.554,5.764,5.807,5.637,5.371,5.345,5.41,5.768,5.905,6.085,6.218,6.297,6.374,6.226,6.373,6.534,6.513,6.507,6.653,6.832,7.017,6.764,7.562,7.593,7.964,8.169,8.373,8.842,8.941,9.082,9.009,9.127,9.608,10.174,10.33,10.951,10.858,9.834,11.774,11.622
"12","4","Equals: Gross domestic purchases","B712RA3",12.936,12.937,12.927,13.276,13.593,13.953,14.036,14.077,13.773,13.722,13.928,13.9,14.491,14.955,15.655,15.881,16.049,16.219,16.461,16.48,16.679,16.792,17.01,17.631,17.953,18.123,17.981,17.683,17.588,17.576,17.753,18.082,18.618,18.988,19.204,19.336,19.243,19.33,19.282,19.516,19.636,19.627,19.83,19.653,19.226,19.375,19.814,20.323,20.699,21.236,21.189,21.266,21.659,21.496,21.532,21.187,21.318,21.748,22.168,22.611,23.051,23.22,23.519,23.614,23.873,24.063,24.616,24.739,25.221,25.515,25.905,25.967,26.724,26.98,27.624,28.253,29.012,29.077,29.403,29.608,29.863,29.872,30.168,30.431,31.102,31.622,31.838,31.984,32.536,32.591,32.818
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",10.739,11.251,11.044,9.819,9.304,8.282,8.218,7.802,8.603,8.419,7.655,6.554,6.359,6.419,6.509,7.036,7.555,8.544,8.983,8.936,9.176,8.115,7.411,7.43,7.33,7.348,7.593,7.287,6.894,7.842,7.577,7.914,8.206,8.006,8.514,8.554,8.942,9.553,9.874,10.376,11.084,10.769,10.421,10.047,8.891,8.861,8.86,8.836,9.33,9.629,9.987,9.781,11.002,11.632,11.34,11.488,11.45,11.427,11.314,11.724,11.655,12.613,11.87,11.586,11.837,13.187,12.426,12.981,13.756,13.928,13.869,14.378,13.072,15.407,14.472,15.358,15.252,15.899,15.347,15.993,16.519,16.249,15.693,16.057,16.468,16.963,17.558,17.216,15.23,18.424,17.974
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",2.826,3.047,2.803,2.991,3.407,3.51,3.59,3.476,3.307,3.243,3.119,3.172,3.323,3.56,4.442,4.581,4.806,4.876,4.583,4.426,4.73,4.609,4.771,5.098,4.926,5.119,5.059,4.794,4.547,4.97,4.701,4.743,4.944,5.2,5.261,5.434,5.625,5.587,5.607,5.368,5.755,5.766,5.58,5.516,5.422,5.573,5.466,5.76,5.894,6.195,6.264,6.139,6.342,6.36,6.175,5.843,5.814,5.872,6.237,6.369,6.454,6.584,6.627,6.718,6.601,6.778,6.975,6.948,6.976,7.144,7.292,7.48,7.243,8.028,8.079,8.504,8.717,8.943,9.339,9.422,9.53,9.373,9.412,9.808,10.344,10.471,11.007,10.841,9.765,11.586,11.358
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",14.314,14.342,14.365,14.638,14.8,15.014,15.099,15.171,14.928,14.808,15.004,14.858,15.457,15.904,16.526,16.844,17.08,17.368,17.671,17.68,17.835,17.816,18.014,18.607,18.952,19.094,18.988,18.663,18.541,18.541,18.786,19.188,19.771,20.071,20.345,20.53,20.444,20.534,20.543,20.836,21.023,20.977,21.149,20.822,20.32,20.421,20.979,21.544,21.921,22.441,22.408,22.488,23.047,22.913,22.93,22.601,22.762,23.212,23.597,24.107,24.556,24.785,25.009,25.056,25.362,25.697,26.176,26.411,26.979,27.264,27.62,27.716,28.439,28.821,29.377,30.073,30.839,30.91,31.165,31.447,31.743,31.725,31.996,32.25,32.919,33.478,33.688,33.84,34.403,34.483,34.706
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",1.921,2.051,2.061,2.273,2.411,2.506,2.591,2.484,2.501,2.422,2.397,2.233,2.396,2.523,2.856,2.834,2.746,3.138,3.242,3.364,3.149,3.225,3.173,3.155,3.118,3.269,3.026,3.09,3.218,3.202,3.231,3.564,3.678,3.728,3.785,3.851,4.175,4.102,4.219,3.828,4.337,4.592,4.458,3.749,3.834,3.799,3.763,3.803,3.863,3.946,4.246,4.517,4.597,4.599,4.714,4.81,5.036,4.879,5.031,5.166,5.077,5.461,5.52,6.158,5.955,5.881,6.048,6.26,6.671,6.537,6.676,6.461,7.139,7.347,7.042,6.669,6.877,6.932,6.988,7.283,7.231,7.073,7.524,7.523,7.847,8.15,8.391,8.377,8.746,8.98,9.259
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",0.747,0.736,0.719,0.849,0.804,0.813,0.95,0.839,0.978,0.955,0.993,1.004,1.056,1.086,1.106,1.117,1.189,1.201,1.18,1.149,1.096,1.173,1.178,1.221,1.219,1.214,1.253,1.313,1.253,1.241,1.223,1.228,1.271,1.381,1.409,1.406,1.417,1.377,1.439,1.45,1.459,1.448,1.478,1.48,1.493,1.387,1.457,1.533,1.62,1.707,1.809,1.917,2.139,2.067,2.037,1.949,1.973,1.99,2.068,2.131,2.04,2.075,2.091,2.115,2.137,2.243,2.342,2.422,2.459,2.519,2.521,2.666,2.701,2.755,2.834,2.92,2.975,3.034,3.237,3.328,3.33,3.317,3.29,3.456,3.674,3.919,4.025,4.073,4.515,5.039,5.652
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",14.263,14.297,14.321,14.596,14.765,14.982,15.065,15.136,14.89,14.768,14.96,14.808,15.407,15.855,16.487,16.801,17.029,17.331,17.638,17.654,17.8,17.782,17.975,18.562,18.902,19.05,18.933,18.611,18.498,18.497,18.742,19.156,19.738,20.034,20.308,20.494,20.422,20.51,20.522,20.795,21.003,20.969,21.132,20.776,20.281,20.384,20.934,21.494,21.867,22.383,22.36,22.448,22.998,22.868,22.891,22.572,22.741,23.18,23.566,24.076,24.521,24.764,24.989,25.063,25.357,25.681,26.161,26.401,26.981,27.256,27.615,27.695,28.442,28.829,29.364,30.034,30.802,30.872,31.12,31.41,31.701,31.677,31.967,32.213,32.883,33.442,33.658,33.806,34.365,34.435,34.646
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",14.989,15.039,15.077,15.405,15.596,15.851,15.95,16.037,15.745,15.599,15.828,15.651,16.353,16.872,17.595,17.957,18.218,18.539,18.877,18.865,19.024,18.974,19.182,19.856,20.234,20.373,20.221,19.809,19.636,19.613,19.878,20.333,21.001,21.334,21.637,21.834,21.709,21.793,21.781,22.11,22.312,22.234,22.415,21.998,21.37,21.466,22.108,22.766,23.2,23.806,23.755,23.837,24.489,24.315,24.318,23.907,24.078,24.589,25.025,25.606,26.113,26.36,26.597,26.624,26.955,27.322,27.858,28.104,28.747,29.051,29.437,29.512,30.328,30.737,31.35,32.126,32.983,33.017,33.268,33.554,33.854,33.785,34.058,34.311,35.058,35.672,35.874,36.005,36.623,36.67,36.885
"21","12","  Net domestic product","A362RA3",14.672,14.661,14.656,14.912,15.178,15.493,15.586,15.613,15.366,15.3,15.488,15.321,16.011,16.546,17.256,17.579,17.808,18.116,18.496,18.508,18.69,18.686,18.8,19.463,19.837,19.974,19.814,19.438,19.307,19.311,19.531,19.947,20.567,20.925,21.215,21.326,21.195,21.359,21.306,21.677,21.808,21.726,21.937,21.65,20.962,21.083,21.62,22.175,22.667,23.298,23.256,23.333,23.908,23.769,23.796,23.434,23.571,24.043,24.458,24.992,25.467,25.757,25.994,26.036,26.386,26.725,27.255,27.454,28.111,28.437,28.832,28.883,29.632,30.036,30.668,31.443,32.249,32.318,32.505,32.749,33.021,32.983,33.228,33.464,34.187,34.786,35.004,35.126,35.694,35.763,35.967
"22","13","  Command-basis net national product \4\","C027RA3",14.927,14.984,15.023,15.354,15.553,15.81,15.907,15.992,15.698,15.55,15.774,15.589,16.292,16.811,17.545,17.902,18.153,18.492,18.834,18.83,18.978,18.929,19.132,19.798,20.17,20.316,20.151,19.743,19.581,19.558,19.823,20.291,20.958,21.286,21.588,21.787,21.68,21.761,21.753,22.058,22.286,22.223,22.393,21.941,21.323,21.421,22.052,22.703,23.133,23.734,23.696,23.786,24.427,24.258,24.268,23.869,24.05,24.547,24.984,25.565,26.067,26.33,26.568,26.627,26.944,27.298,27.835,28.086,28.743,29.035,29.425,29.481,30.325,30.739,31.327,32.073,32.93,32.964,33.208,33.502,33.797,33.721,34.017,34.26,35.008,35.622,35.83,35.958,36.57,36.606,36.807
"23","14","  Net national product","A027RA3",14.632,14.625,14.619,14.878,15.151,15.469,15.562,15.589,15.339,15.27,15.454,15.279,15.969,16.505,17.227,17.547,17.769,18.094,18.477,18.497,18.669,18.666,18.776,19.431,19.8,19.944,19.77,19.398,19.278,19.281,19.501,19.93,20.549,20.901,21.19,21.304,21.19,21.351,21.303,21.65,21.807,21.739,21.94,21.618,20.939,21.061,21.589,22.137,22.624,23.25,23.22,23.307,23.87,23.736,23.77,23.421,23.567,24.026,24.441,24.975,25.445,25.75,25.988,26.061,26.396,26.724,27.254,27.458,28.13,28.444,28.843,28.876,29.651,30.06,30.668,31.413,32.22,32.289,32.469,32.722,32.988,32.943,33.211,33.438,34.161,34.76,34.984,35.103,35.668,35.726,35.916
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",NA,-0.6,-0.3,6.2,6.5,7.5,2.2,0.6,-5.5,-1.4,4.6,-3.7,17.2,12.7,16.6,7.2,5.1,6.8,8.2,0.7,4.1,0.4,2.7,13.9,7.7,3.1,-2.4,-6.2,-1.9,0.5,4.6,8.3,12,6.8,5.5,2.2,-1.8,3.2,-0.5,6.7,2.5,-1,3.9,-4.1,-10.4,2.5,9.7,9.7,8.3,10.5,-0.5,1.4,9.3,-1.9,0.7,-5,2.4,7.7,6.6,8.4,7.4,4.5,3.7,1,5.3,5.1,7.7,3.1,9.3,4.7,5.5,1.1,10.2,5.5,8.4,10,10.2,1.3,2.7,3.3,3.6,0.1,3.2,3.1,8.5,7,2.8,1.7,6.5,1.2,2.6
"26","16","    Command-basis gross domestic product","C191RL1",NA,0.8,0.6,7.8,4.5,5.9,2.3,1.9,-6.3,-3.2,5.4,-3.8,17.1,12.1,16.6,7.9,5.7,6.9,7.2,0.2,3.6,-0.4,4.5,13.8,7.6,3,-2.2,-6.7,-2.6,0,5.4,8.8,12.7,6.2,5.6,3.7,-1.7,1.8,0.2,5.8,3.6,-0.9,3.3,-6,-9.3,2,11.4,11.2,7.2,9.8,-0.6,1.4,10.3,-2.3,0.3,-5.6,2.9,8.1,6.8,8.9,7.7,3.8,3.7,0.8,5,5.4,7.7,3.6,8.9,4.3,5.3,1.4,10.8,5.5,7.9,9.8,10.6,0.9,3.3,3.7,3.8,-0.2,3.5,3.2,8.6,7,2.5,1.8,6.8,0.9,2.6
"27","17","    Real gross national product","A001RL1",NA,-0.5,-0.3,6.3,6.7,7.6,2.2,0.6,-5.5,-1.5,4.5,-3.9,17.2,12.8,16.9,7.2,5,7.2,8.3,0.8,3.9,0.5,2.6,13.7,7.6,3.2,-2.6,-6.2,-1.7,0.5,4.6,8.5,12,6.7,5.4,2.3,-1.5,3.1,-0.4,6.3,2.9,-0.7,3.7,-4.7,-10.3,2.5,9.6,9.6,8.3,10.4,-0.3,1.6,9.1,-1.8,0.8,-4.9,2.5,7.5,6.6,8.4,7.3,4.7,3.7,1.4,5.1,4.9,7.7,3.2,9.5,4.5,5.6,0.9,10.6,5.6,8.1,9.6,10.2,1.3,2.6,3.4,3.5,0,3.5,3,8.5,7,2.8,1.7,6.4,1.1,2.4
"28","18","    Command-basis gross national product","CB22RL1",NA,1,0.7,7.9,4.7,6,2.2,1.9,-6.3,-3.2,5.3,-4,17.2,12.1,16.9,7.8,5.5,7.3,7.3,0.4,3.3,-0.4,4.4,13.7,7.5,3.2,-2.4,-6.6,-2.4,0,5.4,9.1,12.7,6.1,5.6,3.7,-1.4,1.7,0.2,5.4,4.1,-0.6,3.1,-6.6,-9.2,2,11.2,11.1,7.1,9.8,-0.4,1.6,10.2,-2.2,0.4,-5.5,3,7.9,6.8,8.9,7.6,4,3.7,1.2,4.8,5.2,7.7,3.7,9.1,4.1,5.4,1.2,11.2,5.6,7.6,9.4,10.6,0.9,3.3,3.8,3.8,-0.3,3.7,3.1,8.6,7,2.6,1.8,6.8,0.8,2.5
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
