"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/28/2012 9:51:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8",NA,"          Gross domestic product"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross domestic product","A191RC1",984.4,1038.3,1126.8,1237.9,1382.3,1499.5,1637.7,1824.6,2030.1,2293.8,2562.2,2788.1,3126.8,3253.2,3534.6,3930.9,4217.5,4460.1,4736.4,5100.4,5482.1,5800.5,5992.1,6342.3,6667.4,7085.2,7414.7,7838.5,8332.4,8793.5,9353.5,9951.5,10286.2,10642.3,11142.2,11853.3,12623,13377.2,14028.7,14291.5,13939,14526.5
"10","2","    Imputations (133-134+141+147+148+150+152+153 +158+160+161+165-166+167+170+179+181)","A2023C1",105.7,116.2,126.6,137.5,149.7,168.7,192.9,211.1,234.1,265.1,295.6,333.7,375.7,418,471.9,506.1,558.7,608.3,647.1,697,742.7,804.5,864.5,934.2,988.4,1041,1073.3,1119.4,1172.9,1242.2,1342.6,1445.9,1530.3,1598,1656.1,1764.8,1887.7,1980.3,2093.3,2230.8,2245.7,2277.4
"11","3","    Excluding imputations (1-2)","A2026C1",878.7,922.1,1000.2,1100.4,1232.6,1330.8,1444.8,1613.5,1796,2028.7,2266.7,2454.4,2751.2,2835.2,3062.7,3424.8,3658.8,3851.8,4089.3,4403.4,4739.4,4996,5127.6,5408.1,5678.9,6044.2,6341.3,6719.1,7159.4,7551.3,8010.9,8505.6,8755.9,9044.3,9486.2,10088.5,10735.2,11396.9,11935.3,12060.7,11693.3,12249.2
"12","4","  Personal consumption expenditures","DPCERC1",605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804.1,8270.6,8803.5,9301,9772.3,10035.5,9866.1,10245.5
"13","5","    Imputations (133-134+141+147+152+160+167+171 +172+173+174-177-178)","A2042C1",44.3,53.8,51.6,50.3,54.5,74.5,92,89.1,84,96,119.2,165,199.7,242.3,249.4,255.2,291.8,300.7,320.3,352.4,392,456.2,515.5,544.8,569.1,583.7,620,629.5,655.4,675.9,736.8,807.2,861,886,873.9,869.5,884.2,968.4,1172.3,1425.3,1532.2,1562.1
"14","6","    Excluding imputations (4-5)","A2086C1",560.8,594.5,650,720,797.5,858.4,941.7,1062.2,1193.9,1331.6,1472,1590.8,1739.8,1833.2,2039.2,2245.8,2425.8,2596,2776.6,2997.6,3202.5,3379.2,3464.6,3692.1,3914.5,4167.1,4367.3,4644.1,4915.2,5242.6,5606,6023.2,6287.8,6553.1,6930.3,7401.1,7919.3,8332.6,8600,8610.2,8333.9,8683.4
"15","7","  Gross private domestic investment","A006RC1",156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.3,2327.1,2295.2,2087.6,1546.8,1795.1
"16","8","    Imputations (177+178+179)","A2087C1",36.1,34.9,45.8,56.9,63.3,57.9,59.7,78.6,104,120.2,123.3,109.4,109.3,102.6,143.3,167.5,172.7,200.1,218.4,230.5,232.2,221.1,212.7,245.6,268.8,303.4,295.2,328.5,352.2,397.3,428.9,453.5,481.9,517.4,581.4,683.7,773.9,767.3,657.7,523,414.8,402.9
