"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Final sales of domestic product","AB60RG3",32.72,33.74,34.405,35.294,37.005,36.862,36.676,39.213,42.632,45.949,48.768,52.057,55.999,60.567,65.141,68.069,70.536,72.804,74.748,76.204,78.684,78.947,81.723,82.95,85.712,87.664,91.082,95.296,97.673,99.999,101.006,99.657,100.117,100,99.123,98.52,96.395,96.449,97.45,97.409,96.659
"12","5","  Personal consumption expenditures","AB61RG3",29.275,30.274,30.825,31.654,33.261,33.316,33.669,35.699,39.298,42.351,44.751,48.054,51.461,54.817,59.451,62.632,65.495,68.284,70.147,72.413,76.129,77.326,79.708,79.961,82.47,84.199,88.295,93.14,97.374,99.669,100.188,99.125,99.585,100,100.185,99.458,96.573,95.605,97.087,97.02,95.863
"13","6","    New motor vehicles","AB67RG3",34.455,35.429,35.984,37.009,38.551,38.269,38.28,40.416,44.05,46.791,49.258,52.977,57.071,61.541,65.19,67.739,69.457,71.478,73.875,77.074,79.352,80.621,82.444,84.215,87.5,89.759,92.367,95.746,98.127,100.041,100.702,100.19,100.123,100,99.45,97.832,96.474,95.682,96.175,95.596,94.607
"14","7","      Autos","A136RG3",36.244,37.265,37.85,38.926,40.558,40.254,40.266,42.503,46.322,49.207,51.8,55.722,60.02,64.702,68.495,71.188,72.958,74.923,77.223,80.524,83.272,84.765,86.374,87.519,90.618,92.681,94.883,97.912,99.949,101.497,101.595,100.817,99.99,100,99.525,98.365,96.563,95.842,96.752,97.619,97.214
"15","8","      Light trucks (including utility vehicles)","B704RG3",31.708,32.653,33.146,34.116,35.424,35.22,35.234,37.253,40.62,43.134,45.412,48.805,52.604,56.804,60.399,62.688,64.417,66.806,69.623,72.748,74.032,74.88,77.161,80.101,83.771,86.368,89.577,93.436,96.253,98.597,99.857,99.604,100.248,100,99.385,97.432,96.361,95.526,95.754,94.14,92.723
"16","9","    Net purchases of used autos and used light trucks","W240RG3",15.448,16.434,16.958,17.279,18.974,19.986,21.413,23.205,26.711,30.723,33.056,35.206,36.582,36.794,44.148,49.252,56.142,61.915,62.056,61.214,70.017,71.05,75.315,71.213,71.941,72.57,79.84,87.871,95.919,98.939,99.208,97.19,98.581,100,101.674,102.885,96.477,95.093,98.885,99.957,98.447
"17","10","      Used autos","A137RG3",14.503,15.448,15.95,16.246,17.883,18.89,20.307,22.036,25.437,29.365,31.639,33.567,34.799,34.911,41.794,46.477,53.166,58.495,58.622,58.33,68.346,68.895,73.97,69.129,70.014,71.931,79.324,87.603,95.644,98.841,99.438,97.228,98.73,100,101.619,103.935,97.441,96.87,100.683,101.852,100.575
"18","11","      Used light trucks (including utility vehicles)","W241RG3",24.311,25.02,25.426,26.163,27.221,26.982,27.019,28.552,31.041,33.124,34.803,39.09,41.681,42.913,52.463,60.05,66.744,74.764,74.977,71.09,73.911,76.844,78.271,76.274,76.61,74.07,81.047,88.469,96.528,99.185,98.88,97.155,98.401,100,101.738,101.746,95.43,93.246,97.014,97.992,96.282
"19","12","  Private fixed investment","AB62RG3",32.031,32.897,33.753,35.169,37.068,37.583,37.563,40.767,44.534,47.368,50.942,55.724,60.226,66.316,70.551,72.309,73.076,73.645,75.957,81.311,82.609,83.725,86.398,89.065,93.656,95.88,96.456,99.144,97.81,99.545,101.294,100.332,101.242,100,97.267,98.078,101.631,106.981,106.101,106.211,107.595
"20","13","    New motor vehicles","AB68RG3",29.746,30.579,31.21,32.344,34.089,34.47,34.689,37.393,41.362,44.385,47.691,51.607,55.754,60.73,66.332,69.56,71.445,73.706,75.513,78.541,80.157,81.803,84.061,85.105,88.095,90.874,93.936,97.312,99.482,100.589,100.217,99.116,99.816,100,99.154,97.377,96.719,96.933,97.934,98.062,97.801
"21","14","      Autos","B139RG3",36.252,37.267,37.85,38.908,40.553,40.247,40.275,42.596,46.337,49.221,51.813,55.733,59.992,64.752,68.584,71.205,72.99,74.941,77.223,80.451,83.28,84.795,86.393,87.547,90.615,92.705,94.879,97.949,99.946,101.518,101.615,100.82,100.003,100,99.531,98.346,96.554,95.841,96.762,97.619,97.214
"22","15","      Trucks","B705RG3",23.523,24.181,24.839,25.996,27.791,28.739,29.096,31.971,36.041,39.198,43.194,47.057,51.033,56.146,63.72,67.721,69.748,72.432,73.646,76.431,76.478,78.296,81.427,82.327,85.232,89.081,93.304,97.053,99.415,100.094,99.334,98.009,99.696,100,98.9,96.714,96.816,97.587,98.631,98.395,98.205
"23","16","        Light trucks (including utility vehicles)","B196RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.912,79.401,82.198,82.501,86.03,90.442,95.451,99.749,100.917,101.753,100.836,98.493,100.004,100,98.566,95.423,95.279,95.518,95.686,94.161,92.726
"24","17","        Other","B197RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.246,75.453,78.806,80.288,82.321,85.337,88.52,91.499,95.459,95.868,95.453,96.766,98.886,100,99.947,101.015,101.984,104.593,108.28,111.753,116.038
"25","18","    Net purchases of used autos and used light trucks","W242RG3",23.494,24.261,24.061,24.237,25.542,25.361,26.814,27.637,32.59,36.415,38.94,39.371,42.429,43.763,53.763,62.035,68.231,77.228,77.387,73.307,75.819,78.753,80.139,78.111,78.467,82.01,88.85,93.504,103.174,102.983,98.499,97.146,97.492,100,101.972,96.692,90.694,84.072,88.022,88.19,85.319
"26","19","      Used autos","B140RG3",23.389,24.152,23.947,24.116,25.419,25.238,26.713,27.513,32.526,36.4,38.937,39.214,42.284,43.625,53.603,61.884,68.019,77.049,77.211,73.131,75.537,78.473,79.834,77.819,78.166,81.503,88.356,93.161,102.688,102.713,98.685,97.154,97.538,100,102,97.149,91.203,84.927,88.854,89.108,86.343
"27","20","      Used light trucks (including utility vehicles)","W243RG3",25.126,25.878,26.279,27.017,28.12,27.915,27.951,29.637,32.157,34.153,36.093,40.579,43.218,44.328,54.283,62.001,68.839,77.249,77.373,73.357,76.4,79.303,80.774,78.714,79.095,83.134,89.949,94.218,104.242,103.559,98.206,97.144,97.438,100,101.941,96.238,90.191,83.234,87.208,87.29,84.324
"28","21","  Gross government investment","AB64RG3",25.061,25.897,26.853,28.262,30.051,29.457,29.847,32.671,36.773,39.769,43.284,46.982,51.017,55.89,62.087,65.705,67.945,70.378,71.852,75.412,75.722,76.988,80.184,81.862,84.322,87.544,90.672,93.683,95.291,96.151,97.029,97.672,99.297,100,98.698,99.504,100.168,101.883,103.614,105.433,107.837
"29","22","    Autos","B144RG3",25.122,26.226,27.605,29.305,30.973,31.618,32.169,35.06,38.261,40.616,43.061,46.38,50.362,55.214,58.712,61.944,63.932,65.343,67.854,72.785,76.544,77.896,80.454,83.059,85.2,86.657,89.063,91.877,92.666,94.272,96.764,98.407,98.967,100,97.304,100.12,99.756,99.141,99.691,101.915,103.554
"30","23","    Trucks","B708RG3",25.251,25.957,26.673,27.916,29.804,28.383,28.691,31.465,35.879,39.1,43.036,46.882,50.909,55.755,63.106,66.874,69.208,72.028,73.155,76.273,75.393,76.624,80.085,81.38,83.974,87.976,91.458,94.571,96.663,97.082,97.149,97.354,99.428,100,99.242,99.286,100.295,102.726,104.827,106.514,109.162
"31","24","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","    Exports","AB69RG3",19.845,20.142,20.989,21.415,22.8,23.57,24.775,27.84,31.974,34.662,37.846,41.273,47.018,52.881,62.181,65.363,67.854,70.013,72.784,76.186,78.952,80.429,82.084,85.412,88.455,90.156,90.577,92.038,93.625,94.562,95.866,96.897,98.265,100,100.598,102.004,103.699,105.723,107.262,107.97,108.926
"33","26","      Autos","B142RG3",17.818,17.96,18.863,19.234,20.543,21.393,22.917,25.99,30.295,32.835,35.988,39.328,46.202,53.211,62.961,66.22,68.731,70.909,73.443,76.846,79.68,81.179,82.872,86.358,89.46,91.163,91.574,93.115,95.095,96.634,97.267,97.695,98.661,100,100.329,101.293,102.539,103.988,104.803,105.471,106.099
"34","27","      Trucks","B706RG3",23.853,24.567,25.193,25.729,27.247,27.783,28.141,31.089,34.93,37.878,41.094,44.668,48.599,52.708,61.419,64.514,66.992,69.141,72.434,75.876,78.556,80.012,81.625,84.729,87.7,89.413,89.85,91.225,92.406,92.755,94.66,96.202,97.917,100,100.86,102.744,104.9,107.449,109.626,110.373,111.676
"35","28","    Imports","AB70RG3",14.833,15.405,16.076,17.482,18.986,20.594,23.229,25.313,30.627,32.222,35.084,41.131,45.034,48.516,54.834,57.435,59.21,61.111,63.339,71.721,76.517,80.771,81.996,81.984,85.67,87.377,89.277,92.737,95.678,96.561,97.176,98.057,99.377,100,100.595,101.279,102.154,103.817,104.77,105.214,106.226
"36","29","      Autos","B143RG3",13.661,14.206,14.885,16.346,17.83,19.58,22.573,24.625,30.256,31.693,34.561,41.258,45.342,48.539,54.751,57.36,59.132,61.032,63.273,71.83,77.358,81.632,82.675,82.474,86.253,88.135,90.281,93.918,96.716,97.528,98.435,98.839,99.92,100,100.31,101.008,101.661,103.08,103.68,103.823,104.763
"37","30","      Trucks","B707RG3",22.651,23.343,23.861,24.726,26.196,26.541,26.801,29.049,32.42,34.841,37.694,41.239,44.524,49.193,56.024,58.635,60.453,62.386,64.602,72.55,75.225,79.477,81.171,81.591,85.119,86.536,88.026,91.214,94.389,95.38,95.611,97.115,98.732,100,100.932,101.599,102.732,104.657,105.954,106.683,107.765
"38","31","Change in private inventories","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","  Autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","    New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","      Domestic","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","      Foreign","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","  Trucks","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","      Domestic","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","      Foreign","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Used \1\","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RG3",29.83,30.791,31.434,32.435,34.123,34.279,34.533,36.92,40.586,43.584,46.336,50.06,53.795,57.971,62.569,65.391,67.682,69.858,71.827,74.905,77.964,79.151,81.64,82.454,85.419,87.329,90.611,94.845,97.413,99.5,100.392,99.406,100.023,100,99.446,99.081,97.541,97.902,98.852,98.883,98.471
"51","43","  Private fixed investment in new autos and new light trucks","AB76RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.535,83.308,85.226,86.149,89.34,92.07,95.095,98.566,100.266,101.538,101.17,99.605,100.004,100,99.02,96.802,95.896,95.718,96.2,95.635,94.612
"52","44","  Domestic output of new autos \2\","B148RG3",34.442,35.385,35.978,36.92,38.602,38.371,38.486,40.798,44.753,47.614,50.267,54.126,58.667,63.646,68.013,70.917,72.726,74.675,76.954,80.203,83.03,84.492,86.117,87.399,90.592,92.713,94.609,97.482,99.599,100.572,101.065,100.592,99.867,100,99.588,98.759,97.484,97.214,98.014,98.809,98.814
"53","45","  Sales of imported new autos \3\","B149RG3",36.297,37.291,37.888,39.051,40.582,40.255,40.279,42.553,46.274,49.254,51.812,55.739,60.07,64.75,68.613,71.208,72.955,74.94,77.256,80.551,83.305,84.762,86.394,87.535,90.626,92.693,94.875,97.944,99.949,101.51,101.596,100.817,99.991,100,99.534,98.361,96.562,95.844,96.759,97.62,97.215
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of personal consumption expenditures, private fixed investment,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
