"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2013 2:15:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","    Private fixed investment in structures","A349RX1","787,766.0","843,983.0","878,945.0","936,943.0","970,982.0","1,006,745.0","1,003,406.0","960,032.0","997,628.0","1,066,571.0","1,116,920.0","1,093,379.0","1,020,661.0","919,293.0","718,933.0","643,230.0","648,070.0"
"20","2","Nonresidential","B009RX1","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","438,208.0","466,409.0","368,141.0","310,626.0","319,156.0"
"21","3","  Commercial and health care","W001RX1","126,713.0","136,491.0","150,831.0","160,220.0","166,060.0","177,186.0","168,601.0","142,792.0","133,791.0","137,114.0","135,923.0","144,163.0","158,588.0","152,713.0","105,850.0","79,390.0","77,599.0"
"22","4","    Office \1\","W031RX1","44,221.0","47,179.0","55,152.0","64,594.0","68,648.0","76,603.0","70,582.0","48,912.0","41,180.0","41,697.0","42,838.0","47,786.0","53,006.0","52,498.0","34,345.0","23,010.0","20,850.0"
"23","5","    Health care","W032RX1","23,739.0","24,513.0","27,826.0","27,373.0","27,222.0","27,573.0","26,466.0","29,824.0","31,309.0","32,027.0","32,072.0","33,189.0","35,230.0","37,264.0","35,702.0","31,270.0","30,030.0"
"24","6","      Hospitals and special care","C311RX1","18,809.0","19,264.0","21,461.0","21,096.0","19,958.0","20,398.0","20,178.0","23,270.0","23,470.0","22,751.0","23,032.0","25,762.0","27,329.0","28,305.0","28,086.0","25,688.0","24,425.0"
"25","7","        Hospitals","W033RX1","14,794.0","13,749.0","15,981.0","14,620.0","14,057.0","14,439.0","15,357.0","18,560.0","19,705.0","19,689.0","20,541.0","22,717.0","24,286.0","24,791.0","24,997.0","22,780.0","21,388.0"
"26","8","        Special care","W034RX1","4,011.0","5,512.0","5,477.0","6,471.0","5,897.0","5,955.0","4,819.0","4,709.0","3,765.0","3,061.0","2,491.0","3,045.0","3,043.0","3,514.0","3,089.0","2,908.0","3,037.0"
"27","9","      Medical buildings","W035RX1","4,936.0","5,253.0","6,367.0","6,278.0","7,264.0","7,175.0","6,289.0","6,556.0","7,840.0","9,277.0","9,040.0","7,428.0","7,901.0","8,959.0","7,616.0","5,582.0","5,605.0"
"28","10","    Multimerchandise shopping","W036RX1","17,073.0","18,871.0","16,773.0","17,650.0","19,747.0","18,807.0","20,099.0","18,699.0","18,001.0","20,662.0","22,750.0","27,184.0","30,541.0","26,854.0","15,130.0","10,553.0","11,066.0"
"29","11","    Food and beverage establishments","W037RX1","10,198.0","10,562.0","11,787.0","12,107.0","10,698.0","11,050.0","10,728.0","9,470.0","9,754.0","9,031.0","7,795.0","6,924.0","7,072.0","6,742.0","3,996.0","3,883.0","4,374.0"
"30","12","    Warehouses","W038RX1","13,056.0","15,973.0","17,083.0","16,666.0","17,505.0","18,426.0","18,984.0","14,085.0","14,222.0","13,069.0","12,827.0","13,481.0","14,857.0","14,029.0","8,002.0","4,783.0","5,271.0"
"31","13","    Other commercial \2\","W039RX1","18,513.0","19,465.0","22,328.0","22,049.0","22,482.0","24,982.0","21,979.0","21,864.0","19,298.0","20,621.0","17,641.0","15,575.0","17,855.0","15,303.0","9,246.0","6,810.0","6,892.0"
"32","14","  Manufacturing","C307RX1","51,727.0","54,388.0","51,947.0","53,695.0","44,788.0","46,192.0","44,910.0","26,221.0","24,294.0","25,488.0","29,887.0","32,952.0","38,955.0","48,606.0","50,860.0","36,807.0","36,945.0"
"33","15","  Power and communication","W003RX1","45,366.0","39,034.0","37,626.0","44,170.0","52,104.0","60,084.0","61,977.0","60,477.0","55,690.0","46,211.0","45,152.0","48,690.0","67,767.0","73,965.0","74,461.0","62,490.0","56,797.0"
"34","16","    Power","W028RX1","31,447.0","24,493.0","22,537.0","29,319.0","29,337.0","37,510.0","39,158.0","39,476.0","39,794.0","29,902.0","26,306.0","29,366.0","45,079.0","52,704.0","58,310.0","48,979.0","44,530.0"
"35","17","      Electric","C571RX1","19,343.0","14,974.0","14,776.0","16,617.0","19,610.0","28,440.0","29,833.0","28,690.0","28,802.0","21,751.0","19,192.0","21,334.0","29,210.0","31,169.0","33,783.0","28,708.0","24,919.0"
"36","18","      Other power","W029RX1","12,843.0","10,116.0","8,079.0","13,717.0","10,075.0","8,797.0","9,010.0","10,787.0","11,019.0","8,155.0","7,114.0","8,034.0","16,139.0","22,161.0","25,280.0","20,874.0","20,228.0"
"37","19","    Communication","C314RX1","14,255.0","14,540.0","14,954.0","15,029.0","22,475.0","22,506.0","22,779.0","21,038.0","16,124.0","16,358.0","18,846.0","19,362.0","23,033.0","21,754.0","16,591.0","13,880.0","12,604.0"
"38","20","  Mining exploration, shafts, and wells","E318RX1","52,641.0","56,098.0","65,987.0","57,714.0","48,840.0","60,958.0","71,874.0","52,571.0","60,003.0","69,857.0","77,064.0","88,270.0","93,611.0","101,504.0","66,146.0","77,307.0","94,756.0"
"39","21","    Petroleum and natural gas","C319RX1","50,622.0","53,667.0","64,356.0","56,853.0","48,024.0","59,842.0","71,428.0","49,667.0","58,083.0","66,840.0","73,530.0","83,545.0","89,595.0","97,635.0","63,088.0","73,564.0","90,345.0"
"40","22","    Mining","C320RX1","1,931.0","2,173.0","2,016.0","1,488.0","1,302.0","1,671.0","1,524.0","2,689.0","2,101.0","3,038.0","3,534.0","4,788.0","3,862.0","3,570.0","3,000.0","3,716.0","4,324.0"
"41","23","  Other structures","W004RX1","59,185.0","69,603.0","78,951.0","83,168.0","83,284.0","85,760.0","81,731.0","68,924.0","66,549.0","67,449.0","63,728.0","69,589.0","80,288.0","90,434.0","73,909.0","54,191.0","50,570.0"
"42","24","    Religious","C309RX1","6,305.0","6,463.0","7,978.0","8,835.0","9,517.0","9,983.0","10,045.0","9,849.0","9,815.0","8,813.0","7,715.0","7,129.0","6,616.0","6,199.0","5,549.0","4,923.0","3,909.0"
"43","25","    Educational and vocational","W044RX1","9,234.0","11,049.0","13,762.0","14,637.0","13,442.0","15,720.0","16,578.0","16,508.0","16,253.0","14,582.0","13,794.0","13,543.0","14,431.0","14,829.0","13,436.0","11,043.0","10,955.0"
"44","26","    Lodging","W045RX1","13,153.0","19,731.0","22,613.0","25,145.0","25,965.0","25,410.0","21,663.0","15,347.0","14,130.0","16,044.0","15,692.0","20,111.0","29,945.0","37,740.0","28,257.0","13,045.0","9,495.0"
"45","27","    Amusement and recreation","W046RX1","12,734.0","13,559.0","14,492.0","14,113.0","15,049.0","13,232.0","11,309.0","10,607.0","10,711.0","10,940.0","9,010.0","10,308.0","10,759.0","10,863.0","9,059.0","7,314.0","7,816.0"
"46","28","    Transportation","W047RX1","5,877.0","6,964.0","7,652.0","8,807.0","7,736.0","7,933.0","7,830.0","7,374.0","6,963.0","7,021.0","7,121.0","8,371.0","8,492.0","9,071.0","8,186.0","8,873.0","8,684.0"
"47","29","      Air","W048RX1","1,144.0","1,396.0","1,424.0","1,589.0","1,766.0","2,459.0","2,604.0","1,707.0","1,266.0","1,122.0","907.0","817.0","876.0","785.0","512.0","365.0","553.0"
"48","30","      Land \3\","W049RX1","4,749.0","5,592.0","6,239.0","7,224.0","6,018.0","5,585.0","5,350.0","5,718.0","5,715.0","5,906.0","6,214.0","7,561.0","7,620.0","8,301.0","7,696.0","8,528.0","8,160.0"
