"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0"
"22","4","  Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"23","5","  Taxes on corporate income","W025RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,646.0","22,696.0","22,781.0","23,972.0","26,231.0","27,985.0","30,876.0","33,658.0","32,651.0","39,365.0","39,674.0"
"24","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","84.0","95.0","112.0","145.0","188.0","183.0","206.0","228.0","248.0","319.0","394.0"
"25","7","Contributions for government social insurance","W782RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,652.0","6,945.0","7,129.0","8,100.0","9,117.0","10,017.0","11,444.0","11,421.0","13,874.0","16,478.0","17,057.0","19,174.0","21,735.0","22,464.0","23,500.0","31,441.0","34,979.0","38,839.0","44,340.0"
"26","8","Income receipts on assets","W058RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","301.0","2,692.0","2,889.0","3,210.0","3,409.0","3,733.0","4,096.0","4,730.0","5,512.0","6,422.0","7,016.0"
"27","9","  Interest and miscellaneous receipts \1\","W059RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","218.0","238.0","258.0","305.0","300.0","324.0","341.0","378.0","301.0","2,692.0","2,889.0","3,210.0","3,409.0","3,733.0","4,096.0","4,730.0","5,512.0","6,422.0","7,016.0"
"28","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","11","Current transfer receipts","W060RC1","448.0","416.0","339.0","306.0","262.0","257.0","272.0","298.0","311.0","317.0","305.0","314.0","333.0","383.0","471.0","627.0","660.0","519.0","544.0","641.0","694.0","621.0","692.0","738.0","785.0","858.0","875.0","988.0","1,092.0","1,141.0","762.0","888.0","1,141.0","1,237.0","1,319.0","1,551.0","1,930.0","2,189.0","2,485.0","2,572.0","2,738.0"
"30","12","  From business (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","272.0","325.0","365.0","376.0","307.0","343.0","369.0","375.0","421.0","445.0","500.0","525.0","567.0","442.0","546.0","665.0","694.0","789.0","949.0","1,352.0","1,411.0","1,503.0","1,533.0","1,610.0"
"31","13","  From persons","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0"
"32","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"33","15","    Current expenditures","W022RC1","7,988.0","8,391.0","9,796.0","8,847.0","9,152.0","10,658.0","11,213.0","12,802.0","12,020.0","13,236.0","14,304.0","14,980.0","19,626.0","38,421.0","60,240.0","74,720.0","78,665.0","53,872.0","48,650.0","51,876.0","57,730.0","59,216.0","69,679.0","79,736.0","85,516.0","84,392.0","87,471.0","92,240.0","102,359.0","110,737.0","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0"
"34","16","Consumption expenditures","A955RC1","6,524.0","6,824.0","6,898.0","6,551.0","6,733.0","7,848.0","8,113.0","8,960.0","9,010.0","9,624.0","10,299.0","10,658.0","15,730.0","34,176.0","55,751.0","68,685.0","68,875.0","36,097.0","31,741.0","33,485.0","36,939.0","36,915.0","50,430.0","61,275.0","66,523.0","63,619.0","65,466.0","68,461.0","75,282.0","79,476.0","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0"
"35","17","Current transfer payments","A084RC1","825.0","905.0","1,961.0","1,295.0","1,291.0","1,357.0","1,604.0","2,719.0","1,660.0","2,171.0","2,264.0","2,426.0","2,292.0","2,412.0","2,049.0","2,586.0","5,494.0","12,382.0","12,397.0","13,733.0","15,991.0","17,006.0","13,701.0","13,169.0","13,749.0","15,632.0","16,922.0","17,602.0","20,082.0","24,204.0","26,918.0","28,137.0","31,862.0","32,763.0","34,268.0","35,063.0","37,955.0","41,954.0","50,306.0","58,409.0","64,104.0"
"36","18","  Government social benefits","W063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,674.0","28,365.0","29,142.0","30,665.0","31,663.0","34,366.0","37,968.0","46,307.0","53,863.0","59,558.0"
"37","19","    To persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0"
"38","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0"
"39","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","34.0","36.0","40.0","21.0","17.0","10.0","20.0","32.0","60.0","29.0","27.0","32.0","-14.0","90.0","-53.0","-88.0","352.0","2,260.0","1,969.0","3,852.0","5,134.0","3,589.0","3,163.0","2,175.0","2,075.0","1,885.0","2,168.0","2,010.0","1,950.0","1,978.0","4,001.0","3,463.0","3,497.0","3,621.0","3,603.0","3,400.0","3,589.0","3,986.0","3,999.0","4,546.0","4,546.0"
"40","22","Interest payments \1\","A180RC1","663.0","658.0","860.0","945.0","1,027.0","1,064.0","988.0","931.0","1,105.0","1,063.0","1,052.0","1,270.0","1,290.0","1,472.0","2,032.0","2,572.0","3,325.0","4,235.0","4,316.0","4,353.0","4,543.0","4,710.0","4,844.0","4,915.0","5,045.0","5,246.0","5,284.0","5,821.0","6,308.0","6,143.0","7,273.0","10,406.0","10,152.0","11,078.0","11,969.0","12,933.0","13,701.0","15,069.0","16,362.0","18,771.0","20,207.0"
"41","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,074.0","9,874.0","10,739.0","11,568.0","12,480.0","13,212.0","14,520.0","15,764.0","18,069.0","19,430.0"
"42","24","  To the rest of the world","B093RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","6.0","7.0","9.0","12.0","17.0","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"43","25","Subsidies \2\","A107RC1","-24.0","4.0","77.0","56.0","101.0","389.0","508.0","192.0","245.0","378.0","689.0","626.0","314.0","361.0","408.0","877.0","971.0","1,158.0","196.0","305.0","257.0","585.0","748.0","409.0","123.0","-105.0","-201.0","356.0","687.0","914.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"44","26","Less: Wage accruals less disbursements","A184RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","44.0","32.0","-76.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","27","    Net government saving","A922RC1","2,556.0","1,584.0","-1,111.0","-676.0","-524.0","-958.0","-751.0","-916.0","2,246.0","637.0","-55.0","1,642.0","4,138.0","-7,197.0","-12,621.0","-25,288.0","-27,299.0","-3,477.0","6,745.0","4,883.0","-4,140.0","6,877.0","12,242.0","6,710.0","5,286.0","1,544.0","9,188.0","11,910.0","7,443.0","-2,565.0","7,041.0","11,421.0","6,834.0","7,659.0","10,991.0","7,291.0","9,773.0","10,011.0","-2,324.0","5,053.0","16,535.0"
"46","28","Social insurance funds","A221RC1","61.0","64.0","56.0","42.0","39.0","39.0","45.0","247.0","1,387.0","990.0","1,031.0","1,036.0","1,611.0","2,179.0","3,289.0","3,881.0","4,256.0","3,289.0","3,248.0","2,481.0","1,570.0","-186.0","2,695.0","2,746.0","2,184.0","1,289.0","1,640.0","1,813.0","1,204.0","-2,636.0","-658.0","412.0","-2,325.0","-568.0","861.0","1,296.0","523.0","6,117.0","4,237.0","3,312.0","5,856.0"
"47","29","Other","A391RC1","2,495.0","1,520.0","-1,167.0","-718.0","-563.0","-997.0","-796.0","-1,163.0","859.0","-353.0","-1,086.0","606.0","2,527.0","-9,376.0","-15,910.0","-29,169.0","-31,555.0","-6,766.0","3,497.0","2,402.0","-5,710.0","7,062.0","9,547.0","3,964.0","3,102.0","255.0","7,548.0","10,097.0","6,239.0","71.0","7,699.0","11,008.0","9,159.0","8,227.0","10,130.0","5,994.0","9,249.0","3,894.0","-6,561.0","1,741.0","10,679.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Total receipts","W066RC1","10,769.0","10,217.0","8,908.0","8,338.0","8,806.0","9,924.0","10,816.0","12,383.0","14,792.0","14,395.0","14,737.0","17,073.0","24,276.0","31,800.0","48,185.0","50,114.0","52,161.0","51,273.0","56,391.0","57,827.0","54,505.0","66,918.0","82,861.0","87,501.0","91,950.0","87,099.0","97,912.0","105,754.0","111,589.0","109,867.0","124,788.0","136,633.0","141,541.0","153,209.0","165,058.0","169,908.0","183,935.0","206,713.0","221,664.0","256,169.0","288,169.0"
"50","31","    Current receipts","W021RC1","10,544.0","9,975.0","8,685.0","8,171.0","8,628.0","9,700.0","10,462.0","11,886.0","14,266.0","13,873.0","14,249.0","16,622.0","23,764.0","31,224.0","47,619.0","49,432.0","51,366.0","50,395.0","55,395.0","56,759.0","53,590.0","66,093.0","81,921.0","86,446.0","90,802.0","85,936.0","96,659.0","104,150.0","109,802.0","108,172.0","122,983.0","134,391.0","139,032.0","150,571.0","162,173.0","166,603.0","180,327.0","202,827.0","217,686.0","252,081.0","283,544.0"
"51","32","    Capital transfer receipts","W067RC1","225.0","242.0","223.0","167.0","178.0","224.0","354.0","497.0","526.0","522.0","488.0","451.0","512.0","576.0","566.0","682.0","795.0","878.0","996.0","1,068.0","915.0","825.0","940.0","1,055.0","1,148.0","1,163.0","1,253.0","1,604.0","1,787.0","1,695.0","1,805.0","2,242.0","2,509.0","2,638.0","2,885.0","3,305.0","3,608.0","3,886.0","3,978.0","4,088.0","4,625.0"
"52","33","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","137,650.0","149,590.0","161,506.0","169,138.0","177,840.0","189,102.0","214,732.0","242,852.0","268,287.0","286,747.0"
"53","34","    Current expenditures","W022RC1","7,988.0","8,391.0","9,796.0","8,847.0","9,152.0","10,658.0","11,213.0","12,802.0","12,020.0","13,236.0","14,304.0","14,980.0","19,626.0","38,421.0","60,240.0","74,720.0","78,665.0","53,872.0","48,650.0","51,876.0","57,730.0","59,216.0","69,679.0","79,736.0","85,516.0","84,392.0","87,471.0","92,240.0","102,359.0","110,737.0","115,942.0","122,970.0","132,198.0","142,912.0","151,182.0","159,312.0","170,554.0","192,816.0","220,010.0","247,028.0","267,009.0"
"54","35","    Gross government investment","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"55","36","    Capital transfer payments","W069RC1",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","18.0","24.0","29.0","49.0","93.0","123.0","126.0","88.0","81.0","81.0","83.0","85.0","112.0","79.0"
"56","37","    Net purchases of nonproduced assets","AD07RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,321.0","1,491.0","1,657.0","1,682.0","1,890.0","1,771.0","2,019.0","1,156.0","506.0","1,092.0"
"57","38","    Less: Consumption of fixed capital","A264RC1","958.0","950.0","909.0","817.0","907.0","1,077.0","1,099.0","1,231.0","1,322.0","1,390.0","1,439.0","1,533.0","2,030.0","3,535.0","6,238.0","8,888.0","10,067.0","10,782.0","10,591.0","9,611.0","8,681.0","7,915.0","8,630.0","9,545.0","10,432.0","11,126.0","11,729.0","12,763.0","13,595.0","13,867.0","14,453.0","15,001.0","15,551.0","16,479.0","17,454.0","18,069.0","18,859.0","19,973.0","21,376.0","22,996.0","24,701.0"
"58","39","  Net lending or net borrowing (-)","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,017.0","-8,049.0","-8,297.0","-4,080.0","-7,932.0","-5,167.0","-8,019.0","-21,188.0","-12,118.0","1,422.0"
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","(line 14) are not shown separately; subsidies are presented net of the current surplus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Prior to 1960, government social benefits to the rest of the world are included in line 21,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","""other current transfer payments to the rest of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
