"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"22","2","    Gross domestic income","A261RX1","4,211,112.0","4,238,485.0","4,269,506.0","4,262,962.0","4,231,737.0","4,229,789.0","4,266,470.0","4,224,075.0","4,310,368.0","4,341,603.0","4,378,885.0","4,433,853.0","4,495,372.0","4,555,381.0","4,631,869.0","4,757,272.0","4,844,524.0","4,870,587.0","4,883,063.0","4,938,259.0","4,895,693.0","4,875,626.0","4,854,940.0","4,790,583.0","4,732,915.0","4,775,656.0","4,874,604.0","4,923,559.0","5,024,764.0","5,056,413.0","5,092,428.0","5,109,769.0","5,158,555.0","5,289,181.0","5,392,699.0","5,425,440.0","5,453,034.0","5,620,217.0","5,657,444.0","5,705,313.0","5,754,187.0","5,721,060.0","5,729,058.0","5,768,839.0","5,769,014.0","5,658,943.0","5,689,885.0","5,835,221.0","5,885,754.0","5,883,454.0","5,975,697.0","5,901,591.0","5,857,917.0","5,885,209.0","5,857,602.0","5,829,593.0","5,898,078.0","5,995,529.0","6,079,891.0","6,206,464.0","6,372,934.0","6,492,973.0","6,567,304.0","6,641,257.0","6,695,252.0","6,736,153.0","6,813,451.0","6,854,543.0","6,927,037.0","6,944,086.0","6,985,710.0","7,035,086.0","7,093,812.0","7,203,868.0","7,311,499.0","7,415,359.0","7,500,717.0","7,586,110.0","7,647,764.0","7,751,428.0","7,794,006.0","7,774,203.0","7,808,364.0","7,819,072.0","7,884,494.0","7,938,404.0","7,929,625.0","7,889,058.0","7,872,261.0","7,892,958.0","7,908,143.0","7,934,257.0","8,056,636.0","8,119,159.0","8,144,096.0","8,226,662.0","8,228,338.0","8,319,673.0","8,343,109.0","8,479,436.0","8,576,441.0","8,680,750.0","8,772,789.0","8,877,586.0","8,923,446.0","8,966,243.0","9,070,419.0","9,125,969.0","9,211,149.0","9,354,780.0","9,445,706.0","9,566,933.0","9,668,946.0","9,780,896.0","9,940,371.0","10,059,158.0","10,166,227.0","10,309,606.0","10,460,109.0","10,561,799.0","10,703,281.0","10,775,012.0","10,872,550.0","11,059,552.0","11,284,543.0","11,347,100.0","11,430,815.0","11,408,322.0","11,522,747.0","11,482,003.0","11,428,846.0","11,373,590.0","11,514,326.0","11,577,439.0","11,564,255.0","11,612,539.0","11,647,607.0","11,765,323.0","11,866,207.0","11,996,416.0","12,094,223.0","12,211,928.0","12,341,102.0","12,431,796.0","12,562,192.0","12,655,747.0","12,750,733.0","12,902,171.0","13,106,324.0","13,150,828.0","13,214,197.0","13,300,731.0","13,214,187.0","13,232,166.0","13,189,439.0","13,236,898.0","13,321,445.0","13,283,539.0","13,194,795.0","12,857,447.0","12,660,271.0","12,579,865.0","12,601,815.0","12,757,765.0","12,933,373.0","12,983,741.0","13,106,901.0","13,143,730.0","13,228,630.0","13,242,501.0","13,234,475.0","13,379,343.0","13,505,480.0","13,481,034.0","13,533,008.0","....."
"23","3","    Net domestic product \1\","A362RX1","3,955,455.0","3,963,096.0","3,985,703.0","3,959,604.0","3,947,479.0","3,951,304.0","3,987,582.0","3,938,709.0","4,055,128.0","4,076,332.0","4,108,363.0","4,117,479.0","4,195,938.0","4,302,364.0","4,342,609.0","4,415,819.0","4,534,407.0","4,585,761.0","4,552,012.0","4,594,061.0","4,543,229.0","4,550,632.0","4,494,789.0","4,469,894.0","4,403,817.0","4,437,223.0","4,517,343.0","4,579,541.0","4,692,818.0","4,727,842.0","4,748,717.0","4,782,005.0","4,838,545.0","4,940,727.0","5,033,749.0","5,025,578.0","5,037,871.0","5,254,365.0","5,304,303.0","5,374,886.0","5,376,014.0","5,372,805.0","5,407,735.0","5,416,081.0","5,427,454.0","5,292,998.0","5,274,057.0","5,378,218.0","5,498,744.0","5,441,212.0","5,508,866.0","5,421,951.0","5,310,964.0","5,336,082.0","5,305,119.0","5,303,458.0","5,373,821.0","5,506,473.0","5,624,154.0","5,749,590.0","5,868,709.0","5,974,941.0","6,030,746.0","6,075,361.0","6,128,235.0","6,175,596.0","6,274,258.0","6,317,937.0","6,377,350.0","6,396,624.0","6,456,655.0","6,481,782.0","6,512,103.0","6,580,781.0","6,635,877.0","6,755,486.0","6,786,006.0","6,875,677.0","6,906,427.0","7,001,413.0","7,066,072.0","7,116,101.0","7,170,146.0","7,178,020.0","7,253,175.0","7,276,685.0","7,268,131.0","7,188,173.0","7,141,624.0","7,189,394.0","7,216,667.0","7,241,554.0","7,324,482.0","7,406,352.0","7,487,360.0","7,571,825.0","7,577,271.0","7,622,128.0","7,657,762.0","7,762,728.0","7,838,893.0","7,950,208.0","7,997,578.0","8,086,911.0","8,097,671.0","8,105,223.0","8,169,775.0","8,221,273.0","8,271,582.0","8,419,657.0","8,488,027.0","8,577,885.0","8,637,126.0","8,765,621.0","8,872,765.0","8,931,673.0","9,008,223.0","9,080,313.0","9,195,740.0","9,355,045.0","9,427,870.0","9,489,800.0","9,605,036.0","9,778,988.0","9,786,405.0","9,979,188.0","9,966,639.0","10,014,230.0","9,958,727.0","10,017,317.0","9,972,522.0","10,000,163.0","10,084,101.0","10,133,997.0","10,181,000.0","10,174,295.0","10,212,533.0","10,302,058.0","10,485,005.0","10,581,067.0","10,647,705.0","10,714,241.0","10,792,686.0","10,879,919.0","10,994,165.0","11,036,692.0","11,122,371.0","11,173,094.0","11,321,445.0","11,358,065.0","11,344,099.0","11,416,372.0","11,417,364.0","11,519,313.0","11,601,084.0","11,643,327.0","11,573,852.0","11,605,227.0","11,470,176.0","11,157,367.0","10,978,199.0","10,965,746.0","11,009,919.0","11,134,366.0","11,206,300.0","11,273,813.0","11,351,346.0","11,421,792.0","11,419,031.0","11,493,062.0","11,526,982.0","11,650,709.0","11,706,590.0","11,739,154.0","11,833,590.0","11,827,330.0"
"24","4","    Net domestic income \1\","W256RX1","3,925,029.0","3,948,337.0","3,975,183.0","3,963,039.0","3,925,499.0","3,919,418.0","3,954,407.0","3,908,783.0","3,993,206.0","4,020,967.0","4,055,168.0","4,108,518.0","4,168,335.0","4,226,109.0","4,299,438.0","4,422,842.0","4,505,809.0","4,526,019.0","4,532,352.0","4,583,178.0","4,533,233.0","4,506,731.0","4,479,816.0","4,408,047.0","4,343,290.0","4,382,985.0","4,481,279.0","4,527,867.0","4,628,719.0","4,656,878.0","4,689,158.0","4,701,544.0","4,746,206.0","4,875,717.0","4,976,890.0","5,004,015.0","5,025,681.0","5,192,328.0","5,222,998.0","5,264,391.0","5,306,298.0","5,262,951.0","5,262,402.0","5,295,403.0","5,287,061.0","5,163,967.0","5,188,571.0","5,333,003.0","5,378,755.0","5,368,841.0","5,457,264.0","5,371,301.0","5,316,733.0","5,337,277.0","5,301,242.0","5,265,453.0","5,331,256.0","5,426,392.0","5,507,345.0","5,631,542.0","5,796,349.0","5,911,680.0","5,978,566.0","6,043,994.0","6,087,642.0","6,118,288.0","6,187,212.0","6,219,354.0","6,284,651.0","6,292,453.0","6,325,308.0","6,366,019.0","6,416,208.0","6,519,572.0","6,620,638.0","6,718,091.0","6,796,854.0","6,875,484.0","6,929,253.0","7,026,112.0","7,059,955.0","7,029,708.0","7,054,850.0","7,055,963.0","7,113,266.0","7,159,593.0","7,142,120.0","7,092,929.0","7,068,795.0","7,082,955.0","7,091,463.0","7,110,910.0","7,228,528.0","7,285,876.0","7,305,813.0","7,385,352.0","7,376,844.0","7,459,836.0","7,473,793.0","7,603,084.0","7,692,391.0","7,788,613.0","7,871,726.0","7,967,091.0","8,001,919.0","8,033,329.0","8,126,659.0","8,170,069.0","8,242,941.0","8,374,814.0","8,452,510.0","8,560,304.0","8,648,189.0","8,745,051.0","8,889,178.0","8,991,134.0","9,080,281.0","9,205,534.0","9,336,978.0","9,418,791.0","9,539,738.0","9,590,487.0","9,667,261.0","9,834,162.0","10,038,996.0","10,078,066.0","10,140,186.0","10,098,027.0","10,194,724.0","10,137,922.0","10,071,334.0","10,003,708.0","10,131,443.0","10,183,390.0","10,158,701.0","10,196,238.0","10,221,229.0","10,329,853.0","10,420,483.0","10,538,833.0","10,624,042.0","10,730,243.0","10,847,161.0","10,924,497.0","11,041,281.0","11,121,604.0","11,202,577.0","11,339,802.0","11,531,532.0","11,560,402.0","11,607,963.0","11,678,979.0","11,575,480.0","11,577,942.0","11,520,647.0","11,554,289.0","11,628,453.0","11,578,320.0","11,478,096.0","11,131,246.0","10,927,609.0","10,844,854.0","10,865,506.0","11,019,570.0","11,192,187.0","11,238,143.0","11,354,764.0","11,384,645.0","11,463,629.0","11,471,026.0","11,455,024.0","11,589,336.0","11,705,638.0","11,672,010.0","11,714,819.0","....."
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RX1","4,271,749.0","4,283,002.0","4,308,617.0","4,288,495.0","4,282,541.0","4,291,212.0","4,328,746.0","4,280,700.0","4,402,911.0","4,429,435.0","4,461,351.0","4,475,289.0","4,556,119.0","4,662,883.0","4,709,978.0","4,786,772.0","4,913,736.0","4,972,809.0","4,953,682.0","5,000,814.0","4,966,282.0","4,975,622.0","4,921,853.0","4,895,515.0","4,829,326.0","4,866,235.0","4,950,642.0","5,022,622.0","5,134,269.0","5,174,393.0","5,199,991.0","5,238,594.0","5,306,064.0","5,409,190.0","5,504,340.0","5,496,871.0","5,523,363.0","5,728,670.0","5,788,818.0","5,872,560.0","5,883,773.0","5,896,771.0","5,952,268.0","5,967,803.0","5,988,275.0","5,860,853.0","5,845,599.0","5,938,631.0","6,064,764.0","6,013,195.0","6,089,267.0","6,022,089.0","5,920,600.0","5,960,626.0","5,926,343.0","5,928,554.0","6,000,813.0","6,138,307.0","6,259,332.0","6,389,855.0","6,507,230.0","6,618,818.0","6,681,861.0","6,728,665.0","6,779,966.0","6,839,999.0","6,937,620.0","6,994,524.0","7,055,901.0","7,072,959.0","7,144,326.0","7,168,545.0","7,210,903.0","7,293,453.0","7,355,634.0","7,483,793.0","7,530,334.0","7,623,090.0","7,658,642.0","7,763,729.0","7,835,634.0","7,892,572.0","7,957,719.0","7,983,318.0","8,063,457.0","8,096,638.0","8,089,623.0","8,050,129.0","7,994,739.0","8,033,390.0","8,062,642.0","8,104,357.0","8,192,304.0","8,278,277.0","8,359,053.0","8,447,826.0","8,472,841.0","8,517,956.0","8,570,095.0","8,663,000.0","8,755,869.0","8,870,016.0","8,923,958.0","9,022,059.0","9,056,080.0","9,078,682.0","9,137,267.0","9,214,633.0","9,284,978.0","9,434,107.0","9,511,878.0","9,621,425.0","9,684,989.0","9,837,443.0","9,951,254.0","10,019,821.0","10,124,719.0","10,212,507.0","10,331,547.0","10,512,237.0","10,618,967.0","10,707,514.0","10,839,693.0","11,045,593.0","11,069,165.0","11,288,142.0","11,292,827.0","11,386,813.0","11,333,857.0","11,416,917.0","11,360,265.0","11,468,840.0","11,523,331.0","11,564,508.0","11,638,726.0","11,661,655.0","11,694,874.0","11,808,089.0","12,000,815.0","12,135,970.0","12,233,974.0","12,285,085.0","12,386,677.0","12,460,655.0","12,623,441.0","12,667,676.0","12,776,859.0","12,812,440.0","12,974,685.0","13,021,594.0","13,009,618.0","13,107,304.0","13,122,572.0","13,248,392.0","13,405,824.0","13,511,032.0","13,431,733.0","13,476,579.0","13,367,429.0","12,991,905.0","12,819,456.0","12,806,791.0","12,895,341.0","13,034,499.0","13,121,892.0","13,216,485.0","13,301,067.0","13,374,168.0","13,394,316.0","13,486,118.0","13,534,703.0","13,672,890.0","13,693,844.0","13,763,617.0","13,862,870.0","....."
"27","6","    Gross national income","A023RX1","4,242,434.0","4,268,675.0","4,298,379.0","4,291,936.0","4,261,234.0","4,260,324.0","4,296,577.0","4,251,838.0","4,342,986.0","4,376,027.0","4,410,037.0","4,466,772.0","4,529,531.0","4,589,156.0","4,668,379.0","4,793,420.0","4,886,136.0","4,915,015.0","4,934,761.0","4,990,279.0","4,956,597.0","4,933,203.0","4,907,401.0","4,835,873.0","4,771,055.0","4,814,048.0","4,916,036.0","4,972,917.0","5,072,730.0","5,106,300.0","5,142,705.0","5,161,247.0","5,217,305.0","5,346,839.0","5,449,777.0","5,476,127.0","5,511,595.0","5,669,154.0","5,710,855.0","5,766,542.0","5,816,933.0","5,791,383.0","5,812,894.0","5,852,187.0","5,853,752.0","5,737,403.0","5,763,709.0","5,895,356.0","5,949,850.0","5,943,903.0","6,039,876.0","5,973,676.0","5,926,122.0","5,961,788.0","5,922,635.0","5,892,158.0","5,959,985.0","6,061,396.0","6,146,957.0","6,276,075.0","6,437,463.0","6,557,827.0","6,631,467.0","6,698,309.0","6,740,668.0","6,784,528.0","6,853,425.0","6,899,066.0","6,966,133.0","6,972,102.0","7,017,093.0","7,056,371.0","7,117,843.0","7,233,990.0","7,340,805.0","7,447,398.0","7,540,814.0","7,622,818.0","7,680,834.0","7,787,761.0","7,829,788.0","7,808,402.0","7,845,498.0","7,864,381.0","7,927,047.0","7,982,312.0","7,966,624.0","7,957,153.0","7,923,565.0","7,929,281.0","7,940,076.0","7,976,423.0","8,098,295.0","8,160,080.0","8,180,839.0","8,264,578.0","8,275,878.0","8,358,423.0","8,389,411.0","8,506,085.0","8,611,794.0","8,711,103.0","8,800,085.0","8,904,159.0","8,961,870.0","9,007,970.0","9,094,751.0","9,164,225.0","9,256,758.0","9,389,846.0","9,476,833.0","9,604,128.0","9,695,851.0","9,817,120.0","9,967,522.0","10,078,739.0","10,196,169.0","10,336,608.0","10,471,697.0","10,575,408.0","10,730,070.0","10,807,544.0","10,901,498.0","11,100,405.0","11,320,129.0","11,386,502.0","11,465,399.0","11,470,271.0","11,568,812.0","11,537,218.0","11,458,756.0","11,472,409.0","11,570,555.0","11,613,714.0","11,616,458.0","11,683,648.0","11,703,632.0","11,835,828.0","11,936,349.0","12,093,760.0","12,210,369.0","12,301,160.0","12,441,123.0","12,505,233.0","12,670,597.0","12,752,647.0","12,856,973.0","12,979,079.0","13,184,566.0","13,223,668.0","13,273,264.0","13,369,555.0","13,280,613.0","13,307,069.0","13,325,416.0","13,421,947.0","13,486,339.0","13,449,698.0","13,375,351.0","12,965,782.0","12,768,811.0","12,685,596.0","12,750,363.0","12,919,311.0","13,107,766.0","13,180,585.0","13,304,435.0","13,336,687.0","13,439,178.0","13,463,905.0","13,462,301.0","13,611,178.0","13,692,895.0","13,696,049.0","13,743,294.0","....."
"28","7","    Net national product \1\","A027RX1","3,987,193.0","3,993,694.0","4,014,970.0","3,988,847.0","3,977,472.0","3,982,289.0","4,018,144.0","3,966,725.0","4,088,236.0","4,111,228.0","4,139,974.0","4,150,773.0","4,230,666.0","4,336,586.0","4,379,649.0","4,452,657.0","4,576,866.0","4,631,023.0","4,604,696.0","4,647,132.0","4,605,487.0","4,609,553.0","4,548,378.0","4,516,032.0","4,442,477.0","4,476,175.0","4,559,495.0","4,629,855.0","4,741,644.0","4,778,610.0","4,799,994.0","4,834,534.0","4,898,620.0","4,999,579.0","5,091,999.0","5,077,217.0","5,097,735.0","5,304,094.0","5,358,676.0","5,437,465.0","5,440,145.0","5,444,795.0","5,493,919.0","5,501,624.0","5,514,580.0","5,373,437.0","5,349,788.0","5,439,591.0","5,564,242.0","5,502,862.0","5,574,413.0","5,495,753.0","5,380,766.0","5,414,566.0","5,371,483.0","5,367,304.0","5,436,932.0","5,573,734.0","5,692,723.0","5,820,758.0","5,934,443.0","6,041,019.0","6,096,133.0","6,133,415.0","6,174,225.0","6,224,695.0","6,314,594.0","6,362,968.0","6,416,785.0","6,424,558.0","6,488,137.0","6,502,776.0","6,535,913.0","6,610,895.0","6,665,145.0","6,787,624.0","6,826,371.0","6,912,483.0","6,939,506.0","7,037,840.0","7,101,827.0","7,150,389.0","7,207,330.0","7,223,736.0","7,296,026.0","7,320,870.0","7,305,253.0","7,257,105.0","7,193,434.0","7,225,891.0","7,248,627.0","7,283,967.0","7,366,329.0","7,447,550.0","7,524,255.0","7,609,930.0","7,625,104.0","7,661,013.0","7,704,279.0","7,789,235.0","7,874,337.0","7,980,423.0","8,024,747.0","8,113,360.0","8,136,266.0","8,147,085.0","8,193,989.0","8,259,530.0","8,317,428.0","8,454,746.0","8,519,075.0","8,615,061.0","8,664,029.0","8,801,883.0","8,899,715.0","8,950,974.0","9,038,046.0","9,107,115.0","9,207,053.0","9,368,425.0","9,454,550.0","9,522,270.0","9,633,920.0","9,819,691.0","9,821,912.0","10,018,456.0","10,001,113.0","10,076,118.0","10,004,804.0","10,072,507.0","10,002,330.0","10,099,111.0","10,140,309.0","10,170,338.0","10,233,112.0","10,245,382.0","10,268,500.0","10,372,637.0","10,555,154.0","10,678,446.0","10,763,738.0","10,803,439.0","10,892,694.0","10,953,355.0","11,102,606.0","11,133,663.0","11,228,705.0","11,249,940.0","11,399,738.0","11,430,932.0","11,403,260.0","11,485,229.0","11,483,819.0","11,594,163.0","11,737,104.0","11,828,414.0","11,738,757.0","11,771,343.0","11,650,694.0","11,265,787.0","11,086,765.0","11,071,670.0","11,158,555.0","11,295,782.0","11,380,533.0","11,470,490.0","11,548,694.0","11,614,566.0","11,629,280.0","11,714,179.0","11,754,393.0","11,882,170.0","11,893,878.0","11,953,952.0","12,043,696.0","....."
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","8","    Gross domestic purchases","A712RX1","4,342,205.0","4,349,468.0","4,379,777.0","4,348,485.0","4,338,811.0","4,340,493.0","4,379,622.0","4,334,379.0","4,450,492.0","4,494,297.0","4,525,451.0","4,542,095.0","4,633,558.0","4,740,829.0","4,776,401.0","4,856,318.0","4,973,307.0","5,005,972.0","4,968,469.0","5,000,254.0","4,937,194.0","4,950,629.0","4,917,172.0","4,883,312.0","4,778,883.0","4,798,460.0","4,916,367.0","4,978,088.0","5,118,710.0","5,170,565.0","5,200,994.0","5,248,973.0","5,338,352.0","5,436,433.0","5,522,494.0","5,541,911.0","5,583,505.0","5,756,867.0","5,814,342.0","5,878,757.0","5,886,368.0","5,893,508.0","5,908,532.0","5,904,925.0","5,909,301.0","5,732,141.0","5,679,101.0","5,818,522.0","5,953,435.0","5,903,826.0","5,980,900.0","5,920,554.0","5,831,479.0","5,850,830.0","5,876,616.0","5,882,838.0","5,960,181.0","6,131,664.0","6,286,852.0","6,433,560.0","6,594,430.0","6,720,417.0","6,790,276.0","6,853,714.0","6,901,565.0","6,992,590.0","7,099,512.0","7,163,998.0","7,214,642.0","7,266,896.0","7,343,081.0","7,364,122.0","7,398,828.0","7,472,943.0","7,527,299.0","7,649,436.0","7,650,968.0","7,719,852.0","7,765,907.0","7,872,248.0","7,928,577.0","7,960,411.0","8,013,510.0","8,034,434.0","8,112,191.0","8,132,328.0","8,123,348.0","8,023,389.0","7,970,107.0","8,010,754.0","8,049,448.0","8,081,040.0","8,161,064.0","8,261,432.0","8,342,063.0","8,446,063.0","8,478,725.0","8,540,943.0","8,600,225.0","8,722,910.0","8,820,839.0","8,947,699.0","8,999,045.0","9,106,507.0","9,134,556.0","9,151,055.0","9,188,343.0","9,251,371.0","9,337,330.0","9,505,189.0","9,615,677.0","9,677,955.0","9,781,453.0","9,922,032.0","10,064,243.0","10,169,775.0","10,306,555.0","10,440,352.0","10,598,331.0","10,779,138.0","10,916,304.0","11,030,635.0","11,189,277.0","11,390,954.0","11,461,579.0","11,691,945.0","11,728,760.0","11,804,092.0","11,758,176.0","11,823,225.0","11,814,140.0","11,867,561.0","11,985,470.0","12,068,738.0","12,145,916.0","12,189,885.0","12,228,896.0","12,354,649.0","12,538,759.0","12,656,598.0","12,752,399.0","12,883,327.0","12,992,622.0","13,113,644.0","13,229,744.0","13,279,933.0","13,391,840.0","13,481,240.0","13,629,420.0","13,682,109.0","13,707,605.0","13,733,308.0","13,759,422.0","13,863,220.0","13,908,307.0","13,890,146.0","13,818,005.0","13,794,470.0","13,646,478.0","13,353,297.0","13,103,693.0","13,014,385.0","13,081,969.0","13,209,302.0","13,309,346.0","13,438,867.0","13,553,405.0","13,590,456.0","13,592,103.0","13,655,156.0","13,696,447.0","13,851,354.0","13,914,386.0","13,948,500.0","14,039,294.0","14,035,497.0"
"31","9","    Final sales to domestic purchasers \2\","A713RX1","4,319,989.0","4,335,827.0","4,361,112.0","4,351,178.0","4,360,158.0","4,345,494.0","4,384,920.0","4,378,140.0","4,428,681.0","4,478,007.0","4,512,655.0","4,571,147.0","4,644,975.0","4,719,574.0","4,752,198.0","4,863,921.0","4,963,305.0","4,962,713.0","4,958,107.0","4,948,036.0","4,922,772.0","4,929,056.0","4,929,432.0","4,843,381.0","4,835,995.0","4,868,690.0","4,949,184.0","5,005,115.0","5,101,549.0","5,132,153.0","5,169,048.0","5,251,478.0","5,329,352.0","5,407,203.0","5,453,304.0","5,517,966.0","5,547,913.0","5,721,582.0","5,775,127.0","5,836,785.0","5,852,932.0","5,854,330.0","5,911,294.0","5,918,218.0","5,915,131.0","5,742,796.0","5,774,577.0","5,860,583.0","5,903,701.0","5,913,086.0","5,925,489.0","5,904,665.0","5,895,846.0","5,881,156.0","5,891,180.0","5,979,373.0","6,046,863.0","6,170,574.0","6,319,608.0","6,420,285.0","6,500,988.0","6,632,113.0","6,697,891.0","6,802,587.0","6,899,723.0","6,985,107.0","7,096,104.0","7,136,458.0","7,191,500.0","7,268,414.0","7,375,909.0","7,403,043.0","7,378,897.0","7,472,099.0","7,550,113.0","7,580,173.0","7,651,952.0","7,714,882.0","7,757,840.0","7,860,270.0","7,881,290.0","7,929,945.0","8,019,185.0","8,032,738.0","8,113,659.0","8,105,428.0","8,112,348.0","8,054,115.0","8,007,456.0","8,051,889.0","8,068,072.0","8,060,851.0","8,176,593.0","8,248,893.0","8,334,847.0","8,437,806.0","8,449,637.0","8,528,319.0","8,609,382.0","8,721,760.0","8,781,863.0","8,862,629.0","8,951,830.0","9,031,680.0","9,075,673.0","9,125,666.0","9,194,199.0","9,246,918.0","9,349,253.0","9,490,028.0","9,559,747.0","9,650,761.0","9,747,732.0","9,821,663.0","9,994,017.0","10,086,736.0","10,191,229.0","10,403,380.0","10,543,943.0","10,720,103.0","10,832,359.0","10,995,027.0","11,149,315.0","11,294,231.0","11,446,380.0","11,591,594.0","11,667,422.0","11,747,802.0","11,796,427.0","11,837,505.0","11,848,336.0","11,961,174.0","12,004,377.0","12,059,020.0","12,129,366.0","12,160,261.0","12,199,662.0","12,360,063.0","12,536,976.0","12,619,147.0","12,701,014.0","12,805,698.0","12,930,130.0","13,042,473.0","13,138,757.0","13,264,417.0","13,379,851.0","13,399,923.0","13,564,951.0","13,610,742.0","13,640,011.0","13,700,138.0","13,741,470.0","13,815,778.0","13,870,280.0","13,878,168.0","13,828,798.0","13,809,718.0","13,684,627.0","13,441,525.0","13,261,811.0","13,202,257.0","13,262,318.0","13,245,643.0","13,275,889.0","13,403,940.0","13,454,841.0","13,544,115.0","13,561,925.0","13,623,848.0","13,699,631.0","13,771,274.0","13,847,536.0","13,897,123.0","13,963,620.0","14,012,586.0"
"32",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
