"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"33","14","  Services","DSERRC1","60,704.0","61,918.0","63,259.0","64,356.0","65,420.0","67,100.0","68,479.0","69,424.0","69,820.0","70,323.0","70,402.0","71,115.0","72,295.0","74,399.0","76,705.0","78,187.0","81,795.0","82,954.0","84,443.0","85,938.0","87,607.0","89,674.0","91,830.0","93,860.0","95,819.0","97,712.0","99,601.0","99,839.0","101,345.0","103,299.0","105,277.0","107,022.0","108,905.0","110,097.0","111,772.0","114,687.0","116,466.0","118,263.0","120,509.0","122,830.0","124,428.0","126,088.0","128,093.0","130,439.0","131,265.0","133,617.0","136,046.0","137,546.0","140,335.0","143,460.0","146,756.0","149,831.0","151,876.0","154,408.0","155,251.0","157,576.0","159,563.0","162,593.0","163,877.0","167,474.0","170,068.0","173,448.0","175,583.0","178,362.0","179,904.0","182,392.0","186,200.0","189,722.0","193,724.0","197,418.0","200,999.0","204,657.0","207,858.0","211,884.0","215,876.0","220,928.0","224,631.0","229,181.0","233,196.0","238,077.0","241,936.0","246,046.0","251,337.0","255,847.0","262,951.0","270,274.0","276,920.0","283,407.0","289,598.0","297,146.0"
"34","15","    Household consumption expenditures (for services)","DHCERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,483.0","138,471.0","141,625.0","144,567.0","146,546.0","149,109.0","149,990.0","152,360.0","154,380.0","157,177.0","158,331.0","161,761.0","164,275.0","167,703.0","169,908.0","172,745.0","174,225.0","176,520.0","180,088.0","183,387.0","187,085.0","190,723.0","194,282.0","197,932.0","201,086.0","204,859.0","208,537.0","213,294.0","216,843.0","221,409.0","225,462.0","230,367.0","234,064.0","237,845.0","242,725.0","246,847.0","253,749.0","261,011.0","267,540.0","273,869.0","279,905.0","287,226.0"
"35","16","      Housing and utilities","DHUTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","51,312.0","52,171.0","53,398.0","54,512.0","55,463.0","56,191.0","57,034.0","58,193.0","58,795.0","59,975.0","60,641.0","61,795.0","62,851.0","63,865.0","64,945.0","66,243.0","67,114.0","67,434.0","68,684.0","69,597.0","70,616.0","71,498.0","72,611.0","73,871.0","74,752.0","76,062.0","77,215.0","78,446.0","79,458.0","80,627.0","81,729.0","83,090.0","84,072.0","85,603.0","86,892.0","88,808.0","90,472.0","91,499.0","93,456.0","95,566.0","97,712.0","99,524.0"
"36","17","      Health care","DHLCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,464.0","14,728.0","14,939.0","15,195.0","15,547.0","16,089.0","15,987.0","16,497.0","16,641.0","17,051.0","17,222.0","17,567.0","18,138.0","18,817.0","19,483.0","20,105.0","20,469.0","20,759.0","21,096.0","21,583.0","22,672.0","23,735.0","24,726.0","25,464.0","26,061.0","26,194.0","25,869.0","26,027.0","26,731.0","28,059.0","29,307.0","30,616.0","31,193.0","31,664.0","32,136.0","32,722.0","34,128.0","35,947.0","37,326.0","38,902.0","40,259.0","41,601.0"
"37","18","      Transportation services","DTRSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,386.0","8,585.0","8,830.0","8,983.0","9,091.0","9,127.0","9,202.0","9,297.0","9,357.0","9,501.0","9,606.0","9,785.0","9,923.0","10,129.0","10,187.0","10,295.0","10,401.0","10,526.0","10,682.0","10,872.0","11,086.0","11,248.0","11,448.0","11,617.0","11,745.0","12,007.0","12,266.0","12,515.0","12,627.0","12,945.0","13,084.0","13,612.0","13,886.0","14,072.0","14,425.0","14,721.0","15,188.0","15,628.0","16,093.0","16,580.0","17,128.0","17,726.0"
"38","19","      Recreation services","DRCARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,642.0","5,875.0","6,010.0","6,156.0","6,341.0","6,443.0","6,521.0","6,615.0","6,743.0","6,855.0","6,980.0","7,202.0","7,247.0","7,556.0","7,429.0","7,587.0","7,708.0","7,786.0","8,220.0","7,990.0","8,353.0","8,315.0","8,459.0","8,789.0","8,868.0","8,903.0","8,968.0","9,163.0","9,288.0","9,629.0","9,882.0","10,273.0","10,418.0","10,261.0","10,812.0","10,314.0","11,085.0","11,583.0","11,874.0","12,268.0","12,577.0","12,950.0"
"39","20","      Food services and accommodations","DFSARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,949.0","19,465.0","20,093.0","20,446.0","20,295.0","20,658.0","20,457.0","20,528.0","20,812.0","20,781.0","20,874.0","21,388.0","21,691.0","22,048.0","22,451.0","22,836.0","23,011.0","23,205.0","23,272.0","23,735.0","24,360.0","24,813.0","25,040.0","25,298.0","26,044.0","26,867.0","27,498.0","28,313.0","29,013.0","29,409.0","30,005.0","30,110.0","30,335.0","30,503.0","31,147.0","31,843.0","33,468.0","34,200.0","35,101.0","35,609.0","36,030.0","37,345.0"
"40","21","      Financial services and insurance","DIFSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,985.0","12,326.0","12,620.0","13,004.0","13,183.0","13,503.0","13,714.0","13,803.0","14,447.0","14,850.0","14,686.0","15,078.0","15,125.0","15,533.0","15,353.0","15,389.0","15,203.0","15,494.0","16,106.0","16,826.0","16,979.0","17,476.0","18,145.0","18,363.0","18,630.0","18,988.0","19,499.0","20,460.0","21,067.0","21,323.0","21,420.0","21,274.0","22,039.0","22,399.0","23,321.0","23,607.0","23,698.0","25,700.0","26,544.0","27,245.0","27,295.0","28,163.0"
"41","22","      Other services","DOTSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24,745.0","25,321.0","25,735.0","26,271.0","26,626.0","27,098.0","27,075.0","27,427.0","27,585.0","28,164.0","28,322.0","28,946.0","29,300.0","29,755.0","30,060.0","30,290.0","30,319.0","31,316.0","32,028.0","32,784.0","33,019.0","33,638.0","33,853.0","34,530.0","34,986.0","35,838.0","37,222.0","38,370.0","38,659.0","39,417.0","40,035.0","41,392.0","42,121.0","43,343.0","43,992.0","44,832.0","45,710.0","46,454.0","47,146.0","47,699.0","48,904.0","49,917.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,852.0","4,989.0","5,131.0","5,264.0","5,330.0","5,299.0","5,261.0","5,216.0","5,183.0","5,416.0","5,546.0","5,713.0","5,793.0","5,745.0","5,675.0","5,617.0","5,679.0","5,872.0","6,112.0","6,335.0","6,639.0","6,695.0","6,717.0","6,725.0","6,772.0","7,025.0","7,339.0","7,634.0","7,788.0","7,772.0","7,734.0","7,710.0","7,872.0","8,201.0","8,612.0","9,000.0","9,202.0","9,263.0","9,380.0","9,538.0","9,693.0","9,920.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,664.0","13,972.0","14,244.0","14,534.0","14,837.0","15,168.0","14,941.0","15,259.0","15,276.0","16,025.0","16,177.0","16,529.0","16,858.0","17,068.0","17,255.0","17,461.0","17,801.0","18,303.0","18,827.0","19,349.0","20,132.0","20,436.0","20,665.0","20,812.0","21,350.0","22,004.0","22,622.0","23,260.0","23,882.0","24,489.0","24,844.0","25,327.0","25,891.0","26,850.0","27,861.0","28,797.0","29,613.0","30,608.0","31,207.0","32,176.0","33,105.0","34,181.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,812.0","8,983.0","9,113.0","9,270.0","9,507.0","9,869.0","9,680.0","10,043.0","10,093.0","10,609.0","10,631.0","10,816.0","11,065.0","11,323.0","11,580.0","11,844.0","12,122.0","12,431.0","12,715.0","13,014.0","13,493.0","13,741.0","13,948.0","14,087.0","14,578.0","14,979.0","15,283.0","15,626.0","16,094.0","16,717.0","17,110.0","17,617.0","18,019.0","18,649.0","19,249.0","19,797.0","20,411.0","21,345.0","21,827.0","22,638.0","23,412.0","24,261.0"
"45","26","Gross private domestic investment","A006RC1","33,716.0","32,372.0","32,719.0","41,027.0","44,972.0","48,100.0","50,248.0","49,090.0","40,936.0","34,045.0","37,332.0","35,153.0","44,370.0","49,850.0","56,131.0","65,899.0","62,053.0","64,848.0","59,384.0","54,359.0","55,197.0","49,875.0","53,882.0","57,144.0","57,877.0","58,143.0","57,382.0","52,344.0","51,546.0","51,237.0","54,698.0","57,792.0","64,236.0","68,084.0","69,970.0","73,855.0","72,978.0","71,428.0","72,490.0","71,204.0","71,778.0","71,912.0","73,239.0","64,904.0","60,518.0","58,717.0","65,469.0","73,243.0","76,185.0","82,226.0","76,442.0","79,278.0","89,079.0","79,685.0","78,693.0","68,110.0","70,294.0","75,757.0","82,351.0","84,238.0","89,376.0","87,905.0","89,288.0","85,959.0","90,476.0","92,167.0","94,985.0","97,398.0","100,652.0","100,565.0","102,451.0","104,568.0","115,685.0","115,846.0","119,652.0","121,784.0","131,730.0","130,681.0","130,158.0","132,651.0","129,315.0","123,681.0","128,498.0","132,895.0","137,202.0","143,426.0","139,721.0","144,350.0","155,715.0","155,659.0"
"46","27","  Fixed investment","A007RC1","33,221.0","33,612.0","35,636.0","39,571.0","41,346.0","42,241.0","43,096.0","43,093.0","40,548.0","39,193.0","38,639.0","39,852.0","42,346.0","47,017.0","51,954.0","51,855.0","51,667.0","50,056.0","49,644.0","49,640.0","50,465.0","51,398.0","48,308.0","51,870.0","53,987.0","54,566.0","55,051.0","54,350.0","53,512.0","54,615.0","56,789.0","58,108.0","60,432.0","63,464.0","65,675.0","66,622.0","66,580.0","67,843.0","68,921.0","68,960.0","69,616.0","69,255.0","70,431.0","69,422.0","64,527.0","62,952.0","63,922.0","68,008.0","72,309.0","74,938.0","76,058.0","75,158.0","77,879.0","76,461.0","74,373.0","73,922.0","72,842.0","73,965.0","75,695.0","78,242.0","79,968.0","82,461.0","83,100.0","82,595.0","83,608.0","87,331.0","89,269.0","92,334.0","95,528.0","96,109.0","97,759.0","99,552.0","104,141.0","107,278.0","110,360.0","114,200.0","117,858.0","118,365.0","118,306.0","116,147.0","113,892.0","117,340.0","119,235.0","124,462.0","128,764.0","129,344.0","132,040.0","138,343.0","144,226.0","146,437.0"
"47","28","    Nonresidential","A008RC1","22,816.0","23,173.0","23,324.0","24,499.0","26,167.0","25,985.0","26,984.0","28,088.0","26,562.0","25,467.0","24,091.0","23,520.0","24,205.0","26,616.0","29,612.0","30,591.0","30,850.0","31,823.0","32,478.0","32,160.0","32,447.0","32,896.0","29,821.0","32,509.0","34,306.0","34,805.0","35,874.0","35,417.0","34,490.0","34,301.0","34,983.0","34,934.0","35,418.0","37,863.0","40,448.0","42,452.0","42,857.0","43,902.0","45,412.0","45,921.0","46,973.0","47,104.0","48,430.0","47,537.0","43,607.0","41,957.0","41,396.0","43,061.0","44,480.0","46,101.0","47,773.0","47,677.0","49,524.0","50,339.0","49,039.0","48,593.0","47,497.0","48,430.0","48,774.0","50,443.0","51,618.0","53,227.0","53,901.0","53,474.0","53,426.0","55,102.0","56,809.0","58,661.0","60,119.0","61,938.0","64,053.0","65,742.0","70,259.0","73,092.0","76,066.0","79,694.0","83,040.0","85,162.0","86,379.0","86,951.0","85,553.0","85,691.0","85,823.0","88,434.0","91,880.0","91,167.0","93,156.0","97,411.0","101,000.0","103,041.0"
"48","29","      Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,083.0","17,594.0","17,259.0","17,580.0","17,397.0","18,037.0","18,644.0","18,518.0","19,360.0","19,471.0","19,419.0","20,022.0","19,930.0","19,634.0","19,664.0","19,632.0","20,029.0","20,828.0","21,355.0","20,900.0","20,234.0","21,234.0","21,436.0","21,892.0","22,426.0","23,449.0","24,250.0","24,823.0","26,142.0","28,166.0","28,534.0","30,442.0","31,097.0","31,173.0","31,908.0","31,218.0","31,669.0","30,935.0","31,475.0","31,965.0","33,051.0","33,183.0","33,231.0","34,763.0","35,794.0","36,671.0"
"49","30","      Equipment and software","B010RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,524.0","24,363.0","24,137.0","25,481.0","27,083.0","28,064.0","29,129.0","29,159.0","30,164.0","30,868.0","29,620.0","28,571.0","27,567.0","28,796.0","29,110.0","30,811.0","31,589.0","32,399.0","32,546.0","32,574.0","33,192.0","33,868.0","35,373.0","36,769.0","37,693.0","38,489.0","39,803.0","40,919.0","44,117.0","44,926.0","47,532.0","49,252.0","51,943.0","53,989.0","54,471.0","55,733.0","53,884.0","54,756.0","54,348.0","56,469.0","58,829.0","57,984.0","59,925.0","62,648.0","65,206.0","66,370.0"
"50","31","        Information processing equipment and software","A679RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,696.0","3,475.0","3,564.0","3,691.0","3,759.0","3,837.0","3,960.0","4,394.0","4,593.0","4,940.0","4,817.0","5,129.0","4,833.0","5,338.0","5,353.0","5,519.0","5,855.0","5,722.0","5,553.0","5,694.0","6,043.0","6,461.0","6,767.0","6,844.0","7,195.0","7,296.0","7,229.0","7,741.0","7,845.0","8,255.0","8,778.0","9,190.0","9,831.0","10,486.0","10,938.0","11,398.0","11,124.0","11,222.0","11,059.0","11,695.0","11,854.0","11,711.0","12,033.0","12,056.0","13,031.0","14,171.0"
"51","32","          Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5.0","2.0","17.0","56.0","118.0","176.0","215.0","259.0","225.0","260.0","273.0","286.0","293.0","298.0","350.0","447.0","576.0","717.0","806.0","841.0","950.0","947.0","888.0","927.0","1,020.0","1,076.0","1,219.0","1,341.0","1,439.0","1,621.0","1,766.0","1,966.0","1,860.0","1,859.0","1,818.0","1,935.0","1,871.0","1,908.0","1,979.0","1,938.0","2,096.0","2,408.0"
"52","33","          Software \4\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","6.0","11.0","32.0","76.0","119.0","149.0","164.0","158.0","161.0","166.0","183.0","188.0","201.0","225.0","270.0","321.0","402.0","479.0","531.0","547.0","550.0","539.0","528.0","576.0","629.0","708.0","795.0","873.0","964.0","1,054.0","1,153.0","1,171.0","1,179.0","1,155.0","1,183.0","1,229.0","1,285.0","1,343.0","1,414.0","1,516.0","1,679.0"
"53","34","          Other","A937RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,688.0","3,468.0","3,557.0","3,681.0","3,747.0","3,829.0","3,932.0","4,306.0","4,399.0","4,645.0","4,453.0","4,706.0","4,450.0","4,917.0","4,914.0","5,050.0","5,374.0","5,223.0","4,978.0","4,977.0","5,146.0","5,342.0","5,482.0","5,472.0","5,698.0","5,799.0","5,802.0","6,286.0","6,249.0","6,550.0","6,851.0","7,054.0","7,519.0","7,901.0","8,118.0","8,279.0","8,093.0","8,184.0","8,086.0","8,577.0","8,754.0","8,518.0","8,711.0","8,704.0","9,419.0","10,084.0"
"54","35","        Industrial equipment","A680RC1","4,718.0","4,585.0","4,710.0","4,384.0","4,714.0","4,503.0","4,396.0","4,825.0","4,427.0","3,761.0","3,469.0","3,236.0","3,544.0","4,292.0","4,566.0","5,507.0","5,073.0","5,550.0","6,088.0","5,964.0","5,964.0","6,539.0","5,517.0","5,696.0","6,261.0","6,656.0","6,944.0","6,999.0","6,983.0","6,957.0","7,326.0","6,935.0","6,466.0","6,890.0","7,391.0","8,261.0","8,087.0","8,552.0","9,363.0","9,374.0","9,581.0","9,544.0","9,791.0","9,584.0","8,675.0","8,200.0","7,838.0","8,132.0","8,403.0","8,294.0","8,407.0","8,992.0","9,234.0","9,935.0","9,339.0","8,993.0","8,397.0","8,685.0","8,735.0","9,386.0","9,404.0","9,529.0","9,182.0","8,895.0","9,385.0","9,833.0","10,288.0","10,599.0","10,828.0","10,885.0","11,502.0","12,520.0","12,732.0","13,332.0","14,161.0","14,496.0","15,061.0","16,117.0","16,519.0","16,903.0","17,266.0","17,077.0","16,410.0","16,925.0","17,332.0","17,095.0","17,058.0","17,628.0","18,349.0","18,799.0"
"55","36","        Transportation equipment","A681RC1","4,684.0","4,861.0","4,675.0","5,444.0","5,690.0","5,326.0","5,497.0","5,415.0","5,531.0","5,754.0","5,713.0","5,814.0","5,560.0","5,918.0","7,401.0","6,821.0","6,935.0","6,629.0","6,518.0","6,170.0","6,279.0","5,813.0","4,844.0","6,033.0","6,462.0","6,566.0","6,699.0","6,579.0","6,187.0","5,875.0","5,877.0","6,113.0","6,650.0","7,454.0","8,135.0","7,774.0","7,399.0","7,402.0","7,106.0","7,697.0","8,130.0","8,109.0","8,614.0","8,207.0","6,598.0","5,834.0","5,584.0","6,444.0","7,563.0","8,396.0","9,094.0","8,038.0","8,992.0","8,647.0","8,688.0","7,709.0","7,413.0","7,687.0","8,025.0","8,978.0","9,291.0","9,647.0","10,117.0","10,100.0","9,486.0","8,991.0","9,313.0","9,938.0","10,173.0","10,554.0","11,321.0","10,259.0","12,870.0","12,833.0","13,342.0","13,814.0","14,720.0","14,736.0","14,248.0","14,368.0","13,340.0","13,965.0","14,660.0","15,099.0","17,211.0","16,625.0","17,711.0","18,968.0","19,393.0","19,136.0"
"56","37","        Other equipment","A862RC1","3,815.0","4,117.0","3,890.0","4,490.0","5,100.0","5,071.0","5,498.0","5,849.0","5,058.0","4,941.0","4,451.0","4,261.0","4,418.0","5,082.0","5,498.0","5,225.0","5,396.0","5,388.0","5,341.0","5,847.0","5,776.0","5,828.0","5,069.0","5,699.0","5,896.0","5,403.0","5,671.0","5,321.0","4,943.0","5,243.0","5,527.0","5,587.0","5,631.0","6,156.0","6,460.0","7,014.0","6,833.0","6,576.0","6,921.0","6,641.0","6,847.0","6,491.0","6,644.0","6,773.0","6,555.0","6,854.0","7,151.0","7,214.0","7,358.0","7,537.0","7,668.0","7,735.0","7,345.0","7,346.0","6,776.0","6,740.0","6,924.0","7,086.0","6,997.0","6,928.0","7,039.0","7,501.0","7,694.0","7,885.0","8,278.0","8,583.0","9,005.0","9,388.0","9,497.0","9,754.0","9,751.0","10,399.0","10,670.0","10,506.0","11,251.0","11,752.0","12,331.0","12,650.0","12,766.0","13,064.0","12,154.0","12,492.0","12,219.0","12,750.0","12,432.0","12,553.0","13,123.0","13,996.0","14,433.0","14,264.0"
"57","38","    Residential","A011RC1","10,405.0","10,439.0","12,312.0","15,072.0","15,179.0","16,256.0","16,112.0","15,005.0","13,986.0","13,726.0","14,548.0","16,332.0","18,141.0","20,401.0","22,342.0","21,264.0","20,817.0","18,233.0","17,166.0","17,480.0","18,018.0","18,502.0","18,487.0","19,361.0","19,681.0","19,761.0","19,177.0","18,933.0","19,022.0","20,314.0","21,806.0","23,174.0","25,014.0","25,601.0","25,227.0","24,170.0","23,723.0","23,941.0","23,509.0","23,039.0","22,643.0","22,151.0","22,001.0","21,885.0","20,920.0","20,995.0","22,526.0","24,947.0","27,829.0","28,837.0","28,285.0","27,481.0","28,355.0","26,122.0","25,334.0","25,329.0","25,345.0","25,535.0","26,921.0","27,799.0","28,350.0","29,234.0","29,199.0","29,121.0","30,182.0","32,229.0","32,460.0","33,673.0","35,409.0","34,171.0","33,706.0","33,810.0","33,882.0","34,186.0","34,294.0","34,506.0","34,818.0","33,203.0","31,927.0","29,196.0","28,339.0","31,649.0","33,412.0","36,028.0","36,884.0","38,177.0","38,884.0","40,932.0","43,226.0","43,396.0"
"58","39","  Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"59","40","    Farm","B018RC1","-1,144.0","-2,720.0","-2,476.0","-824.0","1,260.0","2,832.0","3,420.0","3,140.0","-204.0","-1,152.0","-884.0","-172.0","-140.0","-1,332.0","480.0","652.0","1,172.0","944.0","768.0","1,108.0","972.0","1,880.0","2,216.0","456.0","772.0","-684.0","684.0","2,124.0","848.0","-212.0","700.0","-536.0","-123.0","-1,119.0","-1,323.0","309.0","-18.0","-1,458.0","-750.0","-1,630.0","257.0","657.0","497.0","-1,043.0","2,249.0","1,597.0","2,221.0","1,813.0","-280.0","-1,924.0","-2,252.0","-1,792.0","612.0","872.0","976.0","-248.0","572.0","604.0","936.0","1,408.0","1,524.0","212.0","240.0","356.0","1,920.0","84.0","-644.0","608.0","-636.0","-1,208.0","-1,784.0","-1,084.0","348.0","1,148.0","788.0","1,004.0","640.0","-1,656.0","-556.0","-428.0","1,747.0","2,149.0","527.0","-887.0","3,034.0","4,254.0","225.0","-2,029.0","1,753.0","1,378.0"
