"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"21","1","    Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0"
"22","2","    Gross domestic income","A261RC1","236,365.0","237,846.0","242,069.0","251,019.0","259,574.0","268,574.0","274,139.0","276,162.0","269,353.0","264,996.0","265,352.0","261,953.0","271,499.0","283,223.0","301,311.0","313,455.0","326,473.0","332,696.0","338,518.0","345,047.0","347,699.0","349,964.0","356,353.0","368,184.0","374,943.0","378,456.0","377,817.0","370,237.0","372,307.0","373,219.0","377,107.0","386,330.0","398,570.0","409,181.0","417,033.0","424,576.0","429,256.0","435,927.0","441,056.0","450,550.0","457,664.0","460,521.0","465,480.0","460,861.0","455,673.0","457,649.0","468,898.0","482,632.0","494,900.0","509,986.0","507,021.0","512,683.0","526,695.0","527,233.0","528,592.0","527,047.0","529,169.0","539,466.0","549,199.0","563,555.0","575,002.0","581,766.0","588,508.0","596,082.0","603,582.0","613,929.0","623,028.0","633,788.0","646,518.0","657,180.0","669,262.0","678,499.0","697,163.0","709,180.0","721,852.0","742,269.0","763,206.0","774,447.0","787,347.0","801,075.0","808,735.0","817,374.0","834,019.0","851,618.0","873,964.0","896,377.0","916,603.0","935,145.0","954,238.0","972,817.0"
"23","3","    Net domestic product \1\","A362RC1","211,561.0","214,138.0","217,397.0","226,673.0","232,372.0","239,011.0","245,059.0","246,169.0","240,696.0","236,999.0","238,507.0","236,004.0","246,097.0","255,140.0","271,849.0","282,109.0","296,467.0","303,167.0","309,243.0","312,993.0","315,843.0","316,201.0","321,871.0","334,148.0","340,498.0","343,475.0","342,224.0","336,563.0","335,457.0","335,573.0","339,945.0","348,065.0","360,915.0","368,687.0","376,321.0","381,812.0","382,792.0","387,531.0","391,520.0","399,448.0","407,522.0","408,666.0","415,102.0","409,562.0","401,660.0","405,148.0","418,105.0","430,740.0","440,677.0","453,224.0","453,665.0","457,291.0","470,817.0","469,755.0","472,264.0","466,578.0","470,492.0","481,113.0","491,052.0","503,645.0","516,459.0","523,112.0","529,153.0","531,665.0","540,159.0","548,171.0","560,267.0","569,098.0","584,528.0","592,975.0","603,718.0","607,870.0","626,842.0","638,094.0","653,851.0","674,804.0","696,688.0","704,230.0","715,914.0","728,107.0","737,388.0","740,319.0","753,225.0","767,099.0","792,235.0","814,720.0","827,967.0","842,764.0","865,240.0","878,115.0"
"24","4","    Net domestic income \1\","W256RC1","210,773.0","211,583.0","214,976.0","223,370.0","231,642.0","240,317.0","245,409.0","247,220.0","240,110.0","235,799.0","236,230.0","232,795.0","242,401.0","253,848.0","271,232.0","282,238.0","293,974.0","299,234.0","304,248.0","310,111.0","312,334.0","314,028.0","319,728.0","330,972.0","337,076.0","339,973.0","338,942.0","330,917.0","332,515.0","332,835.0","336,261.0","344,969.0","356,908.0","366,997.0","373,908.0","380,404.0","383,770.0","389,301.0","393,385.0","401,916.0","408,019.0","410,024.0","414,191.0","408,916.0","403,402.0","404,758.0","415,284.0","428,389.0","440,097.0","454,729.0","451,374.0","456,736.0","470,540.0","470,823.0","471,895.0","469,973.0","471,694.0","481,544.0","490,801.0","504,620.0","515,411.0","521,649.0","527,639.0","534,425.0","541,286.0","550,925.0","559,363.0","569,426.0","581,427.0","591,300.0","602,512.0","610,755.0","628,331.0","639,126.0","650,512.0","669,618.0","689,139.0","698,752.0","710,113.0","722,256.0","728,357.0","735,389.0","750,246.0","766,016.0","786,415.0","807,004.0","825,306.0","841,690.0","858,600.0","874,833.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RC1","238,131.0","241,496.0","245,621.0","255,558.0","261,695.0","268,747.0","275,272.0","276,582.0","271,325.0","267,525.0","268,902.0","266,295.0","276,423.0","285,831.0","303,535.0","314,935.0","330,503.0","338,512.0","345,509.0","350,081.0","353,209.0","354,156.0","360,478.0","373,299.0","380,273.0","384,010.0","382,908.0","377,711.0","377,249.0","377,955.0","382,829.0","391,769.0","405,000.0","413,269.0","421,893.0","428,511.0","431,129.0","436,995.0","442,125.0","450,642.0","460,252.0","462,530.0","469,624.0","464,041.0","456,561.0","460,733.0","474,324.0","487,568.0","498,063.0","511,081.0","512,142.0","516,268.0","529,899.0","529,169.0","532,125.0","527,008.0","531,543.0","542,435.0","552,952.0","566,177.0","579,651.0","587,221.0","594,073.0","598,052.0","606,962.0","615,512.0","628,370.0","638,085.0","654,677.0","663,730.0","675,516.0","680,312.0","701,109.0","713,789.0","730,444.0","752,242.0","775,753.0","784,977.0","798,115.0","812,189.0","822,987.0","827,384.0","842,687.0","858,285.0","885,601.0","910,093.0","925,516.0","942,490.0","967,212.0","982,260.0"
"27","6","    Gross national income","A023RC1","237,343.0","238,941.0","243,200.0","252,255.0","260,965.0","270,053.0","275,622.0","277,633.0","270,739.0","266,325.0","266,625.0","263,086.0","272,727.0","284,539.0","302,918.0","315,064.0","328,010.0","334,579.0","340,514.0","347,199.0","349,700.0","351,983.0","358,335.0","370,123.0","376,851.0","380,508.0","379,626.0","372,065.0","374,307.0","375,217.0","379,145.0","388,673.0","400,993.0","411,579.0","419,480.0","427,103.0","432,107.0","438,765.0","443,990.0","453,110.0","460,749.0","463,888.0","468,713.0","463,395.0","458,303.0","460,343.0","471,503.0","485,217.0","497,483.0","512,586.0","509,851.0","515,713.0","529,622.0","530,237.0","531,756.0","530,403.0","532,745.0","542,866.0","552,701.0","567,152.0","578,603.0","585,758.0","592,559.0","600,812.0","608,089.0","618,266.0","627,466.0","638,413.0","651,576.0","662,055.0","674,310.0","683,197.0","702,598.0","714,821.0","727,105.0","747,056.0","768,204.0","779,499.0","792,314.0","806,338.0","813,956.0","822,454.0","839,708.0","857,202.0","879,781.0","902,377.0","922,855.0","941,416.0","960,572.0","978,978.0"
"28","7","    Net national product \1\","A027RC1","212,539.0","215,233.0","218,528.0","227,909.0","233,763.0","240,490.0","246,542.0","247,640.0","242,082.0","238,328.0","239,780.0","237,137.0","247,325.0","256,456.0","273,456.0","283,718.0","298,004.0","305,050.0","311,239.0","315,145.0","317,844.0","318,220.0","323,853.0","336,087.0","342,406.0","345,527.0","344,033.0","338,391.0","337,457.0","337,571.0","341,983.0","350,408.0","363,338.0","371,085.0","378,768.0","384,339.0","385,643.0","390,369.0","394,454.0","402,008.0","410,607.0","412,033.0","418,335.0","412,096.0","404,290.0","407,842.0","420,710.0","433,325.0","443,260.0","455,824.0","456,495.0","460,321.0","473,744.0","472,759.0","475,428.0","469,934.0","474,068.0","484,513.0","494,554.0","507,242.0","520,060.0","527,104.0","533,204.0","536,395.0","544,666.0","552,508.0","564,705.0","573,723.0","589,586.0","597,850.0","608,766.0","612,568.0","632,277.0","643,735.0","659,104.0","679,591.0","701,686.0","709,282.0","720,881.0","733,370.0","742,609.0","745,399.0","758,914.0","772,683.0","798,052.0","820,720.0","834,219.0","849,035.0","871,574.0","884,276.0"
"29","8","    National income \2\","A032RC1","211,751.0","212,678.0","216,107.0","224,606.0","233,033.0","241,796.0","246,892.0","248,691.0","241,496.0","237,128.0","237,503.0","233,928.0","243,629.0","255,164.0","272,839.0","283,847.0","295,511.0","301,117.0","306,244.0","312,263.0","314,335.0","316,047.0","321,710.0","332,911.0","338,984.0","342,025.0","340,751.0","332,745.0","334,515.0","334,833.0","338,299.0","347,312.0","359,331.0","369,395.0","376,355.0","382,931.0","386,621.0","392,139.0","396,319.0","404,476.0","411,104.0","413,391.0","417,424.0","411,450.0","406,032.0","407,452.0","417,889.0","430,974.0","442,680.0","457,329.0","454,204.0","459,766.0","473,467.0","473,827.0","475,059.0","473,329.0","475,270.0","484,944.0","494,303.0","508,217.0","519,012.0","525,641.0","531,690.0","539,155.0","545,793.0","555,262.0","563,801.0","574,051.0","586,485.0","596,175.0","607,560.0","615,453.0","633,766.0","644,767.0","655,765.0","674,405.0","694,137.0","703,804.0","715,080.0","727,519.0","733,578.0","740,469.0","755,935.0","771,600.0","792,232.0","813,004.0","831,558.0","847,961.0","864,934.0","880,994.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","9","    Gross domestic purchases","A712RC1","226,278.0","229,107.0","232,720.0","245,033.0","253,011.0","262,063.0","268,840.0","270,610.0","263,461.0","259,913.0","262,450.0","262,163.0","272,992.0","282,872.0","302,668.0","313,480.0","328,789.0","334,686.0","339,771.0","343,739.0","347,487.0","350,186.0","358,500.0","372,373.0","379,032.0","383,209.0","381,651.0","376,218.0","375,605.0","375,703.0","380,217.0","388,281.0","401,473.0","411,026.0","418,722.0","425,744.0","427,838.0","432,248.0","436,622.0","443,555.0","452,348.0","455,064.0","462,394.0","458,119.0","452,852.0","457,568.0","470,863.0","485,243.0","495,075.0","508,469.0","508,714.0","512,664.0","524,255.0","522,006.0","524,796.0","517,878.0","522,170.0","533,502.0","545,541.0","558,164.0","572,100.0","577,429.0","586,183.0","590,509.0","598,571.0","604,642.0","620,017.0","628,037.0","642,355.0","651,784.0","664,092.0","668,666.0","691,074.0","700,692.0","720,290.0","741,942.0","766,339.0","774,693.0","790,942.0","803,330.0","813,203.0","817,784.0","834,102.0","850,462.0","878,685.0","902,151.0","917,976.0","935,152.0","960,707.0","974,855.0"
"32","10","    Final sales to domestic purchasers \3\","A713RC1","225,783.0","230,347.0","235,637.0","243,577.0","249,385.0","256,204.0","261,688.0","264,613.0","263,073.0","265,061.0","263,757.0","266,862.0","270,968.0","280,039.0","298,491.0","299,436.0","318,403.0","319,894.0","330,031.0","339,020.0","342,755.0","351,709.0","352,926.0","367,099.0","375,142.0","379,632.0","379,320.0","378,224.0","377,571.0","379,081.0","382,308.0","388,597.0","397,669.0","406,406.0","414,427.0","418,511.0","421,440.0","428,663.0","433,053.0","441,311.0","450,186.0","452,407.0","459,586.0","462,637.0","456,861.0","461,803.0","469,316.0","480,008.0","491,199.0","501,181.0","508,330.0","508,544.0","513,055.0","518,782.0","520,476.0","523,690.0","524,718.0","531,710.0","538,885.0","552,168.0","562,692.0","571,985.0","579,995.0","587,145.0","591,703.0","599,806.0","614,301.0","622,973.0","637,231.0","647,328.0","659,400.0","663,650.0","679,530.0","692,124.0","710,998.0","734,358.0","752,467.0","762,377.0","779,090.0","786,826.0","797,780.0","811,443.0","824,839.0","842,029.0","870,247.0","888,069.0","910,295.0","929,145.0","949,218.0","965,633.0"
"33",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","11","    Disposable personal income","A067RC1","168,335.0","166,065.0","173,836.0","176,080.0","180,947.0","189,196.0","195,925.0","195,858.0","190,361.0","189,792.0","189,806.0","191,008.0","204,850.0","204,705.0","212,222.0","218,003.0","225,052.0","230,406.0","232,204.0","235,711.0","236,528.0","239,446.0","245,810.0","251,060.0","255,420.0","259,341.0","259,708.0","259,202.0","262,008.0","261,805.0","263,877.0","268,857.0","273,729.0","280,611.0","287,039.0","291,180.0","295,394.0","300,329.0","304,551.0","311,234.0","314,570.0","318,682.0","322,779.0","322,603.0","323,800.0","326,532.0","333,522.0","337,635.0","342,635.0","349,983.0","351,462.0","356,128.0","361,079.0","364,949.0","366,654.0","368,073.0","372,117.0","377,673.0","384,215.0","392,233.0","397,685.0","403,538.0","406,824.0","411,392.0","415,987.0","420,534.0","427,291.0","435,986.0","446,840.0","460,040.0","467,559.0","474,571.0","481,401.0","489,157.0","504,503.0","516,284.0","525,182.0","530,767.0","541,604.0","552,056.0","561,973.0","569,249.0","579,994.0","589,221.0","605,783.0","622,142.0","629,822.0","641,030.0","648,447.0","663,391.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
