"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"23","5","    Durable goods","C624RX1","8,666.0","-1,422.0","-5,122.0","5,726.0","18,234.0","13,254.0","-8,605.0","8,210.0","4,336.0","12,954.0","13,480.0","0.0","1,882.0","-12,893.0","-2,247.0","22,612.0","-5,906.0","-5,291.0","5,321.0","12,367.0","10,389.0","4,932.0","-9,497.0","-8,045.0","3,788.0","9,195.0","11,004.0","9,782.0","15,501.0"
"24","6","    Nondurable goods","C625RX1","3,234.0","2,053.0","3,260.0","1,322.0","636.0","10,130.0","1,393.0","7,490.0","5,571.0","1,704.0","-1,423.0","490.0","3,502.0","-3,294.0","2,495.0","7,614.0","-286.0","2,478.0","3,983.0","5,549.0","4,665.0","5,073.0","3,831.0","4,564.0","-294.0","3,643.0","3,957.0","736.0","9,092.0"
"25","7","  Wholesale trade","A658RX1","8,186.0","9,045.0","6,775.0","6,082.0","3,851.0","13,500.0","-6,841.0","10,089.0","13,118.0","14,045.0","9,362.0","5,291.0","5,803.0","-2,584.0","-890.0","16,516.0","6,307.0","8,550.0","7,723.0","9,507.0","3,565.0","8,742.0","4,220.0","8,798.0","6,273.0","16,206.0","13,464.0","2,697.0","28,534.0"
"26","8","    Durable goods","A661RX1","5,148.0","3,776.0","4,805.0","5,285.0","4,839.0","8,587.0","-2,818.0","5,784.0","7,011.0","11,053.0","5,827.0","4,235.0","4,652.0","-3,378.0","-2,613.0","10,747.0","726.0","3,404.0","4,140.0","5,427.0","1,388.0","3,232.0","-214.0","3,036.0","3,512.0","10,830.0","11,423.0","3,220.0","17,844.0"
"27","9","    Nondurable goods","A664RX1","2,846.0","5,413.0","1,688.0","369.0","-1,126.0","4,738.0","-3,936.0","4,175.0","5,997.0","2,501.0","3,377.0","985.0","1,064.0","950.0","1,948.0","5,424.0","6,133.0","5,555.0","3,651.0","4,035.0","2,349.0","5,933.0","5,108.0","6,272.0","2,747.0","4,833.0","1,037.0","-901.0","9,206.0"
"28","10","      Merchant wholesalers","A151RX1","6,681.0","8,508.0","7,276.0","5,747.0","2,592.0","11,093.0","-7,193.0","8,420.0","13,155.0","15,060.0","8,321.0","7,128.0","3,992.0","-2,031.0","-472.0","14,527.0","7,602.0","8,313.0","8,414.0","8,147.0","2,713.0","7,758.0","4,332.0","8,969.0","6,143.0","14,158.0","10,375.0","1,940.0","25,510.0"
"29","11","        Durable goods","C626RX1","4,312.0","4,033.0","5,630.0","4,961.0","3,929.0","7,751.0","-3,243.0","4,148.0","8,103.0","10,643.0","5,084.0","5,022.0","3,396.0","-3,091.0","-2,302.0","9,764.0","1,335.0","3,637.0","4,439.0","4,589.0","927.0","2,973.0","26.0","3,820.0","3,237.0","9,491.0","9,359.0","2,620.0","15,989.0"
"30","12","        Nondurable goods","C627RX1","2,274.0","4,475.0","1,454.0","608.0","-1,172.0","3,331.0","-3,786.0","4,171.0","4,948.0","4,236.0","3,173.0","2,041.0","547.0","1,206.0","2,022.0","4,580.0","6,881.0","5,052.0","4,175.0","3,643.0","1,967.0","5,202.0","4,945.0","5,547.0","3,020.0","4,405.0","324.0","-963.0","9,403.0"
"31","13","      Nonmerchant wholesalers","A152RX1","1,497.0","547.0","-491.0","323.0","1,254.0","2,343.0","352.0","1,643.0","7.0","-902.0","1,085.0","-1,429.0","1,696.0","-541.0","-392.0","2,058.0","-1,104.0","296.0","-651.0","1,368.0","856.0","995.0","-103.0","-189.0","109.0","2,049.0","3,172.0","780.0","2,994.0"
"32","14","        Durable goods","C628RX1","797.0","-64.0","-456.0","416.0","841.0","896.0","249.0","1,435.0","-666.0","615.0","737.0","-523.0","1,120.0","-310.0","-312.0","1,050.0","-472.0","-112.0","-157.0","809.0","417.0","277.0","-212.0","-645.0","291.0","1,334.0","2,002.0","582.0","1,876.0"
"33","15","        Nondurable goods","C629RX1","630.0","949.0","206.0","-375.0","206.0","1,656.0","56.0","-206.0","1,146.0","-2,265.0","268.0","-983.0","551.0","-228.0","-31.0","1,025.0","-697.0","619.0","-660.0","455.0","456.0","881.0","216.0","861.0","-365.0","487.0","899.0","87.0","930.0"
"34","16","  Retail trade","A153RX1","7,290.0","72.0","15,230.0","9,884.0","11,060.0","-2,203.0","-7,350.0","10,706.0","8,607.0","10,548.0","-113.0","-4,795.0","9,085.0","-3,942.0","13,770.0","22,302.0","15,815.0","3,516.0","21,788.0","7,852.0","14,887.0","-1,672.0","559.0","4,752.0","15,849.0","21,084.0","12,518.0","7,615.0","12,886.0"
"35","17","    Durable goods","C630RX1","3,585.0","-2,724.0","9,794.0","5,433.0","7,901.0","918.0","-3,181.0","6,656.0","6,173.0","5,612.0","-349.0","-7,629.0","2,839.0","-3,451.0","7,340.0","10,536.0","10,114.0","94.0","15,302.0","5,171.0","6,890.0","-1,232.0","-4,756.0","1,219.0","8,948.0","13,043.0","8,789.0","4,702.0","8,068.0"
"36","18","      Motor vehicle dealers \2\","C631RX1","2,360.0","-3,893.0","8,951.0","983.0","6,751.0","214.0","-3,563.0","4,001.0","6,023.0","3,331.0","93.0","-7,765.0","312.0","-2,575.0","4,483.0","6,789.0","7,763.0","-1,560.0","11,306.0","2,044.0","4,786.0","-1,582.0","-3,999.0","1,397.0","3,955.0","7,416.0","5,568.0","2,506.0","4,303.0"
"37","19","      Other \2\","A632RX1","1,329.0","553.0","1,697.0","3,943.0","1,756.0","628.0","-53.0","2,723.0","696.0","2,327.0","-375.0","-680.0","2,289.0","-1,003.0","2,952.0","3,929.0","2,685.0","1,444.0","4,395.0","3,044.0","2,245.0","228.0","-941.0","-97.0","4,918.0","5,663.0","3,271.0","2,197.0","3,779.0"
"38","20","    Nondurable goods","C633RX1","3,595.0","3,014.0","4,982.0","4,257.0","2,987.0","-3,095.0","-4,090.0","3,824.0","2,171.0","4,764.0","265.0","3,427.0","6,331.0","-234.0","6,170.0","11,539.0","5,130.0","3,642.0","5,451.0","2,376.0","7,859.0","-367.0","5,901.0","3,613.0","6,500.0","7,238.0","3,038.0","2,631.0","4,746.0"
"39","21","  Other","A154RX1","2,852.0","649.0","2,127.0","3,007.0","3,279.0","4,371.0","1,906.0","776.0","5,571.0","4,779.0","-61.0","-1,407.0","9,333.0","-2,854.0","-1,055.0","1,321.0","5,119.0","3,510.0","2,511.0","-1,527.0","-4,467.0","-3,655.0","3,669.0","2,879.0","3,468.0","4,927.0","2,513.0","1,791.0","7,217.0"
"40","22","    Durable goods","C636RX1","-12.0","-230.0","-926.0","462.0","1,394.0","70.0","-294.0","-153.0","274.0","1,062.0","-37.0","-356.0","262.0","1,103.0","-933.0","146.0","-525.0","-976.0","317.0","-382.0","631.0","-52.0","-451.0","611.0","325.0","695.0","50.0","429.0","1,115.0"
"41","23","    Nondurable goods","C637RX1","2,911.0","907.0","3,182.0","2,516.0","1,716.0","4,331.0","2,216.0","943.0","5,318.0","3,679.0","-24.0","-1,076.0","9,012.0","-3,691.0","-287.0","1,184.0","5,517.0","4,363.0","2,201.0","-1,152.0","-5,069.0","-3,588.0","4,067.0","2,286.0","3,141.0","4,210.0","2,466.0","1,356.0","6,114.0"
"42","24","Residual","A969RX1","200.0","-2,400.0","-2,100.0","500.0","0.0","-5,700.0","1,200.0","-500.0","-1,900.0","500.0","2,400.0","-1,500.0","-300.0","-2,200.0","-2,500.0","1,800.0","-3,000.0","-2,400.0","1,600.0","1,800.0","1,300.0","200.0","-3,400.0","-3,200.0","1,400.0","1,900.0","3,000.0","1,000.0","900.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1986 and earlier periods are based on the 1972 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","for for 1966 and earlier periods are based on the 1972 SIC; later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for these industries are based on the 1987 SIC. The resulting discontinuities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Note. Chained (2005) dollar series for real change in private inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","calculated as the period-to-period change in chained-dollar end-of-period inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Quarterly changes in end-of-period inventories are stated at annual rates. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","formula for the chain-type quantity indexes uses weights of  more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
