"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",41208,41869,41027,41447,41774,42123,42537,41801,43239,43014,42883,43324,44815,43466,42644,44793,45638,45236,46457,46438,46145,46571,47605,48390,48752,49490,50269,50852,49292,49719,49436,50127,50605,51684,51373,50799,50539,49207,49639,50335,50689,52081,51821,52763,52597,51808,52746,53192,53089,54711,55200,53716,55166,54760,54745,54074,55563,55962,55409,54896,56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75893,72146,74841,76725,75788,78018,78629,80565,78528,78331,81489,80225,79350,80834,83104,80102,84545,79503,82433,81310,84124,83733,82307,85406,82593,82844,83238,85179,83626,87428,92505,81813,79012,77552,81955,82939,84860
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",35346,35970,35020,35408,35791,36153,36590,35739,37114,36759,36678,36685,38226,37159,36312,38411,38650,38826,39752,39760,39273,39897,40903,41757,42118,42698,43148,43738,42253,42561,42299,42917,43383,43945,43742,43407,43214,42074,42298,43016,43329,44565,44397,45177,44756,44122,45343,45489,45388,47045,47622,46013,47406,46833,46876,46050,47713,47956,47323,46716,48434,48753,47969,48033,46416,47748,49570,50164,49200,49354,50025,50381,50001,49334,50357,52393,53052,53339,50775,49529,51855,53548,53965,54867,55462,55805,56338,56310,57963,57856,59060,59498,59015,58463,59355,60012,61208,62854,62032,60189,59394,59491,59956,59407,60646,59380,58324,57581,59520,60065,59768,60321,61082,60934,59562,60213,59165,75405,65989,62765,62035,62558,62222,63488,60106,63590,65718,67354,62608,62783,63488,65184,65498,62002,64419,66046,65102,67175,67618,69402,67164,66925,70184,68884,68267,69527,71548,68921,73186,68256,71034,69935,72751,72085,70665,73156,70318,70323,70648,72183,70818,74515,79737,68885,66171,64817,68760,69954,71410
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",1719,1715,1685,1752,1655,1587,1616,1770,1777,1826,1743,2190,2204,1822,1930,1877,2408,1814,2027,1972,2095,1954,2005,2011,1768,1868,2204,2148,2212,2230,2154,2114,2244,2669,2601,2351,2278,2186,2364,2269,2334,2407,2351,2442,2651,2526,2119,2447,2455,2353,2268,2363,2423,2566,2440,2718,2522,2567,2656,2715,2649,2686,2729,2716,2622,2661,2695,2837,2812,2726,2891,2880,2897,2943,2920,2942,3121,2988,3168,3023,3209,3270,3056,3237,3025,3373,3281,3306,3418,3366,3338,3427,3338,3518,3441,3568,4084,3793,3896,3610,3594,3645,3463,3656,3734,3565,3682,3692,3900,3539,3448,3859,3816,3772,3882,3703,3468,3619,3856,3778,3889,4083,3807,3871,3768,3808,3834,3861,3962,3649,3844,4019,4071,3790,3981,4268,4226,4333,4473,4630,4611,4712,4611,4664,4527,4626,4733,4533,4698,4573,4712,4691,4695,4836,4779,5130,5072,5368,5560,5793,5712,5758,5757,5727,5656,5468,5769,5548,5967
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",4134,4181,4281,4257,4302,4358,4320,4269,4339,4404,4433,4415,4382,4459,4374,4493,4562,4581,4663,4690,4751,4703,4690,4628,4854,4914,4911,4961,4821,4918,4968,5078,4968,5066,5025,5031,5036,4934,4968,5040,5017,5101,5066,5139,5187,5154,5267,5247,5238,5302,5296,5328,5327,5353,5418,5304,5320,5430,5425,5462,5444,5451,5506,5515,5413,5539,5517,5609,5655,5589,5683,5573,5699,5749,5806,5767,5923,5820,5862,5857,5906,5949,5878,6010,6056,6106,6056,6141,6146,6169,6208,6146,6364,6372,6439,6437,6441,6355,6460,6282,6391,6405,6334,6374,6759,6358,6309,6615,6153,6215,6215,6292,6266,6339,6288,6324,6199,6230,6189,6335,6371,6436,6324,6456,6419,6479,6489,6474,6473,6443,6417,6377,6344,6351,6447,6425,6465,6528,6554,6561,6741,6680,6721,6686,6575,6699,6848,6666,6725,6677,6718,6703,6732,6838,6870,7120,7165,7111,6996,7163,7052,7147,7091,7120,7072,7134,7317,7352,7396
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",5924,5988,5979,6038,6066,6172,6178,6125,6158,6174,6180,6298,6490,6464,6438,6584,6655,6719,6874,6852,6899,6899,6980,7025,6860,7193,7326,7373,7416,7573,7576,7760,7843,8035,8141,8232,8229,8141,8152,8078,8297,8477,8387,8532,8634,8741,8927,8909,8711,8913,9157,9292,9370,9418,9425,9495,9657,9692,9672,9686,9707,9922,9944,10182,10209,10293,10495,10693,10774,10827,11040,11157,11357,11456,11438,11406,11553,11874,12048,12254,12239,12392,12724,12887,12811,13083,13319,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16252,16143,16241,16189,16373,16686,16855,16996,16715,17072,17799,18201,18181,18537,18717,18612,18869,18802,18623,18828,19010,19171,19373,19508,19467,18991,19625,19857,20653,20947,21242,21773,22072,22221,22428,22570,22574,22614,23086,23137,22972,23451,23981,23886,24069,24068,24393,24568,24805,25332,25299,25408,25484,26026,26298,26806,27171,27176,27452,27277,28192
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",5002,5076,5006,4999,5022,5080,5035,5036,5024,4987,4994,5098,5269,5201,5064,5205,5269,5228,5262,5235,5236,5257,5295,5288,5014,5378,5494,5495,5491,5524,5546,5683,5739,5797,5795,5871,5820,5670,5632,5660,5699,5753,5768,5736,5808,5828,6004,5866,5672,5862,6009,6038,6056,6111,6159,6108,6135,6188,6229,6194,6261,6294,6273,6332,6347,6346,6409,6547,6578,6586,6695,6748,6808,6770,6704,6685,6715,6795,6800,6767,6782,6882,7039,7132,6966,7168,7227,7167,7285,7404,7393,7585,7712,7754,7799,7859,7929,8020,8026,8103,8158,8148,8194,8188,8081,8131,8010,7584,8194,8026,8014,7968,8027,8122,8126,8140,7906,8015,8217,8358,8370,8498,8469,8416,8527,8365,8250,8418,8415,8415,8573,8587,8568,8212,8605,8653,8950,8985,8982,9125,9253,9288,9364,9355,9360,9339,9604,9560,9363,9577,9871,9807,9782,9725,9712,9844,9841,9921,9849,9909,9891,10198,10249,10440,10574,10434,10487,10335,10754
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",2919,2967,2917,2918,2935,2957,2928,2941,2946,2904,2898,2972,3005,3031,2951,3036,3092,3059,3086,3052,3031,3049,3082,3080,2934,3090,3123,3121,3111,3118,3142,3217,3274,3265,3305,3324,3312,3171,3175,3168,3226,3270,3271,3288,3311,3360,3395,3284,3177,3359,3412,3451,3433,3441,3463,3414,3459,3490,3484,3497,3551,3610,3534,3561,3597,3578,3630,3730,3713,3731,3817,3879,3893,3859,3819,3811,3814,3849,3840,3809,3862,3879,3964,3938,3932,4000,4041,3922,4067,4101,4114,4183,4295,4286,4292,4330,4357,4438,4423,4537,4564,4542,4605,4568,4474,4499,4451,4203,4528,4439,4447,4440,4455,4552,4568,4540,4444,4508,4667,4701,4694,4760,4734,4725,4762,4663,4572,4607,4671,4665,4711,4651,4670,4484,4699,4721,4837,4823,4863,4960,4988,5036,5077,5115,5178,5108,5188,5230,5215,5292,5489,5439,5404,5415,5424,5462,5409,5548,5474,5446,5405,5597,5626,5761,5845,5744,5707,5544,5857
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",2083,2109,2089,2081,2088,2123,2107,2095,2078,2083,2096,2126,2264,2170,2113,2169,2177,2170,2176,2184,2205,2208,2213,2209,2080,2288,2371,2373,2380,2406,2404,2466,2464,2532,2489,2546,2508,2499,2457,2492,2474,2483,2497,2447,2497,2468,2609,2582,2495,2502,2597,2587,2623,2669,2696,2694,2676,2698,2747,2696,2710,2684,2739,2772,2750,2768,2779,2817,2865,2855,2878,2869,2914,2911,2885,2874,2900,2946,2960,2958,2920,3002,3076,3194,3034,3167,3185,3245,3218,3302,3280,3403,3417,3468,3507,3529,3572,3582,3603,3566,3595,3606,3589,3619,3606,3632,3559,3380,3666,3586,3567,3528,3572,3571,3559,3599,3463,3508,3552,3658,3676,3738,3735,3693,3765,3702,3678,3809,3743,3749,3860,3932,3895,3726,3904,3930,4110,4159,4116,4162,4262,4248,4284,4238,4179,4229,4414,4328,4145,4283,4379,4366,4375,4308,4286,4380,4428,4371,4373,4460,4482,4597,4619,4675,4725,4686,4775,4786,4892
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",1686,1695,1721,1763,1771,1816,1840,1804,1832,1860,1861,1891,1941,1956,2003,2036,2054,2118,2208,2206,2238,2228,2266,2300,2321,2373,2409,2441,2474,2568,2559,2620,2651,2757,2834,2860,2883,2897,2925,2858,2995,3097,3024,3147,3183,3251,3292,3356,3318,3362,3462,3547,3596,3600,3576,3661,3770,3765,3723,3756,3728,3878,3909,4063,4074,4144,4266,4335,4380,4418,4519,4580,4705,4816,4849,4836,4941,5160,5310,5522,5497,5553,5724,5796,5869,5948,6117,6208,6350,6466,6633,6677,6843,6888,6874,7119,7305,7471,7497,7684,7517,7460,7551,7730,7910,7832,7832,7878,8051,8117,8234,8229,8357,8583,8759,8895,8864,9123,9678,9952,9919,10159,10397,10344,10494,10625,10571,10588,10802,10988,11010,11147,11122,11049,11254,11461,11988,12291,12650,13085,13259,13390,13530,13716,13717,13798,13981,14111,14206,14475,14682,14663,14931,15022,15455,15464,15774,16320,16397,16439,16568,16759,17028,17369,17619,17869,18145,18179,18658
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",16273,16044,15734,15365,15412,15407,15575,15624,15695,15688,15379,15123,15668,15538,14806,14973,15359,15550,15679,15833,15767,15712,15970,16002,15806,15916,16372,16971,16861,16854,17011,17232,17288,17402,17234,17464,17604,17521,17332,17030,16978,17241,17304,17426,17444,17709,18073,18382,18083,18150,18165,18406,18497,18921,18943,18945,18842,19086,19077,18389,18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27498,25778,27567,27610,27834,28510,28981,28976,28783,29342,29340,29158,28978,28778,31315,30760,30386,30904,30960,30827,31048,31159,31621,32129,32057,31490,32067,32564,32810,32721,32765,33279,33588,33845,34782,34697,35690
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",13836,13571,13282,13103,13089,13227,13381,13446,13479,13407,13215,12998,13478,13369,12722,12799,13142,13258,13445,13522,13478,13493,13620,13655,13467,13630,13989,14441,14493,14556,14771,15012,14948,15164,15049,15215,15333,15206,15042,14799,14758,14918,14904,14999,15122,15315,15629,15950,15681,15735,15839,15917,16062,16350,16344,16323,16240,16436,16427,15844,16324,16600,16678,16770,16651,16812,16893,16842,17166,17324,17177,17168,17445,17539,17605,17847,17983,18229,18507,18364,18740,19025,19254,19473,19480,19782,19764,19613,19614,19583,19460,19755,19987,20377,20864,20918,21077,20772,21932,20657,21097,21014,21103,21167,21064,21353,21210,21702,21731,22065,22195,22925,22319,22270,22389,22571,22058,22681,22808,22844,23328,23306,23233,24143,23866,23681,23602,23743,23919,23986,24114,23492,24552,22881,24642,24720,24762,25395,25852,25931,25802,26371,26379,26132,25992,25836,28218,27678,27472,28040,28012,27792,27923,28016,28463,28928,28978,28432,29092,29493,29688,29583,29738,30136,30431,30667,31480,31417,32382
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",2447,2481,2458,2273,2332,2193,2207,2192,2229,2291,2175,2135,2198,2177,2091,2186,2228,2306,2242,2323,2300,2224,2362,2359,2353,2294,2394,2545,2374,2301,2240,2217,2342,2236,2180,2246,2270,2316,2291,2232,2220,2324,2404,2431,2324,2397,2447,2434,2404,2417,2330,2491,2437,2573,2602,2625,2604,2653,2653,2547,2643,2650,2785,2590,2684,2737,2769,2819,2865,2830,2826,2921,2846,2838,2855,2933,2915,2757,2743,2715,2812,2867,2954,3000,2941,2933,2753,2783,2831,2850,2868,2873,2840,2947,3017,3066,3222,3138,3285,2790,2751,2788,2802,2992,3027,2902,3022,3272,3183,3271,2985,3347,3341,3068,3002,2725,2796,2870,2812,2653,2773,2799,2917,3058,2950,3114,2989,3012,2880,2896,2947,2873,2957,2902,2939,2906,3080,3125,3141,3061,2998,2991,2981,3043,3004,2961,3120,3104,2939,2890,2973,3059,3147,3164,3181,3224,3107,3085,3008,3103,3153,3168,3063,3175,3191,3212,3335,3313,3347
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",37485,37312,37422,37463,37533,37484,37600,37543,37446,37583,37616,37515,37401,37559,37343,37336,37224,37268,37402,37258,37429,37352,37345,37430,37434,37721,37737,37937,37835,37995,37576,37848,37985,37892,37892,37794,38175,37694,37713,37368,37686,37626,37486,37503,37414,37435,37378,37764,37890,37559,37525,37619,37459,37585,37666,37600,37450,37530,37546,37395,37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39744,39572,39583,39686,39335,39732,39918,39952,39971,39856,39740,39566,40196,39861,40154,40161,40225,40233,40094,40448,40786,40756,40894,40941,41167,41343,41248,41333,41343,41639,41657,41925,41899,42037,41917,42006,41891
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",34241,34013,34103,34097,34168,34115,34195,34100,34012,34151,34201,34079,33969,34157,34014,34001,33868,33895,34022,33900,34132,34045,34034,34147,34119,34376,34380,34553,34411,34619,34191,34473,34550,34461,34464,34380,34770,34348,34371,34018,34386,34315,34158,34144,34001,34022,33983,34330,34384,34107,34068,34164,34048,34103,34209,34143,34091,34161,34157,34029,34286,34090,34240,34237,34023,33928,34050,34189,34179,34155,34205,34007,33925,33836,34221,34059,34192,34440,34465,34592,34638,34560,34716,34774,34548,34852,34907,35016,35246,35004,35180,35260,35503,35197,35337,36492,34790,34975,35502,35876,35514,35854,35583,35587,35553,35801,35672,35887,35664,35827,35731,35925,36037,35891,35861,36028,36154,36259,36102,36348,35982,35778,35649,35287,35469,35400,35399,35321,35242,35504,35641,35465,35922,35788,35752,35806,35474,35882,36006,35963,35953,35797,35736,35550,36131,35811,36087,36087,36111,36112,35966,36322,36642,36586,36724,36814,36973,37017,36926,36951,36951,37219,37212,37478,37381,37484,37327,37427,37282
