"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",86.028,85.854,86.04,86.419,86.777,87.014,87.025,87.55,87.808,87.979,88.121,88.222,88.594,88.724,89.098,89.654,90.059,90.401,90.876,91.154,91.521,91.98,92.436,92.375,92.323,92.31,92.686,92.897,93.215,93.725,94.096,94.547,95.003,95.554,96.126,96.472,97.01,97.333,98.035,98.051,98.185,98.368,98.166,98.283,98.116,98.429,98.638,99.042,99.276,99.603,99.868,99.518,99.482,99.38,99.303,99.534,99.771,99.87,99.708,99.697,99.506,99.838,100.303,99.849,99.64,99.203,99.085,98.842,98.825,98.774,98.614,98.498,98.574,98.639,98.475,98.454,98.272,98.293,98.697,98.873,98.828,98.826,99.133,99.031,98.819,98.412,98.313,98.453,98.539,98.781,99.088,99.343,99.734,99.658,99.743,99.529,99.422,99.301,99.722,99.891,100.117,100.15,100.04,99.954,99.984,100.096,100.438,100.883,101.164,101.216,101.296,101.231,101.093,100.94,100.953,100.726,100.216,100.547,100.725,100.819,100.602,99.952,99.658,99.633,99.581,99.537,99.743,99.892,99.832,99.608,99.287,99.038,98.773,98.687,98.78,98.605,98.434,98.194,97.828,97.639,96.662,95.717,95.198,94.99,95.094,95.31,95.371,95.449,95.618,95.498,95.532,95.702,96.307,96.448,96.854,97.178,97.717,97.863,97.774,97.862,98.118,98.296,98.111,98.093,98.181,98.342,98.097,98.136,98.532
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.191,83.996,84.149,84.58,84.962,85.271,85.302,85.893,86.2,86.426,86.585,86.7,87.105,87.287,87.789,88.396,88.898,89.34,89.897,90.247,90.653,91.199,91.746,91.637,91.542,91.487,91.91,92.128,92.471,93.072,93.501,94.034,94.593,95.225,95.794,96.153,96.764,97.115,97.904,97.924,98.055,98.282,98.054,98.166,97.978,98.341,98.576,99.043,99.264,99.614,99.907,99.502,99.471,99.346,99.367,99.588,99.85,100.006,99.845,99.776,99.548,99.91,100.479,100,99.756,99.24,99.047,98.799,98.792,98.75,98.588,98.473,98.522,98.615,98.465,98.504,98.296,98.269,98.714,98.905,98.86,98.813,99.152,99.029,98.787,98.34,98.232,98.391,98.497,98.788,99.131,99.408,99.802,99.751,99.78,99.58,99.398,99.265,99.7,99.936,100.148,100.188,100.051,100.011,99.979,100.058,100.414,100.851,101.086,101.147,101.189,101.139,100.946,100.773,100.758,100.513,99.901,100.259,100.469,100.603,100.334,99.564,99.182,99.093,99.021,99.046,99.192,99.33,99.293,99.034,98.635,98.407,97.996,97.857,98,97.792,97.61,97.358,96.94,96.701,95.624,94.548,93.911,93.686,93.744,93.932,93.968,94.021,94.213,94.039,94.12,94.366,95.019,95.185,95.636,96.024,96.524,96.68,96.555,96.622,96.877,97.038,96.706,96.621,96.702,96.838,96.6,96.618,97.046
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.724,88.253,88.679,89.635,90.035,89.728,89.751,89.38,89.122,89.562,89.689,89.792,89.722,89.973,89.723,90.174,90.282,90.779,90.693,90.86,90.894,91.415,91.511,91.074,91.414,92.119,92.319,92.795,93.086,92.878,93.392,93.265,93.262,94.183,94.721,95.031,95.607,95.5,95.977,96.031,95.643,95.845,95.703,95.917,95.965,95.835,95.984,95.895,96.455,97.313,97.666,97.595,97.604,97.215,96.444,97.125,97.116,96.284,95.838,96.714,96.756,96.808,96.976,96.748,96.552,96.619,96.836,96.764,96.738,96.799,96.408,96.531,97.132,96.749,96.402,96.508,96.347,96.417,96.814,97.064,96.897,96.799,97.604,97.958,97.661,97.865,98.23,98.125,98.193,98.367,98.704,98.935,99.113,98.771,98.982,98.497,99.069,99.193,99.456,99.784,100.066,100.286,100.192,99.692,100.229,100.578,100.468,100.988,101.144,100.962,101.07,100.957,101.34,101.355,101.235,101.24,101.296,101.299,101.182,100.876,100.669,100.846,100.882,101.306,101.526,100.258,100.399,100.561,100.214,100.805,100.733,100.273,100.665,100.74,100.568,100.925,100.643,100.422,100.35,100.273,99.636,99.066,99.428,99.32,99.83,100.833,101.382,101.911,101.876,102.109,101.063,100.274,100.591,100.201,100.225,100.153,101.003,100.972,101.173,101.616,102.044,102.437,103.248,103.502,103.257,103.781,102.791,102.693,102.841
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",101.177,100.898,101.265,100.982,101.12,100.966,100.795,101.121,101.178,100.79,100.792,100.775,101.072,100.692,100.269,100.434,100.16,99.581,99.616,99.325,99.51,99.188,99.012,99.522,99.669,99.735,99.762,99.797,99.896,99.928,99.737,99.733,99.513,99.191,99.815,100.069,99.961,100.241,100.304,100.268,100.667,100.444,100.449,100.559,100.466,100.558,100.573,100.641,100.846,100.732,100.71,100.711,100.609,100.848,100.233,100.341,100.483,100.528,100.504,100.556,100.576,100.793,100.498,100.151,100.242,100.246,100.629,100.337,100.237,100.054,100.023,99.776,99.818,99.866,99.67,99.052,99.099,99.521,99.557,99.569,99.58,100.031,99.786,99.639,99.745,99.393,99.113,99.214,99.123,98.952,98.901,98.972,99.446,99.28,99.816,99.631,99.84,99.7,100.085,99.514,99.85,99.717,99.863,99.567,99.892,100.181,100.652,101.139,101.92,102.031,102.463,102.285,102.365,102.302,102.647,102.467,102.623,102.9,102.91,102.871,103.212,103.237,103.609,103.924,103.896,103.915,104.755,105.003,104.878,104.522,104.817,104.487,105.28,105.617,105.381,105.206,105.212,105.083,105.048,105.311,105.133,105.266,105.353,105.267,105.56,105.539,105.526,105.559,105.632,105.83,106.121,106.159,106.46,106.716,106.923,106.851,107.596,107.77,107.823,107.853,107.978,108.152,108.648,109.103,109.527,109.639,109.898,110.248,110.538
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",141.093,141.717,141.949,142.262,141.692,141.085,141.31,140.678,140.246,140.525,140.822,139.674,139.741,139.677,139.559,139.989,139.488,139.25,139.343,139.322,139.245,139.3,138.973,138.809,139.491,139.31,138.799,139.118,139.947,139.941,140.001,139.587,139.276,138.485,137.627,137.184,137.412,137.422,137.191,137.125,136.933,135.615,135.8,135.644,135.238,134.533,133.476,133.825,133.769,132.403,131.649,130.841,130.003,129.498,128.866,128.767,128.599,128.056,126.836,125.777,124.732,124.873,124.319,123.343,122.797,122.388,121.446,120.118,119.708,119.031,118.332,118.14,117.245,116.342,116.31,116.373,115.07,114.234,113.624,112.221,111.448,110.931,109.863,109.346,108.677,107.873,107.295,107.299,106.257,105.812,105.471,104.601,104.221,103.42,102.63,102.38,102.203,101.719,101.675,101.074,100.932,100.11,99.772,99.135,99.287,98.588,98.069,97.437,96.457,95.836,94.833,94.541,93.402,92.71,92.483,91.457,90.783,90.31,90.036,89.432,88.766,87.888,87.318,87.188,87.119,86.673,86.209,85.795,85.129,84.616,83.813,83.21,82.792,82.21,81.691,81.505,80.166,79.564,79.14,78.135,77.587,77.645,77.389,77.016,77.15,77.032,76.645,76.472,76.149,75.965,75.307,74.802,74.646,74.836,74.019,73.414,73.513,72.969,73.017,72.817,72.639,71.902,71.481,70.814,70.578,70.235,70.019,69.781,69.332
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",94.8,95.453,96.281,97.019,96.192,96.422,96.642,95.907,95.814,96.211,96.964,95.984,96.239,96.199,96.83,97.32,96.725,97.124,97.333,97.669,97.584,98.04,97.869,97.991,98.877,98.53,97.88,98.528,99.768,99.912,100.174,99.839,99.3,98.964,98.627,97.884,98.405,99.21,99.495,99.455,99.438,99.187,99.857,100.604,100.771,100.724,99.889,100.618,101.236,100.594,100.361,100.586,100.309,100.372,100.17,100.652,101.254,100.946,100.43,100.5,100.276,100.856,101.104,101.165,101.716,101.684,101.171,100.499,100.532,100.458,100.048,100.44,100.184,100.399,101.049,101.821,101.256,101.086,101.675,101.403,101.249,101.15,100.92,101.157,100.93,100.589,100.755,101.53,100.517,100.497,100.744,100.38,100.627,100.15,99.509,99.211,99.543,99.829,100.555,100.607,99.765,99.34,99.784,99.557,100.552,100.164,100.263,100.042,99.854,99.857,99.614,99.938,99.241,98.911,98.98,98.722,98.638,98.323,98.487,98.08,97.763,97.321,97.466,97.701,97.722,97.722,97.651,97.502,97.589,97.333,97.013,96.528,96.421,96.195,95.556,96.041,94.856,94.871,94.943,94.198,93.912,93.953,93.667,93.435,94.016,94.224,94.012,93.749,93.42,93.976,93.272,92.649,92.741,94.048,93.681,93.269,93.491,93.319,93.788,93.629,93.713,92.913,92.831,92.558,92.355,92.26,92.846,93.19,92.848
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",93.247,94.54,95.994,96.822,95.06,95.467,95.938,94.977,94.925,95.988,96.48,95.711,96.146,95.746,96.553,96.706,96.293,96.788,96.486,96.789,97.28,97.986,97.877,97.957,98.669,98.502,98.371,99.268,99.985,100.466,100.511,100.324,99.344,99.136,98.657,98.467,98.844,99.683,99.99,99.992,99.682,99.687,100.525,101.033,101.1,100.878,100.459,101.296,101.619,100.979,100.841,101.473,100.978,101.649,101.441,101.661,102.206,101.492,101.391,101.389,100.505,100.667,101.274,101.536,102.591,102.399,101.369,101.099,101.387,101.424,100.8,100.472,100.072,100.44,101.295,101.825,101.077,101.197,101.933,101.532,100.994,100.791,100.585,101.085,100.835,100.74,101.149,101.834,100.55,100.543,100.789,100.438,100.771,100.106,99.664,99.648,100.099,100.284,101,100.292,99.601,99.041,99.456,99.314,100.836,100.252,100.139,99.733,99.246,99.395,99.227,99.421,98.671,98.439,98.278,97.766,97.718,97.276,97.205,96.794,96.341,96.23,96.483,96.492,96.58,96.572,96.462,96.062,96.038,95.928,95.6,95.433,95.215,95.402,94.996,95.265,94.585,94.452,94.534,94.217,94.02,93.758,93.317,93.318,93.877,94.294,94.247,93.811,93.437,94.573,93.748,92.941,92.95,93.493,92.965,92.862,92.995,92.297,92.963,93.129,93.256,92.136,92.236,91.785,91.655,91.702,92.232,92.843,92.689
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",96.971,96.734,96.688,97.296,97.781,97.764,97.627,97.207,97.056,96.523,97.641,96.367,96.374,96.824,97.21,98.173,97.32,97.582,98.511,98.892,98.007,98.115,97.857,98.036,99.169,98.574,97.234,97.554,99.48,99.189,99.739,99.214,99.254,98.741,98.587,97.119,97.834,98.594,98.85,98.75,99.108,98.518,98.965,100.029,100.329,100.518,99.135,99.729,100.739,100.099,99.742,99.419,99.429,98.704,98.516,99.334,100.009,100.226,99.18,99.342,99.982,101.116,100.89,100.686,100.584,100.76,100.926,99.725,99.426,99.206,99.075,100.426,100.352,100.357,100.73,101.822,101.498,100.947,101.348,101.241,101.587,101.615,101.355,101.262,101.063,100.414,100.28,101.184,100.508,100.471,100.707,100.322,100.461,100.219,99.329,98.683,98.858,99.265,100.001,101.004,99.971,99.719,100.208,99.872,100.207,100.051,100.414,100.43,100.623,100.451,100.117,100.607,99.975,99.52,99.875,99.935,99.806,99.658,100.125,99.72,99.562,98.694,98.699,99.221,99.156,99.167,99.149,99.309,99.532,99.093,98.783,97.92,97.952,97.234,96.315,97.06,95.275,95.462,95.523,94.27,93.878,94.275,94.17,93.656,94.256,94.206,93.792,93.735,93.461,93.292,92.738,92.342,92.539,94.803,94.639,93.841,94.179,94.662,94.883,94.333,94.364,93.951,93.644,93.59,93.294,93.03,93.684,93.714,93.151
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",214.464,214.728,213.11,212.082,212.483,209.771,209.928,209.826,208.625,208.478,207.443,206.262,205.795,205.688,203.671,203.81,203.716,201.956,201.749,200.89,200.857,199.961,199.362,198.589,198.68,198.916,198.847,198.349,198.076,197.739,197.349,196.84,197.079,195.464,193.664,193.883,193.427,191.834,190.618,190.511,189.996,186.834,186.067,184.243,182.837,181.026,179.68,179.314,178.086,175.59,173.999,171.496,169.782,168.364,167.061,165.994,164.579,163.686,161.403,158.576,156.297,155.731,153.933,151.371,149.154,148.193,146.655,144.408,143.355,141.819,140.719,139.669,137.855,135.389,134.416,133.518,131.245,129.545,127.392,124.596,123.073,122.049,119.963,118.529,117.335,115.987,114.529,113.644,112.573,111.643,110.634,109.195,108.106,106.948,105.989,105.789,105.049,103.728,102.856,101.553,102.159,100.908,99.729,98.657,97.937,96.92,95.771,94.735,92.981,91.743,90.004,89.125,87.57,86.54,86.04,84.32,83.125,82.528,81.882,81.117,80.155,78.917,77.763,77.34,77.197,76.401,75.63,75.014,73.768,73.068,71.911,71.233,70.592,69.76,69.348,68.662,67.242,66.206,65.44,64.288,63.578,63.649,63.422,62.967,62.786,62.45,61.957,61.851,61.543,60.878,60.276,59.869,59.553,59.001,57.938,57.242,57.257,56.515,56.304,56.091,55.765,55.11,54.508,53.644,53.402,52.929,52.261,51.705,51.226
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",87.283,88.788,89.83,90.324,90.237,89.755,89.511,89.474,89.95,89.872,90.201,91.371,92.692,94.787,96.943,97.885,97.398,96.155,95.733,95.545,96.061,97.066,97.895,98.542,99.427,98.811,99.568,98.665,98.339,98.795,98.489,98.433,98.794,98.9,99.298,99.26,99.417,99.16,99.649,99.711,99.86,99.335,99.376,99.678,99.939,99.515,98.989,98.79,98.584,98.689,98.829,98.751,99.779,99.838,99.559,100.296,101.103,100.42,101.17,101.429,101.577,102.185,102.639,102.69,102.908,102.479,102.61,102.327,102.061,101.504,101.508,101.244,101.594,101.776,101.804,101.602,100.823,100.044,100.174,100.486,99.723,98.917,98.826,99.08,99.245,99.782,100.175,100.113,100.635,101.539,102.631,102.161,101.021,100.188,100.256,100.669,100.809,100.766,101.408,101.039,100.224,100.179,99.871,99.186,99.144,99.165,99.199,99.01,98.766,99.195,99.325,99.224,100.643,100.912,100.038,100.109,99.802,98.794,98.377,98.094,98.32,98.837,99.505,99.773,99.373,99.191,99.147,99.234,98.877,98.456,98.512,98.325,98.279,98.767,98.675,98.64,98.711,98.804,99.359,99.608,101.051,101.134,101.225,101.142,101.729,103.424,104.589,105.493,106.347,105.444,105.13,106.391,106.595,105.802,104.885,105.266,106.084,107.174,107.619,107.703,107.12,107.762,107.421,106.975,107.919,108.377,107.596,107.715,108.342
