"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 28, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2013 1:49:25 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment","A007RL1",6.2,-2.1,7.6,12,9.1,-6.3,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.5,3.3,3,-2.1,-6.5,5.9,8.6,9.4,6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.5,7.4,6.5,2.4,-1.9,-7.1,-19,-0.2,6.6,8.5
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","A008RZ2",5.35,-0.38,0.01,6.14,9.37,0.56,-7.15,3.59,7.87,10.03,6.83,-0.18,4.26,-2.92,-1.03,12.87,4.83,-2.1,-0.05,3.61,3.91,0.35,-3.94,2.37,6.27,6.55,7.41,6.77,8.7,8.78,7.61,7.12,-2.04,-5.7,0.92,4.05,4.26,5.07,4.32,-0.58,-14.1,0.54,6.9,6.31
"12","3","  Structures","B009RZ2",1.38,0.07,-0.44,0.79,1.96,-0.53,-2.73,0.62,0.99,3.19,2.91,1.45,2.29,-0.51,-3.56,3.78,1.89,-2.97,-0.68,0.15,0.46,0.34,-2.67,-1.38,-0.13,0.35,1.17,1.07,1.39,0.99,0.02,1.42,-0.29,-3.5,-0.67,0.18,0.24,1.58,2.75,1.52,-5.76,-4.14,0.63,2.25
"13","4","    Commercial and health care","W001RZ2",1.11,0.1,0.78,0.82,0.4,-0.54,-1.91,-0.1,0.35,0.84,1.19,0.71,0.69,0.8,-0.31,2.16,1.64,-0.84,-0.4,0.32,-0.14,-0.41,-2.3,-0.61,0.31,0.35,0.44,0.58,0.81,0.51,0.3,0.54,-0.4,-1.25,-0.46,0.17,-0.06,0.4,0.7,-0.3,-2.65,-1.84,-0.12,0.39
"14","5","    Manufacturing","C307RZ2",0.24,-0.16,-0.82,-0.48,0.72,0.49,-0.17,-0.34,0.1,1.09,0.9,-0.76,0.57,-0.16,-1.38,0.12,0.37,-0.54,-0.07,0.15,0.58,0.45,-0.31,-0.32,-0.74,0.47,0.51,0.17,-0.14,0.1,-0.47,0.07,-0.06,-0.94,-0.1,0.06,0.22,0.15,0.29,0.49,0.13,-0.99,0.01,0.41
