"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 03, 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2013 1:53:26 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",313112,329740,354594,378606,408721,445246,474379,495937,496667,496570,502391,535089,565422,615931
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",313112,329740,354594,378606,408721,445246,474379,495937,496667,496570,502391,535089,565422,615931
"11","3","  Private industries","B4903C0",200567,212150,230273,246365,267619,295932,318917,335092,334296,327962,330463,362229,381193,424680
"12","4","    Agriculture, forestry, and fishing","B4904C0",1344,1708,1876,2390,2473,2570,2780,2542,2370,2033,1817,1514,2597,1996
"13","5","    Mining","B4905C0",3673,3073,3233,3346,3501,3605,3656,3846,3670,3603,3778,3709,3704,3801
"14","6","    Construction","B4906C0",14388,15398,16250,17282,16995,17960,19619,20214,20007,20664,21514,22175,24491,28392
"15","7","    Manufacturing","B4907C0",71579,75172,79940,80288,88325,98850,105539,109927,101193,89508,83205,90695,96814,103935
"16","8","      Durable goods","B4908C0",46698,50016,52191,51111,56855,65590,70135,74374,66597,57509,52807,60203,62389,68499
"17","9","      Nondurable goods","B4909C0",24881,25156,27749,29178,31470,33261,35404,35553,34596,31999,30399,30492,34425,35436
"18","10","    Transportation and public utilities","B4910C0",24234,22535,23032,24437,26484,28427,30908,31836,31792,30339,28441,29724,34384,35366
"19","11","      Transportation","B4911C0",14011,12898,13375,14286,15316,16429,17788,18589,18781,18368,17173,17477,19263,20962
"20","12","      Communications","B4912C0",5144,5223,5204,5096,5592,5905,6387,6859,6943,6685,6680,7675,6556,5899
"21","13","      Electric, gas, and sanitary services","B4913C0",5080,4414,4453,5055,5577,6093,6733,6388,6068,5286,4588,4572,8565,8505
"22","14","    Wholesale trade","B4914C0",12890,14390,16183,17668,19113,20958,22551,24986,25839,27625,29195,32986,24318,25844
"23","15","    Retail trade","B4915C0",17972,18797,19639,21364,23154,25324,25830,28941,30451,31595,33796,39086,39002,38690
"24","16","    Finance, insurance, and real estate","B4916C0",14957,17338,19034,21135,23284,26123,28533,30033,31347,30939,32137,35506,38688,43336
"25","17","    Services","B4917C0",39530,43738,51086,58454,64290,72114,79499,82767,87627,91657,96580,106835,117194,143320
"26","18","  Government","B4918C0",112546,117590,124321,132241,141102,149314,155463,160845,162371,168608,171927,172859,184229,191251
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",313112,329740,354594,378606,408721,445246,474379,495937,496667,496570,502391,535089,565422,615931
"30","21","  Pension and profit-sharing","B4934C0",151065,147405,153523,154542,166145,174236,183881,193752,199142,198244,200625,212173,210279,221860
"31","22","    Private pension and profit-sharing","B4921C0",67249,62391,65932,65342,73112,79022,87857,95064,98553,91758,91749,104749,102518,112742
"32","23","      Defined benefit pension and profit-sharing","W350RC0",NA,23330,22322,20941,27190,32110,37067,43083,44151,33412,27295,33464,28581,32446
"33","24","      Defined contribution pension and profit-sharing","W351RC0",NA,39061,43610,44400,45922,46912,50790,51980,54402,58346,64454,71285,73937,80296
"34","25","    Publicly administered government employee retirement plans","B4935C0",83816,85014,87591,89200,93033,95214,96024,98688,100589,106486,108876,107424,107761,109118
"35","26","      Federal civilian \1\","B4945C0",24392,25383,26749,28702,31241,33146,34480,35118,35698,36520,38454,39079,39984,41252
"36","27","      Federal military \2\","B1583C0",29045,28489,28920,27520,28885,28318,25482,24653,23185,26893,26670,26298,26587,28221
"37","28","      State and local","S251100",30379,31142,31922,32978,32907,33750,36062,38917,41706,43073,43752,42047,41190,39645
"38","29","  Private insurance funds","B4936C0",162048,182335,201071,224064,242576,271010,290498,302185,297525,298326,301766,322916,355143,394071
"39","30","    Group insurance","B4922C0",132320,148725,165271,184126,199824,223690,242871,255096,252292,255443,259463,280251,311791,348429
"40","31","      Group health insurance","B4923C0",126198,142277,158619,176889,192848,215741,234302,245978,242810,245446,248690,268809,300228,336066
"41","32","      Group life insurance","B4924C0",6122,6448,6652,7237,6976,7949,8569,9118,9482,9997,10773,11442,11563,12363
"42","33","    Workers' compensation","B4925C0",27192,30708,32940,36750,39340,43564,44281,44439,42632,40337,40070,40585,41412,43799
