"","Table 1#4#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:19:18 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RL1",-8.6,-6.5,-13.1,-1.3,10.9,8.9,13.1,5.1,-3.4,8.1,8.8,17.1,18.5,16.4,8.1,-1.1,-10.9,-0.9,4.4,-0.5,8.7,7.7,3.8,4.6,-0.6,7.2,2,2,-0.9,7.2,2.5,2.3,6.1,4.4,5.8,6.4,6.5,2.5,4.8,3.1
"9","2","Less: Exports of goods and services","A020RL1",-17.3,-16.9,-21.6,0.6,11.1,5.5,5,26,-1.1,5.6,13.7,2.6,-33.9,-15.7,7.4,40.1,115.9,14,-21.2,-0.9,-12.5,22.6,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.4,0.5,5,7.2,11.8,2.8,6.9,2.3,7.9,4.8
"10","3","Plus: Imports of goods and services","A021RL1",-13,-12.8,-17,4.2,2.1,31,-1.1,12.5,-22.3,5.1,2.4,23,-9.2,26.1,4.7,6.3,-17.1,-5.1,16.7,-3.6,18.2,3.9,8.8,9.4,-4.9,12,8.1,4.2,4.7,10.5,1.3,-0.7,11.3,2.7,5.3,10.6,14.9,7.3,14.9,5.7
"11","4","Equals: Gross domestic purchases","A712RL1",-8.4,-6.3,-12.9,-1.2,10.6,9.8,12.8,4.7,-4.3,8.1,8.3,18,19.8,17.5,8,-1.8,-14.7,-2,6.9,-0.6,10.2,6.9,4.5,5.3,-1,7.3,1.6,1.8,0,7.2,1.8,2.3,6.3,4.2,5.5,6.8,6.9,2.8,5.2,3.1
"12","5","Less: Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Equals: Final sales to domestic purchasers","A713RL1",-6.6,-5.7,-11.2,-2.9,9.2,7.1,12.9,3.7,-2.3,7.4,6.3,17,22.3,19.1,8,-1.5,-17.4,1,4.2,2.3,7.3,6.3,6,5.7,-0.1,5.7,1.9,2.3,0.2,6.3,1.9,2.4,5.8,4.3,5.6,6.2,6.4,3.3,5.3,3.2
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RL1",-6.8,-5.9,-11.4,-3.1,9.5,6.2,13.2,4.2,-1.4,7.4,6.8,16,20.9,18,8.1,-0.8,-13.7,2.1,1.9,2.4,5.8,7.1,5.3,4.9,0.3,5.6,2.3,2.6,-0.7,6.3,2.6,2.4,5.5,4.5,6,5.8,6,3.1,5,3.1
"16","8","  Gross domestic purchases, current dollars","A712RP1",-11.9,-15.8,-23.3,-4,16.5,12,14.1,9.4,-7.2,7.3,9.4,25.8,29,23.9,10.4,0.9,-3.9,8.5,13,-0.6,11.8,14.9,6.1,6.4,0,9,5,5,2.1,8.5,3.2,3.4,7.7,5.4,7.2,8.6,9.9,5.7,9.6,8.2
"17","9","  Final sales to domestic purchasers, current dollars","A713RP1",-10.4,-14.8,-21.4,-5.4,14.7,9.3,14.3,7.7,-3.8,6.3,7.1,24.4,32,25.8,10.5,1.2,-7.2,11.9,10.3,2.6,8.5,13.8,8.2,6.9,1,7.2,5.3,5.8,2.4,7.6,3.3,3.4,7.2,5.5,7.4,8,9.4,6.3,9.8,8.3
