"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2013 2:00:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","Housing output \1\","A2007C1",83.7,90.5,99.2,108.2,118.5,129.5,141.8,155.4,172.7,193.9,217.5,245.4,277.3,302,326.7,357.9,394.2,428.8,461.3,496.8,530.9,569.8,601.1,633.9,665.3,711.9,755.5,793.4,838.5,893.1,949.6,1009.6,1084.8,1133.6,1175.2,1233,1328,1415.4,1471.9,1528.9,1575.1,1585.5,1622.1
"9","2","  Nonfarm housing","A2008C1",80.7,87.3,95.7,104.5,114.7,125.5,137.8,151.2,168.4,189.2,212.5,240.2,272,296.8,321.5,352.7,389.1,423.8,456.3,491.4,525,563.5,594.3,626.7,657.2,702.9,746,783.7,828.8,883,939,996.8,1071.7,1120,1160.9,1216.2,1309.2,1394.4,1452.4,1509.4,1555.4,1565.3,1600.4
"10","3","    Owner-occupied","DOWNRC1",56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1141.3,1179.1,1202.3,1205.1,1222.8
