"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/5/2013 10:23:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERG3",22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.004,111.087,113.79
"9","2","Goods","DGDSRG3",33.907,35.2,36.258,37.186,39.404,44.322,47.903,49.777,52.435,55.653,60.916,67.737,72.769,74.753,76.102,77.541,78.785,78.417,80.939,83.072,86.268,89.801,91.996,93.106,93.915,94.87,95.757,96.809,96.696,95.237,95.735,97.655,97.563,96.563,96.492,97.929,100,101.441,102.764,105.912,103.105,104.852,108.822
"10","3","  Durable goods","DDURRG3",54.912,56.096,58.033,58.673,59.542,63.451,69.129,72.91,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.98,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.83,91.611,90.799
"11","4","    Motor vehicles and parts","DMOTRG3",34.27,35.304,37.011,37.104,37.273,39.569,43.479,46.803,49.538,52.971,56.965,61.187,65.921,69.046,71.193,73.227,74.923,76.989,80.512,81.777,84.193,84.464,86.84,88.479,91.964,96.233,100.045,102.051,102.436,101.321,101.625,102.001,102.401,101.863,99.078,98.401,100,100.108,99.622,97.822,97.948,104.027,107.528
"12","5","      New motor vehicles (55)","DNMVRG3",37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.256,96.832,97.734,99.759,102.54
"13","6","      Net purchases of used motor vehicles (56)","DNPVRG3",17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,99.244,93.849,91.187,104.91,109.234
"14","7","      Motor vehicle parts and accessories (58)","DMVPRG3",49.53,51.896,53.805,54.164,52.76,56.324,61.427,65.785,70.22,73.488,80.654,89.644,94.189,96.489,93.754,90.142,90.095,89.826,90.551,91.96,93.913,94.241,95.089,95.711,94.15,93.617,93.942,93.786,93.284,92.501,92.053,92.378,94.648,96.294,97.232,97.72,100,104.052,107.595,113.209,117.632,119.923,124.475
"15","8","    Furnishings and durable household equipment","DFDHRG3",50.873,51.98,52.92,53.672,54.938,59.415,65.322,68.132,70.645,74.219,78.849,85.255,91.556,96.275,98.518,99.712,100.805,101.867,103.477,104.952,105.265,106.33,106.936,108.203,108.777,110.457,110.284,110.597,110.433,110.341,108.906,108.118,106.266,104.082,101.164,99.914,100,99.6,98.887,98.141,97.811,93.728,92.359
