"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:56:29 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross saving","A929RC1",233.1,228.2,246.2,277.7,335.3,349.3,348.2,399.5,459.6,548.2,613.8,630.6,745.2,727.9,719.5,884.5,884,867.8,952.2,1080.1,1113.6,1117.6,1157.9,1152.7,1167.8,1299.1,1429.5,1581.3,1783.6,1932.4,1993.2,2109.4,2064.1,1988.7,1991.7,2149.9,2337.4,2652.6,2506.7,2281.9,2071.7,2255,2461.4,2672.2,3016.5
"9","2","Net saving","W201RC1",108.2,91.4,97.3,116.8,157.2,143.1,110.7,140.3,171.3,223.1,242.7,204.6,260.2,193.6,158.9,290.2,247.3,185.6,224.2,297.7,277.5,230.7,226.8,192.9,164.3,243.6,306.8,405.3,543.6,622.1,592.3,595.2,460.1,326.7,264.5,318.2,355.5,516.5,242.4,-81.5,-296.6,-126.6,8.8,129.4,369.9
"10","3","  Net private saving","W202RC1",109.2,123.2,147.5,157.2,185.3,181.4,213.3,217.3,234.7,269.5,279,285.5,341.9,363.3,362.7,461.6,422.7,377.9,375.3,438.1,426.7,438.1,498.1,563.1,513.3,524.2,579.2,596.3,633.1,604,516.5,429.4,511.4,718.5,789.4,826.4,727.5,784,581.8,718.7,1225.1,1440.3,1470.2,1491.7,1342.9
