"","Table 6#21D# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 12:04:07 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Undistributed corporate profits","B057RC0",122639,159467,97310,116766,196425,291702,384427,660412,652057,483977,264729,629980,900313,771551,984896
"9","2","Domestic industries","A3402C0",62148,78990,-19628,-12967,85568,157168,241713,682196,473795,271024,38547,389051,626545,491433,722738
"10","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2217,-1506,-1851,-2138,-2894,-1706,-1693,-787,-2703,-278,-3077,-1076,1893,-203,1976
"11","4","    Farms \1\","N3404C0",-1986,-1499,-1608,-1567,-2742,-1542,-1391,-664,-3131,-517,-2334,-1214,1116,NA,NA
"12","5","    Forestry, fishing, and related activities","N3405C0",-231,-7,-243,-571,-152,-164,-302,-123,428,238,-744,138,778,NA,NA
"13","6","  Mining","N3406C0",-890,2478,8404,8908,1629,9416,14292,29809,26233,34293,31005,5863,12286,11899,12073
"14","7","    Oil and gas extraction","N3407C0",272,4492,9722,8494,3587,11224,13393,23280,14493,22308,21840,7953,5145,NA,NA
"15","8","    Mining, except oil and gas","N3408C0",-426,296,-795,-512,-127,-376,1022,6065,6913,5126,5618,3019,8573,NA,NA
"16","9","    Support activities for mining","N3409C0",-736,-2311,-523,925,-1831,-1432,-124,463,4826,6859,3546,-5110,-1432,NA,NA
"17","10","  Utilities","N3410C0",5706,5926,1155,2762,-4677,-176,5026,9035,26484,13254,5834,2676,9353,-13901,8620
"18","11","  Construction","N3411C0",7368,8205,11262,15993,9134,8267,18935,34827,31501,11818,-7464,-9123,-5004,4388,16446
"19","12","  Manufacturing","N3412C0",35502,45909,32983,-46883,-44730,-17719,13255,248418,84346,82339,24772,14837,130261,120698,183453
"20","13","    Durable goods","N3413C0",42572,35717,20348,-50362,-36739,-14667,1086,100798,52015,25665,-34309,-47598,56410,51705,78753
"21","14","      Wood products","N3414C0",1686,1750,-763,-9,323,1374,2865,3447,-33,-1102,-1864,-2143,357,NA,NA
"22","15","      Nonmetallic mineral products","N3415C0",3608,4458,3713,1976,1266,1252,3080,6159,1916,2716,-1608,-2493,-1908,NA,NA
"23","16","      Primary metals","N3416C0",2371,-1133,-1035,-4963,-2621,-2646,7337,8089,10827,8962,6565,-6020,2304,NA,NA
"24","17","      Fabricated metal products","N3417C0",6977,6526,6630,1783,2088,-361,6639,11430,9159,8384,6978,2013,5985,NA,NA
"25","18","      Machinery","N3418C0",10798,5509,4315,-1873,-807,-271,5083,12232,12081,10471,7559,-8,8610,NA,NA
"26","19","      Computer and electronic products","N3419C0",8221,1322,11855,-28596,-21621,-14790,-5739,48296,14894,2206,-4467,5651,23196,NA,NA
"27","20","      Electrical equipment, appliances, and components","N3420C0",329,1075,-4865,-8419,-12279,-8966,-12302,-9782,-4074,-9842,-11552,-6466,6253,NA,NA
"28","21","      Motor vehicles, bodies and trailers, and parts","N3421C0",1554,4927,-5094,-11437,-8241,7019,-6156,-3025,-10478,-15476,-38324,-54088,-9766,NA,NA
"29","22","      Other transportation equipment","N3422C0",2306,6129,2933,1436,1002,495,-861,11338,10727,15418,2686,7224,11543,NA,NA
"30","23","      Furniture and related products","N3423C0",1811,1927,1472,409,727,829,882,1997,2598,1417,137,-364,658,NA,NA
"31","24","      Miscellaneous manufacturing","N3424C0",2910,3228,1187,-669,3424,1397,258,10618,4397,2512,-421,9095,9178,NA,NA
"32","25","    Nondurable goods","N3425C0",-7069,10192,12635,3479,-7991,-3052,12169,147620,32332,56674,59081,62435,73851,68994,104700
"33","26","      Food and beverage and tobacco products","N3426C0",-3558,11108,5546,7517,1391,3793,-3011,19118,6906,4589,6641,12540,14911,NA,NA
"34","27","      Textile mills and textile product mills","N3427C0",854,848,51,-1069,-735,-1247,-100,218,291,167,-705,16,590,NA,NA
"35","28","      Apparel and leather and allied products","N3428C0",844,146,870,272,1911,715,1055,1699,640,183,-317,403,617,NA,NA
"36","29","      Paper products","N3429C0",-1924,313,1475,-4915,-3364,-3167,-384,5213,4774,1026,-846,1956,3014,NA,NA
"37","30","      Printing and related support activities","N3430C0",2013,2127,1799,1038,1369,1267,1220,2498,2337,2550,426,598,2442,NA,NA
"38","31","      Petroleum and coal products","N3431C0",-8028,-8024,8432,11946,-10265,-11521,7134,27809,12898,36116,56374,14491,34923,NA,NA
"39","32","      Chemical products","N3432C0",-105,1778,-5197,-10532,1244,6460,3328,89921,3198,8990,-784,28869,14993,NA,NA
"40","33","      Plastics and rubber products","N3433C0",2833,1898,-342,-778,459,648,2927,1145,1287,3054,-1708,3563,2362,NA,NA
"41","34","  Wholesale trade","N3434C0",18124,24807,25817,14787,21391,27391,33184,43280,48306,46938,26584,37696,50200,40236,57103
"42","35","    Durable goods","N3435C0",11034,15260,14905,5698,11006,12053,21510,33870,30359,25907,14527,12142,26553,NA,NA
"43","36","    Nondurable goods","N3436C0",7090,9547,10912,9089,10385,15338,11674,9410,17947,21031,12057,25554,23647,NA,NA
"44","37","  Retail trade","N3437C0",26838,22093,16532,31403,39167,41189,44737,66713,65506,57119,31607,55223,60065,55527,73154
"45","38","  Transportation and warehousing","N3438C0",2375,-2204,621,-9075,-12278,-4671,-619,11394,19687,3163,7090,7355,26502,12829,28833
"46","39","    Air transportation","N3439C0",2195,993,-1337,-12026,-15814,-8474,-9129,-6851,1722,-2136,-3309,494,9969,NA,NA
"47","40","    Rail transportation","N3440C0",-417,-1153,1207,130,768,309,1054,3955,5996,4505,3838,2041,3815,NA,NA
"48","41","    Water transportation","N3441C0",-259,-566,-56,-145,-233,-139,-264,699,484,-738,202,-632,-165,NA,NA
"49","42","    Truck transportation","N3442C0",1056,316,1104,1004,168,1962,4261,6408,4800,1074,2753,864,5804,NA,NA
"50","43","    Transit and ground passenger transportation","N3443C0",411,143,374,172,544,387,544,514,510,354,51,664,1096,NA,NA
"51","44","    Pipeline transportation","N3444C0",151,-239,-891,244,297,47,87,19,184,304,489,920,286,NA,NA
"52","45","    Other transportation and support activities \2\","N3445C0",-1037,-1951,113,1439,1790,1320,2726,6143,5238,-370,2844,2367,5309,NA,NA
"53","46","    Warehousing and storage","N3446C0",275,253,106,106,202,-84,101,506,754,170,222,638,389,NA,NA
"54","47","  Information","N3447C0",-8890,-28384,-62540,-52673,-24904,-22049,-14124,53463,49309,41201,35677,35228,48404,40271,54467
"55","48","    Publishing industries (includes software)","N3448C0",3798,6609,-9024,-4590,3687,2535,-24769,14239,2096,-5058,-4880,677,6227,NA,NA
"56","49","    Motion picture and sound recording industries","N3449C0",-569,537,-166,2656,6635,5347,7430,6223,6271,5628,9965,9316,15733,NA,NA
"57","50","    Broadcasting and telecommunications","N3450C0",-7418,-28392,-35712,-38745,-35222,-29901,-3089,29579,34203,36808,26656,21265,23853,NA,NA
"58","51","    Information and data processing services","N3451C0",-4700,-7138,-17637,-11995,-4,-30,6304,3423,6739,3824,3936,3970,2591,NA,NA
"59","52","  Finance and insurance","N3491C0",-36280,-32394,-81444,-26044,27497,37168,57878,55223,23007,-73844,-208842,57960,38006,10615,54458
"60","53","    Federal Reserve banks","N3453C0",-1304,892,5476,1361,-1460,-2461,1381,4330,3915,405,2201,-1501,-9295,NA,NA
"61","54","    Credit intermediation and related activities","N3492C0",30775,36820,37360,44597,61055,55127,43768,54720,39502,30536,29330,71313,59176,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3493C0",-18903,-19160,-43662,-24206,-5566,-4481,482,1885,-4889,-52070,-126421,7572,-7319,NA,NA
"63","56","    Insurance carriers and related activities","N3456C0",-9186,-2383,-16129,-13472,-2387,13594,45931,53257,47106,28376,-39989,23639,34609,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3457C0",-37663,-48564,-64489,-34323,-24145,-24610,-33683,-58969,-62628,-81091,-73962,-43064,-39165,NA,NA
"65","58","  Real estate and rental and leasing","N3458C0",-7340,-6152,-9119,-10704,-9778,-11858,-14568,-8408,-15134,-28821,-27379,-13985,-11068,-21104,-5996
"66","59","    Real estate","N3459C0",-8012,-6088,-7442,-10509,-9371,-10030,-10970,-13233,-20351,-32640,-26954,-15551,-12691,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3460C0",673,-64,-1677,-195,-407,-1828,-3598,4826,5217,3819,-424,1565,1623,NA,NA
"68","61","  Professional, scientific, and technical services","N3461C0",4175,5450,-16176,-11387,389,4306,9199,13195,10583,8978,11669,22224,30676,23323,25364
"69","62","    Legal services","N3462C0",628,1512,2782,3652,4521,3296,4306,5683,5462,4058,5843,7316,7081,NA,NA
