"","Table 1#9#4# Price Indexes for Net Value Added by Sector        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 1, 2013  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:45:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Net domestic product","A362RG3",20.986,22.1,23.22,24.236,25.558,27.77,30.248,31.892,33.821,36.152,39.109,42.594,46.579,49.428,51.607,53.618,55.494,56.626,58.082,60.17,62.646,65.14,67.456,69.218,70.974,72.533,74.023,75.556,77.027,78.023,79.248,81.115,83.163,84.643,86.513,88.925,91.624,94.342,96.918,98.852,100,101.458,103.498,105.277
"9","2","Business \1\","A363RG3",24.459,25.498,26.563,27.487,28.947,31.745,34.701,36.483,38.59,41.251,44.724,48.692,53.148,56.157,58.321,60.178,62.005,62.828,64.053,66.098,68.626,71.029,73.154,74.497,76.377,77.795,79.16,80.582,81.939,82.526,83.132,84.759,86.451,87.21,88.613,90.711,93.445,95.901,98.115,99.506,100,101.363,103.537,105.342
"10","3","  Nonfarm \2\","A364RG3",23.781,24.818,25.876,26.667,27.598,30.448,33.627,35.444,37.616,40.059,43.431,47.601,52.158,55.408,57.41,59.211,61.346,62.212,63.421,65.354,67.828,70.277,72.56,73.949,75.832,77.311,78.657,79.899,81.481,82.143,82.907,84.64,86.247,87.102,88.393,90.297,93.293,95.841,97.74,99.134,100,101.175,102.905,104.695
"11","4","  Farm","A365RG3",149.265,149.389,150.598,181.172,314.906,297.083,241.116,232.958,215.283,269.672,292.446,234.885,209.963,170.911,206.201,220.251,161.571,154.59,158.445,181.077,193.091,186.459,161.09,155.06,156.499,147.74,152.214,186.437,150.576,138.492,110.715,94.905,109.342,95.046,112.578,140.748,108.681,98.889,150.786,151.316,100,123.903,182.883,186.626
"12","5","Households and institutions","W503RG3",13.614,14.598,15.431,16.149,16.971,17.748,18.835,20.248,21.821,23.363,25.058,27.544,30.609,33.205,35.496,37.821,39.636,41.774,44.073,46.346,48.397,51.171,53.653,55.951,56.955,58.811,60.783,62.867,64.617,66.835,69.655,71.724,74.59,78.333,80.608,82.825,84.327,87.716,91.372,95.493,100,100.019,101.618,104.022
"13","6","  Households","W504RG3",16.308,17.104,17.841,18.416,19.033,19.472,20.57,22.042,23.801,25.023,26.721,29.201,32.774,36.254,38.927,41.197,42.595,45.268,47.456,49.894,52.276,55.618,57.877,59.862,61.125,62.65,64.881,67.26,69.406,72.147,74.222,75.945,78.671,82.357,83.286,83.741,83.977,86.296,90.435,94.862,100,99.777,101.487,103.842
"14","7","  Nonprofit institutions serving households \3\","W505RG3",10.574,11.778,12.729,13.622,14.696,15.886,16.972,18.333,19.701,21.631,23.34,25.856,28.357,29.97,31.849,34.237,36.51,38.065,40.485,42.583,44.292,46.492,49.17,51.751,52.497,54.664,56.367,58.142,59.485,61.17,64.723,67.144,70.155,73.954,77.653,81.787,84.728,89.381,92.467,96.232,100,100.301,101.771,104.232
"15","8","General government \4\","A194RG3",11.204,12.386,13.607,14.885,15.849,16.697,18.105,19.175,20.458,21.842,23.411,25.399,27.82,29.888,31.747,33.892,35.839,37.414,39.098,41.068,43.468,45.956,48.765,51.761,53.452,55.308,56.883,58.388,60.131,62.16,65.308,68.353,71.641,75.031,79.205,83.68,87.354,91.078,94.953,98.212,100,103.474,105.119,106.086
