"","Table 2#5#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2009=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2014 11:21:15 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Personal consumption expenditures","DPCERG3",21.326,22.325,23.274,24.07,25.367,28.008,30.347,32.012,34.091,36.479,39.713,43.977,47.907,50.552,52.728,54.723,56.66,57.886,59.649,61.973,64.64,67.439,69.651,71.493,73.277,74.802,76.354,77.98,79.326,79.934,81.109,83.128,84.731,85.872,87.573,89.703,92.26,94.728,97.099,100.063,100,101.654,104.086,106.009
"9","2","Household consumption expenditures \1\","DPHCRG3",20.848,21.825,22.748,23.523,24.787,27.351,29.632,31.259,33.287,35.621,38.774,42.947,46.816,49.496,51.741,53.778,55.739,57.002,58.792,61.139,63.904,66.841,69.188,71.197,73.096,74.651,76.236,77.864,79.169,79.683,80.817,82.773,84.314,85.47,87.269,89.485,92.053,94.556,96.953,99.975,100,101.732,104.212,106.21
"10","3","  Food and beverages purchased for off-premises consumption","DFXARG3",21.121,22.299,22.807,23.894,26.919,31.012,33.343,33.963,35.964,39.405,43.275,46.913,50.256,51.578,52.17,53.738,54.323,55.601,57.356,59.066,62.181,65.219,67.266,67.783,68.731,69.881,71.396,73.574,74.976,75.918,77.161,78.969,81.271,82.5,84.062,86.686,88.2,89.683,93.182,98.851,100,100.309,104.276,106.657
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRG3",20.049,21.235,21.703,22.817,26.063,30.458,32.792,33.386,35.575,39.147,43.075,46.736,50.12,51.328,51.733,53.372,53.876,55.103,56.947,58.699,61.982,65.07,66.354,66.684,67.737,69.053,70.739,72.96,74.388,75.415,76.6,78.318,80.719,81.893,83.485,86.205,87.79,89.307,93.011,99.113,100,100.284,104.826,107.472
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRG3",29.873,30.881,31.766,32.297,32.831,34.861,37.25,38.047,38.64,40.717,43.906,47.568,50.728,52.822,54.803,55.845,57.104,58.74,59.787,61.2,63.075,65.706,73.37,75.389,75.465,75.372,75.573,77.425,78.605,79.016,80.672,83.05,84.725,86.328,87.674,89.661,90.731,92.004,94.19,97.17,100,100.418,100.918,101.758
"13","6","    Food produced and consumed on farms","DFFDRG3",38.157,38.669,39.233,46.161,60.509,53.982,55.175,56.675,56.893,72.827,87.45,84.122,83.669,86.177,81.646,84.993,79.609,80.781,88.227,89.702,94.485,101.905,97.805,94.033,96.512,89.095,88.924,89.607,95.032,84.595,80.9,85.38,91.032,81.286,92.672,104.125,104.567,103.289,113.123,111.37,100,113.058,134.599,136.849
"14","7","  Clothing, footwear, and related services","DCAFRG3",61.682,64.036,66.301,67.494,69.783,75.144,78.729,81.449,85.046,87.065,89.269,93.007,96.458,98.149,99.669,100.41,102.684,102.466,105.489,108.938,110.743,114.427,116.739,117.706,117.277,115.564,113.093,111.907,112.092,110.254,109.018,107.935,106.149,103.678,101.373,101.196,100.494,100.282,99.553,99.015,100,99.496,101.171,104.762
