"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",27.647,28.204,28.822,29.418,29.727,30.058,30.559,30.377,30.057,29.726,29.388,29.165,28.964,29.122,29.758,30.415,31.546,31.813,31.791,32.178,32.271,32.154,32.266,32.206,32.14,32.069,32.068,32.037,32.206,32.15,31.95,31.853,31.88,31.905,32.1,32.256,32.499,32.787,33.209,33.446,33.83,34.042,34.314,34.507,34.955,35.022,34.99,34.908,35.132,35.185,35.301,35.392,35.346,35.498,35.559,35.661,35.732,35.667,35.722,35.711,35.8,35.832,35.901,35.99,35.987,35.969,36.089,36.154,36.267,36.251,36.336,36.426,36.552,36.72,36.786,36.736,37.034,37.254,37.492,37.753,37.844,37.953,38.277,38.574,38.868,39.25,39.523,39.915,40.215,40.638
"13","5","    Final sales","A325RG3",27.212,27.754,28.301,28.955,29.232,29.558,30.07,29.936,29.635,29.32,28.985,28.77,28.579,28.744,29.373,29.984,31.067,31.311,31.318,31.716,31.82,31.716,31.836,31.804,31.762,31.702,31.706,31.679,31.836,31.782,31.593,31.504,31.536,31.563,31.755,31.903,32.133,32.418,32.834,33.07,33.45,33.666,33.943,34.144,34.587,34.65,34.619,34.53,34.768,34.813,34.926,35.015,34.97,35.129,35.194,35.295,35.359,35.298,35.351,35.338,35.428,35.462,35.531,35.621,35.62,35.608,35.73,35.792,35.905,35.894,35.977,36.071,36.198,36.368,36.435,36.379,36.678,36.899,37.138,37.396,37.485,37.599,37.933,38.23,38.53,38.917,39.196,39.59,39.89,40.311
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",33.724,35.019,35.673,35.976,36.065,36.683,37.878,38.108,38.026,37.793,37.507,37.353,37.313,37.7,38.274,39.105,40.347,40.604,40.576,41.227,41.401,41.224,41.479,41.029,41.116,41.201,41.188,41.263,41.649,41.401,40.867,40.919,40.944,41.184,41.67,42.188,42.708,43.063,43.855,44.173,44.95,45.204,45.449,45.799,46.173,46.157,46.179,46.393,46.655,46.855,46.973,47.036,46.965,47.001,47.01,46.978,47.036,47.199,47.267,47.294,47.293,47.271,47.388,47.344,47.275,47.336,47.332,47.428,47.486,47.512,47.55,47.554,47.675,47.654,47.585,47.387,47.459,47.664,47.839,48.167,48.249,48.472,48.879,49.331,49.585,50.126,50.431,50.966,51.326,51.666
"16","8","    Final sales","A326RG3",34.123,35.43,36.09,36.387,36.469,37.099,38.311,38.535,38.462,38.235,37.932,37.774,37.734,38.146,38.728,39.525,40.746,40.96,40.937,41.636,41.809,41.631,41.883,41.418,41.506,41.585,41.563,41.644,42.019,41.779,41.268,41.322,41.337,41.577,42.061,42.57,43.09,43.443,44.246,44.566,45.354,45.613,45.864,46.219,46.589,46.571,46.594,46.806,47.103,47.305,47.427,47.492,47.412,47.447,47.459,47.434,47.491,47.65,47.72,47.75,47.753,47.732,47.853,47.808,47.737,47.801,47.8,47.896,47.954,47.978,48.018,48.019,48.144,48.121,48.044,47.834,47.905,48.117,48.294,48.63,48.704,48.938,49.357,49.812,50.07,50.628,50.935,51.475,51.838,52.185
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",20.454,20.637,21.13,21.727,22.06,22.224,22.385,22.089,21.744,21.438,21.14,20.928,20.703,20.743,21.293,21.767,22.667,22.895,22.879,23.091,23.134,23.062,23.101,23.209,23.09,22.964,22.971,22.898,22.952,22.981,22.951,22.813,22.841,22.77,22.805,22.774,22.854,23.067,23.262,23.426,23.575,23.736,23.978,24.073,24.473,24.559,24.513,24.328,24.498,24.478,24.574,24.662,24.634,24.813,24.886,25.027,25.089,24.944,24.983,24.955,25.069,25.12,25.156,25.293,25.321,25.27,25.432,25.473,25.597,25.562,25.657,25.778,25.888,26.134,26.264,26.3,26.685,26.887,27.132,27.323,27.408,27.44,27.677,27.852,28.132,28.379,28.6,28.864,29.094,29.511
"19","11","    Final sales","A334RG3",19.634,19.811,20.215,20.865,21.161,21.317,21.489,21.254,20.932,20.647,20.362,20.166,19.956,20,20.531,20.96,21.798,22.009,22.026,22.236,22.294,22.238,22.288,22.43,22.345,22.239,22.254,22.187,22.228,22.258,22.232,22.102,22.138,22.073,22.109,22.078,22.15,22.357,22.543,22.705,22.85,23.012,23.254,23.356,23.751,23.832,23.786,23.597,23.769,23.743,23.833,23.916,23.893,24.076,24.151,24.287,24.342,24.203,24.239,24.21,24.321,24.373,24.408,24.543,24.574,24.531,24.689,24.727,24.848,24.822,24.912,25.036,25.145,25.386,25.516,25.545,25.921,26.118,26.357,26.54,26.625,26.661,26.905,27.081,27.364,27.609,27.836,28.1,28.327,28.735
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",8.008,8.014,8.045,8.195,8.271,8.357,8.493,8.537,8.591,8.591,8.6,8.679,8.709,8.718,8.858,8.922,9.163,9.148,9.198,9.343,9.337,9.447,9.554,9.669,9.71,9.779,9.845,9.948,10.023,10.074,10.113,10.173,10.266,10.374,10.428,10.508,10.597,10.692,10.774,10.839,10.982,11.06,11.151,11.253,11.372,11.44,11.499,11.555,11.612,11.67,11.746,11.821,11.886,11.934,12.036,12.129,12.146,12.214,12.255,12.314,12.415,12.473,12.509,12.54,12.673,12.7,12.7,12.85,12.932,12.987,13.094,13.136,13.211,13.269,13.375,13.522,13.615,13.719,13.902,14.011,14.095,14.229,14.366,14.554,14.735,14.923,15.127,15.337,15.496,15.722
"22","14","Structures","A755RG3",7.421,7.677,7.918,8.131,8.311,8.466,8.68,8.739,8.717,8.657,8.463,8.496,8.411,8.501,8.777,8.932,9.294,9.477,9.606,9.691,9.707,9.773,9.866,9.81,9.832,9.856,9.934,9.853,9.733,9.772,9.794,9.813,9.782,9.851,10.002,10.099,10.343,10.479,10.642,10.682,10.725,10.837,10.893,10.832,10.649,10.716,10.761,10.774,10.776,10.766,10.755,10.746,10.763,10.759,10.76,10.742,10.713,10.751,10.749,10.785,10.813,10.837,10.855,10.868,10.885,10.885,10.845,10.891,10.85,10.974,11.003,11.168,11.195,11.257,11.282,11.501,11.454,11.77,11.775,11.955,12.002,12.042,12.141,12.315,12.532,12.655,12.695,13.083,13.329,13.568
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.929,34.17,34.797,35.359,35.207,35.442,35.818,36.088,36.035,36.222
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.203,19.317,19.482,19.691,19.92,20.147,20.34,20.631,20.85,21.134
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",12.454,12.622,12.805,13.084,13.225,13.38,13.618,13.625,13.588,13.505,13.4,13.404,13.36,13.418,13.698,13.904,14.365,14.443,14.5,14.695,14.717,14.778,14.891,14.952,14.973,15.011,15.068,15.116,15.177,15.206,15.193,15.216,15.277,15.363,15.469,15.569,15.722,15.871,16.045,16.146,16.33,16.448,16.577,16.675,16.814,16.884,16.924,16.944,17.032,17.078,17.149,17.215,17.251,17.315,17.394,17.472,17.493,17.53,17.568,17.61,17.7,17.749,17.791,17.832,17.921,17.936,17.954,18.072,18.142,18.198,18.289,18.368,18.448,18.533,18.619,18.741,18.857,19.031,19.201,19.359,19.44,19.558,19.736,19.953,20.173,20.401,20.6,20.891,21.102,21.383
"29","20","  Research and development","Y694RG3",15.308,15.374,15.517,15.734,16.021,16.206,16.296,16.295,16.194,16.121,16.104,16.14,16.229,16.421,16.716,17.113,17.612,17.974,18.203,18.301,18.264,18.263,18.298,18.369,18.475,18.537,18.556,18.531,18.466,18.442,18.464,18.533,18.637,18.745,18.889,19.062,19.269,19.453,19.607,19.732,19.825,19.919,20.014,20.111,20.208,20.306,20.402,20.496,20.587,20.667,20.737,20.798,20.849,20.889,20.919,20.938,20.946,20.959,20.977,21.001,21.03,21.043,21.042,21.025,20.992,20.99,21.017,21.074,21.16,21.21,21.224,21.201,21.142,21.111,21.11,21.137,21.193,21.236,21.266,21.283,21.286,21.323,21.393,21.496,21.633,21.792,21.972,22.175,22.398,22.638
"30","21","  Gross domestic product excluding research and development","Y695RG3",12.541,12.713,12.913,13.179,13.327,13.482,13.719,13.714,13.67,13.584,13.479,13.482,13.437,13.493,13.775,13.993,14.463,14.544,14.591,14.784,14.803,14.862,14.974,15.027,15.043,15.077,15.134,15.182,15.247,15.277,15.262,15.284,15.342,15.428,15.534,15.636,15.791,15.94,16.117,16.218,16.403,16.521,16.65,16.746,16.887,16.959,16.998,17.018,17.103,17.15,17.221,17.288,17.323,17.386,17.465,17.546,17.567,17.604,17.643,17.686,17.777,17.827,17.87,17.912,18.003,18.018,18.036,18.156,18.225,18.28,18.374,18.455,18.539,18.628,18.716,18.841,18.958,19.135,19.308,19.471,19.555,19.674,19.854,20.075,20.297,20.526,20.725,21.018,21.23,21.512
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
