"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2014 11:20:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Personal consumption expenditures (PCE)","DPCERX1",7625.8,7744.1,7836.8,7945.9,8067.1,8142.1,8223.1,8296.1,8325.7,8348.3,8376.3,8499.8,8527,8572.2,8633,8669.1,8712.2,8810.1,8938.2,9004.3,9096.3,9152.4,9239.3,9334.5,9409.5,9507.8,9578.9,9614.9,9722.7,9774.2,9833.4,9929.2,9987.1,10020.4,10060.1,10074.5,10054.1,10073,9993.7,9876.2,9843.6,9801.5,9862.7,9863.9,9915.4,9995.3,10063.7,10169,10221.3,10258.9,10311.9,10373.1,10447.8,10496.8,10541,10584.8,10644,10691.9,10744.2,10831.5,10912.3
"10","2","Goods","DGDSRX1",2393.6,2449.8,2478.8,2521.3,2559.1,2572.6,2599.4,2621.9,2628,2635.1,2653.9,2749.5,2742.6,2753.6,2788.3,2796.2,2811.7,2872.2,2953.5,2980.4,3012.8,3029.5,3066,3099.4,3136.5,3177.8,3195.5,3198.8,3262.2,3267.8,3294.5,3345.6,3363.5,3376.3,3392.3,3394.9,3348.7,3360.4,3296.6,3185.5,3188.8,3166.9,3222.9,3215.2,3247,3288,3319.1,3380.5,3402.8,3404.6,3415.2,3457,3495.8,3514.7,3546.7,3579.2,3611.9,3639.6,3680,3706.1,3709.4
"11","3","  Durable goods","DDURRX1",664,695.8,712.5,721,761.2,747.2,759.8,765.1,777.7,777,785.9,851.4,841,849.2,874.1,862,864.7,904.4,944.7,956.8,972.7,982.2,1001.3,1015.5,1026.3,1055.4,1067.3,1038.8,1081.3,1080.2,1095.1,1109.6,1122,1138.3,1150.9,1155.5,1122.5,1119,1084.7,1006.8,1008.6,1002.6,1050.6,1031.5,1045.2,1076.3,1093.8,1127.4,1142.3,1140,1154.4,1191.7,1219.7,1228.6,1253.4,1285.2,1303.5,1323.2,1348.6,1357.8,1360.5
"12","4","    Motor vehicles and parts","DMOTRX1",320.7,343.5,344.5,334.3,362.7,336.7,342.7,343.7,353.2,347.3,351.5,404.6,375.8,377.9,401.7,377.9,377.4,393.8,406.6,400.5,402.4,402,407.3,410.3,401.2,414.4,416.6,367.8,382.1,381.9,388.5,388,390.5,396.2,393.3,391.2,371.9,355.2,337.4,298.8,307.6,308.9,342.2,309.5,306.2,319.7,325.7,342,345.2,330,331.3,351.1,360.3,356.3,363.5,375.8,380.6,379.7,384.3,384.2,385
"13","5","    Furnishings and durable household equipment","DFDHRX1",164.2,168.1,173.6,179.1,183.6,187.1,189.6,190.7,193.6,195.3,197.2,203.1,209.6,211.4,211.1,214.7,214,223.4,232.6,237.3,241.9,245.8,251.3,254.3,257.8,261.9,266.8,272.9,280.3,277,278.3,277.7,281.3,279.6,280.7,280.2,273.3,276.6,267.2,253.6,245.2,240.9,243.6,247.6,254,261.4,262.7,267.9,269.6,273.4,277,284,289.5,290.1,294.1,297.3,300.3,306.9,316.6,318.2,316.9
"14","6","    Recreational goods and vehicles","DREQRX1",105.3,110.3,115.7,121,128.5,130.2,133.4,136.1,138.2,141.9,144.9,151.9,157.1,159.4,161.4,164.7,167.5,175.9,187.6,195.3,200.8,206.2,212.6,217.7,227.7,236.2,240.1,246.5,261.2,263.6,269.4,281,286.1,293.5,304.7,311.6,308.2,318.1,312.8,295.9,298.6,294.7,305.8,316,324.1,333.8,341,348.3,357.3,365.2,374.1,385.4,395.6,404.9,416.1,426.8,435.2,447.3,460.1,463.9,467.3
"15","7","    Other durable goods","DODGRX1",102,103.4,106.5,112,112.6,116.2,116.8,116.1,114.5,111.7,111,114.4,117.4,119.4,120.2,122.5,122.7,128.6,134.5,138.7,142.1,141.3,142.6,145.1,149.5,152.4,153,158.4,163.8,163.2,164,166.8,167.7,172.1,174.6,174.4,170.6,169.7,167.6,158,156.9,157.8,158.9,159.1,162.2,162.5,165.4,169.4,170.8,174.1,175.6,174.2,177.5,181.9,185,190.1,192.8,196.8,196.9,201.2,201.4
"16","8","  Nondurable goods","DNDGRX1",1780.2,1796.8,1805.1,1841.8,1825.7,1862,1874.3,1892.3,1881,1889.8,1898.6,1914.7,1921.7,1922.7,1927.4,1952.6,1966,1980.3,2017,2030.9,2046.3,2052.6,2068.5,2087.2,2114,2123.2,2127.9,2164.2,2182.1,2189.3,2200.3,2237,2241.6,2237.1,2240.2,2238.4,2226.2,2241.8,2212.2,2178.6,2180.2,2164.4,2172.5,2183.5,2201.6,2212.1,2226,2254.5,2262.6,2266.5,2263.8,2271,2283.6,2293.9,2303,2306.7,2322.2,2331.7,2348.6,2365.5,2366.4
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX1",657.4,664.2,670.1,680.8,674.4,684.7,686,693,690.9,695.8,693.8,695.4,693,694.4,697.3,703.4,708.9,707.9,718.7,717.4,724.5,725.1,730.8,738.6,750,752.8,759.3,768.3,771.6,779.1,780.8,791.7,793.2,789.1,789.8,793.1,789.3,792.7,782.2,763.3,761.4,767.2,771.9,779.3,786.1,780.6,783.8,795.4,797.8,800.7,798.8,798.1,803.8,808.4,811.7,813.5,817.6,815.3,820.8,827.2,828.2
"18","10","    Clothing and footwear","DCLORX1",240.7,242.7,244.4,245,249,254.4,257.2,259.3,255.2,256.8,256.5,261,263.9,264,262.4,270.6,269.7,276.9,283,283.7,290.8,287.4,290.3,296.1,300.2,306.5,305.7,314.8,316.6,314.4,317.7,321,323.1,322.9,325.4,324.2,321.6,331.1,324.2,312.3,308.5,302.7,305.9,308.8,315.9,321,321.8,332,334,338,332.2,335.7,339.7,336.3,340.5,339,340.5,345.5,341.7,345.5,341.9
"19","11","    Gasoline and other energy goods","DGOERX1",299.5,305.8,301.6,302.5,291,296,296.6,294.2,295,290.6,295.4,295.6,293.9,296.4,297.5,297.9,294.8,294,297.4,300.8,299.8,300.3,298.4,298.7,304.2,296.8,292.3,298.7,296.3,294.1,296.1,303.3,301.6,297.7,295.5,292.6,290.2,285.8,275.9,281.8,291.9,284.7,282.3,279.1,279.3,282.5,284.2,282.8,280.4,273.8,273.6,273,269.9,274.7,272.5,268.8,271.7,271.1,273.2,273,273.7
"20","12","    Other nondurable goods","DONGRX1",596,599.2,601.9,626.1,618.9,634.1,640.7,650.8,646.5,651.5,658.9,667.3,673.8,671.7,674.6,682.8,693.8,700.7,716.1,727.6,728.4,737.7,746.1,750.2,756.3,762.7,766.8,777.9,793.8,799,802.7,817.8,820.8,825.1,827.5,827.2,823.7,833.3,834.3,821.9,819,809.4,811.9,816.4,821,828.4,836.6,845.8,852.8,859.2,864.3,870,878.2,880.9,886.1,895.2,901.8,910,923,931.2,933.6
"21","13","Services","DSERRX1",5253,5311,5375,5440,5523.9,5588,5641.9,5692.4,5716.3,5731.9,5739.2,5757.6,5794.6,5829.6,5853.5,5882.1,5909.2,5943,5985.8,6024.5,6084.1,6123.7,6173.4,6235.2,6271.9,6328.3,6382.1,6415.4,6457.8,6504.5,6536.5,6580.2,6620.3,6640.7,6664.3,6676.3,6703.6,6710.6,6696.6,6691.7,6655.3,6634.7,6639.5,6648.5,6668.3,6707.2,6744.6,6788.5,6818.2,6854.1,6896.6,6915.5,6951.2,6981.4,6993.4,7004.7,7031.1,7051.5,7063.6,7124.8,7201.7
"22","14","  Household consumption expenditures (for services)","DHCERX1",5115.8,5172.7,5235.8,5299,5377.2,5440.8,5487.5,5532.1,5554.9,5565.8,5569.2,5582.8,5615.7,5644.1,5658.5,5681.2,5708.2,5738.7,5780.7,5819.2,5875.3,5916,5966.6,6028.9,6073.7,6124.4,6177.1,6198.3,6231.2,6269.2,6296.9,6342.5,6381.6,6405.4,6425,6424.8,6444.8,6441.3,6418.7,6403.7,6376.2,6361.8,6366.3,6369.6,6389.2,6425.6,6467.1,6513.5,6544.5,6578.8,6610.1,6634.7,6668,6688.3,6698,6703.2,6743.2,6766.1,6775.2,6837.7,6915.5
