"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:51:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Government consumption expenditures \1\","A955RG3",14.803,16.007,17.337,18.64,19.88,21.569,23.531,24.903,26.511,28.245,30.538,33.73,37.019,39.407,41.099,43.023,44.672,45.648,47.171,48.817,50.904,53.276,55.437,57.541,58.958,60.566,62.287,63.726,65.148,66.409,68.977,72.265,74.675,76.838,80.244,84.122,88.416,92.303,96.253,100.624,100,103.164,106.164,107.314,108.253
"9","2","        Gross output of general government","W101RG3",14.402,15.553,16.811,18.016,19.223,20.871,22.76,24.105,25.676,27.385,29.621,32.726,35.948,38.364,40.125,42.085,43.749,44.808,46.386,48.167,50.412,52.91,55.246,57.508,59.143,60.826,62.63,64.115,65.538,66.763,69.205,72.31,74.645,76.82,80.222,84.057,88.176,91.966,95.849,100.136,100,103.117,106.106,107.504,108.668
"10","3","          Value added","W102RG3",13.072,14.324,15.616,16.927,18.024,19.244,20.884,22.074,23.483,25.047,26.858,29.225,32.041,34.405,36.287,38.392,40.206,41.675,43.262,45.203,47.506,49.876,52.525,55.152,56.829,58.678,60.394,61.773,63.357,65.119,67.949,70.829,73.66,76.511,80.089,84.116,87.747,91.344,95.194,98.427,100,102.941,104.716,105.841,106.888
