"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:49:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1097.1,1122.9
"9","2","Federal","W007RC1",17.8,18.1,19,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,90.2,95.2,99.4,99.2,94.6,94,91.4,96.8,108.6,118
"10","3","  Excise taxes","B234RC1",15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30,30.4,33.4,32.3,33.4,44.9,45,46.5,57.5,55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,68.7,72,74.1,72.6,65.8,64.7,68.3,68.2,76.7,84.5
"11","4","    Gasoline","B2000C1",3.3,3.5,3.7,3.9,4.1,4,4.1,4.3,4.4,4.5,4.4,4.1,4.1,4.1,7.9,8.9,8.9,9.2,9,9.8,9.5,10,15.2,15.5,16,21.3,21.2,22.3,22.1,23.4,23.4,23.4,23.3,23.3,24,24.2,25.8,25.8,22.5,19.6,20.4,19.5,18.3,25
"12","5","    Alcoholic beverages","B2001C1",4.5,4.6,4.7,4.9,5,5.1,5.2,5.1,5.1,5.3,5.3,5.2,5.2,5,5.1,4.7,4.8,5.3,5.4,5.2,5.2,5.2,7,7.2,7.2,6.6,7,7.1,7,7,7.3,7.3,7.3,7.6,7.9,8.1,8.1,8.5,8.6,8.7,8.6,8.8,9,9.4
"13","6","    Tobacco","B2002C1",2.1,2.2,2.2,2.2,2.4,2.3,2.4,2.5,2.4,2.5,2.5,2.5,2.6,2.5,5,4.6,4.5,4.6,4.6,4.4,4.3,4.2,5,5.4,5.7,5.8,5.9,5.8,5.9,5.6,5.6,6.7,7.1,7.4,8,8,8.9,8.8,8.4,8,16.3,17.5,17,16.5
"14","7","    Diesel fuel","B2003C1",0,0,0,0,0,0,0,0.4,0.5,0.5,0.5,0.5,0.6,0.6,1.2,1.9,2.6,2.6,2.7,4.1,3.2,3.3,4.3,4.2,4.1,7.1,6.6,7.8,7.4,7.7,8.3,8.6,8.6,8.9,9,9.2,9.8,9.2,9.3,7.9,7.6,7.4,8.4,9.1
"15","8","    Air transport","B2004C1",0,0,0,0,0,0,0,0.9,1,1.2,1.4,1.5,1.1,1.4,2.1,2.3,2.4,2.6,2.6,3.1,3.2,3.5,4.7,4.8,5,5.5,5.7,2.5,6.5,8.3,8.8,9.9,9.1,10.4,10.5,12.1,12.6,12.2,13.7,13.5,13.6,12.5,13.7,13.8
"16","9","    Crude oil windfall profits tax","B2005C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,24.3,15.7,9.9,8.3,5.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Other \1\","B2006C1",5.5,5.3,5.3,4.5,5,5,4.6,3.7,3.9,4.2,4.2,3.4,3.5,3.1,4,4.5,5.5,5.3,6.1,6.8,7,7.1,8.6,7.9,8.5,11.2,9.4,8.2,9.4,9.1,10.9,10.2,9.2,9.3,9.4,10.4,8.9,8.1,3.5,7.1,1.7,2.4,10.3,10.7
"18","11","  Customs duties","B235RC1",2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9,33.5
"19","12","  Other \2\","B036RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","13","State and local","W072RC1",66,73.3,81.5,89.4,97.4,104.8,113.2,125,136.9,145.6,154.4,166.7,185.7,200,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.3,642.4,675.8,717.8,768.7,835.1,892.7,940,947.9,934.8,960.4,988.5,1004.9
"21","14","  Sales taxes","B248RC1",28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,162.4,172.3,184.3,190.7,204.3,216.4,231.4,242.7,256.2,268.7,283.9,301.6,316.8,321.8,331.1,348.9,371.1,402.5,431.8,448.9,444.8,423.9,446,463.7,474.9
"22","15","    State","A1666C1",25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.9,268,282,300.5,325.6,346.6,359,354.3,335.6,354.7,369.9,379.2
"23","16","      General \3\","L305131",13.3,14.8,16.6,18.9,21.1,23.9,25.8,29.3,33.1,37.5,41.8,44.8,49,51.2,58.2,66.5,72.3,76.8,83,91.2,96.3,103.4,105,112.1,118.2,127.9,135.1,143.8,151.4,159.5,169.1,177.8,179.5,181.9,190,204.6,221.5,235.1,241.1,236.9,219.3,229.8,239.7,247.1
