"","Table 2#2B# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/30/2014 11:19:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Wages and salaries","A576RC1",4982.8,4963.8,4936.6,4934.6,4952.5,5000.7,5010.9,5021.5,5031.9,5102.9,5167.8,5252.5,5282.3,5384.6,5493.1,5531.6,5580.9,5640.7,5738.2,5811.9,5977,6016.1,6061.7,6178.1,6348.8,6372,6394.6,6468.7,6540.5,6532.4,6544.7,6513.7,6231.3,6257,6239.8,6280.8,6239.6,6365.5,6426.4,6478.6,6577.6,6621,6698,6658.2,6842.2,6873.5,6904.7,7086.6,7040.4,7117.6,7162.8,7231.9,7292.8
"10","2","Private industries","A132RC1",4178.2,4148.3,4108,4095.2,4090.9,4130.3,4133.1,4138.8,4127.1,4190.5,4252.2,4332.1,4340.5,4434,4537.4,4569,4598.4,4653,4743.8,4810.4,4958.2,4988,5021,5126,5272.6,5289.6,5302.2,5364.4,5412.9,5394.5,5393.7,5353.7,5064.4,5081,5062.1,5100.8,5052.1,5168.7,5236.1,5288.8,5387,5423,5499.7,5467.2,5642.8,5678,5709.7,5887.2,5844.5,5923.6,5972.2,6032.5,6088.9
"11","3","  Goods-producing industries","N231RC1",1069.8,1054.3,1033,1020.5,1013.2,1017,1009.3,1005.5,996.7,1001.6,1007.1,1036.5,1021.3,1047.3,1074.1,1069.4,1082.9,1090.9,1111.5,1118.3,1170.2,1167.4,1164.2,1182.7,1205.4,1211.1,1205.4,1213.3,1217.4,1210.8,1198.1,1181,1091.2,1056.8,1039.9,1043.9,1023.4,1050.7,1064.3,1074.9,1093.5,1097.8,1113.5,1103.5,1149.2,1153.2,1146.7,1167,1173.8,1187.1,1190.6,1205,1221.6
"12","4","    Manufacturing","N552RC1",740.2,722.5,701.5,689.3,680.6,686.7,678.7,674.3,668.3,668.5,669.6,690.5,674.7,689.6,707.3,702.8,705.6,706.7,713.5,715.6,739.6,735.8,733.7,741.6,753.5,753.8,749.6,749.8,750.2,746.5,739.7,725.9,674.1,659.2,649.4,662.3,649.2,672.8,682.1,692.2,705.5,705.1,711.6,706.3,733.2,735.7,732.3,740.5,742.1,745.9,747.3,755.7,759.9
"13","5","  Services-producing industries","N233RC1",3108.5,3094,3075,3074.8,3077.7,3113.2,3123.7,3133.3,3130.4,3188.9,3245,3295.7,3319.2,3386.7,3463.3,3499.6,3515.4,3562.1,3632.3,3692.1,3788,3820.6,3856.8,3943.3,4067.2,4078.4,4096.8,4151.1,4195.6,4183.7,4195.5,4172.7,3973.2,4024.2,4022.3,4056.9,4028.8,4118,4171.7,4213.9,4293.6,4325.2,4386.2,4363.7,4493.6,4524.8,4563,4720.3,4670.7,4736.4,4781.6,4827.5,4867.3
"14","6","    Trade, transportation, and utilities","N234RC1",853,849.2,844,840.5,842.1,847.5,849.4,848.1,851.5,855.5,864.9,880.7,880.2,899,918.2,922.9,927.8,936.4,949.4,959.2,982.8,988.4,995.3,1009.6,1031.8,1045.3,1040.4,1051.2,1053.3,1047.9,1044.2,1035.7,990.7,983.4,979,985.4,976.4,996.9,1007.7,1014.6,1031.8,1042.2,1054.8,1055.8,1086.8,1083.8,1090,1114.2,1115.2,1123.2,1129.8,1140.3,1146.5
