"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:45:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7,15761.3
"9","2","Plus: Income receipts from the rest of the world","A645RX1",60.3,62.3,64.4,71.6,97.1,113.8,97.7,106.2,114.3,131.9,179.4,191,202,208.8,202.6,234,209.5,201.6,215.6,256.5,287.5,292.1,251.1,220.8,220.2,255.1,310.5,326.8,365.3,371,409.3,475.5,396.2,378.6,417.2,513.3,631.2,768.4,902.6,855.9,643.7,647.1,703.8,705.5,704.4
"10","3","Less: Income payments to the rest of the world","A655RX1",27.1,29.3,27.8,32.1,42.9,51.3,49.7,48.9,50,67.6,91.7,103.6,124.2,127.5,123.9,158.1,156.2,165,180.6,213.4,242.8,235.3,202.7,174.2,173,219.4,269.2,282.5,331.3,345.2,373.1,427.3,331.6,319,336.1,408.9,526.2,692.4,768.8,680,496.5,461.6,475.2,487.3,484.7
"11","4","Equals: Gross national product","A001RX1",4745.2,4754.6,4913.6,5172.2,5475.1,5454.1,5430.4,5729.1,5997.3,6326.9,6547,6530.3,6688,6564.6,6863.2,7352.5,7640.2,7890.9,8161,8509.9,8822.6,9003,8988.6,9305,9559.8,9932.2,10206.2,10595.1,11058.1,11540.7,12108.9,12614.3,12750.2,12970.8,13352.2,13879,14340.8,14690.9,15009.7,15009,14565.1,14966.5,15286.7,15693.1,15985
"12","5","Less: Consumption of fixed capital","A262RX1",480.6,501.5,518.9,538.7,566,590.4,609.4,628.2,652.8,682.5,716.9,749.2,778.3,808.8,836.4,872.6,921.2,968.1,1014.9,1058.9,1103,1144.9,1179,1210.3,1247,1289.7,1341.1,1399.3,1470,1555.7,1653.4,1755.4,1841.9,1905.1,1963.9,2032.6,2111,2194.4,2274.6,2338.4,2368.4,2382.4,2412,2453.9,2502.2
"13","6","  Private","A024RX1",330.7,347.7,363.4,381.9,407.4,429.6,446.1,461.8,482.9,508.5,538,564.6,587.9,611.9,632,658.6,695.1,728.6,762.2,794.2,827.6,859.3,885.1,910.1,941.9,981,1029.3,1083.5,1149.8,1229.5,1319.7,1413.8,1492.5,1547.9,1597.4,1655,1721.4,1792.2,1859,1908.9,1925.7,1928.3,1948.7,1983.9,2026.9
"14","7","  Government","A264RX1",159.2,162.9,164.3,164.9,166.2,168.1,170.5,173.5,176.7,180.3,184.7,189.9,195.7,202.2,210,220,232.5,246.5,260.4,273,284,294.4,302.9,309.3,313.7,316.4,318.6,321.5,324.9,329.6,336.1,343,350.2,357.7,366.8,377.9,389.7,402.2,415.5,429.4,442.7,454,463.2,469.9,475.2
"15","8","    General government","A265RX1",146.4,149.6,150.4,150.5,151.1,152.3,154,156.4,159,162.1,165.8,170.3,175.3,180.9,188,197,208.5,221.4,234.2,245.8,255.8,265.1,272.5,277.7,280.9,282.7,284.1,286.1,288.5,292.2,297.2,302.7,308.7,314.8,322.4,331.7,342.1,353.5,365.5,378.3,390.3,400.2,408.3,414.1,418.6
"16","9","    Government enterprises","A266RX1",12,12.6,13.2,13.8,14.6,15.4,16.1,16.7,17.3,17.8,18.5,19.3,20.1,20.9,21.7,22.6,23.6,24.6,25.6,26.6,27.6,28.6,29.8,31,32.2,33.3,34.2,35.1,36.1,37.2,38.7,40.2,41.5,42.8,44.5,46.2,47.6,48.7,49.9,51.1,52.5,53.8,55,55.8,56.6
"17","10","Equals: Net national product","A027RX1",4309.2,4293,4435.8,4678.7,4957.9,4905.7,4856.8,5143,5390,5694.4,5878.4,5818,5943.6,5773.6,6048.5,6509.8,6746.4,6947,7167.9,7473.4,7741.8,7876.8,7821.7,8108.9,8326.8,8658,8878.9,9209.3,9601.2,9996.7,10466.1,10867.8,10913.5,11069.7,11392.4,11850.7,12234.1,12500,12737.7,12671.6,12196.7,12583.7,12873.9,13238,13481.7
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",4700.5,4694.3,4833.4,5100.2,5395,5364.4,5337.4,5607.4,5875.8,6198.8,6349.3,6344.6,6535.1,6471.2,6683.7,7207.6,7496.2,7720.8,8056.3,8466.2,8677.5,8808.8,8811,9099.7,9300.2,9709.5,10043.6,10475.8,11007.3,11589.6,12111.9,12680.6,12817.6,12992.1,13283.9,13781.3,14272.3,14842.3,14856.1,14733.8,14345.7,14736.7,15104.3,15487,15885.4
"20","12","  Gross national income \2\","A023RX1",4737.7,4731.1,4873.9,5143.7,5451.9,5428.3,5388.1,5667.2,5942.4,6265.3,6436.9,6431.4,6612.3,6551.5,6762,7282.7,7550.6,7759.5,8093.4,8510.7,8723,8866.3,8860.7,9148,9349.1,9747,10086.2,10521.4,11042.5,11617,12149.4,12729.8,12883.5,13053.2,13366.2,13886.2,14377.5,14917.9,14989.1,14909.2,14492.9,14924,15338.7,15709.2,16108.8
"21","13","  Net domestic product","A362RX1",4271.2,4255.4,4394.5,4634.4,4899.8,4840.3,4805.1,5082,5321.9,5626.5,5788.4,5728.9,5864.6,5691.7,5968.4,6433.2,6691.3,6908.2,7130.9,7428.9,7696.1,7818.9,7771.9,8060.5,8277.8,8620.7,8836.5,9163.8,9566.3,9969.9,10429,10819,10848,11008.9,11310.5,11745.9,12129.1,12424.6,12604.9,12496.1,12049.6,12396.6,12639.8,13015.8,13258.2
"22","14","  Net domestic income \3\","W256RX1",4263.6,4231.3,4353.6,4604.8,4875.8,4813.6,4761.3,5017.8,5264.9,5562.4,5673.7,5625.6,5785.7,5678,5863.4,6361.1,6598.9,6772.6,7061.1,7429.8,7593.6,7678.8,7640.9,7900.3,8063.2,8432.1,8714.2,9089,9550.4,10047.1,10469.9,10935.5,10982.1,11091.7,11324.4,11753.1,12165.9,12652.8,12584,12396,11977.3,12354.2,12691.6,13032,13382
"23","15","  Net domestic purchases","W367RX1",4385.3,4352.4,4504.4,4760.7,4989,4887.1,4803,5142.2,5425.9,5729.7,5849.9,5681.2,5824.9,5693.8,6057.9,6630.8,6918.6,7158.7,7367.9,7597.8,7820.3,7906.5,7802.9,8094.8,8364.3,8746.2,8949.7,9292.7,9728.9,10261.9,10831.3,11323,11376.5,11618.9,11977.3,12501.1,12929.8,13234.3,13328.4,13054.1,12441.8,12861.6,13088.4,13447.1,13669.5
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
