"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Durable goods","DDURRG3",30.693,28.896,25.801,22.733,22.181,23.513,23.38,23.515,24.483,24.465,24.169,24.413,26.219,30.694,33.48,37.637,39.81,41.454,45.087,47.395,47.719,47.961,51.175,51.494,51.09,49.97,49.777,50.977,52.852,53.813,54.667,54.461,54.599,54.833,55.043,55.291,54.838,54.718,55.597,57.379,58.996
"12","5","    Nondurable goods","DNDGRG3",11.234,10.651,9.106,7.807,7.767,8.591,8.878,8.91,9.22,8.766,8.627,8.702,9.436,10.984,12.291,13.007,13.578,14.711,16.61,17.627,17.053,17.095,18.561,18.76,18.695,18.739,18.617,18.884,19.438,19.911,19.94,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.11,24.109
"13","6","  Services","DSERRG3",7.24,7.033,6.537,5.906,5.535,5.464,5.584,5.675,5.886,5.891,5.876,5.922,6.131,6.564,6.974,7.294,7.533,7.99,8.573,9.025,9.179,9.415,9.878,10.239,10.637,10.905,11.093,11.359,11.691,11.978,12.301,12.627,12.856,13.101,13.301,13.55,13.804,14.204,14.677,15.312,16.109
"14","7","Gross private domestic investment","B006RG3",13.804,13.214,12.094,10.226,9.37,9.394,9.28,9.387,10.083,9.787,9.722,9.958,10.68,11.822,12.397,12.884,13.234,14.441,17.101,18.491,18.721,19.107,20.809,21.182,21.232,21.381,21.709,22.95,23.713,23.794,24.019,24.158,24.111,24.137,24.071,24.228,24.601,25.104,25.748,26.715,27.995
"15","8","  Fixed investment","B007RG3",10.281,9.862,9.126,8.068,7.885,8.264,8.309,8.405,9.107,9.221,9.179,9.406,10.091,11.078,11.654,12.135,12.518,13.746,16.08,17.426,17.759,18.155,19.7,20.169,20.346,20.498,20.848,22.041,22.795,22.889,23.117,23.261,23.208,23.235,23.178,23.339,23.72,24.218,24.872,25.87,27.156
"16","9","    Nonresidential","B008RG3",13.151,12.538,11.678,10.575,10.315,10.65,10.768,10.78,11.638,11.714,11.61,11.868,12.638,13.986,14.601,15.044,15.433,16.98,19.653,21.295,21.769,22.222,24.298,24.828,25.066,25.299,25.677,27.59,28.937,29.142,29.536,29.712,29.592,29.619,29.626,29.819,30.151,30.615,31.363,32.481,33.85
"17","10","      Structures","B009RG3",3.838,3.633,3.324,2.885,2.915,2.924,3.06,3.055,3.471,3.405,3.368,3.422,3.662,4.086,4.441,4.539,4.74,5.309,6.436,7.16,7.135,7.224,8.056,8.27,8.432,8.33,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.74,10.023,10.384,10.707,11.245,11.985
"18","11","      Equipment","Y033RG3",23.083,22.158,21.002,19.809,19.032,20.105,19.927,19.896,21.035,21.541,21.314,21.885,23.277,25.6,25.734,26.229,26.671,29.197,33.076,35.462,36.873,37.802,41.013,41.84,41.93,42.934,43.353,46.578,49.2,50.159,51.078,51.509,51.229,50.987,50.722,50.694,50.76,50.924,52.089,53.519,55.032
"19","12","      Intellectual property products","Y001RG3",15.76,15.088,14.136,12.845,11.95,12.163,12.36,12.657,13.149,13.087,13.154,13.36,14.124,15.692,17.332,18.827,19.345,20.375,22.372,23.532,23.574,24.126,25.609,25.933,26.386,26.558,27.238,28.257,29.155,29.861,30.347,30.81,31.01,31.161,31.201,31.682,31.905,32.389,32.883,34.032,35.531
"20","13","    Residential","B011RG3",5.143,5.032,4.556,3.714,3.658,4.062,4.005,4.2,4.611,4.758,4.788,4.933,5.389,5.788,6.263,6.87,7.334,7.963,9.538,10.34,10.477,10.736,11.505,11.821,11.906,11.955,12.203,12.514,12.547,12.517,12.553,12.639,12.658,12.678,12.579,12.677,13.033,13.505,13.97,14.709,15.743
"21","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","B020RG3",14.724,13.33,10.489,9.097,9.096,10.548,10.816,11.181,11.924,11.373,11.22,12.169,13.286,16.054,17.561,19.779,19.616,18.96,22.015,23.188,21.806,21.234,23.992,24.138,24.07,23.743,23.946,24.746,25.685,25.425,25.476,25.834,26.227,26.292,26.233,26.449,27.29,28.115,29.192,29.828,30.838
"24","17","    Goods","B253RG3",17.893,16.006,12.286,10.592,11.082,12.964,13.281,13.601,14.415,13.337,13.043,13.988,14.991,18.251,20.122,23.043,22.953,21.783,25.918,27.588,25.559,24.711,28.329,28.204,27.918,27.521,27.781,28.835,29.773,29.448,29.734,29.934,30.503,30.265,30.167,30.372,31.429,32.502,33.864,34.389,35.457
"25","18","    Services","B646RG3",7.299,7.3,6.798,6.102,4.627,5.046,5.207,5.715,6.327,7.188,7.441,8.575,10.281,12.084,12.924,13.92,13.597,14.14,14.369,14.214,14.527,14.67,15.441,16.323,16.81,16.628,16.705,16.924,17.986,17.864,17.445,18.056,18.118,18.743,18.755,18.994,19.425,19.784,20.333,21.144,22.024
"26","19","  Imports","B021RG3",10.529,8.978,7.256,5.816,5.574,6.333,6.437,6.888,7.687,7.103,7.456,7.953,8.399,9.621,10.356,10.878,11.184,12.469,14.938,16.235,15.473,16.436,19.865,19.145,18.323,18.573,18.474,18.799,19.013,18.224,18.389,18.564,18.564,18.345,18.701,19.096,19.361,19.812,19.889,20.191,20.717
"27","20","    Goods","B255RG3",10.85,8.952,7.001,5.487,5.491,6.269,6.371,6.839,7.642,6.849,6.974,7.444,7.984,9.248,10.028,10.71,10.971,12.36,15.177,16.76,15.866,17.162,21.546,20.484,19.606,20.027,19.973,20.365,20.546,19.473,19.615,19.824,19.635,19.166,19.342,19.864,19.962,20.412,20.441,20.716,21.3
"28","21","    Services","B656RG3",8.864,8.487,7.535,6.386,5.405,6.031,6.137,6.473,7.187,7.418,8.602,9.153,9.151,10.229,10.906,11.227,11.588,12.658,14.141,14.641,14.235,14.264,15.105,15.138,14.486,14.446,14.291,14.484,14.723,14.418,14.598,14.704,14.987,15.183,15.807,15.941,16.497,16.911,17.075,17.408,17.763
"29","22","Government consumption expenditures and gross investment","B822RG3",5.81,5.636,5.359,4.867,4.997,5.377,5.425,5.616,5.733,5.759,5.668,5.618,5.972,6.043,6.034,5.957,6.021,7.625,8.301,8.614,8.841,8.912,9.447,9.645,9.757,9.966,10.355,10.912,11.387,11.732,11.883,12.022,12.244,12.479,12.782,13.115,13.47,14.006,14.486,15.264,16.157
"30","23","  Federal","B823RG3",7.25,6.932,6.895,6.557,6.576,7.014,7.059,7.681,7.791,7.899,7.764,7.512,7.939,7.883,7.812,7.678,7.741,10.12,10.852,10.776,11.175,11.271,11.7,11.835,11.934,12.222,12.812,13.436,14.027,14.576,14.707,14.814,15.004,15.224,15.606,16.086,16.482,17.039,17.418,18.291,19.221
"31","24","    National defense","B824RG3",7.139,6.928,6.85,6.679,6.635,6.924,7.156,7.303,7.476,7.499,7.495,7.251,7.705,7.533,7.443,7.301,7.355,9.772,10.66,10.631,10.928,11.118,11.438,11.505,11.554,11.856,12.457,13.141,13.719,14.236,14.338,14.442,14.58,14.768,15.162,15.587,15.992,16.554,16.948,17.793,18.687
"32","25","    Nondefense","B825RG3",7.041,6.614,6.623,6.132,6.198,6.684,6.651,7.419,7.5,7.634,7.459,7.21,7.518,8.436,8.779,9.109,9.435,10.709,10.662,10.406,11.08,10.878,11.76,12.398,12.882,13.025,13.455,13.592,14.187,14.889,15.233,15.347,15.801,16.161,16.459,17.133,17.479,17.99,18.292,19.228,20.251
"33","26","  State and local","B829RG3",3.968,3.862,3.632,3.259,3.372,3.643,3.68,3.698,3.793,3.786,3.729,3.762,4.009,4.413,4.705,4.886,5.063,5.55,6.246,6.989,7.056,7.106,7.807,8.149,8.311,8.436,8.61,9.154,9.545,9.691,9.877,10.062,10.333,10.602,10.847,11.058,11.392,11.937,12.543,13.276,14.18
