"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/7/2013 3:08:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Undistributed corporate profits","B057RC0",17045,12601,17018,14251,13323,13976,13887,18922,19352,18029,14500,19657,17705,17113,20082,21809,25097,31840,35833,33195,34743,32436
"9","2","Domestic industries","A3402C0",16620,12308,16733,13669,12534,13313,13347,18147,18344,16823,13711,18801,16524,16192,18981,20402,23831,30465,34147,31600,32475,29677
"10","3","  Agriculture, forestry, and fishing","A3403C0",44,22,35,4,-25,-40,-1,-26,-22,-25,-15,-15,-18,-14,27,-107,-5,56,87,2,56,56
"11","4","    Farms","B3404C0",45,28,39,4,-26,-42,0,-29,-25,-30,-40,-61,-66,-69,-41,-147,-35,18,41,-18,26,4
"12","5","    Agricultural services, forestry, and fishing","B3405C0",-1,-6,-4,0,1,2,-1,3,3,5,25,46,48,55,68,40,30,38,46,20,30,53
"13","6","  Mining","A3406C0",932,619,812,742,546,457,428,607,639,670,382,158,186,240,81,191,408,308,133,10,-58,-169
"14","7","    Metal mining","B3407C0",113,35,94,77,37,67,50,52,44,28,46,-110,-36,21,-22,60,103,46,86,-146,-73,-91
"15","8","    Coal mining","B3408C0",243,58,110,91,49,28,6,55,118,105,51,27,38,58,38,71,106,97,92,92,111,85
"16","9","    Oil and gas extraction","B3409C0",515,467,543,501,394,294,288,396,377,460,242,191,90,97,16,-74,24,46,-177,-97,-214,-299
"17","10","    Nonmetallic minerals, except fuels","B3410C0",61,58,65,73,66,68,83,104,100,77,43,50,94,64,49,133,174,119,132,161,119,137
"18","11","  Construction","B3411C0",369,336,288,244,280,227,252,195,364,389,379,309,114,204,402,443,652,833,941,1029,1056,859
"19","12","  Manufacturing","A3412C0",9263,6317,9463,7609,6650,7526,7709,10794,10731,9748,7242,10627,9092,8209,9754,11067,12678,16309,18446,16843,17079,15089
"20","13","    Durable goods","A3413C0",4373,3111,4830,3935,3510,3903,3672,5660,5426,5078,3148,5194,4008,3313,5089,5913,7070,9947,10694,9393,9661,8130
"21","14","      Lumber and wood products","B3414C0",284,132,321,238,170,151,168,274,198,102,170,281,147,159,244,348,428,527,428,401,743,754
