"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:40:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7,15761.3
"9","2","Personal consumption expenditures","DPCERX1",2836.3,2903.1,3013.9,3198.7,3357.3,3329.6,3405.2,3595.1,3746.6,3911.3,4004.2,3991.6,4050.8,4108.4,4342.6,4571.6,4812,5014.1,5183.7,5400.5,5558.2,5672.7,5685.7,5896.6,6101.5,6338.1,6527.7,6755.7,7010,7384.8,7788.1,8182.1,8387.5,8600.4,8866.2,9205.6,9527.8,9814.9,10035.5,9999.2,9842.9,10035.9,10291.3,10517.6,10727.9
"10","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2460.9,2588.3,2666.6,2770.2,2904.5,3051.9,3177.2,3292.5,3381.8,3297.8,3198.4,3308.7,3419.9,3534.1,3659.4
"11","4","    Durable goods","DDURRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,698.3,758.3,798,856.6,917.6,992.9,1046.9,1091.5,1141.7,1083.2,1023.3,1085.7,1157.1,1246.7,1333.3
"12","5","    Nondurable goods","DNDGRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806,1863.6,1896,1931.1,1998.5,2063.7,2132.3,2202.2,2239.3,2214.7,2175.1,2223.5,2266,2296.8,2342
"13","6","  Services","DSERRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5344.8,5611.6,5736.3,5840,5965.6,6154.1,6349.4,6519.8,6650.4,6700.6,6644.5,6727.2,6871.1,6982.7,7067.7
"14","7","Gross private domestic investment","A006RX1",623.1,585.2,645.5,718.2,796.8,744,623.5,742.5,848.4,946.6,979.8,881.2,958.7,833.7,911.5,1160.3,1159.5,1161.3,1194.4,1223.8,1273.4,1240.6,1158.8,1243.7,1343.1,1502.3,1550.8,1686.7,1879,2058.3,2231.4,2375.5,2231.4,2218.2,2308.7,2511.3,2672.6,2730,2644.1,2396,1878.1,2120.4,2224.6,2436,2566.4
"15","8","  Fixed investment","A007RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2165.9,2316.2,2280,2201.1,2289.5,2443.9,2611,2662.5,2609.6,2432.6,2025.7,2056.2,2184.6,2365.3,2470.9
"16","9","    Nonresidential","A008RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1510.1,1647.7,1608.4,1498,1526.1,1605.4,1717.4,1839.6,1948.4,1934.4,1633.4,1673.8,1800.5,1931.8,1984.4
"17","10","      Structures","B009RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.9,533.5,525.4,432.5,415.8,414.1,421.2,451.5,509,540.2,438.2,366.3,374.1,421.6,426.9
"18","11","      Equipment","Y033RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662.4,726.9,695.7,658,679,731.2,801.6,870.8,898.3,836.1,644.3,746.7,841.7,905.9,934.4
"19","12","      Intellectual property products","Y001RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.1,426.1,428,425.9,442.2,464.9,495,517.5,542.4,558.8,550.9,561.3,586.1,605.8,624.8
"20","13","    Residential","A011RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,633.8,637.9,643.7,682.7,744.5,818.9,872.6,806.6,654.8,497.7,392.2,382.4,384.3,433.7,486.6
"21","14","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,33.6,57.6,81.5
"22","15","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-382.3,-482.7,-504.2,-584.9,-641.6,-731.9,-777.1,-786.2,-703.6,-546.9,-392.2,-462.6,-445.9,-430.8,-412.3
"23","16","  Exports","A020RX1",168.4,186.5,189.6,203.9,242.3,261.5,259.8,271.1,277.7,306.9,337.4,373.7,378.3,349.4,340.4,368.2,380.5,409.7,454.4,528,589.1,641.1,683.6,730.9,754.8,821.5,905.9,980,1096.8,1122.4,1174.1,1272.4,1200.5,1178.1,1197.2,1309.3,1388.4,1512.4,1647.3,1741.8,1583.8,1765.6,1890.5,1957.4,2010
"24","17","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,819,902,846.5,817.1,832.4,902.8,969.2,1060.5,1140.4,1210.4,1064.7,1217.2,1303.9,1353.2,1385
"25","18","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.4,368.2,352.3,360.5,364.1,406.3,418.4,450.8,506.2,530.5,519.1,548.1,586.3,603.7,624.8
"26","19","  Imports","A021RX1",243.7,254.1,267.7,297.8,311.6,304.6,270.7,323.6,359,390.1,396.6,370.3,380,375.2,422.6,525.4,559.5,607.3,643.3,668.6,698,723,721.9,772.5,839.3,939.5,1014.6,1102.9,1251.4,1397.7,1556.4,1755.1,1704.7,1763,1838.8,2041.2,2165.5,2298.6,2350.9,2288.7,1976,2228.1,2336.4,2388.2,2422.3
"27","20","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1286.1,1454.4,1407.3,1459.9,1531.3,1701.4,1814.7,1922.2,1957.5,1885.1,1587.3,1828,1923.4,1964.3,1988.3
"28","21","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.7,297.2,294.7,300,303.8,335.7,346.1,371.6,389,401.1,388.7,399.4,411.8,422.8,433.5
"29","22","Government consumption expenditures and gross investment","A822RX1",1488,1457.7,1431,1424.2,1419.6,1451.8,1483.8,1491.6,1509.2,1553.7,1582.6,1612.5,1628,1658,1721.6,1783.2,1904,2007.7,2066.9,2094.8,2155.1,2224.3,2250.9,2262.1,2243.3,2245.5,2257.5,2279.2,2322,2370.5,2451.7,2498.2,2592.4,2705.8,2764.3,2808.2,2826.2,2869.3,2914.4,2994.8,3089.1,3091.4,2992.3,2963.1,2896.9
"30","23","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.3,817.7,849.8,910.8,973,1017.1,1034.8,1060.9,1078.7,1152.3,1217.7,1270.7,1237.9,1220.3,1157.4
"31","24","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.9,512.3,530,567.3,615.4,652.7,665.5,678.8,695.6,748.1,788.3,813.5,794.6,769.1,715
"32","25","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.5,305.4,319.7,343.3,357.5,364.5,369.4,382.1,383.1,404.2,429.4,457.1,443.3,451.2,442.5
"33","26","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1643.6,1689.1,1751.5,1802.4,1795.3,1792.8,1792.3,1808.8,1836.1,1842.4,1871.4,1820.8,1754.5,1742.8,1739.2
"34","27","Residual","A960RX1",-164.2,-160.7,-139.3,-118.4,-86.2,-92.1,-122.1,-107.4,-92.3,-68,-48.2,-45.3,-25.2,-90,-108.8,-80.7,-110.8,-133.4,-132.2,-113.1,-100.8,-110.3,-118.2,-104.1,-92.6,-73.2,-63.6,-49.2,-33.5,-24.9,-114,-84.3,-90.5,-70.3,-45.4,-19.2,-1.7,-3.5,-9.5,-13.4,0.1,-1.2,-9,-13,-20.6
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
