"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/31/2013 10:30:27 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Gross domestic product","A191RX1",1932.6,1930.4,1928.4,1958.8,1987.6,2019.9,2031.2,2033.3,2005.6,1998.8,2020.8,2002.7,2082.5,2145.5,2228.2,2271.2,2302.3,2342.3,2390.5,2395.8,2421.1,2426.2,2443.7,2523.9,2570.9,2591,2576.4,2537.3,2525.6,2528.3,2556.9,2606.8,2681.2,2724.8,2761.5,2778.1,2767.4,2790.2,2787.9,2833.5,2851.8,2845.5,2873.2,2843.7,2770,2788.3,2852.7,2919.5,2973.8,3046.1,3040.2,3052.2,3120.2,3108.4,3116.1,3078.4,3099.3,3156.9,3209.6,3274.6,3333.6,3369.5,3401.6,3414.8,3452.8,3497.8,3566.1,3591.5,3669.2,3712.9,3763.3,3776.6,3869.8,3922.7,4002.4,4096.7,4197.9,4215.1,4245.2,4281.6,4320.9,4324.7,4362,4397.1,4486.4,4562.2,4595,4615.4,4687.1,4702.1
"10","2","       Final sales of domestic product","A190RX1",1947.9,1960.9,1976,1978.4,1985.2,1995.9,1999.9,2015.8,2023.8,2049.9,2049,2056.8,2089.7,2145.7,2221.8,2202.7,2269.4,2282.5,2358.9,2394.3,2415.4,2456,2434.4,2514.5,2568.4,2589.3,2584,2570.4,2555.8,2565.4,2591.2,2633.2,2683.5,2718.3,2758,2765.4,2761,2792.5,2794.7,2843,2868.5,2858.6,2880.6,2879.8,2809.3,2825.3,2866.3,2922.3,2977.8,3027,3060.3,3050.8,3084.8,3115.6,3114.2,3129.9,3135.6,3169.7,3196.6,3268.8,3309.5,3364.3,3391.6,3419.5,3436.3,3495.8,3560.4,3595.4,3671.2,3716.3,3762.4,3775.1,3836.3,3905.4,3979.2,4084.7,4154.7,4176.6,4213.2,4227.3,4272.7,4319.1,4344.1,4384.1,4474.7,4520.5,4585.8,4615.1,4662.6,4686.6
"11","3","       Change in private inventories","A014RX1",5.5,-3.8,-14.9,-2.5,12.4,23.7,27.7,21.4,-2.2,-19.3,-4.2,-19.3,8.1,11.8,15.5,49.6,30.8,44.8,29.5,12.7,15.9,-3.9,17.6,17.7,14.3,14,8.5,-7.3,-6.5,-10.4,-8.3,-3.1,12.4,18.3,16.7,23,19.4,13.5,10.4,9.2,5,7.2,10.5,-9.8,-12.3,-10.7,5.4,14.2,11.5,29.2,3.5,17.1,42.8,12.2,17.3,-20.1,-9.2,7.9,26.2,21.8,34.4,21.6,25.4,15.1,29.6,19.5,23.2,16.9,18.1,17.3,20.8,19.9,45.5,32.8,36.9,29.7,52,50,44.5,61.2,57.3,25.2,33.9,33,30.1,52.8,28.8,23.9,40.1,33.5
