"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of chained (2009) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:46:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RX1",4707.9,4717.7,4873,5128.8,5418.2,5390.2,5379.5,5669.3,5930.6,6260.4,6459.2,6443.4,6610.6,6484.3,6784.7,7277.2,7585.7,7852.1,8123.9,8465.4,8777,8945.4,8938.9,9256.7,9510.8,9894.7,10163.7,10549.5,11022.9,11513.4,12071.4,12565.2,12684.4,12909.7,13270,13774,14235.6,14615.2,14876.8,14833.6,14417.9,14779.4,15052.4,15470.7,15761.3
"10","2","    Gross domestic income","A261RX1",4700.5,4694.3,4833.4,5100.2,5395,5364.4,5337.4,5607.4,5875.8,6198.8,6349.3,6344.6,6535.1,6471.2,6683.7,7207.6,7496.2,7720.8,8056.3,8466.2,8677.5,8808.8,8811,9099.7,9300.2,9709.5,10043.6,10475.8,11007.3,11589.6,12111.9,12680.6,12817.6,12992.1,13283.9,13781.3,14272.3,14842.3,14856.1,14733.8,14345.7,14736.7,15104.3,15487,15885.4
"11","3","    Net domestic product \1\","A362RX1",4271.2,4255.4,4394.5,4634.4,4899.8,4840.3,4805.1,5082,5321.9,5626.5,5788.4,5728.9,5864.6,5691.7,5968.4,6433.2,6691.3,6908.2,7130.9,7428.9,7696.1,7818.9,7771.9,8060.5,8277.8,8620.7,8836.5,9163.8,9566.3,9969.9,10429,10819,10848,11008.9,11310.5,11745.9,12129.1,12424.6,12604.9,12496.1,12049.6,12396.6,12639.8,13015.8,13258.2
"12","4","    Net domestic income \1\","W256RX1",4263.6,4231.3,4353.6,4604.8,4875.8,4813.6,4761.3,5017.8,5264.9,5562.4,5673.7,5625.6,5785.7,5678,5863.4,6361.1,6598.9,6772.6,7061.1,7429.8,7593.6,7678.8,7640.9,7900.3,8063.2,8432.1,8714.2,9089,9550.4,10047.1,10469.9,10935.5,10982.1,11091.7,11324.4,11753.1,12165.9,12652.8,12584,12396,11977.3,12354.2,12691.6,13032,13382
"13",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","5","    Gross national product","A001RX1",4745.2,4754.6,4913.6,5172.2,5475.1,5454.1,5430.4,5729.1,5997.3,6326.9,6547,6530.3,6688,6564.6,6863.2,7352.5,7640.2,7890.9,8161,8509.9,8822.6,9003,8988.6,9305,9559.8,9932.2,10206.2,10595.1,11058.1,11540.7,12108.9,12614.3,12750.2,12970.8,13352.2,13879,14340.8,14690.9,15009.7,15009,14565.1,14966.5,15286.7,15693.1,15985
"15","6","    Gross national income","A023RX1",4737.7,4731.1,4873.9,5143.7,5451.9,5428.3,5388.1,5667.2,5942.4,6265.3,6436.9,6431.4,6612.3,6551.5,6762,7282.7,7550.6,7759.5,8093.4,8510.7,8723,8866.3,8860.7,9148,9349.1,9747,10086.2,10521.4,11042.5,11617,12149.4,12729.8,12883.5,13053.2,13366.2,13886.2,14377.5,14917.9,14989.1,14909.2,14492.9,14924,15338.7,15709.2,16108.8
"16","7","    Net national product \1\","A027RX1",4309.2,4293,4435.8,4678.7,4957.9,4905.7,4856.8,5143,5390,5694.4,5878.4,5818,5943.6,5773.6,6048.5,6509.8,6746.4,6947,7167.9,7473.4,7741.8,7876.8,7821.7,8108.9,8326.8,8658,8878.9,9209.3,9601.2,9996.7,10466.1,10867.8,10913.5,11069.7,11392.4,11850.7,12234.1,12500,12737.7,12671.6,12196.7,12583.7,12873.9,13238,13481.7
"17",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","8","    Gross domestic purchases","A712RX1",4821.8,4815.8,4983.8,5255.5,5509.2,5440.7,5383.2,5732.9,6036.5,6365.8,6524.9,6404,6578.9,6492.1,6876.7,7473.9,7811.3,8100.4,8359.4,8635,8903.3,9036.2,8974.2,9295.4,9600.9,10023.3,10280.3,10681.8,11188.7,11807.2,12474.6,13069.5,13213.5,13520.1,13937.1,14529.1,15036.2,15424.8,15600.8,15392,14810.1,15244.5,15501.1,15902.3,16172.7
"19","9","    Final sales to domestic purchasers \2\","A713RX1",4807.6,4835.6,4977.5,5247.9,5477.8,5423.2,5432.9,5709.5,6000.7,6324.4,6509.1,6445,6548.2,6547,6915.3,7385.7,7800,8113.4,8340.7,8628.1,8882.9,9034.2,8994.7,9291.6,9591.3,9956.2,10257.4,10657.9,11110.4,11734.4,12404.5,13005.7,13262.4,13501.3,13916.1,14458.7,14971.7,15354.2,15564.2,15427.8,14957.7,15183.2,15463.4,15835.2,16081.6
"20",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10","    Command-basis gross domestic product","C191RX1",4822.4,4827.5,4980,5234.9,5518.2,5432.5,5427.9,5720.7,5963.8,6291.1,6462.5,6366.5,6541.3,6448.1,6775.4,7282.8,7605.8,7867.3,8119.1,8459.6,8769.6,8919.6,8933.5,9246.8,9511.1,9898.8,10161.8,10557,11057.6,11599.4,12146.1,12603.6,12769.8,13016.1,13355.9,13836.5,14257.4,14620.8,14871.4,14684.6,14417.9,14733.1,14953,15383.2,15722.5
"22","11","    Command-basis net domestic product \1\","C362RX1",4385.9,4364.6,4500.6,4739.6,4998.4,4878.8,4849.7,5129.8,5350.4,5652,5785.1,5642.5,5786.1,5648.5,5953.1,6433.4,6706.7,6918.4,7119.8,7416.7,7682.5,7786.7,7760.9,8044.9,8272.5,8619,8828.6,9165.5,9595.9,10051.5,10499.2,10852.6,10929.2,11111.9,11394,11806.5,12147.9,12426.3,12596.1,12345.7,12049.6,12351.7,12542.5,12929.9,13220.1
"23","12","    Command-basis gross national product","CB22RX1",4851.3,4856.1,5012.4,5269.9,5567,5486.9,5469.7,5772,6021.8,6348.7,6540.9,6442.5,6608.4,6518.5,6844.4,7348.2,7650.2,7896.4,8148.2,8496.1,8808,8971.3,8979.2,9290.8,9555.3,9931.1,10199.9,10598.4,11088.5,11622.7,12180.2,12648.9,12832.1,13073.7,13434.9,13938.1,14359.2,14693,15001.3,14857.2,14565.1,14936,15204.1,15622.7,15963.8
"24","13","    Command-basis net national product \1\","C027RX1",4415.9,4394.3,4534.1,4775.8,5048.9,4935.2,4893.2,5183.2,5410.8,5712,5866.8,5721.7,5856,5721.9,6024.8,6501.2,6752.5,6948.4,7149.9,7454.3,7721.9,7839.7,7807.7,8089.7,8317.5,8651.9,8867.4,9207.5,9627.3,10075.1,10533.6,10898.3,10992,11169.9,11473.2,11908.3,12250.1,12498.9,12726.5,12518.5,12196.7,12554,12792.5,13168.5,13460.8
"25",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","14","    Disposable personal income","A067RX1",3264.4,3413.4,3570.4,3741.3,3968.6,3923.7,4020.2,4144,4274.8,4470.5,4557.8,4590.6,4705.7,4803.4,4971,5314,5476.3,5687.9,5811.1,6083.9,6268.8,6393.6,6438.5,6714.3,6823.6,7010.8,7245.9,7476.2,7751.4,8208.3,8477.8,8902.5,9149.3,9431.7,9691,10036.7,10190.5,10596.4,10821.8,10988.4,10937.2,11060.8,11324.6,11551.6,11637.4
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
