"","Table 7#19# Comparison of Income and Outlays of Nonprofit Instit","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 26, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 12:07:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,"2011","2012"
"8","1","Revenue of nonprofit institutions, IRS \1\","W430RC1",682.1,728.1,764.5,849.1,917.8,987.3,997.1,1079,1149.8,1155.4,1214.4,1393.3,1495.6,1614.9,1778.5,1864.2,1732,1840.3,2027.8,".....","....."
"9","2","Less: Nonprofit revenue recorded by the IRS not included in nonprofit institution income and receipts from sales","W431RC1",249.1,262.7,273.5,323.2,349,385.5,360.5,393.6,406.2,341.6,343.4,473.8,520.3,563.4,621.3,711.9,555.9,572.6,645.2,".....","....."
"10","3","  Capital gains or losses","W432RC1",18.6,22.1,20.3,36.8,52,72.8,60.7,83.9,56.1,-0.8,-13.1,39.3,61.9,83.5,101.9,95.8,-55.1,-3.3,54.3,".....","....."
"11","4","  Adjustment for different accounting periods","W433RC1",8.1,4.6,4.8,1.6,8,2,7.7,12.2,13.1,8,4.2,15.3,17.1,23,14.8,28.6,9.9,13.8,14.7,".....","....."
"12","5","  Nonresident institutions","W434RC1",10.5,9.9,12.2,11.9,11.2,11.4,9.9,10.8,11.6,10.9,8.4,11.6,11.4,9.4,14.4,16.8,21,21.3,20.6,".....","....."
"13","6","  Government hospitals and schools \2\","W435RC1",50.5,55.4,62.7,67.6,64.2,63.5,66.2,59.2,76.1,78.7,87.2,112.9,125.8,132.1,142.4,155.7,160.2,131,69.4,".....","....."
"14","7","  Other out-of-scope activity \3\","W436RC1",135.9,143.8,147.2,177.4,181.2,201.4,173.8,180.1,194.3,185.6,196.3,232.1,240.2,246.6,269.2,324.8,327.4,326.1,396.6,".....","....."
"15","8","  Transfer receipts from nonprofit institutions \4\","W426RC1",25.4,26.9,26.3,28,32.5,34.4,42.2,47.5,55.1,59.3,60.3,62.6,63.9,68.8,78.5,90.3,92.4,83.7,89.7,"92.4","97.0"
"16","9","Plus: Nonprofit institution income not recorded by the IRS","W438RC1",29.2,30.2,33.8,34.7,36.6,36.4,40.7,42,47,51.5,51.6,50.6,54.1,56.5,58.3,63.4,63.6,63.1,58.4,".....","....."
"17","10","  Religious organizations \5\","W439RC1",27.6,29,32.7,33.5,35.1,35,38.7,40,45,48.8,49.7,49.4,54,56.7,59.2,63.5,62.6,61.6,56.4,".....","....."
"18","11","  Other organizations","W440RC1",1.5,1.5,1.6,1.7,1.8,1.9,1.9,1.9,1.8,1.7,1.7,2.3,2.1,2.2,2.4,2.7,3.2,3.5,3.8,".....","....."
