"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2014 11:46:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Sources of private enterprise income","W259RC1",324.3,338.4,375.2,423.6,496.2,543.6,601.2,656.5,734.9,856.1,975.3,1080.9,1310,1413.9,1524.1,1737.5,1868,1915.9,2060.7,2305.9,2551.3,2591.8,2532.6,2500.3,2572.3,2832.8,3174.9,3400.1,3694.8,3867.5,4086.8,4512.7,4498.2,4356.5,4470.9,4985.8,5768.7,6707.7,7018.9,6498,5787.9,6065.6,6380.3,6536.7
"9","2","Net operating surplus","W260RC1",228.1,223.2,248.3,280.6,319.5,326,361.5,408.1,460.1,528.9,566.8,580.8,674.8,687.3,769.7,922.8,981.6,985.2,1056.6,1169.8,1235.4,1255.2,1262.3,1331.4,1421.6,1577.7,1705.3,1879,2041.9,2137.3,2235.2,2333.4,2404.9,2510.3,2661.5,2887.3,3182.1,3492.3,3323.5,3199.8,3234.5,3579.9,3834.9,4060.9
"10","3","Income receipts on assets","W261RC1",96.3,115.2,126.9,142.9,176.7,217.6,239.7,248.4,274.8,327.2,408.5,500.2,635.2,726.6,754.4,814.7,886.4,930.7,1004.1,1136.1,1315.9,1336.6,1270.3,1168.9,1150.7,1255.1,1469.7,1521.1,1652.9,1730.2,1851.6,2179.2,2093.3,1846.2,1809.3,2098.5,2586.6,3215.4,3695.4,3298.3,2553.4,2485.7,2545.4,2475.8
"11","4","  Interest","W262RC1",88.2,106.5,117.1,131.2,159.1,197.2,221.8,227.5,251,298.2,366,456.3,597.2,689.9,713.3,768.6,839.6,882,945.2,1064.5,1240.4,1255.7,1194.8,1090.6,1061.8,1150.6,1342.3,1381.8,1497.4,1583.4,1674.3,1976.2,1910,1640.9,1559.3,1770.3,2202.9,2781.6,3185,2716.3,2059.7,1901.1,1891.6,1809.9
"12","5","  Dividend receipts from the rest of the world","B3375C1",4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80,83.2,92.5,86.2,87.2,92.7,101,135.6,363.3,186,249,316.4,230.9,248,292.6,297.9
"13","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1",3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.8,116.9,96.1,112.6,149,192.5,20.4,247.8,261.4,265.6,262.8,336.6,361.1,368.1
"14","7","    Uses of private enterprise income","W263RC1",324.3,338.4,375.2,423.6,496.2,543.6,601.2,656.5,734.9,856.1,975.3,1080.9,1310,1413.9,1524.1,1737.5,1868,1915.9,2060.7,2305.9,2551.3,2591.8,2532.6,2500.3,2572.3,2832.8,3174.9,3400.1,3694.8,3867.5,4086.8,4512.7,4498.2,4356.5,4470.9,4985.8,5768.7,6707.7,7018.9,6498,5787.9,6065.6,6380.3,6536.7
"15","8","Income payments on assets","W264RC1",123.7,149.3,164.5,183.7,221.3,275.5,312.6,321.5,360.3,424.3,517.5,652.1,840.5,967.4,1008.9,1114.3,1208.9,1277.2,1354.8,1507.3,1732.5,1749.6,1644.4,1518.6,1486.8,1593.2,1813.3,1867.1,2039.1,2185.3,2305.2,2700.7,2600.7,2280.3,2200.2,2403.6,2979.6,3717.4,4222.8,3808,2961.4,2761.1,2733.5,2654.2
"16","9","  Interest and miscellaneous payments \1\","W265RC1",122.3,147.7,162.6,181.4,218.6,272.6,309.3,317.1,355.6,418.2,509.6,643.7,832.1,963.3,1002.8,1104.8,1200.2,1267.9,1343.8,1492.7,1724.1,1744.8,1645.4,1513.3,1474.8,1566.6,1778.9,1829.7,1991.1,2141.3,2249.9,2643.8,2587.8,2233.8,2116.7,2280.5,2835,3539.8,4065.7,3632.7,2820.5,2571.7,2516.3,2407.2
"17","10","  Dividend payments to the rest of the world","B3376C1",1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,108.6,135.9,119,126.6,136.2,141.1
"18","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1",0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,48.5,39.4,21.9,62.8,81,105.9
"19","12","Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,116.4,127.2,128.5,129.6,106.9
"20","13","  To persons (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,46.7,41.4
"21","14","  To government (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,72.6,90.7,87.2,90.1,70.6
