"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 14, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/12/2014 3:57:01 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","A822RC1",118.9,121,129.8,140.9,147.9,155.5,164.9,186.4,208.1,226.8,240.4
"9","2","General public service","W575RC1",5.3,5.8,6.2,6.7,7.1,7.7,8.6,9.1,9.7,11.1,13.7
"10","3","  Executive and legislative","W576RC1",2.5,2.8,2.9,3.1,3.3,3.4,3.8,3.9,3.6,2.6,3.3
"11","4","  Tax collection and financial management","W577RC1",1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.3,3.8,4.8
"12","5","  Other","W578RC1",1.5,1.6,1.9,2,2.3,2.6,3,3.3,3.8,4.7,5.5
"13","6","National defense","A824RC1",60.9,60.9,64.5,69.7,70,69.7,70.6,82.5,95,101.4,102.1
"14","7","Public order and safety","W579RC1",4.7,5.1,5.5,5.7,6.1,6.5,7,7.7,8.4,9.8,11
"15","8","  Police","W580RC1",2.2,2.4,2.5,2.7,2.9,3.1,3.3,3.7,4,4.9,5.4
"16","9","  Fire","W581RC1",1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.3
"17","10","  Law courts","W582RC1",0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.3,1.4,1.6
"18","11","  Prisons","W583RC1",0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6
"19","12","Economic affairs","W584RC1",21.1,20.1,21.4,24.4,27.6,30.8,33.8,36,37.9,41,43.4
"20","13","  Transportation","W589RC1",12.3,12.4,13.3,14.1,15.4,15.8,16.9,18.7,19.8,21.6,22.8
"21","14","    Highways","W590RC1",10.8,10.7,11.4,12.2,13.3,13.7,14.7,16.1,16.9,18.3,19.1
"22","15","    Air","W591RC1",0.6,0.8,0.9,0.9,0.9,0.9,0.9,1,1.2,1.3,1.5
"23","16","    Water","W592RC1",0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.3
"24","17","    Transit and railroad","W593RC1",0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.5,0.6,0.7,0.8
"25","18","  Space","W595RC1",0.4,0.9,1.5,2.7,5.2,7.1,8.5,9.3,8.1,7.7,7.1
"26","19","  Other economic affairs","W596RC1",8.4,6.9,6.7,7.6,7.1,8,8.3,8,9.9,11.7,13.5
"27","20","    General economic and labor affairs","W585RC1",1.1,1.3,1.4,1.5,1.7,1.9,2.1,2.5,3,3.3,3.4
"28","21","    Agriculture","W586RC1",4,2.1,1.4,2.1,1.4,1.5,1.3,0.3,0.9,2.3,3.3
"29","22","    Energy","W587RC1",1.4,1.6,1.8,1.8,1.8,2.1,2.1,2,2.6,3,3.5
"30","23","    Natural resources","W588RC1",1.7,1.6,1.8,1.9,1.9,2,2.4,2.7,3,2.8,3
"31","24","    Postal service","W594RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3
"32","25","    Other","W684RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"33","26","Housing and community services","W597RC1",2.8,2.8,3.1,3.6,3.4,3.9,4.1,4.3,4.6,5.3,5.2
"34","27","Health","W598RC1",4.6,4.9,5.3,5.5,5.9,6.4,6.6,7.3,8.3,9.6,10.8
"35","28","Recreation and culture","W599RC1",0.9,1,1.1,1.2,1.3,1.3,1.4,1.5,1.7,2,2.3
"36","29","Education","W600RC1",17.5,19.3,21.2,22.5,24.8,27.4,30.6,35.4,39.5,43.6,48.4
"37","30","  Elementary and secondary","W601RC1",14.5,16,17.5,18.5,20.1,22.2,24.5,27.8,30.6,33.6,37.1
"38","31","  Higher","W602RC1",2.3,2.5,2.8,3,3.6,4,4.5,5.6,6.7,7.6,8.6
"39","32","  Libraries and other","W682RC1",0.8,0.8,0.9,1,1.1,1.3,1.6,2,2.2,2.4,2.7
"40","33","    Libraries","W603RC1",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7
"41","34","    Other","W604RC1",0.5,0.5,0.5,0.6,0.7,0.8,1.1,1.5,1.6,1.8,2
"42","35","Income security","W605RC1",1.1,1.1,1.4,1.7,1.7,1.7,2.2,2.6,3,3,3.5
"43","36","  Disability","W606RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
"44","37","  Retirement \1\","W607RC1",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"45","38","  Welfare and social services","W608RC1",0.8,0.8,1,1.2,1.2,1.3,1.7,2,2.3,2.3,2.8
