"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"11","3","       Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.4,15.7,-7,-12.8,28,16.5,1,63.1,17,19.6,18.2,19.1,48.1,36.3,9.8,16.6,14,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.6,45.4,81.4,53.2,75.1,61.2,33.8,11.3,18.4,6.9,30.5,51.1,34.7,49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,26.3,63,-14.9,92.6,81.1,92.2,75.7,10.4,44.2,50.8,110.7,90.5,40.1,100.3,91.1
"12","4","Goods","A353RC1",425,425.9,433.6,434.2,436.6,444.5,447.8,435.5,462.7,465.1,470.8,466.5,480.7,505.1,515.9,532.8,562.1,584.4,587.4,614.9,614,627.6,634.6,652,643,655.7,692.6,711.9,739.8,754.7,769,778.9,797.3,821.9,850.9,866.9,869.8,935.4,955.7,997.8,1021,1039.6,1069.2,1078.1,1108.2,1100,1110,1162.2,1248.2,1237.7,1305,1276.2,1242.8,1275.5,1271,1249,1264.8,1325.4,1359.4,1437.9,1498.1,1530.5,1551.2,1565.7,1573.9,1587.9,1615.2,1625.7,1636.5,1634.9,1658.5,1668,1686.8,1721.6,1747.9,1804.5,1821.9,1868.7,1895.8,1936.3,1993.3,2038.5,2065.6,2056,2106.7,2131,2142,2104.8,2111.9,2137.3,2167.1,2180.9,2185.3,2230.6,2260.1,2290.6,2306.4,2331,2323.6,2387.3,2441.6,2495.2,2514.7,2587.3,2597.3,2586.3,2617,2663.2,2685.1,2759,2804.4,2832.9,2884.3,2956.8,3013,3029.9,3070.9,3038.7,3097.6,3192.2,3226.2,3249.7,3293.9,3373,3349.2,3474.5,3462,3462.5,3387.4,3420.5,3375.8,3392.1,3421.6,3422.1,3453.2,3409.3,3425.1,3442.2,3578,3638.4,3650.9,3689.4,3722.9,3776.9,3853.3,3863.5,3908.7,3932.1,4048.9,4083.5,4121.8,4174.9,4198.3,4289,4328.7,4351.7,4264.8,4294.1,4261.2,4041.2,4013.9,4011.7,4030.5,4173.2,4270,4326.3,4451.9,4541,4524.5,4610.1,4626.1,4783.7,4820.6,4877.8,4951.9,4938.5,5024.4,5022.7,5162.5,5249.5,5127.5,5290.6,5394
"13","5","    Final sales","A325RC1",413.5,416.7,423.4,428.5,434.7,439.4,442.7,439.5,450.5,454.2,460.7,466.8,477.5,493.1,502.2,525.3,551.5,566.2,577.7,590,601.5,610.2,629,631.5,653,669.6,694,711.6,725.1,732.2,748.1,768.4,782.4,802.4,820.1,842.8,844.3,911.2,930.7,969.3,997.2,1012.2,1057.1,1069.5,1098.3,1092.2,1143.9,1171.3,1209.5,1226,1261,1251.4,1264.3,1279.6,1265.2,1288.8,1299.9,1333.1,1363.6,1413.9,1425.1,1461.2,1479.9,1517.8,1557.7,1566.3,1598.9,1592.5,1606.1,1619.3,1665.5,1680.7,1658.8,1705.1,1746.9,1741.5,1805,1849.1,1877.6,1917.1,1945.2,2002.2,2055.7,2039.5,2092.8,2097.3,2120.1,2116.2,2127.5,2155.3,2166.2,2149.8,2185,2207.4,2239.6,2269.2,2270.4,2306.9,2317,2370.7,2396.2,2413.8,2461.5,2512.1,2536.1,2552.5,2605.6,2644.7,2678.2,2728.5,2753.3,2798.1,2834.6,2868.4,2945,2952.2,2965.8,3001.3,3045.2,3132.2,3142.8,3214.5,3253.4,3288.8,3333,3384,3404.7,3408.2,3418,3432,3405.9,3472.9,3421.9,3403,3427.9,3379.5,3394.1,3442.6,3569.9,3600,3602,3613.2,3660.6,3708.8,3753.7,3832.8,3890.8,3841.8,3974.5,4006.2,4044.7,4135.8,4178.1,4241.9,4280.1,4329.8,4284.9,4318,4280,4106.4,4159.5,4199.7,4236.5,4224,4257.9,4276.2,4330.4,4478.6,4498.3,4547,4641,4691,4739.5,4785.6,4876.2,4928,4980.2,4972,5051.7,5158.9,5087.4,5190.3,5302.9
"14","6","    Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.4,15.7,-7,-12.8,28,16.5,1,63.1,17,19.6,18.2,19.1,48.1,36.3,9.8,16.6,14,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.6,45.4,81.4,53.2,75.1,61.2,33.8,11.3,18.4,6.9,30.5,51.1,34.7,49.8,88.4,67.9,77.7,105.1,37.3,52.4,60,83.4,35.1,40.5,84.2,16.2,90.4,57.2,54.3,-30.6,-11.6,-30.1,-80.8,-0.2,19.1,25.3,29.8,31,-0.4,8.1,38.4,48.9,76.2,62.3,68,99.5,30.6,17.9,90.2,74.4,77.3,77.1,39.1,20.2,47.1,48.6,21.9,-20.1,-23.9,-18.8,-65.1,-145.6,-187.9,-205.9,-50.8,12.1,50.1,121.5,62.4,26.3,63,-14.9,92.6,81.1,92.2,75.7,10.4,44.2,50.8,110.7,90.5,40.1,100.3,91.1
"15","7","  Durable goods","A354RC1",212.9,209.2,216,216,209.8,213.3,218.8,199.9,221.2,220.1,227.4,222.9,236.1,246.7,252.9,268.4,287.1,296.6,298.5,301,301.5,307.6,322.4,332.5,310.7,323.7,340.6,351.1,374.7,388.1,399.8,412.8,425,434.9,450.1,459.7,468.3,506,509.5,547.6,563.5,564,573.6,578.6,596.9,570.6,578.5,624.1,651.2,659.1,677.1,647,631.2,658.4,655,629.4,631.8,699.1,732.2,782.6,809.9,829.4,842,873.3,854.9,877.6,886.6,891,894.2,901.6,923.2,928.9,938.9,965.6,976.7,1013.6,1019.7,1048.4,1070.1,1101.2,1123.1,1131.3,1161.9,1157.5,1187.1,1182.7,1185.7,1147,1120.7,1148,1186.8,1170.3,1170.4,1213.4,1227,1246.3,1271.9,1292.9,1293.4,1338.1,1362.4,1385.9,1406.6,1446.7,1474.4,1465.9,1493.1,1532,1535.3,1576,1620,1624.2,1673.6,1720.7,1764.1,1779.5,1817.4,1797,1838.8,1902.4,1916.1,1929.1,1983.7,2024.7,2047.2,2100.9,2088.9,2092.8,2031.9,2022.2,1973.6,1990.2,2014.9,2013.4,2038.3,2004.4,1998.2,2027.2,2088.1,2136.7,2135,2155.7,2182.7,2208.4,2276.4,2297.4,2338.6,2349.7,2393.5,2421.2,2449,2453,2484.4,2519.8,2545,2611.4,2528.6,2497.1,2497.1,2340.7,2192.2,2182.7,2210.4,2278.1,2385.7,2425.5,2475.8,2502.8,2538.8,2575.8,2616.1,2669.6,2715,2732.6,2752.7,2742.7,2788.8,2793.6,2838.8,2884.2,2847,2909.4,2974.5
"16","8","    Final sales","A326RC1",206.8,205.2,209,209.3,211,213.2,213.3,205.3,214.5,217.4,221.9,226.2,233.5,241.4,245.4,258.4,275.7,282.9,284.7,287.8,293.7,302.4,313.1,311.3,318.5,330.5,347,359.9,370.1,375.4,386.5,400.2,417.3,427.8,437.5,449.2,447.8,488.8,498.2,523.8,541.5,543.3,569.9,573.7,594.7,572.7,595.2,616.9,640.4,649,667,648.8,652.8,658,657,670.3,663.7,696.5,719.3,756.3,766,788.3,800.4,834.3,852.7,869.6,890,880.1,877.9,895.4,938,944,910.5,943.3,981.2,968,1011.2,1033.5,1038.6,1065.3,1084.1,1113.1,1160.1,1136.4,1185.7,1160.3,1168.5,1157.2,1152.2,1174,1183.2,1170.9,1187.4,1204.4,1227.9,1249.2,1247.4,1279.4,1281.6,1319.3,1337.3,1344.2,1375.5,1401.8,1426.4,1433.4,1469.8,1501.7,1525.1,1557.2,1581.3,1615.6,1645.1,1667.7,1731.8,1733.3,1747.4,1774.3,1807,1869.6,1864.6,1917.6,1957.5,1964.4,2030,2043,2056.6,2058,2076.5,2047.1,2007.5,2064.8,2006.3,1996.1,2023,1972.9,1969.9,2024,2095.1,2102.6,2100.7,2106.8,2144.6,2176.2,2210.1,2276.9,2318.9,2288.7,2367.5,2376.5,2396.5,2437.8,2467.9,2515.9,2530.9,2583.5,2547.2,2544.2,2506.2,2365.5,2332.2,2327,2345.1,2327,2362.7,2389.5,2409.1,2472.2,2490.7,2527.8,2580.2,2626.8,2646.2,2649.5,2681.9,2717.2,2752.5,2757.8,2771.3,2818.4,2806.4,2844.4,2918.6
"17","9","    Change in private inventories \1\","A355RC1",6,4,7.1,6.7,-1.2,0.1,5.6,-5.4,6.7,2.7,5.5,-3.2,2.6,5.2,7.6,10,11.4,13.6,13.8,13.2,7.8,5.1,9.4,21.2,-7.8,-6.8,-6.4,-8.9,4.6,12.7,13.3,12.7,7.7,7.1,12.6,10.5,20.6,17.2,11.3,23.8,22,20.7,3.7,4.9,2.2,-2.1,-16.7,7.1,10.9,10.1,10.1,-1.7,-21.6,0.4,-2,-40.9,-31.9,2.6,12.9,26.3,43.9,41.2,41.6,39.1,2.2,8,-3.5,10.9,16.3,6.2,-14.8,-15.1,28.4,22.3,-4.5,45.6,8.5,14.9,31.5,35.9,39,18.2,1.8,21.1,1.4,22.5,17.1,-10.2,-31.5,-26,3.7,-0.6,-17,9,-0.9,-2.9,24.4,13.5,11.8,18.8,25.1,41.8,31.1,44.8,48,32.5,23.3,30.4,10.2,18.8,38.7,8.6,28.5,53,32.3,46.2,69.9,22.7,31.8,32.8,51.5,11.5,26.3,60.3,17.2,57.9,32.3,34.8,-44.5,-24.9,-33.8,-74.6,8.5,17.3,15.3,31.5,28.3,3.2,-6.9,34,34.3,49,38,32.2,66.4,20.6,19.7,61,26,44.7,52.5,15.3,16.6,3.9,14.1,27.9,-18.6,-47.1,-9.1,-24.8,-140,-144.3,-134.8,-48.9,22.9,35.9,66.7,30.6,48.1,48,35.9,42.8,68.8,83.1,70.8,25.5,36.3,35.8,67.5,65.8,40.6,65,55.9
"18","10","  Nondurable goods","A356RC1",212.2,216.7,217.6,218.3,226.8,231.2,228.9,235.6,241.5,245,243.4,243.6,244.6,258.5,263,264.4,274.9,287.8,289,314,312.6,320.1,312.1,319.5,332.3,332,352,360.9,365.2,366.6,369.2,366.1,372.3,387,400.9,407.2,401.4,429.4,446.2,450.1,457.6,475.6,495.6,499.5,511.3,529.3,531.6,538.1,597,578.6,627.9,629.2,611.6,617,616.1,619.5,633.1,626.3,627.2,655.3,688.2,701,709.2,692.4,719,710.3,728.7,734.7,742.3,733.3,735.4,739.1,747.9,756,771.2,791,802.2,820.3,825.6,835.1,870.2,907.2,903.6,898.5,919.6,948.3,956.3,957.8,991.2,989.3,980.3,1010.6,1014.8,1017.2,1033.2,1044.2,1034.5,1038.1,1030.2,1049.2,1079.2,1109.3,1108.1,1140.6,1122.9,1120.4,1123.9,1131.1,1149.8,1183,1184.4,1208.6,1210.7,1236.1,1248.9,1250.4,1253.5,1241.7,1258.8,1289.9,1310,1320.6,1310.2,1348.3,1302,1373.5,1373.1,1369.7,1355.4,1398.2,1402.1,1401.9,1406.8,1408.7,1414.9,1404.9,1426.8,1415,1489.9,1501.8,1515.9,1533.7,1540.2,1568.5,1576.8,1566.1,1570.2,1582.3,1655.5,1662.3,1672.8,1721.9,1713.9,1769.1,1783.7,1740.3,1736.2,1796.9,1764.1,1700.5,1821.7,1829.1,1820.2,1895.1,1884.3,1900.8,1976.2,2038.2,1985.7,2034.2,2010.1,2114.1,2105.6,2145.1,2199.2,2195.8,2235.6,2229.1,2323.7,2365.3,2280.6,2381.2,2419.6
"19","11","    Final sales","A334RC1",206.7,211.5,214.5,219.2,223.7,226.2,229.4,234.2,236,236.8,238.7,240.7,244,251.7,256.9,266.9,275.8,283.2,293,302.2,307.8,307.8,315.9,320.2,334.5,339.1,347,351.6,355,356.8,361.7,368.2,365.2,374.6,382.6,393.5,396.5,422.4,432.5,445.5,455.7,468.9,487.2,495.8,503.6,519.5,548.7,554.4,569.1,577,594,602.7,611.5,621.6,608.3,618.5,636.2,636.6,644.3,657.6,659.1,672.9,679.5,683.5,705,696.6,708.9,712.4,728.2,723.8,727.6,736.7,748.3,761.8,765.7,773.5,793.8,815.6,839,851.9,861,889.1,895.6,903.1,907.1,937,951.5,959,975.3,981.3,983.1,978.9,997.6,1003,1011.7,1020,1023,1027.5,1035.4,1051.4,1059,1069.6,1086,1110.3,1109.7,1119.2,1135.8,1143.1,1153.1,1171.3,1172,1182.6,1189.5,1200.7,1213.2,1218.9,1218.3,1227.1,1238.2,1262.6,1278.1,1297,1296,1324.4,1303,1341,1348.2,1350.2,1341.5,1384.9,1398.4,1408.1,1415.5,1406.9,1404.9,1406.6,1424.1,1418.6,1474.8,1497.4,1501.3,1506.4,1515.9,1532.6,1543.7,1556,1571.9,1553.1,1607.1,1629.7,1648.2,1698.1,1710.2,1726,1749.2,1746.3,1737.8,1773.8,1773.8,1740.9,1827.3,1872.7,1891.3,1897,1895.2,1886.6,1921.3,2006.5,2007.5,2019.2,2060.9,2064.2,2093.4,2136.1,2194.3,2210.8,2227.6,2214.2,2280.4,2340.6,2281,2345.9,2384.3
"20","12","    Change in private inventories \1\","A357RC1",5.4,5.2,3.1,-0.9,3,5,-0.5,1.4,5.6,8.2,4.7,2.9,0.6,6.8,6.2,-2.5,-0.9,4.6,-4,11.8,4.7,12.3,-3.8,-0.7,-2.2,-7.1,5,9.2,10.1,9.8,7.5,-2.1,7.1,12.4,18.3,13.7,4.9,7,13.7,4.7,1.9,6.7,8.4,3.6,7.7,9.8,-17.1,-16.3,27.9,1.6,33.9,26.5,0.2,-4.6,7.8,1.1,-3.2,-10.2,-17.1,-2.3,29.1,28.2,29.8,8.9,14,13.7,19.8,22.3,14.1,9.5,7.8,2.3,-0.4,-5.8,5.5,17.5,8.4,4.7,-13.4,-16.8,9.2,18,8,-4.6,12.6,11.2,4.7,-1.2,15.9,8,-2.8,31.7,17.3,14.2,21.5,24.2,11.5,10.6,-5.2,-2.2,20.2,39.7,22.1,30.3,13.1,1.2,-11.9,-11.9,-3.3,11.7,12.4,26.1,21.3,35.4,35.7,31.5,35.2,14.6,20.6,27.2,31.9,23.6,14.2,24,-1,32.5,24.9,19.5,13.9,13.3,3.7,-6.3,-8.8,1.8,10,-1.7,2.7,-3.6,15.1,4.4,14.5,27.3,24.3,35.9,33.1,10.1,-1.7,29.2,48.4,32.6,24.6,23.8,3.6,43.2,34.6,-6,-1.6,23.1,-9.7,-40.4,-5.6,-43.6,-71.2,-1.9,-10.9,14.2,54.9,31.8,-21.9,15,-50.8,49.9,12.3,9,4.9,-15,7.9,15,43.3,24.8,-0.5,35.3,35.3
"21","13","Services \2\","A341RC1",461.4,474.9,486.5,497.9,508.3,516.7,528.5,538.8,553.2,564.9,575.8,588.7,607.7,618.4,628.7,641.8,654.2,668.6,682.1,696.8,713.5,735,757.2,784.8,810.2,836.2,849.4,874,892.7,908.9,929.3,955.4,981.7,1005.1,1033.3,1060.1,1091.5,1124.5,1150.2,1180,1209.4,1242.6,1271.6,1316.2,1351.9,1388.8,1430.4,1488.1,1528.8,1571.3,1600.9,1641.4,1674.3,1705.1,1753.5,1809.9,1857.2,1893.8,1946.1,1960.2,1998.3,2050.7,2093.3,2132.7,2202.2,2246.2,2307.1,2346.1,2386.6,2427.8,2465.7,2503.3,2548.3,2592,2634.6,2690.4,2749.9,2805.1,2870,2935.1,2991.1,3050,3096.5,3157.6,3218,3287.4,3341.4,3390.3,3430,3488.8,3535.5,3580.8,3663.7,3722.4,3788.2,3851.8,3884.4,3930.9,3997.2,4038.3,4088.3,4144.4,4201.3,4246,4298.3,4368.2,4424.4,4462.6,4519.6,4586.4,4625,4705.8,4755.6,4828.5,4895.5,4969.8,5020.7,5116.7,5180.8,5249.4,5325.8,5401.5,5501.1,5614.3,5716.7,5824.9,5902.6,6004.4,6105.9,6165.6,6208.6,6268.6,6363.5,6461.3,6536.6,6624.8,6710.3,6816.7,6887.9,6987.8,7123.2,7225.4,7344.4,7453.8,7585.6,7694.8,7833.5,7948,8069,8186.4,8285.4,8408,8552.3,8648.3,8772,8897.4,9008.6,9127.9,9209,9190.5,9144.3,9182.1,9236.2,9318.7,9381.2,9487.2,9566.3,9642,9699.7,9805.3,9884.3,9897,9995.3,10055.9,10145.6,10209.5,10294.7,10365.1,10442.3,10546,10630.6,10711.4,10816.8
"22","14","Structures","A755RC1",109,110.5,111.9,108.6,108.7,108.9,112.2,117.2,121.8,129.3,133.6,138.4,145.4,146.6,149.2,157.4,164.4,164.6,167.3,167.3,167.1,171.6,171.6,166.3,166.4,164.6,171.8,180,192,193.4,192.3,204.1,213.6,233.2,238.2,241.8,247.4,276.6,293,304.4,301.2,313.7,329.5,336.4,336.5,311.1,319.6,343.2,354.7,358.2,355.3,365.9,356.6,350.7,342.6,348.9,358.3,364.6,386.8,398.1,416.4,433.8,442.9,449.1,460.9,468.1,472.3,481.3,493.2,492.5,495.4,498.1,501.2,507.8,518.1,527.7,518.8,533.9,533.7,541.4,543,540,549.5,549.8,566.2,556.3,546.1,528.2,512.9,517.5,515.9,517.6,531.9,539.3,538.2,555.2,557.5,567.8,583.4,607.2,606.3,630.3,636.3,643.4,649.7,650.4,665.2,673.7,688.5,716.1,729.7,748.4,762.1,766.6,783.3,788.6,798.2,839.4,868.2,884,895.1,905.8,917.3,938.8,965.2,979,992.9,1005.4,1014.8,1052.3,1055.2,1040.6,1049.3,1051.3,1047.3,1069.8,1094.7,1111.7,1159.2,1190.6,1214.2,1266.6,1300.5,1331.4,1374.8,1415.8,1463.2,1501.6,1531,1529.9,1501.3,1483.5,1482.7,1485.1,1469,1436.2,1395.1,1391,1372.8,1318.2,1225.7,1146.6,1117.4,1074.6,1030,1075.2,1039.4,1047.2,1014.1,1045.6,1076.7,1104.6,1140.6,1161,1171.4,1184.6,1183.3,1231.4,1267.5,1282.8,1285.9,1326.3,1344.5
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",45.6,42.8,47.1,43.2,38.3,42,41.1,27.4,51.7,49,47.7,50.8,54.6,54.9,50.6,59.9,68,63.9,62.3,60.1,55.7,55.1,63.7,60.2,48.2,53.8,63.1,64.2,74.4,78.8,78.6,83.4,94,94.4,97.6,99.5,96.9,108.3,106.1,114.8,120,108,101.5,95.2,91.7,75.9,82.9,97.8,98.8,106.2,102.8,93.9,87.2,102.1,104.1,92.8,108.2,116.2,136.1,154.6,159.3,152.7,156.3,174.9,171.1,179.4,191.6,187,179.7,186.3,193.2,190.2,186.7,186.1,187.7,195,190.8,204.1,198.1,210.8,221.2,211.5,207.7,201.2,199.3,201.7,202.4,176.4,165.1,177.9,193.8,185.8,188.5,204,207.7,222.1,223.6,229.5,225.6,251.7,269.9,264,274.1,283.3,281.1,275.2,272.1,291,265.8,302.2,305,293.6,306.8,304.7,325.6,340,330.5,327.7,330.5,374.5,365.3,367.5,379.2,387.7,391.8,378.9,359.4,345.9,329.4,353.5,348.8,364.7,380.4,385,396.6,385.4,368.8,383.4,384.1,388.8,392.4,388.3,401.9,404.4,409.5,417.3,432.6,402.8,418,407.7,409.8,397.5,408,413.4,410.7,391.7,369.3,344,318.9,249.4,203.2,220.4,273,290.7,316.2,331.1,350.5,339.3,366.3,365.3,380.2,400.9,428.3,436.3,439.6,433.9,453.5,464.6,454.2,472.9,471.3,496.6,528.9
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",949.8,968.5,985,997.5,1015.2,1028.1,1047.4,1064.1,1086.2,1110.4,1132.6,1142.8,1179.2,1215.3,1243.3,1272.2,1312.7,1353.7,1374.5,1418.9,1439,1479.1,1499.7,1542.8,1571.4,1602.7,1650.7,1701.7,1750.1,1778.1,1811.9,1855.1,1898.5,1965.7,2024.8,2069.2,2111.8,2228.3,2292.7,2367.4,2411.5,2487.9,2568.9,2635.5,2704.9,2724,2777.1,2895.7,3033,3061,3158.4,3189.6,3186.6,3229.1,3263,3315,3372.1,3467.7,3556.2,3641.5,3753.4,3862.3,3931,3972.7,4065.9,4122.9,4202.9,4266.1,4336.6,4369,4426.4,4479.2,4549.5,4635.3,4712.8,4827.7,4899.8,5003.6,5101.4,5201.9,5306.2,5416.9,5503.8,5562.3,5691.5,5773,5827.1,5846.9,5889.7,5965.7,6024.7,6093.5,6192.3,6288.3,6378.9,6475.4,6524.6,6600.1,6678.6,6781.1,6866.4,7005.9,7078.2,7193.3,7264.2,7329.7,7434.5,7508.5,7627.4,7759.3,7854.1,7993.5,8095.3,8247.3,8366.2,8448.4,8559.3,8667,8816,8951.2,9081.8,9189.5,9333,9538.4,9639.2,9899.5,9998.1,10126.4,10178.7,10284.9,10290.7,10336.6,10454.1,10549.7,10640.4,10718.5,10861.3,10987.3,11241,11428,11596,11793.1,11965.8,12157.8,12404.3,12556.8,12772.8,12978.8,13230.9,13392.1,13498.7,13668.8,13825.2,14008.9,14158.9,14293.6,14299.1,14469,14524.1,14300.5,14180.7,14120,14111.2,14275.8,14364.9,14557.5,14707.2,14890.9,14872.1,15095.6,15206.9,15384.4,15528.2,15658.4,15829.3,15898.6,16048.9,16154.6,16418.2,16605.4,16572.7,16831.7,17026.3
"26","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,11.3,12.4,13.5,14.5,14.9,16,17.4,17.9,19.3,21.4,22.1,23.9,24.3,25.9,28.8,29.6,27.7,27.7,28,30.8,33,35.5,35.9,37.9,40.7,44.5,47.6,45.7,47.4,43.8,45.1,44.7,46,45,46.8,47.3,47.6,49.2,50.1,52.2,53.2,54.4,56.2,54.3,58.3,58,55,54,51.7,51.2,52.5,51.4,51.8,51.9,55.3,54,56,55.9,55.1,57,54.6,56.7,57,58.8,59,60.6,63.1,68.9,74,75.2,81.4,84.2,83.2,85.7,85.9,88.6,93,98.2,96.6,96.3,97.4,96.1,97.1,99.1,103.9,105.4,98.9,105.5,111.5,110.1,112.3,110.1,101.7,91.8,91.6,85.8,82.5,83.1,81.3,81,78.3,85.3,87.7,80.9,80.6,79.4,80.7,78,79.3,78.9,80.3,83.2,83.1,82.5,83.6,81.3,79.2,82.2,85.9,83.2,83.8,79.9,77.4,80.2,76.1,68.2,65.5,68.1,62.1,59.4,63.2,62.8,63.2,62.4,64.4,66.8,63.8,65.2,68.3,68.3,69.2,67,67.2,69.4,71.4,72.7
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198.9,2325.3,2386.4,2468.7,2517.1,2581,2654.4,2713.3,2778.7,2780.7,2838.6,2971.4,3107.9,3143,3235.3,3254.8,3244.2,3303.6,3339.4,3379.8,3449.6,3550.8,3656.8,3760.2,3874.9,3974.3,4042.9,4100,4191.3,4254.9,4350.8,4408,4471.6,4509.2,4574.7,4622.6,4689,4773.8,4851.3,4972.6,5038.4,5154.5,5245.1,5356.5,5473.1,5570.1,5653.5,5708.4,5836.8,5923,5978.3,5970.8,6003.4,6091.8,6166.5,6224,6326.8,6436.3,6530.7,6642.4,6691.2,6775,6847.5,6975.9,7077.5,7210.8,7291.6,7413.6,7476.4,7530.9,7631.3,7718.1,7809,7978.3,8073.3,8201.2,8313.4,8458.9,8593.6,8691.7,8793.5,8897.3,9050.4,9228.6,9348,9453.1,9606.9,9827.2,9925.6,10166.8,10247.3,10359.9,10398,10536.7,10547.7,10609.7,10748.7,10852.3,10954,11022.6,11149.1,11292.4,11539.8,11729.1,11907.5,12100.8,12288.3,12481.5,12735.8,12894.8,13126.6,13301.3,13565.7,13716.7,13826,13982.7,14152,14343.1,14487.5,14599.4,14585.2,14729.2,14763,14472.6,14303.7,14264.3,14316,14501.1,14613,14826.5,14998.3,15167,15175.6,15397.7,15524.7,15720.9,15889.7,16030.9,16203.7,16264.2,16434.1,16550,16805.4,17011.1,16974.6,17256.8,17482.6
