"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"1","[Billions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/25/2014 8:58:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Personal consumption expenditures (PCE)","DPCERX1",7618.7,7731.5,7819.3,7934.1,8054.9,8132.2,8211.3,8284.4,8319.4,8340.8,8371.2,8499.1,8524.6,8568.1,8628,8674.4,8712.5,8809.5,8939.4,9008.8,9096.4,9155.5,9243,9337.8,9409.2,9511.5,9585.2,9621.3,9729.2,9781,9838.1,9938.4,9990.7,10024.6,10069.2,10081.8,10061,10077.9,10005.1,9884.7,9850.8,9806.4,9865.9,9864.8,9917.7,9998.4,10063.1,10166.1,10217.1,10237.7,10282.2,10316.8,10387.6,10420.2,10470.4,10520.6,10613.7,10660.4,10713.3,10811.4,10844.3,10912.6,10972.1
"10","2","Goods","DGDSRX1",2393.6,2449.8,2478.8,2521.3,2559.1,2572.6,2599.4,2621.9,2628,2635.1,2653.9,2749.5,2742.6,2753.6,2788.3,2796.2,2811.7,2872.2,2953.5,2980.4,3012.8,3029.5,3066,3099.4,3136.5,3177.8,3195.5,3198.8,3262.2,3267.8,3294.5,3345.6,3363.5,3376.3,3392.3,3394.9,3348.7,3360.4,3296.6,3185.5,3188.8,3166.9,3222.9,3215.2,3247,3288,3319.1,3380.5,3404.9,3398.2,3405.5,3438.5,3478,3489,3516.9,3542.3,3593.7,3605.2,3636.1,3669,3678.3,3731.6,3771
"11","3","  Durable goods","DDURRX1",664,695.8,712.5,721,761.2,747.2,759.8,765.1,777.7,777,785.9,851.4,841,849.2,874.1,862,864.7,904.4,944.7,956.8,972.7,982.2,1001.3,1015.5,1026.3,1055.4,1067.3,1038.8,1081.3,1080.2,1095.1,1109.6,1122,1138.3,1150.9,1155.5,1122.5,1119,1084.7,1006.8,1008.6,1002.6,1050.6,1031.5,1045.2,1076.3,1093.8,1127.4,1141.8,1134.2,1148.6,1181.5,1212,1218.8,1242.4,1269.7,1295.7,1310,1325.9,1344.5,1355,1400.4,1429.9
"12","4","    Motor vehicles and parts","DMOTRX1",320.7,343.5,344.5,334.3,362.7,336.7,342.7,343.7,353.2,347.3,351.5,404.6,375.8,377.9,401.7,377.9,377.4,393.8,406.6,400.5,402.4,402,407.3,410.3,401.2,414.4,416.6,367.8,382.1,381.9,388.5,388,390.5,396.2,393.3,391.2,371.9,355.2,337.4,298.8,307.6,308.9,342.2,309.5,306.2,319.7,325.7,342,342.7,324.2,325.2,343,351.4,351.7,359.5,369.1,374.1,374,375.5,380.5,385.7,402.9,413.1
"13","5","    Furnishings and durable household equipment","DFDHRX1",164.2,168.1,173.6,179.1,183.6,187.1,189.6,190.7,193.6,195.3,197.2,203.1,209.6,211.4,211.1,214.7,214,223.4,232.6,237.3,241.9,245.8,251.3,254.3,257.8,261.9,266.8,272.9,280.3,277,278.3,277.7,281.3,279.6,280.7,280.2,273.3,276.6,267.2,253.6,245.2,240.9,243.6,247.6,254,261.4,262.7,267.9,270.7,274.6,277.6,283.4,288.7,285.8,287.6,291.5,297.7,301.8,308.8,312.1,312.7,322.3,327
"14","6","    Recreational goods and vehicles","DREQRX1",105.3,110.3,115.7,121,128.5,130.2,133.4,136.1,138.2,141.9,144.9,151.9,157.1,159.4,161.4,164.7,167.5,175.9,187.6,195.3,200.8,206.2,212.6,217.7,227.7,236.2,240.1,246.5,261.2,263.6,269.4,281,286.1,293.5,304.7,311.6,308.2,318.1,312.8,295.9,298.6,294.7,305.8,316,324.1,333.8,341,348.3,357.9,364.9,373.7,384.1,397.8,404.9,415.2,425.5,438,448.5,457.7,464.1,468.3,483.1,500.4
"15","7","    Other durable goods","DODGRX1",102,103.4,106.5,112,112.6,116.2,116.8,116.1,114.5,111.7,111,114.4,117.4,119.4,120.2,122.5,122.7,128.6,134.5,138.7,142.1,141.3,142.6,145.1,149.5,152.4,153,158.4,163.8,163.2,164,166.8,167.7,172.1,174.6,174.4,170.6,169.7,167.6,158,156.9,157.8,158.9,159.1,162.2,162.5,165.4,169.4,171.3,173.8,176.2,174.5,178.4,181.4,185.4,188.9,192.4,194,193.7,197.7,198.1,201.5,200.6
"16","8","  Nondurable goods","DNDGRX1",1780.2,1796.8,1805.1,1841.8,1825.7,1862,1874.3,1892.3,1881,1889.8,1898.6,1914.7,1921.7,1922.7,1927.4,1952.6,1966,1980.3,2017,2030.9,2046.3,2052.6,2068.5,2087.2,2114,2123.2,2127.9,2164.2,2182.1,2189.3,2200.3,2237,2241.6,2237.1,2240.2,2238.4,2226.2,2241.8,2212.2,2178.6,2180.2,2164.4,2172.5,2183.5,2201.6,2212.1,2226,2254.5,2265.1,2265.6,2259.7,2262.4,2273.4,2278,2284.1,2285,2311.7,2310.5,2326.4,2341.8,2341.9,2354.6,2367.5
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX1",657.4,664.2,670.1,680.8,674.4,684.7,686,693,690.9,695.8,693.8,695.4,693,694.4,697.3,703.4,708.9,707.9,718.7,717.4,724.5,725.1,730.8,738.6,750,752.8,759.3,768.3,771.6,779.1,780.8,791.7,793.2,789.1,789.8,793.1,789.3,792.7,782.2,763.3,761.4,767.2,771.9,779.3,786.1,780.6,783.8,795.4,797.5,797.1,793.9,792,797.6,800.9,803.3,804.7,810.2,804.6,808.9,814,811.9,809.2,809.2
