"","Table 7#2#4A# Price Indexes for Auto Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2014 2:28:51 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RG3",26.582,28.805,30.017,30.016,31.381,33.023,31.88,31.533,31.42,33.247,35.3,36.294,38.227,37.746,38.043,38.375,38.51,38.706,38.056,37.581
"9","2","Final sales","A134RG3",26.598,28.777,29.953,29.955,31.327,32.971,31.759,31.473,31.388,33.294,35.344,36.427,38.382,37.907,38.208,38.544,38.684,38.884,38.238,37.778
"10","3","  Personal consumption expenditures","A135RG3",20.886,22.79,23.665,23.649,24.617,25.754,25.219,24.272,24.662,25.87,27.694,28.892,30.6,30.085,30.43,31.003,31.221,31.516,31.072,30.755
"11","4","    New autos","A136RG3",25.569,27.964,30.633,30.838,32.154,35.108,35.399,35.972,32.523,34.248,36.219,37.532,39.165,38.659,38.667,38.51,38.28,38.181,37.328,36.638
"12","5","    Net purchases of used autos","A137RG3",7.475,8.056,6.394,6.082,6.265,5.149,3.962,1.235,7.772,7.957,9.115,9.787,11.018,10.612,11.351,12.908,13.912,14.968,15.442,16.002
"13","6","  Private fixed investment","A138RG3",30.755,32.576,34.367,34.736,36.582,40.06,35.844,38.887,36.398,40.823,41.868,40.864,41.721,41.838,41.398,40.215,39.815,39.174,38.163,37.606
"14","7","    New autos","B139RG3",25.604,27.972,30.643,30.861,32.194,35.129,35.41,35.921,32.545,34.272,36.248,37.565,39.16,38.661,38.663,38.51,38.27,38.175,37.333,36.634
"15","8","    Net purchases of used autos","B140RG3",9.612,15.506,21.551,21.296,21.39,23.1,32.207,25.575,20.031,16.228,19.292,24.081,26.695,24.812,25.81,27.998,28.16,29.284,28.991,28.095
"16","9","  Net exports","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Exports","B142RG3",14.455,15.55,15.15,13.711,16.294,14.504,14.493,16.317,16.342,15.431,15.991,16.476,17.467,17.215,17.19,17.217,17.154,17.128,16.733,16.414
"18","11","    Imports","B143RG3",7.748,9.663,10.169,10.417,11.038,11.476,11.321,11.401,11.429,11.476,11.684,11.946,11.959,11.633,11.307,11.611,11.796,11.817,11.986,12.319
"19","12","  Gross government investment","B144RG3",15.811,16.637,18.003,17.624,18.015,20.797,20.124,21.044,19.069,20.909,21.719,21.82,21.937,22.304,22.493,22.233,22.289,22.253,22.217,22.396
"20","13","Change in private inventories of new and used autos","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  New","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Used","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RG3",23.943,26.144,28.538,28.681,29.989,32.569,32.822,33.407,30.316,31.854,33.672,34.887,36.426,35.944,35.95,35.809,35.591,35.499,34.705,34.043
"25","17","  Sales of imported new autos \2\","B149RG3",21.559,27.987,30.685,30.64,32.321,35.077,35.426,35.921,32.691,34.355,36.365,37.64,39.124,38.645,38.631,38.468,38.237,38.125,37.225,36.652
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
