"","Table 6#12B# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:51:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","     Nonfarm proprietors' income","B046RC0",23322,22340,25810,27828,28630,30029,30523,33799,35633,37498,37935,40509,40085,42206,44163,45478,49399,52074,55590,58551,63016,64995
"9","2","Agricultural services, forestry, and fishing","J1800C0",328,347,377,419,454,477,524,538,557,565,579,587,620,647,787,745,882,925,983,1043,1193,1350
"10","3","Mining","J1801C0",402,289,296,309,279,301,294,342,407,416,375,283,281,281,203,256,278,276,191,389,680,451
"11","4","Construction","J1802C0",2695,2681,3203,3344,3533,3565,3364,3674,3878,4171,3991,4337,4329,4746,4966,5298,5741,6220,6532,6707,7034,7579
"12","5","Manufacturing","J1803C0",1873,1623,2110,2250,2183,2240,2050,2193,2267,2193,2060,2110,2030,1937,1948,1865,1977,2042,2259,1982,1967,1936
"13","6","  Durable goods","J1804C0",857,730,1094,1213,1142,1174,1040,1186,1273,1210,1085,1212,1135,1093,1147,1145,1204,1312,1479,1366,1326,1316
"14","7","  Nondurable goods","J1805C0",1016,893,1016,1038,1041,1066,1010,1007,994,983,974,897,895,844,801,720,773,731,780,616,640,620
"15","8","Transportation and public utilities","A1806C0",628,626,745,858,928,1014,1086,1109,1169,1261,1306,1349,1441,1604,1778,1929,2066,2231,2367,2346,2721,2754
"16","9","  Transportation","B1807C0",601,599,694,781,834,895,940,949,990,1048,1069,1103,1143,1262,1405,1501,1579,1749,1830,1768,2070,2070
"17","10","  Communication","B1808C0",8,10,18,26,37,44,52,57,62,60,87,117,113,111,93,112,125,102,108,-3,24,19
"18","11","  Electric, gas, and sanitary services","B1809C0",18,17,32,50,56,75,94,103,116,152,150,129,185,230,280,316,362,379,429,581,627,664
"19","12","Wholesale trade","J1810C0",1888,1682,2361,2582,2429,2609,2343,2896,3262,3381,3312,3118,3102,3266,3312,3407,3347,3264,3451,3424,3743,3802
"20","13","Retail trade","J1811C0",8130,7454,7924,8658,8680,8693,9065,9127,9299,9543,9468,10164,9470,9429,9776,9524,10582,11104,11541,12084,12647,12876
"21","14","Finance, insurance, and real estate","J1812C0",1110,1286,1799,1893,2070,2269,2579,3145,3273,3519,3661,3997,4031,4216,4359,4651,5008,5385,5532,5927,6692,6317
