"","Table 6#12D# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2014 12:04:47 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Nonfarm proprietors' income","B046RC0",579474,627671,674045,730358,763011,768897,816087,870966,947803,865508,838503,796825,842899,885726,1031671,1087400
"9","2","Forestry, fishing, and related activities","N1800C0",7036,6692,8055,8204,7620,7205,7307,7725,8441,7794,6606,6128,9020,8063,9665,9823
"10","3","Mining","N1801C0",8489,6835,10310,14334,14649,20259,23776,37675,42054,25179,58749,3510,14506,31383,35831,36456
"11","4","Utilities","N1802C0",824,583,1233,2370,24,420,1277,661,3013,1451,-406,-5120,-4869,-10090,-8855,-8832
"12","5","Construction","N1803C0",85148,100852,111822,122959,131004,139089,151215,157714,173483,149878,126008,120938,127705,133096,152341,167207
"13","6","Manufacturing","N1804C0",17173,17041,18449,19559,19941,18215,24411,25124,29019,26931,19446,11977,16464,22839,27226,27774
"14","7","  Durable goods","N1805C0",9392,9432,11387,10806,13197,10807,12332,12733,14248,11909,1318,2032,5833,4540,9197,9657
"15","8","  Nondurable goods","N1806C0",7781,7609,7063,8753,6744,7408,12079,12391,14770,15022,18128,9944,10630,18299,18029,18117
"16","9","Wholesale trade","N1807C0",21905,23100,24802,25685,27849,28626,31918,33122,36603,41113,36113,31654,32741,35718,39291,41417
"17","10","Retail trade","N1808C0",46650,50893,51025,53340,55949,59132,61096,64125,71460,67086,49899,60335,66291,69296,77257,81672
"18","11","Transportation and warehousing","N1809C0",26240,23335,25723,34006,29879,31638,34397,35920,40229,39634,32716,31305,30107,33493,39006,40757
"19","12","Information","N1810C0",7264,6315,4706,3894,5236,5632,6416,11323,8933,13662,20055,17280,12582,6566,27823,29745
"20","13","Finance, insurance, real estate, rental, and leasing","N1811C0",69433,83187,93269,105295,101079,95891,87295,93202,85378,47192,18967,64522,81861,62494,114719,127821
"21","14","  Finance and insurance","N1812C0",27827,37802,49662,58330,54208,50129,47368,47658,50038,39820,23013,74351,84872,54312,74196,78536
"22","15","  Real estate and rental and leasing","N1813C0",41607,45385,43608,46965,46871,45762,39927,45544,35340,7372,-4047,-9829,-3011,8182,40524,49286
"23","16","Professional and business services","N1814C0",122613,130054,135407,159026,166007,166055,177143,179984,202219,209228,244023,228881,213601,234237,240604,246385
"24","17","  Professional, scientific, and technical services","N1815C0",107351,112052,116652,128598,133388,132504,144207,148950,164117,174731,211943,185769,177548,191674,197733,201393
"25","18","    Legal services","N1816C0",38180,40155,39984,44821,45403,45957,50232,49718,50746,57100,81975,68786,60788,67684,67113,66513
"26","19","    Computer systems design and related services","N1817C0",7363,7440,8577,10341,13700,10134,11318,16087,18625,17195,14201,15560,16973,19099,19778,20165
"27","20","    Miscellaneous professional, scientific, and technical services \1\","N1818C0",61807,64457,68091,73435,74285,76413,82658,83144,94745,100436,115766,101423,99787,104890,110841,114715
"28","21","  Management of companies and enterprises; administrative and waste management services","N1819C0",15262,18003,18755,30428,32619,33551,32935,31034,38103,34497,32081,43112,36052,42563,42871,44991
"29","22","Educational services, health care, and social assistance","N1820C0",64333,66783,69818,81853,88271,85227,91429,90324,97124,97081,108914,108153,111877,118615,119245,124706
