"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 25, 2014 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2014 11:55:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Exports of goods and services","B020RA3",10.646,11.781,11.986,12.919,15.354,16.567,16.462,17.181,17.595,19.45,21.377,23.68,23.972,22.14,21.569,23.329,24.109,25.963,28.79,33.457,37.329,40.622,43.309,46.31,47.827,52.056,57.406,62.103,69.501,71.125,73.006,79.259,74.628,73.341,74.635,81.914,87.036,94.9,103.694,109.642,100,111.895,119.561,123.453,127.213
"9","2","Exports of goods \1\","B253RA3",10.167,11.307,11.296,12.524,15.594,16.92,16.57,17.423,17.757,19.601,21.676,24.341,24.184,22.136,21.418,22.937,23.743,25.023,28.07,33.06,36.838,39.994,42.678,45.893,47.384,51.925,57.967,63.129,72.274,73.846,76.93,84.707,79.494,76.78,78.221,84.92,91.122,99.709,107.168,113.746,100,114.38,121.823,126.272,129.837
"10","3","  Foods, feeds, and beverages","B638RA3",21.213,25.596,24.922,29.415,38.084,34.129,36.104,40.968,40.933,50.571,53.645,60.475,61.743,58.009,55.453,53.956,46.693,48.172,51.561,56.656,58.937,60.799,61.964,70.233,69.878,70.607,77.996,76.753,77.232,76.445,78.679,82.619,84.835,83.094,84.526,79.37,83.666,90.299,98.174,104.78,100,110.338,109.982,108.955,111.323
