"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:41:09 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","A191RX1",1056.6,966.7,904.8,788.2,778.3,862.2,939,1060.5,1114.6,1077.7,1163.6,1266.1,1490.3,1771.8,2073.7,2239.4,2217.8,1960.9,1939.4,2020,2008.9,2184,2360,2456.1,2571.4,2556.9,2739,2797.4,2856.3,2835.3,3031,3108.7,3188.1,3383.1,3530.4,3734,3976.7,4238.9,4355.2,4569,4712.5
"9","2","Business \1\","A195RX1",695.1,625.5,579.3,492,481.9,538.7,592.8,673.8,718.3,683.5,747.1,819.3,964.9,1115,1232.4,1299.5,1277.5,1269.9,1302.5,1369.9,1354.6,1486.4,1581.1,1631.9,1714,1693.4,1830.9,1863.5,1895.7,1863.4,2010.5,2049.1,2092.3,2227.8,2329.4,2476,2653.5,2834.3,2892.6,3038.9,3132
"10","3","  Nonfarm \2\","A358RX1",643.8,576.6,519.8,436,428.2,495,538.1,629.7,662.1,628.1,685.1,765.1,905,1051.6,1177.2,1249,1226.2,1217.5,1266.8,1319.6,1308.7,1440.7,1547.5,1594.6,1675,1650,1789.6,1823.1,1859.6,1823.3,1974.9,2009.6,2053.1,2193.6,2294.9,2447.6,2623.7,2812.3,2864.9,3017.5,3109.6
"11","4","  Farm","B359RX1",17,16,19.4,18.9,18,14.1,17.5,15.1,18.4,18,20.1,17.6,19.7,21.3,20.8,20.5,20.5,20.6,18.4,21.3,20.4,21.5,20.3,21.4,22.5,23.3,23.8,23.9,22.9,23.7,23.6,24.9,25.2,24.7,25.5,24.7,26.2,25.3,27.3,26.4,27.3
"12","5","Households and institutions","A193RX1",140.2,137.7,133.2,127.8,126.3,127.2,128.1,129.5,131.1,131.2,134,138.4,143,150.6,153.9,161.2,166.4,167.5,177.2,188.2,199.9,215.8,230.4,245.1,260.3,276.4,299.3,318.1,335.5,355.4,376.3,402.5,420,443.7,462.3,482.3,507,531.4,554.6,582,608.3
"13","6","  Households","B701RX1",83.1,80.6,77.1,73.5,72.9,74.1,74.6,75.1,76.3,76,77.6,79.5,82.3,87.8,90,94.5,98.5,97.4,102.9,107.2,114.3,124.7,134.5,144.2,153.8,163.9,178.6,190.5,201.3,212.9,225.9,240,251.7,266,277.2,288.9,302.8,316,329.5,338.4,353
"14","7","  Nonprofit institutions serving households \3\","B702RX1",54.7,57,57.6,56.8,55.2,54.1,54.6,55.7,55.8,56.8,57.8,61.3,63.3,63.8,64.5,66.9,67.1,71.4,75.8,84.7,89.1,93.5,97,100.9,106.2,111.3,118.4,124.6,130.6,138.9,146.3,159.3,164.2,173.1,180.3,188.6,199.6,211.4,221.1,242.8,254.7
"15","8","General government \4\","A765RX1",177.9,186.6,190,187.5,198,223.1,238.3,277.9,265.8,286.5,292.2,308.7,393.8,615.2,1023.6,1230.6,1240.2,672.1,526.5,507.4,509.2,518.9,631.8,687.4,699.7,700.2,703,717.4,735.9,746.4,759.2,788.2,819.9,855.8,883.9,916.8,949.5,1010.8,1067.7,1111.4,1141.9
"16","9","  Federal","A766RX1",32.6,35.1,33.9,32.5,39.6,51.7,57.5,92.9,81.2,91.5,93.4,104.1,167.7,337.3,654.2,818,822.7,388.5,273.9,256.1,248.3,250.8,335.5,374.5,376.6,368.5,361.6,360.3,363.2,357.6,358,368,379.7,398.4,405.7,413.5,419.9,448.8,479.6,491.3,496.7
"17","10","  State and local","A767RX1",159.7,166.2,171.9,171.2,172.5,183,191.9,181.7,187.2,194.9,198.5,201,202.7,199.9,195.1,190.6,194.5,204.7,217.7,223.3,238.1,246.3,252.8,261.1,272.5,284.6,297.7,316.4,333.8,354.3,368.9,388.5,408.6,423.5,445.6,472.4,501.1,530.9,553.3,586.5,613.3
"18","11","Residual","A961RX1",65.7,35.2,25.1,-0.7,-8.1,-9.8,4.8,10.3,33.6,12.4,31.1,37.5,49.6,10.1,-128.1,-200.1,-211.7,-39.2,-16.1,7.8,-10,6.5,-27.6,-40.6,-35.2,-44.7,-30.7,-41.4,-55.1,-75.4,-66.6,-81.6,-94.4,-96.2,-98.8,-101.7,-96.6,-105.8,-120.5,-133.9,-142.1
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",88.6,88.4,88.2,87.9,85.3,87.6,87.4,86.9,88.2,91.6,92.8,95.2,99.6,107.1,113.4,118.3,120.7,122.7,128.5,135.1,144.1,154.1,165.7,178.5,189.3,201.5,213.1,224.6,238.8,252.6,271.1,288.6,305.5,325,341.3,357.4,377,395,414.5,429.7,450.4
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
