"","Table 7#3#4# Price Indexes for Farm Sector Output, Gross Value A","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/24/2014 12:08:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","Farm output","A2000G3",34.827,35.474,36.56,40.731,57.663,61.658,59.436,59.439,58.899,66.471,74.915,76.738,79.033,74.927,78.083,80.573,71.846,69.027,70.125,76.417,80.627,80.832,77.665,76.904,78.564,77.992,79.009,87.142,82.785,77.952,73.323,73.987,78.007,74.48,81.3,91.193,87.088,87.439,103.547,115.753,100,107.789,132.387,139.042,141.522
"9","2","  Cash receipts from farm marketings","A2001G3",31.731,32.352,33.311,37.149,52.945,57.232,55.258,55.461,55.143,62.702,70.903,72.766,75.014,71.592,75.003,77.408,69.249,66.918,67.799,75.004,79.18,79.68,76.514,75.83,77.468,76.956,77.973,86.244,82.267,77.566,73.049,73.735,77.917,74.165,81.188,91.414,87.548,87.846,104.208,115.934,100,107.951,132.781,139.551,142.27
"10","3","    Crops","B1005G3",26.765,27.727,29.806,31.775,48.424,61.739,55.754,54.661,54.423,57.007,62.69,67.411,71.258,63.903,72.158,74.071,63.607,57.554,57.183,68.341,71.303,68.364,66.814,67.032,67.696,70.345,73.921,83.595,77.294,71.148,64.004,63.81,65.371,69.381,73.042,78.539,72.614,78.355,94.555,115.116,100,101.803,130.412,139.177,137.936
