"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2013 6:13:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",444853,471557,509128,542696,589646,622139,645242,708496,794516,803935,826652,881726,963636,1067080,1163987,1236068,1297398,1168644,1268340,1423819,1507113
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",92086,95018,98894,104334,112461,121758,132984,146273,159084,170395,183663,195588,202128,213945,227502,240710,249536,256724,264998,276452,278873
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",161027,167147,176232,186414,200084,205367,197213,218670,256320,257671,257785,283327,331802,388591,431985,462984,510541,397115,454598,533679,553841
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52328,55525,61012,64614,67925,69444,73037,77127,80415,81262,81909,82281,84341,85963,89061,90239,89540,86720,87114,90333,96149
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36254,38181,41811,43698,45945,46665,48959,51896,54864,55457,56184,56777,58644,60623,64563,66649,67042,65710,66970,70207,76285
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16074,17344,19201,20916,21980,22779,24078,25231,25551,25805,25725,25505,25696,25340,24498,23590,22498,21010,20145,20127,19864
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58788,65819,74197,81119,88373,96215,104736,110899,113991,109819,109693,109838,112417,116460,123151,126175,121001,111041,114670,122244,131446
"40","33","S3 EN4531ZZMA       Florists","T050330",6799,6827,6993,7047,7564,7761,8049,8269,8668,8324,7924,7326,7133,7522,7738,7694,7088,6173,6186,6454,7294
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22848,25428,28895,31223,32876,35776,39453,42525,44699,42123,41725,40781,41863,42517,44043,44063,41651,38295,38433,39483,40905
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6009,6609,6606,7154,7852,8698,9713,10079,10572,10201,10195,9655,9678,9693,10774,11334,11417,10728,11425,13080,14736
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23132,26955,31703,35695,40081,43980,47521,50026,50052,49171,49849,52076,53744,56729,60597,63084,60845,55846,58626,63227,68511
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",80624,88048,98793,106215,120803,129355,137272,155527,184706,184788,193602,210691,232948,262121,292287,315961,326780,317044,346959,401110,446804
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36027,41604,48110,53887,62500,71623,82082,96345,116095,117091,124480,137082,156295,179680,206725,228482,232506,237734,265099,307227,349049
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7256,7070,7182,6975,7711,8021,8114,8497,8873,8110,8209,7407,7769,7691,7784,7555,7435,6528,6353,6793,6951
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",37341,39374,43501,45353,50592,49711,47076,50685,59738,59587,60913,66202,68884,74750,77779,79924,86838,72782,75508,87091,90804
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215138,228302,238455,246989,256765,272465,287501,301306,322671,335514,350028,369563,393376,418835,447736,471534,482263,478448,494021,522801,559617
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91812,97002,102992,105478,110855,121395,127191,133767,142393,149149,156985,167429,177434,187790,200889,211440,212056,208690,213480,230185,249562
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92628,100266,104200,109204,112419,115568,122465,126710,135108,140393,146035,152973,164620,176114,186393,194838,203170,204655,213698,224237,235981
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17719,18216,18846,19163,19824,21397,23118,25508,28852,29370,29674,31270,33240,36355,40515,44704,46498,44837,46400,47466,51748
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12979,12818,12417,13144,13667,14105,14727,15321,16318,16602,17334,17891,18082,18576,19939,20552,20540,20265,20442,20913,22326
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1673584,1761186,1875758,1961925,2071925,2170568,2268572,2433643,2607053,2678717,2758526,2895806,3107778,3346526,3560838,3700984,3776092,3553617,3710798,3977260,4155297
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1458446,1532884,1637303,1714936,1815160,1898103,1981071,2132337,2284382,2343203,2408498,2526243,2714402,2927691,3113101,3229450,3293828,3075169,3216777,3454458,3595680
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",569133,608321,656870,692867,727404,759129,806804,867754,916208,935593,967083,1003300,1062442,1126939,1185673,1223109,1219933,1168078,1196678,1239562,1268565
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
