"","Table 2#2A# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Wage and salary disbursements","A576RC1","499,069.0","511,383.0","526,432.0","536,452.0","542,600.0","551,200.0","556,092.0","556,356.0","570,141.0","580,077.0","588,122.0","597,530.0","619,397.0","630,875.0","642,623.0","662,232.0","683,321.0","700,358.0","716,210.0","735,389.0","748,181.0","765,857.0","784,571.0","792,439.0","791,819.0","800,266.0","821,192.0","845,671.0","871,118.0","889,282.0","908,352.0","929,828.0","949,943.0","980,808.0","1,007,406.0","1,038,075.0","1,064,112.0","1,105,854.0","1,136,622.0","1,174,608.0","1,208,238.0","1,234,909.0","1,268,307.0","1,302,523.0","1,335,035.0","1,351,033.0","1,376,059.0","1,431,721.0","1,469,063.0","1,496,197.0","1,528,479.0","1,551,515.0","1,567,327.0","1,580,898.0","1,596,023.0","1,605,833.0","1,623,090.0","1,656,374.0","1,692,215.0","1,740,153.0","1,785,016.0","1,828,009.0","1,866,770.0","1,898,983.0","1,933,660.0","1,964,284.0","1,996,106.0","2,037,069.0","2,063,537.0","2,081,844.0","2,111,735.0","2,152,227.0","2,193,710.0","2,230,091.0","2,270,355.0","2,330,912.0","2,367,191.0","2,422,168.0","2,462,707.0","2,507,063.0","2,542,001.0","2,563,280.0","2,591,645.0","2,635,281.0","2,686,833.0","2,735,911.0","2,768,624.0","2,773,225.0","2,775,807.0","2,801,615.0","2,826,464.0","2,854,224.0","2,903,449.0","2,942,788.0","2,976,075.0","3,071,853.0","2,962,476.0","3,065,488.0","3,098,337.0","3,180,059.0","3,129,816.0","3,224,603.0","3,258,029.0","3,310,911.0","3,360,585.0","3,395,280.0","3,438,242.0","3,477,984.0","3,525,821.0","3,590,504.0","3,646,525.0","3,702,516.0","3,777,101.0","3,835,270.0","3,903,401.0","3,990,509.0","4,075,891.0","4,145,919.0","4,216,910.0","4,287,767.0","4,370,376.0","4,412,747.0","4,474,309.0","4,582,673.0","4,755,048.0","4,781,932.0","4,874,351.0","4,899,464.0"
"21","2","Private industries","A132RC1","397,785.0","408,271.0","418,268.0","426,612.0","430,740.0","432,552.0","437,392.0","436,636.0","446,265.0","454,469.0","460,394.0","468,458.0","484,649.0","495,035.0","504,227.0","521,000.0","538,353.0","553,050.0","566,634.0","581,997.0","592,541.0","607,121.0","621,831.0","625,587.0","621,411.0","625,906.0","643,488.0","663,583.0","686,438.0","702,106.0","718,968.0","735,844.0","753,295.0","781,244.0","803,842.0","827,899.0","850,252.0","888,758.0","915,614.0","947,584.0","977,234.0","1,000,885.0","1,029,995.0","1,056,595.0","1,083,603.0","1,093,301.0","1,113,059.0","1,157,881.0","1,190,342.0","1,214,058.0","1,241,926.0","1,255,769.0","1,266,778.0","1,276,344.0","1,286,899.0","1,289,897.0","1,303,748.0","1,332,090.0","1,364,660.0","1,410,374.0","1,446,193.0","1,483,373.0","1,515,172.0","1,542,368.0","1,568,231.0","1,593,195.0","1,619,292.0","1,654,029.0","1,675,597.0","1,688,254.0","1,712,023.0","1,744,589.0","1,779,105.0","1,809,955.0","1,845,697.0","1,897,843.0","1,924,448.0","1,973,028.0","2,008,335.0","2,045,168.0","2,071,345.0","2,086,581.0","2,107,133.0","2,142,725.0","2,180,934.0","2,220,096.0","2,245,458.0","2,242,110.0","2,232,087.0","2,254,103.0","2,276,457.0","2,300,203.0","2,338,661.0","2,372,160.0","2,401,366.0","2,493,974.0","2,377,108.0","2,479,832.0","2,506,849.0","2,586,531.0","2,528,620.0","2,616,159.0","2,646,213.0","2,694,383.0","2,735,709.0","2,767,720.0","2,808,010.0","2,844,548.0","2,884,361.0","2,944,224.0","2,996,429.0","3,048,108.0","3,113,917.0","3,167,498.0","3,228,657.0","3,308,965.0","3,384,759.0","3,447,887.0","3,511,958.0","3,576,931.0","3,649,120.0","3,684,731.0","3,736,829.0","3,834,669.0","3,989,236.0","4,003,356.0","4,090,247.0","4,109,112.0"
"22","3","  Goods-producing industries","A206RC1","194,097.0","198,888.0","203,264.0","205,394.0","205,497.0","204,307.0","204,421.0","200,678.0","205,163.0","208,404.0","209,816.0","212,908.0","220,963.0","225,659.0","229,075.0","237,233.0","246,112.0","252,554.0","258,591.0","266,170.0","270,204.0","275,420.0","280,932.0","279,249.0","271,145.0","270,684.0","278,288.0","288,330.0","300,097.0","306,163.0","312,778.0","319,773.0","328,107.0","342,751.0","352,480.0","360,875.0","367,561.0","388,016.0","399,262.0","413,620.0","425,948.0","436,671.0","447,039.0","455,877.0","464,943.0","462,725.0","467,359.0","489,249.0","499,821.0","509,414.0","520,645.0","521,918.0","520,476.0","517,318.0","511,740.0","504,126.0","507,914.0","516,545.0","531,754.0","549,539.0","566,304.0","580,527.0","591,146.0","598,461.0","609,167.0","612,596.0","618,178.0","627,647.0","630,744.0","629,567.0","632,555.0","639,705.0","646,344.0","650,067.0","659,510.0","670,987.0","686,311.0","698,908.0","708,038.0","719,748.0","725,441.0","723,893.0","727,653.0","736,222.0","744,773.0","753,743.0","754,813.0","748,359.0","739,241.0","739,695.0","746,641.0","748,003.0","750,195.0","759,527.0","762,309.0","781,275.0","747,082.0","777,223.0","783,885.0","806,071.0","795,190.0","818,478.0","830,489.0","844,259.0","850,099.0","856,444.0","866,053.0","872,758.0","879,807.0","899,617.0","913,814.0","925,748.0","946,689.0","960,396.0","975,562.0","1,000,039.0","1,017,501.0","1,028,572.0","1,037,225.0","1,050,063.0","1,065,985.0","1,072,340.0","1,085,120.0","1,109,354.0","1,159,222.0","1,147,298.0","1,167,915.0","1,161,695.0"
"23","4","    Manufacturing","A552RC1","153,259.0","156,382.0","160,050.0","161,181.0","160,793.0","159,581.0","158,744.0","154,450.0","158,644.0","160,163.0","160,484.0","162,883.0","169,245.0","173,703.0","176,406.0","183,083.0","189,623.0","194,532.0","198,294.0","203,843.0","205,922.0","210,657.0","215,926.0","214,872.0","205,794.0","206,598.0","213,193.0","220,843.0","230,077.0","235,445.0","240,781.0","245,880.0","253,094.0","263,695.0","271,558.0","278,482.0","285,410.0","295,658.0","303,637.0","315,275.0","325,260.0","331,608.0","338,615.0","344,601.0","351,433.0","349,312.0","352,968.0","370,231.0","377,563.0","387,648.0","392,724.0","391,574.0","389,918.0","387,816.0","384,752.0","379,526.0","383,923.0","393,238.0","404,983.0","419,134.0","431,758.0","441,470.0","449,874.0","456,526.0","463,452.0","464,171.0","468,512.0","476,072.0","478,729.0","477,926.0","480,492.0","485,110.0","490,312.0","491,845.0","499,499.0","507,079.0","518,732.0","526,115.0","532,699.0","543,376.0","548,687.0","545,786.0","547,116.0","551,407.0","555,424.0","564,647.0","565,808.0","562,135.0","556,355.0","559,364.0","567,305.0","570,705.0","572,726.0","580,889.0","584,234.0","600,965.0","567,603.0","593,780.0","598,139.0","616,049.0","602,152.0","620,049.0","628,675.0","638,993.0","642,752.0","646,883.0","653,053.0","656,443.0","658,910.0","673,276.0","681,953.0","689,211.0","703,048.0","712,389.0","723,193.0","741,975.0","751,758.0","756,999.0","759,194.0","765,055.0","774,483.0","776,859.0","786,422.0","800,106.0","838,604.0","823,585.0","839,962.0","828,698.0"
"24","5","  Distributive industries","A212RC1","117,091.0","120,390.0","123,193.0","126,152.0","128,372.0","129,907.0","132,767.0","133,822.0","136,520.0","139,401.0","141,710.0","143,974.0","149,082.0","151,373.0","154,070.0","158,789.0","163,805.0","168,378.0","172,376.0","176,562.0","179,961.0","185,021.0","189,751.0","192,287.0","192,450.0","194,333.0","200,143.0","205,565.0","212,015.0","216,884.0","222,184.0","226,988.0","231,768.0","239,623.0","245,903.0","253,653.0","260,955.0","270,207.0","277,000.0","287,079.0","296,057.0","301,313.0","310,522.0","319,815.0","326,955.0","329,497.0","335,270.0","346,947.0","357,092.0","363,600.0","370,287.0","373,212.0","377,606.0","381,951.0","386,063.0","388,950.0","389,819.0","399,087.0","405,154.0","419,288.0","427,866.0","438,230.0","447,209.0","455,087.0","461,241.0","469,509.0","476,352.0","485,118.0","491,172.0","494,256.0","501,537.0","509,930.0","517,591.0","527,779.0","538,526.0","545,467.0","556,483.0","568,199.0","578,251.0","587,598.0","597,463.0","601,860.0","604,813.0","613,441.0","621,850.0","631,837.0","637,059.0","637,799.0","635,632.0","643,596.0","648,738.0","654,232.0","665,384.0","672,700.0","680,845.0","699,059.0","676,062.0","696,171.0","702,593.0","716,592.0","715,014.0","737,226.0","746,592.0","760,906.0","770,873.0","779,100.0","788,724.0","795,174.0","805,204.0","818,123.0","829,630.0","842,337.0","858,715.0","871,209.0","887,983.0","907,765.0","925,860.0","940,888.0","960,278.0","977,918.0","1,002,117.0","1,011,839.0","1,027,505.0","1,054,468.0","1,079,892.0","1,092,513.0","1,110,073.0","1,113,379.0"
"25","6","  Service industries","A218RC1","86,597.0","88,993.0","91,811.0","95,066.0","96,871.0","98,338.0","100,204.0","102,136.0","104,582.0","106,664.0","108,868.0","111,576.0","114,604.0","118,003.0","121,082.0","124,978.0","128,436.0","132,118.0","135,667.0","139,265.0","142,376.0","146,680.0","151,148.0","154,051.0","157,816.0","160,889.0","165,057.0","169,688.0","174,326.0","179,059.0","184,006.0","189,083.0","193,420.0","198,870.0","205,459.0","213,371.0","221,736.0","230,535.0","239,352.0","246,885.0","255,229.0","262,901.0","272,434.0","280,903.0","291,705.0","301,079.0","310,430.0","321,685.0","333,429.0","341,044.0","350,994.0","360,639.0","368,696.0","377,075.0","389,096.0","396,821.0","406,015.0","416,458.0","427,752.0","441,547.0","452,023.0","464,616.0","476,817.0","488,820.0","497,823.0","511,090.0","524,762.0","541,264.0","553,681.0","564,431.0","577,931.0","594,954.0","615,170.0","632,109.0","647,661.0","681,389.0","681,654.0","705,921.0","722,046.0","737,822.0","748,441.0","760,828.0","774,667.0","793,062.0","814,311.0","834,516.0","853,586.0","855,952.0","857,214.0","870,812.0","881,078.0","897,968.0","923,082.0","939,933.0","958,212.0","1,013,640.0","953,964.0","1,006,438.0","1,020,371.0","1,063,868.0","1,018,416.0","1,060,455.0","1,069,132.0","1,089,218.0","1,114,737.0","1,132,176.0","1,153,233.0","1,176,616.0","1,199,350.0","1,226,484.0","1,252,985.0","1,280,023.0","1,308,513.0","1,335,893.0","1,365,112.0","1,401,161.0","1,441,398.0","1,478,427.0","1,514,455.0","1,548,950.0","1,581,018.0","1,600,552.0","1,624,204.0","1,670,847.0","1,750,122.0","1,763,545.0","1,812,259.0","1,834,038.0"
