"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"21","2","Less: Exports of goods and services","A020RX1","136,035.0","166,531.0","162,535.0","168,171.0","169,622.0","177,087.0","176,509.0","178,133.0","178,812.0","178,451.0","185,782.0","170,207.0","188,233.0","182,754.0","193,789.0","202,007.0","216,811.0","227,267.0","228,025.0","239,227.0","242,284.0","254,065.0","240,363.0","246,644.0","248,384.0","241,156.0","237,094.0","250,499.0","248,762.0","251,270.0","258,570.0","261,197.0","257,002.0","263,929.0","265,974.0","257,438.0","263,502.0","290,963.0","294,154.0","305,833.0","306,087.0","306,895.0","317,947.0","337,956.0","347,388.0","353,936.0","353,186.0","351,045.0","357,676.0","359,610.0","351,959.0","353,587.0","338,259.0","340,298.0","325,222.0","310,328.0","315,341.0","316,292.0","321,058.0","327,532.0","334,376.0","342,690.0","350,259.0","357,373.0","357,621.0","356,334.0","351,111.0","361,682.0","373,116.0","377,178.0","385,797.0","400,167.0","400,473.0","416,364.0","434,305.0","450,364.0","475,315.0","488,472.0","497,525.0","512,714.0","527,794.0","550,762.0","556,795.0","565,550.0","590,259.0","598,282.0","602,650.0","607,706.0","612,057.0","634,093.0","648,611.0","663,399.0","675,229.0","675,250.0","689,918.0","693,441.0","695,014.0","703,517.0","701,219.0","723,653.0","730,580.0","754,673.0","783,506.0","800,851.0","815,571.0","826,811.0","862,768.0","875,221.0","886,246.0","901,103.0","908,392.0","965,337.0","983,725.0","1,022,681.0","1,046,441.0","1,044,536.0","1,049,464.0","1,037,368.0","1,032,553.0","1,071,490.0","1,063,257.0","1,075,482.0","1,103,688.0","1,131,347.0","1,150,846.0","1,183,524.0","1,212,403.0","1,202,850.0","1,187,080.0","1,148,337.0","1,089,225.0","1,058,512.0","1,075,428.0","1,104,619.0","1,112,318.0","1,100,990.0","1,090,816.0","1,087,282.0","1,116,797.0","1,169,134.0","1,196,955.0","1,215,706.0","1,224,735.0","1,252,757.0","1,276,163.0","1,303,552.0","1,303,868.0","1,336,645.0","1,388,725.0","1,412,078.0","1,414,153.0","1,473,461.0","1,496,530.0","1,521,318.0","1,577,950.0","1,621,932.0","1,643,924.0","1,693,878.0","1,678,712.0","1,580,583.0","1,452,465.0","1,454,612.0","1,502,336.0","1,585,218.0","1,608,233.0","1,645,408.0","1,683,919.0","1,724,650.0","1,748,828.0","1,766,423.0","1,792,875.0","1,799,294.0","1,818,678.0","1,842,119.0","1,850,878.0","1,837,623.0"
"22","3","Plus: Imports of goods and services","A021RX1","199,416.0","238,757.0","235,663.0","233,074.0","232,311.0","236,903.0","236,359.0","240,025.0","237,195.0","255,088.0","260,727.0","243,055.0","278,577.0","268,679.0","274,271.0","286,627.0","299,872.0","291,228.0","283,183.0","285,296.0","275,620.0","290,221.0","285,149.0","282,319.0","253,991.0","233,666.0","253,092.0","266,601.0","283,303.0","295,573.0","307,632.0","317,814.0","332,860.0","335,928.0","331,246.0","335,946.0","358,484.0","359,619.0","364,315.0","369,312.0","368,300.0","370,289.0","364,641.0","372,609.0","372,885.0","345,826.0","320,954.0","338,177.0","352,621.0","353,155.0","349,127.0","359,141.0","348,905.0","343,205.0","359,128.0","345,031.0","352,931.0","380,063.0","409,666.0","429,762.0","464,313.0","483,764.0","496,283.0","510,824.0","499,554.0","524,096.0","519,039.0","539,380.0","538,889.0","561,840.0","577,408.0","581,854.0","578,374.0","592,798.0","604,327.0","618,219.0","615,329.0","608,256.0","622,615.0","641,583.0","644,561.0","647,613.0","646,733.0","658,436.0","679,319.0","678,182.0","675,447.0","657,335.0","649,847.0","661,395.0","680,010.0","695,034.0","700,088.0","711,599.0","722,822.0","740,120.0","756,146.0","771,771.0","781,933.0","813,350.0","832,302.0","863,311.0","887,595.0","912,571.0","932,582.0","941,450.0","944,686.0","956,756.0","987,859.0","1,009,970.0","1,042,719.0","1,063,286.0","1,108,700.0","1,145,918.0","1,188,147.0","1,213,792.0","1,259,320.0","1,288,179.0","1,305,541.0","1,347,767.0","1,382,095.0","1,426,142.0","1,477,878.0","1,513,328.0","1,574,694.0","1,622,698.0","1,679,374.0","1,678,131.0","1,653,653.0","1,604,402.0","1,565,564.0","1,546,899.0","1,585,655.0","1,639,198.0","1,666,244.0","1,696,194.0","1,675,715.0","1,699,638.0","1,719,621.0","1,783,761.0","1,829,202.0","1,902,640.0","1,930,429.0","1,979,389.0","1,990,914.0","2,012,881.0","2,025,283.0","2,082,083.0","2,121,521.0","2,145,233.0","2,170,909.0","2,168,194.0","2,199,757.0","2,210,676.0","2,216,020.0","2,186,527.0","2,194,139.0","2,180,094.0","2,143,325.0","2,058,579.0","1,855,954.0","1,777,401.0","1,849,269.0","1,932,730.0","1,980,923.0","2,074,155.0","2,142,808.0","2,142,960.0","2,165,407.0","2,165,996.0","2,190,765.0","2,217,280.0","2,234,201.0","2,249,558.0","2,246,105.0","2,222,315.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,342,205.0","4,349,468.0","4,379,777.0","4,348,485.0","4,338,811.0","4,340,493.0","4,379,622.0","4,334,379.0","4,450,492.0","4,494,297.0","4,525,451.0","4,542,095.0","4,633,558.0","4,740,829.0","4,776,401.0","4,856,318.0","4,973,307.0","5,005,972.0","4,968,469.0","5,000,254.0","4,937,194.0","4,950,629.0","4,917,172.0","4,883,312.0","4,778,883.0","4,798,460.0","4,916,367.0","4,978,088.0","5,118,710.0","5,170,565.0","5,200,994.0","5,248,973.0","5,338,352.0","5,436,433.0","5,522,494.0","5,541,911.0","5,583,505.0","5,756,867.0","5,814,342.0","5,878,757.0","5,886,368.0","5,893,508.0","5,908,532.0","5,904,925.0","5,909,301.0","5,732,141.0","5,679,101.0","5,818,522.0","5,953,435.0","5,903,826.0","5,980,900.0","5,920,554.0","5,831,479.0","5,850,830.0","5,876,616.0","5,882,838.0","5,960,181.0","6,131,664.0","6,286,852.0","6,433,560.0","6,594,430.0","6,720,417.0","6,790,276.0","6,853,714.0","6,901,565.0","6,992,590.0","7,099,512.0","7,163,998.0","7,214,642.0","7,266,896.0","7,343,081.0","7,364,122.0","7,398,828.0","7,472,943.0","7,527,299.0","7,649,436.0","7,650,968.0","7,719,852.0","7,765,907.0","7,872,248.0","7,928,577.0","7,960,411.0","8,013,510.0","8,034,434.0","8,112,191.0","8,132,328.0","8,123,348.0","8,023,389.0","7,970,107.0","8,010,754.0","8,049,448.0","8,081,040.0","8,161,064.0","8,261,432.0","8,342,063.0","8,446,063.0","8,478,725.0","8,540,943.0","8,600,225.0","8,722,910.0","8,820,839.0","8,947,699.0","8,999,045.0","9,106,507.0","9,134,556.0","9,151,055.0","9,188,343.0","9,251,371.0","9,337,330.0","9,505,189.0","9,615,677.0","9,677,955.0","9,781,453.0","9,922,032.0","10,064,243.0","10,169,775.0","10,306,555.0","10,440,352.0","10,598,331.0","10,779,138.0","10,916,304.0","11,030,635.0","11,189,277.0","11,390,954.0","11,461,579.0","11,691,945.0","11,728,760.0","11,804,092.0","11,758,176.0","11,823,225.0","11,814,140.0","11,867,561.0","11,985,470.0","12,068,738.0","12,145,916.0","12,189,885.0","12,228,896.0","12,354,649.0","12,538,759.0","12,656,598.0","12,752,399.0","12,883,327.0","12,992,622.0","13,113,644.0","13,229,744.0","13,279,933.0","13,391,840.0","13,481,240.0","13,629,420.0","13,682,109.0","13,707,605.0","13,733,308.0","13,759,422.0","13,863,220.0","13,908,307.0","13,890,146.0","13,818,005.0","13,794,470.0","13,646,478.0","13,353,297.0","13,103,693.0","13,014,385.0","13,081,969.0","13,209,302.0","13,309,346.0","13,438,867.0","13,553,405.0","13,590,456.0","13,592,103.0","13,655,156.0","13,696,447.0","13,851,354.0","13,914,386.0","13,948,500.0","14,039,294.0","14,040,846.0"
"24","5","Less: Change in private inventories","A014RX1","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-150,237.0","-185,516.0","-181,516.0","-38,783.0","30,499.0","33,220.0","94,908.0","45,029.0","30,344.0","27,540.0","-4,326.0","70,532.0","56,948.0","41,404.0","60,281.0","13,260.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","4,319,989.0","4,335,827.0","4,361,112.0","4,351,178.0","4,360,158.0","4,345,494.0","4,384,920.0","4,378,140.0","4,428,681.0","4,478,007.0","4,512,655.0","4,571,147.0","4,644,975.0","4,719,574.0","4,752,198.0","4,863,921.0","4,963,305.0","4,962,713.0","4,958,107.0","4,948,036.0","4,922,772.0","4,929,056.0","4,929,432.0","4,843,381.0","4,835,995.0","4,868,690.0","4,949,184.0","5,005,115.0","5,101,549.0","5,132,153.0","5,169,048.0","5,251,478.0","5,329,352.0","5,407,203.0","5,453,304.0","5,517,966.0","5,547,913.0","5,721,582.0","5,775,127.0","5,836,785.0","5,852,932.0","5,854,330.0","5,911,294.0","5,918,218.0","5,915,131.0","5,742,796.0","5,774,577.0","5,860,583.0","5,903,701.0","5,913,086.0","5,925,489.0","5,904,665.0","5,895,846.0","5,881,156.0","5,891,180.0","5,979,373.0","6,046,863.0","6,170,574.0","6,319,608.0","6,420,285.0","6,500,988.0","6,632,113.0","6,697,891.0","6,802,587.0","6,899,723.0","6,985,107.0","7,096,104.0","7,136,458.0","7,191,500.0","7,268,414.0","7,375,909.0","7,403,043.0","7,378,897.0","7,472,099.0","7,550,113.0","7,580,173.0","7,651,952.0","7,714,882.0","7,757,840.0","7,860,270.0","7,881,290.0","7,929,945.0","8,019,185.0","8,032,738.0","8,113,659.0","8,105,428.0","8,112,348.0","8,054,115.0","8,007,456.0","8,051,889.0","8,068,072.0","8,060,851.0","8,176,593.0","8,248,893.0","8,334,847.0","8,437,806.0","8,449,637.0","8,528,319.0","8,609,382.0","8,721,760.0","8,781,863.0","8,862,629.0","8,951,830.0","9,031,680.0","9,075,673.0","9,125,666.0","9,194,199.0","9,246,918.0","9,349,253.0","9,490,028.0","9,559,747.0","9,650,761.0","9,747,732.0","9,821,663.0","9,994,017.0","10,086,736.0","10,191,229.0","10,403,380.0","10,543,943.0","10,720,103.0","10,832,359.0","10,995,027.0","11,149,315.0","11,294,231.0","11,446,380.0","11,591,594.0","11,667,422.0","11,747,802.0","11,796,427.0","11,837,505.0","11,848,336.0","11,961,174.0","12,004,377.0","12,059,020.0","12,129,366.0","12,160,261.0","12,199,662.0","12,360,063.0","12,536,976.0","12,619,147.0","12,701,014.0","12,805,698.0","12,930,130.0","13,042,473.0","13,138,757.0","13,264,417.0","13,379,851.0","13,399,923.0","13,564,951.0","13,610,742.0","13,640,011.0","13,700,138.0","13,741,470.0","13,815,778.0","13,870,280.0","13,878,168.0","13,828,798.0","13,809,718.0","13,684,627.0","13,441,525.0","13,261,811.0","13,202,257.0","13,262,318.0","13,245,643.0","13,275,889.0","13,403,940.0","13,454,841.0","13,544,115.0","13,561,925.0","13,623,848.0","13,699,631.0","13,771,274.0","13,847,536.0","13,897,123.0","13,963,620.0","14,016,629.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","4,218,203.0","4,238,958.0","4,260,927.0","4,261,746.0","4,273,297.0","4,265,082.0","4,303,301.0","4,295,325.0","4,348,476.0","4,378,549.0","4,417,071.0","4,470,327.0","4,532,426.0","4,607,671.0","4,649,201.0","4,757,353.0","4,861,650.0","4,885,487.0","4,891,550.0","4,897,226.0","4,891,187.0","4,896,599.0","4,881,516.0","4,810,586.0","4,848,199.0","4,897,889.0","4,941,931.0","5,000,323.0","5,069,440.0","5,086,526.0","5,117,992.0","5,189,506.0","5,238,196.0","5,322,418.0","5,378,401.0","5,422,289.0","5,429,163.0","5,644,603.0","5,696,364.0","5,769,532.0","5,787,761.0","5,787,485.0","5,871,406.0","5,898,191.0","5,909,644.0","5,793,828.0","5,869,344.0","5,921,759.0","5,950,873.0","5,962,742.0","5,969,643.0","5,934,428.0","5,917,745.0","5,915,192.0","5,876,452.0","5,963,536.0","6,026,528.0","6,111,842.0","6,225,205.0","6,306,988.0","6,349,172.0","6,465,551.0","6,525,175.0","6,620,288.0","6,732,499.0","6,783,792.0","6,893,951.0","6,922,146.0","6,993,383.0","7,046,144.0","7,145,306.0","7,185,826.0","7,166,621.0","7,262,188.0","7,348,946.0","7,381,950.0","7,491,095.0","7,581,393.0","7,617,431.0","7,715,318.0","7,752,521.0","7,827,826.0","7,926,418.0","7,936,314.0","8,022,439.0","8,025,883.0","8,041,704.0","8,013,159.0","7,981,131.0","8,038,540.0","8,049,649.0","8,042,264.0","8,166,550.0","8,225,008.0","8,315,360.0","8,401,873.0","8,396,421.0","8,466,805.0","8,533,214.0","8,635,427.0","8,681,611.0","8,754,748.0","8,849,593.0","8,920,713.0","8,958,733.0","9,011,681.0","9,119,030.0","9,172,237.0","9,251,437.0","9,384,038.0","9,424,960.0","9,557,246.0","9,624,394.0","9,701,004.0","9,854,092.0","9,917,456.0","9,979,774.0","10,148,443.0","10,265,536.0","10,439,563.0","10,508,321.0","10,639,112.0","10,770,503.0","10,908,125.0","11,018,150.0","11,148,418.0","11,196,773.0","11,268,500.0","11,325,596.0","11,375,673.0","11,364,078.0","11,462,633.0","11,485,652.0","11,518,214.0","11,569,870.0","11,560,837.0","11,609,564.0","11,742,622.0","11,928,615.0","12,001,067.0","12,066,521.0","12,118,355.0","12,224,193.0","12,316,107.0","12,424,110.0","12,555,185.0","12,658,545.0","12,654,175.0","12,831,879.0","12,877,322.0","12,882,847.0","13,005,303.0","13,038,204.0","13,126,152.0","13,231,800.0","13,314,035.0","13,277,785.0","13,325,894.0","13,225,601.0","12,972,897.0","12,870,307.0","12,890,016.0","12,928,261.0","12,910,180.0","12,914,678.0","12,985,355.0","13,005,501.0","13,135,613.0","13,154,403.0","13,234,143.0","13,311,155.0","13,361,406.0","13,440,138.0","13,497,854.0","13,577,396.0","13,642,036.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
