"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private fixed investment","A007RC1","144,226.0","146,437.0","150,144.0","148,279.0","148,848.0","148,828.0","150,984.0","152,876.0","159,002.0","167,949.0","173,164.0","179,529.0","189,936.0","194,539.0","198,646.0","210,887.0","221,965.0","227,839.0","232,016.0","232,624.0","231,549.0","234,898.0","239,860.0","235,401.0","228,684.0","230,725.0","239,199.0","247,291.0","260,099.0","269,114.0","275,729.0","294,431.0","311,757.0","335,439.0","347,491.0","361,375.0","371,318.0","406,627.0","426,402.0","444,298.0","457,263.0","465,568.0","485,737.0","490,974.0","495,281.0","462,690.0","477,333.0","507,032.0","524,372.0","539,681.0","548,809.0","557,426.0","547,977.0","534,966.0","522,872.0","522,766.0","531,653.0","549,902.0","581,893.0","616,750.0","636,698.0","665,789.0","682,115.0","696,275.0","703,788.0","713,669.0","710,916.0","729,062.0","733,472.0","737,317.0","739,524.0","749,484.0","736,974.0","751,088.0","768,466.0","774,684.0","780,577.0","800,723.0","807,520.0","823,542.0","835,886.0","842,128.0","860,361.0","850,648.0","866,060.0","848,778.0","844,922.0","825,925.0","803,438.0","802,088.0","804,413.0","803,208.0","809,999.0","842,205.0","856,330.0","885,298.0","895,364.0","918,214.0","936,756.0","979,786.0","998,310.0","1,025,506.0","1,039,668.0","1,070,532.0","1,099,473.0","1,098,935.0","1,114,943.0","1,138,201.0","1,163,186.0","1,197,370.0","1,228,673.0","1,248,469.0","1,270,805.0","1,296,621.0","1,346,893.0","1,356,323.0","1,389,870.0","1,434,201.0","1,460,282.0","1,503,905.0","1,534,005.0","1,569,676.0","1,603,933.0","1,615,154.0","1,672,764.0","1,720,534.0","1,734,471.0","1,742,890.0","1,731,953.0","1,711,023.0","1,700,510.0","1,657,358.0","1,641,351.0","1,634,898.0","1,632,099.0","1,631,366.0","1,642,816.0","1,681,646.0","1,740,871.0","1,787,790.0","1,802,218.0","1,880,021.0","1,940,529.0","1,991,821.0","2,040,105.0","2,099,424.0","2,155,649.0","2,194,140.0","2,270,606.0","2,279,669.0","2,264,326.0","2,254,121.0","2,260,329.0","2,282,125.0","2,274,042.0","2,247,947.0","2,205,195.0","2,183,671.0","2,130,464.0","1,995,489.0","1,812,549.0","1,697,982.0","1,666,087.0","1,637,212.0","1,627,173.0","1,682,967.0","1,683,816.0","1,721,919.0","1,722,259.0","1,784,174.0","1,857,844.0","1,908,968.0","1,959,651.0","1,986,921.0","1,997,888.0","2,072,366.0"
"21","2","Nonresidential","A008RC1","101,000.0","103,041.0","106,937.0","107,627.0","108,149.0","109,429.0","110,604.0","107,894.0","110,392.0","113,367.0","114,829.0","118,000.0","123,345.0","126,311.0","129,091.0","136,601.0","144,113.0","152,087.0","156,975.0","159,885.0","162,594.0","167,404.0","172,503.0","175,359.0","170,998.0","170,817.0","174,550.0","178,614.0","183,943.0","188,460.0","195,112.0","201,926.0","214,186.0","223,755.0","232,474.0","244,458.0","250,354.0","276,044.0","290,555.0","305,296.0","318,762.0","324,937.0","342,280.0","349,591.0","361,320.0","350,946.0","361,065.0","376,241.0","393,064.0","410,812.0","428,387.0","447,780.0","443,186.0","432,020.0","419,416.0","411,239.0","400,500.0","402,856.0","419,477.0","445,952.0","460,059.0","484,416.0","500,738.0","513,324.0","520,489.0","528,521.0","522,153.0","533,583.0","527,204.0","517,516.0","513,457.0","521,166.0","506,837.0","518,163.0","534,248.0","537,221.0","546,175.0","562,329.0","567,496.0","579,136.0","591,308.0","601,907.0","621,946.0","615,821.0","626,875.0","617,861.0","626,116.0","618,909.0","608,207.0","601,366.0","594,095.0","589,034.0","585,641.0","607,113.0","619,029.0","636,717.0","642,793.0","660,285.0","667,492.0","695,693.0","704,799.0","720,503.0","734,719.0","765,621.0","797,673.0","805,464.0","811,162.0","825,834.0","841,418.0","860,466.0","888,971.0","910,607.0","930,074.0","949,928.0","995,616.0","998,815.0","1,024,989.0","1,055,810.0","1,066,660.0","1,097,087.0","1,120,728.0","1,147,385.0","1,174,492.0","1,177,006.0","1,223,537.0","1,270,054.0","1,288,427.0","1,292,731.0","1,273,685.0","1,240,634.0","1,219,645.0","1,177,288.0","1,149,496.0","1,128,313.0","1,120,636.0","1,103,291.0","1,097,658.0","1,123,815.0","1,150,814.0","1,170,424.0","1,164,628.0","1,204,414.0","1,243,958.0","1,279,136.0","1,305,210.0","1,334,895.0","1,362,930.0","1,386,264.0","1,457,242.0","1,495,273.0","1,522,709.0","1,546,095.0","1,579,638.0","1,624,947.0","1,660,651.0","1,684,577.0","1,689,292.0","1,689,049.0","1,665,914.0","1,580,918.0","1,442,946.0","1,356,004.0","1,312,938.0","1,285,357.0","1,285,837.0","1,325,212.0","1,353,818.0","1,388,803.0","1,390,814.0","1,447,994.0","1,519,367.0","1,560,138.0","1,595,463.0","1,614,137.0","1,610,010.0","1,665,484.0"
