"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2013 9:28:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Wage and salary disbursements","A576RC1","4,181,621.0","4,460,027.0","4,827,698.0","4,952,201.0","4,997,307.0","5,139,598.0","5,425,691.0","5,700,980.0","6,068,893.0","6,421,726.0","6,550,861.0","6,270,331.0","6,404,564.0","6,661,293.0","6,880,719.0"
"20","2","Private industries","A132RC1","3,480,383.0","3,726,338.0","4,047,987.0","4,130,317.0","4,124,194.0","4,226,273.0","4,472,883.0","4,709,491.0","5,033,742.0","5,332,699.0","5,406,756.0","5,095,105.0","5,213,278.0","5,465,967.0","5,679,246.0"
"21","3","  Goods-producing industries","N231RC1","945,763.0","992,167.0","1,056,869.0","1,043,816.0","1,011,528.0","1,011,062.0","1,054,401.0","1,103,407.0","1,175,963.0","1,213,425.0","1,207,728.0","1,063,277.0","1,057,476.0","1,108,568.0","1,158,251.0"
"22","4","    Manufacturing","N552RC1","680,636.0","705,395.0","744,582.0","712,816.0","679,631.0","673,720.0","693,088.0","710,377.0","738,674.0","752,198.0","740,888.0","661,497.0","674,132.0","706,606.0","740,047.0"
"23","5","  Services-producing industries","N233RC1","2,534,622.0","2,734,168.0","2,991,119.0","3,086,501.0","3,112,666.0","3,215,211.0","3,418,482.0","3,606,084.0","3,857,779.0","4,119,274.0","4,199,028.0","4,031,828.0","4,155,802.0","4,357,399.0","4,520,995.0"
"24","6","    Trade, transportation, and utilities","N234RC1","724,431.0","772,256.0","830,698.0","846,115.0","846,535.0","863,283.0","905,343.0","944,613.0","995,989.0","1,045,165.0","1,049,716.0","989,130.0","1,005,534.0","1,050,141.0","1,101,818.0"
"25","7","    Other services-producing industries \1\","N235RC1","1,810,191.0","1,961,912.0","2,160,421.0","2,240,386.0","2,266,131.0","2,351,928.0","2,513,139.0","2,661,471.0","2,861,790.0","3,074,109.0","3,149,312.0","3,042,698.0","3,150,268.0","3,307,258.0","3,419,177.0"
"26","8","Government","B202RC1","701,238.0","733,689.0","779,711.0","821,884.0","873,113.0","913,325.0","952,808.0","991,489.0","1,035,151.0","1,089,027.0","1,144,105.0","1,175,226.0","1,191,286.0","1,195,326.0","1,201,473.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
