"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 28, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2013 8:00:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Change in private inventories","A014RC1","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-154,173.0","58,360.0","36,629.0","58,073.0"
"20","2","Farm","B018RC1","3,330.0","1,266.0","-2,730.0","-1,399.0","37.0","-2,497.0","92.0","8,807.0","117.0","-3,603.0","-706.0","1,608.0","-1,673.0","-7,316.0","-6,107.0","-16,073.0"
"21","3","Mining, utilities, and construction","N541RC1","1,519.0","5,392.0","-1,272.0","-2,197.0","8,194.0","-3,090.0","5,883.0","1,335.0","3,748.0","16,650.0","-204.0","-9,450.0","-6,946.0","1,691.0","1,417.0","4,317.0"
"22","4","Manufacturing","N150RC1","21,067.0","15,423.0","13,887.0","6,881.0","-23,506.0","-4,184.0","-7,422.0","5,731.0","21,046.0","17,661.0","16,736.0","-14,385.0","-28,299.0","20,214.0","23,064.0","14,761.0"
"23","5","  Durable goods industries","N624RC1","14,146.0","16,018.0","6,318.0","6,219.0","-19,514.0","-4,944.0","-4,796.0","3,983.0","16,585.0","12,134.0","12,007.0","-4,495.0","-25,042.0","17,684.0","24,892.0","18,260.0"
"24","6","  Nondurable goods industries","N625RC1","6,921.0","-595.0","7,569.0","662.0","-3,992.0","760.0","-2,626.0","1,748.0","4,461.0","5,527.0","4,729.0","-9,890.0","-3,257.0","2,530.0","-1,828.0","-3,499.0"
"25","7","Wholesale trade","N658RC1","25,330.0","21,432.0","18,910.0","18,854.0","-12,336.0","-108.0","-588.0","19,767.0","18,129.0","13,689.0","4,795.0","8,841.0","-62,689.0","30,279.0","22,447.0","25,715.0"
"26","8","  Durable goods industries","N661RC1","17,252.0","17,021.0","14,072.0","13,524.0","-16,663.0","388.0","780.0","17,763.0","13,370.0","9,396.0","816.0","9,436.0","-50,083.0","16,413.0","22,307.0","24,899.0"
"27","9","  Nondurable goods industries","N664RC1","8,078.0","4,411.0","4,838.0","5,330.0","4,327.0","-496.0","-1,368.0","2,004.0","4,759.0","4,293.0","3,979.0","-595.0","-12,606.0","13,866.0","140.0","816.0"
"28","10","Retail trade","N153RC1","14,452.0","14,637.0","24,934.0","19,957.0","-10,317.0","23,044.0","16,900.0","23,189.0","4,618.0","10,814.0","4,078.0","-29,165.0","-50,433.0","15,612.0","-5,333.0","26,767.0"
"29","11","  Motor vehicle and parts dealers","N631RC1","5,143.0","1,832.0","12,440.0","11,880.0","-9,329.0","17,295.0","12,804.0","7,406.0","-2,788.0","-368.0","2,862.0","-12,358.0","-32,766.0","10,155.0","-6,982.0","20,348.0"
"30","12","  Food and beverage stores","N542RC1","344.0","942.0","1,529.0","-561.0","408.0","156.0","-1,192.0","398.0","-104.0","923.0","1,086.0","-415.0","-355.0","486.0","1,116.0","483.0"
"31","13","  General merchandise stores","N543RC1","142.0","359.0","2,694.0","1,040.0","160.0","1,415.0","981.0","4,476.0","2,210.0","1,664.0","-204.0","-3,348.0","-3,291.0","1,256.0","1,289.0","1,572.0"
"32","14","  Other retail stores","N558RC1","8,823.0","11,504.0","8,271.0","7,598.0","-1,556.0","4,178.0","4,307.0","10,909.0","5,300.0","8,595.0","334.0","-13,044.0","-14,021.0","3,715.0","-756.0","4,364.0"
