"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/26/2011 8:22:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      National income without capital consumption adjustment","A422RC1",9061.6,9085.5,9019.2,9005.4,9093.6,9172.6,9217.2,9341.2,9441.3,9556.8,9700.2,9902.9,10107.7,10281.1,10486.5,10620.6,11082.4,11228.5,11444.9,11659.9,11954,12059.3,12177.5,12316.6,12353.8,12468.7,12517.6,12659.8,12611,12643.8,12659.1,12214.6,12075.4,12000,12078.5,12278.4,12528.2,12734.7,12743.5,12568.3,12894.8,13058.2,NA
"10","2","Domestic industries","A423RC1",9020.4,9035.9,8992.3,8915.4,9042.6,9139.8,9169.8,9276,9389.5,9491.2,9634.6,9811.1,9997.1,10195.2,10389.7,10548.9,10975.6,11132.3,11337.8,11581.5,11873.5,11983.8,12115.5,12244.9,12283.5,12389.3,12372.9,12461.2,12432.4,12462.5,12460.2,12096.9,11942.7,11859.6,11914.9,12106,12358.7,12538.5,12536.1,12383.9,12667.7,12797,NA
"11","3","  Private industries","A736RC1",7973.7,7975,7908.4,7824,7922.8,8007.8,8020.5,8108.9,8189.9,8276.3,8411.4,8579.8,8738.4,8924,9109.4,9256,9653.7,9803,9997.2,10231.9,10497,10593.9,10709.2,10823.6,10834.2,10928.6,10897.6,10972.1,10912.7,10928.1,10907.3,10530.8,10361.3,10264.5,10312.4,10496.6,10731.2,10899.6,10901,10747.5,11024.6,11149.7,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",73.7,71.5,72.8,72.5,63.5,61.4,70.5,74.9,75.9,83.1,85,89.3,108.5,108,98.7,101.2,92.8,92.7,93.2,92.5,86.6,88.9,92.7,99.6,106.9,106.3,108,118.7,129.7,123.7,115.4,114.1,107.2,107.7,107.8,111.3,112.6,114.4,126.8,126.5,132.8,135.8,NA
"13","5","    Mining","N5005C1",109.9,107.2,98.1,82.1,75.7,78.8,81.4,89,100.1,100.9,105.3,106.8,118.8,123.3,123.8,134.1,145.7,152.5,162.7,191.6,200.2,193.2,201.4,200.5,188.1,206.4,208,215.5,235.9,264.3,277,230,166.2,122.5,113.8,133.5,174.8,155.8,154.9,138.6,156.9,174.4,NA
